nodes;program;c.domain;adv.model;protocol;comp.intbits;comp.inttriples;comp.vmrounds;input_size;runtime(s);maxPhyRAM(MiB);P0commRounds;P0dataSent(MB);ALLdataSent(MB)
todd,ned,rod;32_matrix_add;RING;malhonest;sy-rep-ring;NA;NA;65;8;0.00732568;16;~91;0.015362;0.044734
todd,ned,rod;32_matrix_add;RING;malhonest;sy-rep-ring;NA;NA;577;24;0.046329;16;~603;0.046082;0.136894
todd,ned,rod;32_matrix_add;RING;semihonest;replicated-ring;NA;NA;65;8;0.00482089;13;~65;0.001024;0.003072
todd,ned,rod;32_matrix_add;RING;semihonest;replicated-ring;NA;NA;577;24;0.0378033;13;~577;0.009216;0.027648
todd,ned,rod;32_matrix_add;BINARY;maldishonest;tinier;NA;37632;11201;8;2.33707;89;NA;104.211;NA
todd,ned,rod;32_matrix_add;BINARY;maldishonest;tinier;NA;338688;100801;24;17.4485;105;NA;754.559;NA
todd,ned,rod;32_matrix_add;BINARY;maldishonest;real-bmr;NA;37632;11201;8;128.247;742;NA;24209.1;NA
todd,ned,rod;32_matrix_add;BINARY;maldishonest;real-bmr;NA;338688;100801;24;1142.8;3634;NA;217321;NA
todd,ned,rod;32_matrix_add;BINARY;semidishonest;semi-bin;NA;37632;11201;8;0.855045;199;NA;22.982;NA
todd,ned,rod;32_matrix_add;BINARY;semidishonest;semi-bin;NA;338688;100801;24;5.67513;206;NA;32.624;NA
todd,ned,rod;32_matrix_add;BINARY;semidishonest;yao;NA;37632;11201;8;0.0505488;13;NA;1.20832;NA
todd,ned,rod;32_matrix_add;BINARY;semidishonest;yao;NA;338688;100801;24;0.531174;37;NA;10.8749;NA
todd,ned,rod;32_matrix_add;BINARY;semidishonest;semi-bmr;NA;37632;11201;8;16.8108;223;NA;4064.4;NA
todd,ned,rod;32_matrix_add;BINARY;semidishonest;semi-bmr;NA;338688;100801;24;150.487;1479;NA;36522.1;NA
todd,ned,rod;32_matrix_add;BINARY;malhonest;malicious-rep-bin;NA;37632;11201;8;0.56184;17;NA;1.43654;NA
todd,ned,rod;32_matrix_add;BINARY;malhonest;malicious-rep-bin;NA;338688;100801;24;5.0501;29;NA;6.2903;NA
todd,ned,rod;32_matrix_add;BINARY;malhonest;malicious-ccd;NA;37632;11201;8;0.859464;17;NA;4.85565;NA
todd,ned,rod;32_matrix_add;BINARY;malhonest;malicious-ccd;NA;338688;100801;24;8.06087;34;NA;41.9407;NA
todd,ned,rod;32_matrix_add;BINARY;malhonest;ps-rep-bin;NA;37632;11201;8;2.23429;411;NA;67.7548;NA
todd,ned,rod;32_matrix_add;BINARY;malhonest;ps-rep-bin;NA;338688;100801;24;8.32831;382;NA;72.9146;NA
todd,ned,rod;32_matrix_add;BINARY;malhonest;mal-shamir-bmr;NA;37632;11201;8;3.366;202;NA;158.464;NA
todd,ned,rod;32_matrix_add;BINARY;malhonest;mal-shamir-bmr;NA;338688;100801;24;27.6056;1586;NA;1410.34;NA
todd,ned,rod;32_matrix_add;BINARY;malhonest;mal-rep-bmr;NA;37632;11201;8;2.38446;236;NA;56.5292;NA
todd,ned,rod;32_matrix_add;BINARY;malhonest;mal-rep-bmr;NA;338688;100801;24;17.708;1899;NA;507.482;NA
todd,ned,rod;32_matrix_add;BINARY;semihonest;replicated-bin;NA;37632;11201;8;0.398061;12;NA;0.042288;NA
todd,ned,rod;32_matrix_add;BINARY;semihonest;replicated-bin;NA;338688;100801;24;4.80864;23;NA;0.380208;NA
todd,ned,rod;32_matrix_add;BINARY;semihonest;ccd;NA;37632;11201;8;0.641523;14;NA;0.087552;NA
todd,ned,rod;32_matrix_add;BINARY;semihonest;ccd;NA;338688;100801;24;6.19688;31;NA;0.787968;NA
todd,ned,rod;32_matrix_add;BINARY;semihonest;shamir-bmr;NA;37632;11201;8;1.8498;169;NA;48.1705;NA
todd,ned,rod;32_matrix_add;BINARY;semihonest;shamir-bmr;NA;338688;100801;24;14.9324;1347;NA;432.254;NA
todd,ned,rod;32_matrix_add;BINARY;semihonest;rep-bmr;NA;37632;11201;8;1.16728;136;NA;23.4128;NA
todd,ned,rod;32_matrix_add;BINARY;semihonest;rep-bmr;NA;338688;100801;24;9.22602;1030;NA;210.715;NA
