comp.time(s)  comp.peakRAM(MiB)  bin.filesize(MiB)  ssl  datatype  optshare  packbool  protocol  input_size  preprocess  splitroles  inittime(s)  preproc(s)  runtime_clock(s)  runtime_getTime(s)  runtime_chrono(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)
2.86          233                1                  1    128       1         0         4         4096        0           0           0.006817     NA          0.063297          0.083575            0.083574           0.12                 31            82
2.87          235                1                  1    128       1         0         4         4096        0           1           NA           .010390     .012618           .012618             0.13               39                   357
2.86          234                1                  1    128       1         0         4         8192        0           0           0.017361     NA          0.110522          0.157023            0.157022           0.20                 55            79
2.86          234                1                  1    128       1         0         4         8192        0           1           .004608      NA          .022213           .025660             .025660            0.24                 70            534
2.86          234                1                  1    128       1         0         4         40960       0           0           0.078510     NA          0.531017          0.688782            0.688781           0.86                 246           80
2.87          233                1                  1    128       1         0         4         40960       0           1           .021404      NA          .105995           .124458             .124458            1.06                 324           520
2.89          235                1                  1    128       1         0         5         4096        0           0           0.007834     NA          0.071915          0.087697            0.087697           0.12                 35            88
2.88          234                1                  1    128       1         0         5         4096        0           1           .001987      NA          .011171           .012972             .012972            0.13                 39            512
2.88          239                1                  1    128       1         0         5         8192        0           0           0.018296     NA          0.124726          0.149598            0.149597           0.21                 63            87
2.90          240                1                  1    128       1         0         5         8192        0           1           .003798      NA          .023892           .026681             .026681            0.25                 70            365
2.89          235                1                  1    128       1         0         5         40960       0           0           0.086006     NA          0.535472          0.670413            0.670412           0.84                 286           84
2.90          236                1                  1    128       1         0         5         40960       0           1           0.098754     NA          0.659554          0.799142            .131271            1.08                 325           186
2.84          234                1                  1    128       1         0         6         4096        0           0           0.003313     NA          0.022238          0.019607            0.019606           0.05                 27            98
2.84          233                1                  1    128       1         0         6         4096        0           1           0.003814     NA          .002463           .004322             .004322            0.07                 27            175
2.84          234                1                  1    128       1         0         6         8192        0           0           0.010410     NA          0.040040          0.047045            0.047043           0.09                 47            96
2.85          234                1                  1    128       1         0         6         8192        0           1           .002386      NA          .008083           .008681             .008681            0.13                 47            405
2.84          234                1                  1    128       1         0         6         40960       0           0           0.041562     NA          0.239317          0.243279            0.243278           0.37                 207           99
2.85          233                1                  1    128       1         0         6         40960       0           1           0.049976     NA          .038041           .046649             .046649            0.53                 207           389
