program  c.domain  adv.model   protocol        partysize  comp.time(s)  comp.peakRAM(MiB)  bin.filesize(MiB)  comp.P0intin  comp.P1intin  comp.P2intin  comp.P0bitin  comp.P1bitin  compP2bitin  comp.intbits  comp.inttriples  comp.bittriples  comp.vmrounds  input_size  runtime_internal(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)  P0commRounds  P0dataSent(MB)  ALLdataSent(MB)  Tx(MB)   Tx(rounds)  Tx(s)        Rx(MB)   Rx(rounds)  Rx(s)        Brcasting(MB)  Brcasting(rounds)  Brcasting(s)  TxRx(MB)  TxRx(rounds)  TxRx(s)  Passing(MB)  Passing(rounds)  Passing(s)  Part.Brcasting(MB)  Part.Brcasting(rounds)  Part.Brcasting(s)  Ex(MB)  Ex(rounds)  Ex(s)  Ex1to1(MB)  Ex1to1(rounds)  Ex1to1(s)  Rx1to1(MB)  Rx1to1(rounds)  Rx1to1(s)  Tx1to1(MB)  Tx1to1(rounds)  Tx1to1(s)  Txtoall(MB)  Txtoall(rounds)  Txtoall(s)
42       BINARY    semihonest  replicated-bin  3          30.52         726                7                  NA            NA            NA            32768         64            NA           NA            NA               32256            8              512         0.0322378            0.46                 46            82         NA            0.06508         0.129768         4.8e-05  3           0.000434539  4.8e-05  3           0.000702924  NA             NA                 NA            NA        NA            NA       0.065032     8                0.00543461  NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semihonest  replicated-bin  3          60.46         1433               14                 NA            NA            NA            65536         64            NA           NA            NA               64512            8              1024        0.0673548            0.80                 80            91         NA            0.130104        0.259304         4.8e-05  3           0.000375334  4.8e-05  3           0.000817378  NA             NA                 NA            NA        NA            NA       0.130056     8                0.0157113   NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semihonest  replicated-bin  3          90.34         2081               21                 NA            NA            NA            98304         64            NA           NA            NA               96768            8              1536        0.0937574            1.11                 84            91         NA            0.195128        0.38884          4.8e-05  3           0.00043132   4.8e-05  3           0.00133524   NA             NA                 NA            NA        NA            NA       0.19508      8                0.0194218   NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semihonest  replicated-bin  3          121.57        2796               28                 NA            NA            NA            131072        64            NA           NA            NA               129024           8              2048        0.119266             1.48                 154           93         NA            0.260152        0.518376         4.8e-05  3           0.000403527  4.8e-05  3           0.00140123   NA             NA                 NA            NA        NA            NA       0.260104     8                0.0279127   NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semihonest  replicated-bin  3          149.14        3517               35                 NA            NA            NA            163840        64            NA           NA            NA               161280           8              2560        0.151687             1.79                 156           94         NA            0.325176        0.647912         4.8e-05  3           0.00042051   4.8e-05  3           0.000716677  NA             NA                 NA            NA        NA            NA       0.325128     8                0.0318893   NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semihonest  replicated-bin  3          181.98        4176               42                 NA            NA            NA            196608        64            NA           NA            NA               193536           8              3072        0.166538             2.08                 157           94         NA            0.3902          0.777448         4.8e-05  3           0.000436557  4.8e-05  3           0.0003517    NA             NA                 NA            NA        NA            NA       0.390152     8                0.0422549   NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semihonest  replicated-bin  3          211.43        4781               49                 NA            NA            NA            229376        64            NA           NA            NA               225792           8              3584        0.176731             2.36                 171           95         NA            0.455224        0.906984         4.8e-05  3           0.000424073  4.8e-05  3           0.000840203  NA             NA                 NA            NA        NA            NA       0.455176     8                0.0442483   NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semihonest  replicated-bin  3          241.92        5589               56                 NA            NA            NA            262144        64            NA           NA            NA               258048           8              4096        0.201986             2.81                 297           96         NA            0.520248        1.03652          4.8e-05  3           0.000277657  4.8e-05  3           0.000348638  NA             NA                 NA            NA        NA            NA       0.5202       8                0.0504304   NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semihonest  replicated-bin  3          264.61        6200               62                 NA            NA            NA            294912        64            NA           NA            NA               290304           8              4608        0.216275             3.08                 300           96         NA            0.585272        1.16606          4.8e-05  3           0.000476512  4.8e-05  3           0.00091319   NA             NA                 NA            NA        NA            NA       0.585224     8                0.0412886   NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semihonest  replicated-bin  3          303.90        7003               69                 NA            NA            NA            327680        64            NA           NA            NA               322560           8              5120        0.242922             3.41                 301           96         NA            0.650296        1.29559          4.8e-05  3           0.000536583  4.8e-05  3           0.000738689  NA             NA                 NA            NA        NA            NA       0.650248     8                0.0508671   NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
