comp.time(s)  comp.peakRAM(MiB)  bin.filesize(MiB)  datatype  protocol  input_size  preprocess  runtime_internal(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)
2.80          228                1                  1         4         128         0           0.001557s            0.00                 3             57
2.86          231                1                  1         4         128         1           0.001276s            0.00                 3             100
2.81          228                1                  1         4         256         0           0.002152s            0.00                 5             75
2.87          230                1                  1         4         256         1           0.002144s            0.00                 3             85
2.80          227                1                  1         4         384         0           0.003006s            0.00                 3             83
2.87          230                1                  1         4         384         1           0.001899s            0.00                 3             66
2.80          227                1                  1         4         512         0           0.002696s            0.00                 3             71
2.86          230                1                  1         4         512         1           0.002516s            0.00                 4             66
2.81          227                1                  1         4         640         0           0.003743s            0.00                 4             66
2.86          229                1                  1         4         640         1           0.003064s            0.01                 5             80
2.83          226                1                  1         4         768         0           0.004332s            0.01                 5             80
2.87          229                1                  1         4         768         1           0.003105s            0.01                 4             72
2.80          227                1                  1         4         896         0           0.004841s            0.01                 4             70
2.91          231                1                  1         4         896         1           0.003230s            0.01                 4             57
2.80          227                1                  1         4         1024        0           0.005254s            0.01                 4             54
2.87          229                1                  1         4         1024        1           0.004146s            0.01                 4             50
2.81          228                1                  1         4         1152        0           0.005793s            0.01                 7             75
2.86          230                1                  1         4         1152        1           0.003761s            0.01                 4             75
2.80          227                1                  1         4         1280        0           0.005711s            0.01                 5             75
2.87          230                1                  1         4         1280        1           0.004253s            0.01                 4             62
2.80          230                1                  1         4         1408        0           0.006193s            0.01                 4             72
2.87          229                1                  1         4         1408        1           0.004680s            0.01                 4             50
2.82          228                1                  1         4         1536        0           0.005838s            0.00                 4             66
2.87          231                1                  1         4         1536        1           0.004940s            0.01                 4             66
2.80          227                1                  1         4         1664        0           0.007549s            0.01                 6             63
2.88          230                1                  1         4         1664        1           0.005134s            0.01                 4             47
2.81          227                1                  1         4         1792        0           0.007537s            0.01                 5             80
2.87          230                1                  1         4         1792        1           0.005242s            0.01                 4             58
2.80          228                1                  1         4         1920        0           0.007822s            0.01                 4             71
2.87          231                1                  1         4         1920        1           0.004811s            0.02                 4             60
2.80          228                1                  1         4         2048        0           0.008418s            0.01                 4             53
2.89          230                1                  1         4         2048        1           0.005103s            0.01                 4             70
2.80          227                1                  1         4         2176        0           0.007971s            0.01                 4             50
2.86          229                1                  1         4         2176        1           0.006724s            0.01                 4             55
2.80          227                1                  1         4         2304        0           0.008813s            0.01                 4             53
2.87          229                1                  1         4         2304        1           0.006628s            0.01                 4             63
2.80          228                1                  1         4         2432        0           0.009725s            0.01                 6             68
2.89          229                1                  1         4         2432        1           0.006575s            0.02                 6             52
2.81          227                1                  1         4         2560        0           0.010450s            0.01                 4             62
2.86          229                1                  1         4         2560        1           0.007269s            0.02                 4             56
2.80          227                1                  1         4         2688        0           0.010174s            0.01                 4             70
2.89          230                1                  1         4         2688        1           0.006021s            0.02                 4             55
2.80          228                1                  1         4         2816        0           0.011032s            0.02                 4             68
2.86          231                1                  1         4         2816        1           0.007401s            0.02                 4             60
2.79          227                1                  1         4         2944        0           0.011309s            0.01                 6             68
2.87          230                1                  1         4         2944        1           0.007056s            0.02                 4             65
2.81          227                1                  1         4         3072        0           0.012466s            0.02                 6             71
2.88          230                1                  1         4         3072        1           0.007629s            0.02                 6             62
2.81          228                1                  1         4         3200        0           0.011514s            0.01                 4             73
2.86          231                1                  1         4         3200        1           0.008334s            0.02                 4             47
2.81          227                1                  1         4         3328        0           0.011601s            0.02                 6             75
2.88          229                1                  1         4         3328        1           0.008219s            0.02                 5             60
2.79          226                1                  1         4         3456        0           0.012198s            0.02                 4             62
2.87          230                1                  1         4         3456        1           0.008515s            0.02                 5             61
2.80          227                1                  1         4         3584        0           0.013779s            0.02                 4             54
2.87          230                1                  1         4         3584        1           0.008844s            0.03                 5             56
2.79          228                1                  1         4         3712        0           0.014721s            0.02                 4             65
2.86          230                1                  1         4         3712        1           0.009246s            0.02                 5             61
2.82          228                1                  1         4         3840        0           0.014650s            0.02                 6             69
2.86          231                1                  1         4         3840        1           0.009263s            0.02                 5             57
2.80          227                1                  1         4         3968        0           0.014791s            0.02                 5             63
2.86          229                1                  1         4         3968        1           0.008303s            0.02                 6             62
2.80          228                1                  1         4         4096        0           0.015299s            0.02                 6             62
2.88          229                1                  1         4         4096        1           0.010090s            0.03                 5             60
2.87          231                1                  8         4         128         0           0.001483s            0.00                 4             85
2.92          232                1                  8         4         128         1           0.001500s            0.00                 3             83
2.87          231                1                  8         4         256         0           0.002090s            0.00                 3             55
2.93          232                1                  8         4         256         1           0.001547s            0.01                 3             58
2.88          230                1                  8         4         384         0           0.002459s            0.01                 4             50
2.94          231                1                  8         4         384         1           0.001288s            0.01                 3             60
2.86          229                1                  8         4         512         0           0.003194s            0.00                 4             85
2.93          231                1                  8         4         512         1           0.002373s            0.00                 4             71
2.87          229                1                  8         4         640         0           0.004077s            0.01                 5             66
2.93          232                1                  8         4         640         1           0.002966s            0.01                 5             53
2.86          231                1                  8         4         768         0           0.003918s            0.01                 4             50
2.92          232                1                  8         4         768         1           0.002403s            0.01                 4             57
2.87          231                1                  8         4         896         0           0.004619s            0.00                 4             77
2.92          231                1                  8         4         896         1           0.002948s            0.01                 4             66
2.87          231                1                  8         4         1024        0           0.004507s            0.00                 4             77
2.92          231                1                  8         4         1024        1           0.003311s            0.01                 5             76
2.87          229                1                  8         4         1152        0           0.005075s            0.01                 5             72
2.94          232                1                  8         4         1152        1           0.003024s            0.01                 6             72
2.88          230                1                  8         4         1280        0           0.005351s            0.01                 4             72
2.92          232                1                  8         4         1280        1           0.002899s            0.01                 4             75
2.87          230                1                  8         4         1408        0           0.005728s            0.01                 4             72
2.93          231                1                  8         4         1408        1           0.003848s            0.01                 4             66
2.86          231                1                  8         4         1536        0           0.006273s            0.01                 5             66
2.93          231                1                  8         4         1536        1           0.003692s            0.01                 4             72
2.87          230                1                  8         4         1664        0           0.006982s            0.01                 4             61
2.93          232                1                  8         4         1664        1           0.004509s            0.01                 4             80
2.87          231                1                  8         4         1792        0           0.006868s            0.01                 6             76
2.93          231                1                  8         4         1792        1           0.004211s            0.01                 4             75
2.88          230                1                  8         4         1920        0           0.007615s            0.01                 4             68
2.92          232                1                  8         4         1920        1           0.004514s            0.01                 4             66
2.87          230                1                  8         4         2048        0           0.007928s            0.01                 6             75
2.92          231                1                  8         4         2048        1           0.004546s            0.01                 4             61
2.86          230                1                  8         4         2176        0           0.009329s            0.01                 4             66
2.93          231                1                  8         4         2176        1           0.004673s            0.01                 4             63
2.87          230                1                  8         4         2304        0           0.008876s            0.01                 6             66
2.93          232                1                  8         4         2304        1           0.005701s            0.01                 4             60
2.88          231                1                  8         4         2432        0           0.008910s            0.02                 4             60
2.97          231                1                  8         4         2432        1           0.004979s            0.01                 4             73
2.88          229                1                  8         4         2560        0           0.009472s            0.01                 6             72
2.93          231                1                  8         4         2560        1           0.005528s            0.01                 5             52
2.85          231                1                  8         4         2688        0           0.009853s            0.01                 6             72
2.92          232                1                  8         4         2688        1           0.006213s            0.02                 4             50
2.86          232                1                  8         4         2816        0           0.009935s            0.02                 10            61
2.94          232                1                  8         4         2816        1           0.005240s            0.02                 5             60
2.86          231                1                  8         4         2944        0           0.010337s            0.01                 4             73
2.94          232                1                  8         4         2944        1           0.005921s            0.02                 6             69
2.86          231                1                  8         4         3072        0           0.010279s            0.01                 4             76
2.93          231                1                  8         4         3072        1           0.006322s            0.02                 6             57
2.87          231                1                  8         4         3200        0           0.010909s            0.02                 6             70
2.93          232                1                  8         4         3200        1           0.006659s            0.02                 6             69
2.90          230                1                  8         4         3328        0           0.011103s            0.02                 5             44
2.92          231                1                  8         4         3328        1           0.006293s            0.02                 5             57
2.87          230                1                  8         4         3456        0           0.012068s            0.02                 8             75
2.93          231                1                  8         4         3456        1           0.005967s            0.02                 6             66
2.87          231                1                  8         4         3584        0           0.010738s            0.02                 6             65
2.93          232                1                  8         4         3584        1           0.006776s            0.02                 5             66
2.86          231                1                  8         4         3712        0           0.011776s            0.02                 5             56
2.96          232                1                  8         4         3712        1           0.007356s            0.02                 6             52
2.89          231                1                  8         4         3840        0           0.012682s            0.02                 5             66
2.93          231                1                  8         4         3840        1           0.007784s            0.02                 5             62
2.86          231                1                  8         4         3968        0           0.012848s            0.02                 5             57
2.93          231                1                  8         4         3968        1           0.007571s            0.02                 7             67
2.86          230                1                  8         4         4096        0           0.014051s            0.02                 5             67
2.93          232                1                  8         4         4096        1           0.007473s            0.02                 5             66
2.97          232                1                  64        4         128         0           0.003276s            0.00                 4             71
3.02          232                1                  64        4         128         1           0.002401s            0.00                 4             71
2.96          231                1                  64        4         256         0           0.005320s            0.01                 6             57
3.03          233                1                  64        4         256         1           0.003515s            0.01                 6             75
2.97          231                1                  64        4         384         0           0.007294s            0.01                 4             57
3.04          232                1                  64        4         384         1           0.003926s            0.02                 6             57
2.97          230                1                  64        4         512         0           0.009449s            0.01                 5             50
2.98          231                1                  64        4         512         1           0.005107s            0.01                 7             56
3.02          231                1                  64        4         640         0           0.010500s            0.01                 7             55
3.02          233                1                  64        4         640         1           0.005946s            0.02                 7             44
2.97          231                1                  64        4         768         0           0.013037s            0.02                 6             45
3.02          233                1                  64        4         768         1           0.006330s            0.02                 6             52
2.98          230                1                  64        4         896         0           0.014358s            0.02                 6             50
3.03          232                1                  64        4         896         1           0.007650s            0.02                 6             50
2.99          231                1                  64        4         1024        0           0.016368s            0.03                 6             45
3.02          235                1                  64        4         1024        1           0.008761s            0.03                 7             45
2.97          231                1                  64        4         1152        0           0.018318s            0.02                 7             48
3.03          232                1                  64        4         1152        1           0.009791s            0.03                 7             48
2.96          230                1                  64        4         1280        0           0.019746s            0.02                 7             51
3.03          233                1                  64        4         1280        1           0.010237s            0.03                 8             52
2.97          230                1                  64        4         1408        0           0.021276s            0.03                 7             41
3.05          231                1                  64        4         1408        1           0.012056s            0.04                 8             46
2.97          231                1                  64        4         1536        0           0.023049s            0.03                 10            51
3.02          234                1                  64        4         1536        1           0.011510s            0.04                 9             47
2.97          231                1                  64        4         1664        0           0.024944s            0.03                 8             41
3.03          232                1                  64        4         1664        1           0.011641s            0.04                 10            45
2.96          231                1                  64        4         1792        0           0.026881s            0.04                 9             47
3.02          231                1                  64        4         1792        1           0.013027s            0.04                 9             37
2.97          232                1                  64        4         1920        0           0.028635s            0.04                 9             45
3.03          232                1                  64        4         1920        1           0.013258s            0.04                 10            48
2.96          231                1                  64        4         2048        0           0.031120s            0.04                 11            47
3.02          232                1                  64        4         2048        1           0.016003s            0.05                 10            38
2.99          231                1                  64        4         2176        0           0.032771s            0.04                 10            45
3.02          231                1                  64        4         2176        1           0.016060s            0.05                 11            37
2.98          230                1                  64        4         2304        0           0.034441s            0.05                 12            47
3.02          232                1                  64        4         2304        1           0.020873s            0.06                 11            41
2.97          231                1                  64        4         2432        0           0.036230s            0.05                 10            38
3.04          233                1                  64        4         2432        1           0.018764s            0.06                 12            43
2.97          232                1                  64        4         2560        0           0.038541s            0.06                 11            43
3.02          233                1                  64        4         2560        1           0.017968s            0.06                 12            39
2.97          231                1                  64        4         2688        0           0.039688s            0.05                 11            44
3.04          233                1                  64        4         2688        1           0.019527s            0.06                 12            39
2.99          230                1                  64        4         2816        0           0.041404s            0.05                 13            47
3.03          231                1                  64        4         2816        1           0.019859s            0.06                 13            37
2.96          231                1                  64        4         2944        0           0.042979s            0.06                 14            45
3.03          232                1                  64        4         2944        1           0.020428s            0.07                 13            43
2.98          230                1                  64        4         3072        0           0.044832s            0.06                 12            47
3.03          231                1                  64        4         3072        1           0.022717s            0.07                 14            39
2.96          231                1                  64        4         3200        0           0.047015s            0.06                 15            45
3.04          232                1                  64        4         3200        1           0.021934s            0.07                 14            40
2.97          230                1                  64        4         3328        0           0.048489s            0.07                 13            48
3.03          233                1                  64        4         3328        1           0.024648s            0.07                 15            37
2.97          231                1                  64        4         3456        0           0.050198s            0.07                 13            45
3.04          232                1                  64        4         3456        1           0.024400s            0.08                 15            41
2.99          230                1                  64        4         3584        0           0.052169s            0.07                 16            47
3.04          232                1                  64        4         3584        1           0.026474s            0.09                 16            38
2.97          231                1                  64        4         3712        0           0.054509s            0.08                 14            37
3.02          231                1                  64        4         3712        1           0.027128s            0.09                 16            42
2.97          231                1                  64        4         3840        0           0.055689s            0.07                 14            44
3.03          232                1                  64        4         3840        1           0.025627s            0.08                 16            42
2.96          230                1                  64        4         3968        0           0.057668s            0.08                 15            45
3.02          231                1                  64        4         3968        1           0.027147s            0.09                 17            37
2.98          232                1                  64        4         4096        0           0.060067s            0.08                 15            44
3.02          232                1                  64        4         4096        1           0.027796s            0.09                 17            41
2.98          234                1                  128       4         128         0           0.004961s            0.02                 4             55
3.04          235                1                  128       4         128         1           0.003286s            0.01                 4             63
2.98          235                1                  128       4         256         0           0.009020s            0.01                 5             50
3.04          236                1                  128       4         256         1           0.005624s            0.02                 5             42
2.98          234                1                  128       4         384         0           0.012400s            0.01                 7             50
3.05          235                1                  128       4         384         1           0.006700s            0.02                 6             40
2.99          235                1                  128       4         512         0           0.015149s            0.02                 8             50
3.05          236                1                  128       4         512         1           0.008634s            0.03                 8             47
2.99          233                1                  128       4         640         0           0.018824s            0.02                 7             40
3.05          235                1                  128       4         640         1           0.011095s            0.03                 9             47
3.01          233                1                  128       4         768         0           0.022640s            0.03                 10            47
3.05          235                1                  128       4         768         1           0.012028s            0.03                 10            41
2.98          233                1                  128       4         896         0           0.026472s            0.03                 11            43
3.05          236                1                  128       4         896         1           0.013323s            0.04                 10            42
2.97          233                1                  128       4         1024        0           0.030041s            0.03                 9             38
3.05          236                1                  128       4         1024        1           0.014775s            0.05                 10            42
2.98          234                1                  128       4         1152        0           0.034027s            0.05                 10            39
3.04          235                1                  128       4         1152        1           0.016333s            0.06                 11            38
2.99          234                1                  128       4         1280        0           0.037420s            0.06                 12            40
3.04          234                1                  128       4         1280        1           0.017308s            0.05                 13            36
2.99          237                1                  128       4         1408        0           0.041269s            0.05                 12            37
3.04          236                1                  128       4         1408        1           0.021494s            0.07                 13            37
2.97          235                1                  128       4         1536        0           0.044159s            0.06                 14            41
3.03          235                1                  128       4         1536        1           0.022551s            0.08                 14            37
2.99          234                1                  128       4         1664        0           0.047904s            0.06                 13            42
3.08          235                1                  128       4         1664        1           0.022379s            0.07                 15            39
2.99          234                1                  128       4         1792        0           0.051833s            0.07                 14            43
3.04          235                1                  128       4         1792        1           0.027238s            0.08                 16            38
2.98          234                1                  128       4         1920        0           0.055071s            0.08                 16            41
3.05          236                1                  128       4         1920        1           0.026597s            0.08                 16            38
2.99          234                1                  128       4         2048        0           0.059384s            0.07                 15            34
3.07          234                1                  128       4         2048        1           0.028085s            0.09                 17            38
2.98          233                1                  128       4         2176        0           0.062625s            0.08                 16            40
3.07          235                1                  128       4         2176        1           0.028805s            0.09                 18            32
