comp.time(s);comp.peakRAM(MiB);bin.filesize(MiB);datatype;protocol;input_size;preprocess;runtime_chrono(s);runtime_external(s);peakRAM(MiB);jobCPU(%)
2.80;228;1;1;4;128;0;0.001557;0.00;3;57
2.86;231;1;1;4;128;1;0.001276;0.00;3;100
2.81;228;1;1;4;256;0;0.002152;0.00;5;75
2.87;230;1;1;4;256;1;0.002144;0.00;3;85
2.80;227;1;1;4;384;0;0.003006;0.00;3;83
2.87;230;1;1;4;384;1;0.001899;0.00;3;66
2.80;227;1;1;4;512;0;0.002696;0.00;3;71
2.86;230;1;1;4;512;1;0.002516;0.00;4;66
2.81;227;1;1;4;640;0;0.003743;0.00;4;66
2.86;229;1;1;4;640;1;0.003064;0.01;5;80
2.83;226;1;1;4;768;0;0.004332;0.01;5;80
2.87;229;1;1;4;768;1;0.003105;0.01;4;72
2.80;227;1;1;4;896;0;0.004841;0.01;4;70
2.91;231;1;1;4;896;1;0.003230;0.01;4;57
2.80;227;1;1;4;1024;0;0.005254;0.01;4;54
2.87;229;1;1;4;1024;1;0.004146;0.01;4;50
2.81;228;1;1;4;1152;0;0.005793;0.01;7;75
2.86;230;1;1;4;1152;1;0.003761;0.01;4;75
2.80;227;1;1;4;1280;0;0.005711;0.01;5;75
2.87;230;1;1;4;1280;1;0.004253;0.01;4;62
2.80;230;1;1;4;1408;0;0.006193;0.01;4;72
2.87;229;1;1;4;1408;1;0.004680;0.01;4;50
2.82;228;1;1;4;1536;0;0.005838;0.00;4;66
2.87;231;1;1;4;1536;1;0.004940;0.01;4;66
2.80;227;1;1;4;1664;0;0.007549;0.01;6;63
2.88;230;1;1;4;1664;1;0.005134;0.01;4;47
2.81;227;1;1;4;1792;0;0.007537;0.01;5;80
2.87;230;1;1;4;1792;1;0.005242;0.01;4;58
2.80;228;1;1;4;1920;0;0.007822;0.01;4;71
2.87;231;1;1;4;1920;1;0.004811;0.02;4;60
2.80;228;1;1;4;2048;0;0.008418;0.01;4;53
2.89;230;1;1;4;2048;1;0.005103;0.01;4;70
2.80;227;1;1;4;2176;0;0.007971;0.01;4;50
2.86;229;1;1;4;2176;1;0.006724;0.01;4;55
2.80;227;1;1;4;2304;0;0.008813;0.01;4;53
2.87;229;1;1;4;2304;1;0.006628;0.01;4;63
2.80;228;1;1;4;2432;0;0.009725;0.01;6;68
2.89;229;1;1;4;2432;1;0.006575;0.02;6;52
2.81;227;1;1;4;2560;0;0.010450;0.01;4;62
2.86;229;1;1;4;2560;1;0.007269;0.02;4;56
2.80;227;1;1;4;2688;0;0.010174;0.01;4;70
2.89;230;1;1;4;2688;1;0.006021;0.02;4;55
2.80;228;1;1;4;2816;0;0.011032;0.02;4;68
2.86;231;1;1;4;2816;1;0.007401;0.02;4;60
2.79;227;1;1;4;2944;0;0.011309;0.01;6;68
2.87;230;1;1;4;2944;1;0.007056;0.02;4;65
2.81;227;1;1;4;3072;0;0.012466;0.02;6;71
2.88;230;1;1;4;3072;1;0.007629;0.02;6;62
2.81;228;1;1;4;3200;0;0.011514;0.01;4;73
2.86;231;1;1;4;3200;1;0.008334;0.02;4;47
2.81;227;1;1;4;3328;0;0.011601;0.02;6;75
2.88;229;1;1;4;3328;1;0.008219;0.02;5;60
2.79;226;1;1;4;3456;0;0.012198;0.02;4;62
2.87;230;1;1;4;3456;1;0.008515;0.02;5;61
2.80;227;1;1;4;3584;0;0.013779;0.02;4;54
2.87;230;1;1;4;3584;1;0.008844;0.03;5;56
2.79;228;1;1;4;3712;0;0.014721;0.02;4;65
2.86;230;1;1;4;3712;1;0.009246;0.02;5;61
2.82;228;1;1;4;3840;0;0.014650;0.02;6;69
2.86;231;1;1;4;3840;1;0.009263;0.02;5;57
2.80;227;1;1;4;3968;0;0.014791;0.02;5;63
2.86;229;1;1;4;3968;1;0.008303;0.02;6;62
2.80;228;1;1;4;4096;0;0.015299;0.02;6;62
2.88;229;1;1;4;4096;1;0.010090;0.03;5;60
2.87;231;1;8;4;128;0;0.001483;0.00;4;85
2.92;232;1;8;4;128;1;0.001500;0.00;3;83
2.87;231;1;8;4;256;0;0.002090;0.00;3;55
2.93;232;1;8;4;256;1;0.001547;0.01;3;58
2.88;230;1;8;4;384;0;0.002459;0.01;4;50
2.94;231;1;8;4;384;1;0.001288;0.01;3;60
2.86;229;1;8;4;512;0;0.003194;0.00;4;85
2.93;231;1;8;4;512;1;0.002373;0.00;4;71
2.87;229;1;8;4;640;0;0.004077;0.01;5;66
2.93;232;1;8;4;640;1;0.002966;0.01;5;53
2.86;231;1;8;4;768;0;0.003918;0.01;4;50
2.92;232;1;8;4;768;1;0.002403;0.01;4;57
2.87;231;1;8;4;896;0;0.004619;0.00;4;77
2.92;231;1;8;4;896;1;0.002948;0.01;4;66
2.87;231;1;8;4;1024;0;0.004507;0.00;4;77
2.92;231;1;8;4;1024;1;0.003311;0.01;5;76
2.87;229;1;8;4;1152;0;0.005075;0.01;5;72
2.94;232;1;8;4;1152;1;0.003024;0.01;6;72
2.88;230;1;8;4;1280;0;0.005351;0.01;4;72
2.92;232;1;8;4;1280;1;0.002899;0.01;4;75
2.87;230;1;8;4;1408;0;0.005728;0.01;4;72
2.93;231;1;8;4;1408;1;0.003848;0.01;4;66
2.86;231;1;8;4;1536;0;0.006273;0.01;5;66
2.93;231;1;8;4;1536;1;0.003692;0.01;4;72
2.87;230;1;8;4;1664;0;0.006982;0.01;4;61
2.93;232;1;8;4;1664;1;0.004509;0.01;4;80
2.87;231;1;8;4;1792;0;0.006868;0.01;6;76
2.93;231;1;8;4;1792;1;0.004211;0.01;4;75
2.88;230;1;8;4;1920;0;0.007615;0.01;4;68
2.92;232;1;8;4;1920;1;0.004514;0.01;4;66
2.87;230;1;8;4;2048;0;0.007928;0.01;6;75
2.92;231;1;8;4;2048;1;0.004546;0.01;4;61
2.86;230;1;8;4;2176;0;0.009329;0.01;4;66
2.93;231;1;8;4;2176;1;0.004673;0.01;4;63
2.87;230;1;8;4;2304;0;0.008876;0.01;6;66
2.93;232;1;8;4;2304;1;0.005701;0.01;4;60
2.88;231;1;8;4;2432;0;0.008910;0.02;4;60
2.97;231;1;8;4;2432;1;0.004979;0.01;4;73
2.88;229;1;8;4;2560;0;0.009472;0.01;6;72
2.93;231;1;8;4;2560;1;0.005528;0.01;5;52
2.85;231;1;8;4;2688;0;0.009853;0.01;6;72
2.92;232;1;8;4;2688;1;0.006213;0.02;4;50
2.86;232;1;8;4;2816;0;0.009935;0.02;10;61
2.94;232;1;8;4;2816;1;0.005240;0.02;5;60
