comp.time(s);comp.peakRAM(MiB);bin.filesize(MiB);datatype;optshare;packbool;protocol;input_size;preprocess;splitroles;inittime(s);preproc(s);runtime_clock(s);runtime_getTime(s);runtime_chrono(s);runtime_external(s);peakRAM(MiB);jobCPU(%)
3.03;232;1;8;1;0;1;4096;0;0;0.003021;NA;0.014069;0.012933;0.012932;0.03;5;90
2.99;232;1;8;1;0;2;4096;0;0;0.005207;NA;0.013978;0.015649;0.015648;0.02;6;92
2.92;230;1;8;1;0;3;4096;0;0;0.003801;NA;0.008399;0.013633;0.013632;0.02;5;72
2.92;231;1;8;1;0;4;4096;0;0;0.002652;NA;0.006493;0.009745;0.009744;0.03;6;76
2.93;231;1;8;1;0;5;4096;0;0;0.003111;NA;0.008050;0.010826;0.010824;0.02;5;80
2.91;230;1;8;1;0;6;4096;0;0;0.002073;NA;0.003807;0.003887;0.003886;0.01;5;100
3.14;237;1;64;1;0;1;4096;0;0;0.003918;NA;0.024935;0.020240;0.020239;0.04;19;106
3.11;234;1;64;1;0;2;4096;0;0;0.007772;NA;0.027568;0.028961;0.028960;0.05;25;96
3.01;230;1;64;1;0;3;4096;0;0;0.005445;NA;0.014641;0.024377;0.024376;0.04;15;73
3.03;231;1;64;1;0;4;4096;0;0;0.005660;NA;0.016285;0.022854;0.022853;0.04;15;85
3.03;232;1;64;1;0;5;4096;0;0;0.006651;NA;0.018946;0.025793;0.025792;0.05;17;88
3.06;232;1;64;1;0;6;4096;0;0;0.002948;NA;0.008801;0.010501;0.010500;0.03;13;86
