comp.time(s)  comp.peakRAM(MiB)  bin.filesize(MiB)  datatype  optshare  packbool  protocol  latencies(ms)  bandwidths(Mbs)  input_size  preprocess  splitroles  inittime(s)  preproc(s)  runtime_clock(s)  runtime_getTime(s)  runtime_chrono(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)
3.06          235                1                  256       1         0         1         1              1000             1024        0           0           0.002119     NA          0.024018          0.062036            0.062035           0.09                 19            52
1.76          200                1                  256       1         0         1         1              1000             2048...     0           0           0.002247     NA          0.023567          0.054632            0.054631           0.07                 19            58
3.05          235                1                  256       1         0         1         1              1000             8192        0           0           0.012956     NA          0.175523          0.378650            0.378649           0.48                 131           57
3.05          234                1                  256       1         0         1         1              800              1024        0           0           0.002089     NA          0.020701          0.057160            0.057159           0.08                 19            52
1.76          201                1                  256       1         0         1         1              800              2048...     0           0           0.002063     NA          0.022450          0.061221            0.061220           0.08                 19            48
3.05          234                1                  256       1         0         1         1              800              8192        0           0           0.012950     NA          0.174282          0.476761            0.476760           0.57                 131           47
3.06          235                1                  256       1         0         1         1              600              1024        0           0           0.002163     NA          0.022537          0.074765            0.074763           0.10                 19            45
1.77          201                1                  256       1         0         1         1              600              2048...     0           0           0.002258     NA          0.026872          0.072397            0.072396           0.09                 19            50
3.05          235                1                  256       1         0         1         1              600              8192        0           0           0.012942     NA          0.182143          0.580578            0.580577           0.68                 132           41
3.06          235                1                  256       1         0         1         1              400              1024        0           0           0.002007     NA          0.026901          0.109929            0.109928           0.13                 19            36
1.76          202                1                  256       1         0         1         1              400              2048...     0           0           0.002170     NA          0.027509          0.101436            0.101435           0.12                 19            39
3.06          235                1                  256       1         0         1         1              400              8192        0           0           0.012880     NA          0.199613          0.961582            0.961581           1.06                 130           28
3.05          234                1                  256       1         0         1         1              200              1024        0           0           0.002254     NA          0.034129          0.207585            0.207584           0.23                 21            24
1.76          201                1                  256       1         0         1         1              200              2048...     0           0           0.001961     NA          0.036136          0.364548            0.364547           0.39                 19            14
3.09          235                1                  256       1         0         1         1              200              8192        0           0           0.012657     NA          0.268974          1.503268            1.503266           1.60                 130           23
3.07          234                1                  256       1         0         1         1              100              1024        0           0           0.002293     NA          0.046489          0.355871            0.355870           0.37                 19            17
1.75          202                1                  256       1         0         1         1              100              2048...     0           0           0.002093     NA          0.045063          0.407459            0.407457           0.43                 19            15
3.06          235                1                  256       1         0         1         1              100              8192        0           0           0.013137     NA          0.341837          2.957155            2.957154           3.06                 131           14
3.07          234                1                  256       1         0         1         1              80               1024        0           0           0.002162     NA          0.052655          0.443200            0.443199           0.47                 19            16
1.77          200                1                  256       1         0         1         1              80               2048...     0           0           0.002245     NA          0.057603          0.451931            0.451930           0.47                 19            16
3.07          235                1                  256       1         0         1         1              80               8192        0           0           0.012697     NA          0.310190          3.804573            3.804572           3.91                 130           10
3.05          235                1                  256       1         0         1         1              60               1024        0           0           0.002041     NA          0.049555          0.643545            0.643544           0.67                 19            10
1.77          200                1                  256       1         0         1         1              60               2048...     0           0           0.002228     NA          0.054926          0.665556            0.665555           0.69                 23            11
3.05          234                1                  256       1         0         1         1              60               8192        0           0           0.012762     NA          0.384837          5.092278            5.092277           5.18                 131           9
3.06          235                1                  256       1         0         1         1              40               1024        0           0           0.002137     NA          0.073383          1.019560            1.019559           1.04                 21            9
1.76          200                1                  256       1         0         1         1              40               2048...     0           0           0.001998     NA          0.062639          1.016202            1.016201           1.03                 19            7
3.05          234                1                  256       1         0         1         1              40               8192        0           0           0.012919     NA          0.526722          7.329082            7.329081           7.43                 130           8
3.06          239                1                  256       1         0         1         1              30               1024        0           0           0.002203     NA          0.071042          1.173634            1.173633           1.19                 19            7
1.76          202                1                  256       1         0         1         1              30               2048...     0           0           0.002191     NA          0.072324          1.184421            1.184420           1.20                 19            7
3.07          233                1                  256       1         0         1         1              30               8192        0           0           0.013029     NA          0.470720          9.655394            9.655393           9.75                 131           5
3.09          234                1                  256       1         0         1         1              20               1024        0           0           0.002037     NA          0.096438          1.760101            1.760100           1.79                 19            6
1.75          201                1                  256       1         0         1         1              20               2048...     0           0           0.002262     NA          0.104201          1.745133            1.745132           1.76                 19            7
3.07          234                1                  256       1         0         1         1              20               8192        0           0           0.012902     NA          0.594919          15.377147           15.377146          15.47                131           4
3.08          235                1                  256       1         0         1         5              1000             1024        0           0           0.002071     NA          0.023049          0.062142            0.062141           0.08                 19            50
1.75          201                1                  256       1         0         1         5              1000             2048...     0           0           0.002248     NA          0.024882          0.054764            0.054763           0.07                 19            60
3.06          234                1                  256       1         0         1         5              1000             8192        0           0           0.012688     NA          0.171221          0.401987            0.401986           0.50                 130           52
3.05          235                1                  256       1         0         1         5              800              1024        0           0           0.002261     NA          0.025336          0.062289            0.062287           0.08                 21            56
1.75          201                1                  256       1         0         1         5              800              2048...     0           0           0.002122     NA          0.021194          0.059153            0.059152           0.08                 19            50
3.05          234                1                  256       1         0         1         5              800              8192        0           0           0.013135     NA          0.185110          0.475407            0.475406           0.57                 130           49
3.07          234                1                  256       1         0         1         5              600              1024        0           0           0.002287     NA          0.025195          0.073690            0.073689           0.09                 19            48
1.77          200                1                  256       1         0         1         5              600              2048...     0           0           0.002281     NA          0.026038          0.069929            0.069928           0.09                 19            51
3.05          234                1                  256       1         0         1         5              600              8192        0           0           0.012768     NA          0.181481          0.575861            0.575860           0.67                 130           40
3.06          234                1                  256       1         0         1         5              400              1024        0           0           0.002198     NA          0.026507          0.106940            0.106939           0.12                 19            36
1.76          201                1                  256       1         0         1         5              400              2048...     0           0           0.002108     NA          0.028680          0.105067            0.105066           0.13                 23            39
3.06          234                1                  256       1         0         1         5              400              8192        0           0           0.013004     NA          0.207383          0.764694            0.764693           0.86                 130           35
3.07          235                1                  256       1         0         1         5              200              1024        0           0           0.002276     NA          0.036674          0.183495            0.183494           0.20                 21            28
1.77          200                1                  256       1         0         1         5              200              2048...     0           0           0.002295     NA          0.034089          0.196265            0.196263           0.21                 19            25
3.07          235                1                  256       1         0         1         5              200              8192        0           0           0.012956     NA          0.247767          1.549560            1.549559           1.65                 131           21
3.06          235                1                  256       1         0         1         5              100              1024        0           0           0.002332     NA          0.045183          0.415320            0.415319           0.43                 19            14
1.75          202                1                  256       1         0         1         5              100              2048...     0           0           0.002276     NA          0.045490          0.410735            0.410734           0.43                 19            15
3.06          234                1                  256       1         0         1         5              100              8192        0           0           0.012966     NA          0.291837          3.025008            3.025007           3.13                 130           12
3.06          234                1                  256       1         0         1         5              80               1024        0           0           0.002008     NA          0.053982          0.436079            0.436078           0.46                 19            16
1.76          202                1                  256       1         0         1         5              80               2048...     0           0           0.001994     NA          0.043578          0.506101            0.506100           0.53                 19            12
3.06          233                1                  256       1         0         1         5              80               8192        0           0           0.012758     NA          0.367471          4.259245            4.259244           4.36                 130           10
3.04          234                1                  256       1         0         1         5              60               1024        0           0           0.002161     NA          0.058369          0.580030            0.580029           0.60                 19            13
