comp.time(s);comp.peakRAM(MiB);bin.filesize(MiB);ssl;datatype;optshare;packbool;protocol;input_size;preprocess;splitroles;inittime(s);preproc(s);runtime_clock(s);runtime_getTime(s);runtime_chrono(s);runtime_external(s);peakRAM(MiB);jobCPU(%)
1.56;211;1;0;8;1;0;4;1024;0;0;0.000400;NA;0.001677;0.001827;0.001826;0.01;4;44
0.01;3;1;0;8;1;0;4;1024;0;1;.000074;NA;.000613;.000432;.000432;0.01;4;325
1.39;216;1;0;8;1;0;4;10240;0;0;0.003643;NA;0.008778;0.014526;0.014526;0.02;6;58
0.01;3;1;0;8;1;0;4;10240;0;1;.000743;NA;.001287;.001772;.001772;0.03;8;346
1.55;212;1;0;8;1;0;4;102400;0;0;0.023456;NA;0.050920;0.107707;0.107706;0.19;34;44
0.01;3;1;0;8;1;0;4;102400;0;1;.006279;NA;.012529;.017468;.017468;0.20;47;387
1.51;212;1;0;8;1;0;5;1024;0;0;0.001072;NA;0.002611;0.004647;0.004646;0.01;4;62
0.01;3;1;0;8;1;0;5;1024;0;1;.000076;NA;.000530;.000827;.000827;0.02;4;250
1.64;211;1;0;8;1;0;5;10240;0;0;0.004146;NA;0.011929;0.015959;0.015958;0.03;7;67
0.01;3;1;0;8;1;0;5;10240;0;1;.000724;NA;.001530;.002101;.002101;0.03;8;390
1.59;212;1;0;8;1;0;5;102400;0;0;0.038462;NA;0.093427;0.167943;0.167942;0.25;41;59
0.01;3;1;0;8;1;0;5;102400;0;1;.006325;NA;.016303;.023677;.023676;0.22;47;425
1.43;212;1;0;64;1;0;4;1024;0;0;0.000426;NA;0.002688;0.007161;0.007160;0.01;6;44
0.01;3;1;0;64;1;0;4;1024;0;1;.000083;NA;.000859;.000799;.000799;0.01;7;366
1.46;212;1;0;64;1;0;4;10240;0;0;0.003965;NA;0.018472;0.047083;0.047082;0.06;28;50
0.01;3;1;0;64;1;0;4;10240;0;1;.000717;NA;.004911;.006865;.006865;0.07;38;384
1.45;211;1;0;64;1;0;4;102400;0;0;0.035633;NA;0.217197;0.430481;0.430480;0.55;252;59
0.01;3;1;0;64;1;0;4;102400;0;1;.006149;NA;.054493;.074927;.074927;0.60;350;434
1.45;210;1;0;64;1;0;5;1024;0;0;0.000444;NA;0.003428;0.007371;0.007370;0.02;6;41
0.01;3;1;0;64;1;0;5;1024;0;1;.000071;NA;.000522;.000913;.000913;0.02;7;266
1.79;212;1;0;64;1;0;5;10240;0;0;0.003855;NA;0.020575;0.048785;0.048784;0.07;33;48
0.01;3;1;0;64;1;0;5;10240;0;1;.000707;NA;.006092;.007569;.007569;0.07;38;467
1.44;211;1;0;64;1;0;5;102400;0;0;0.039225;NA;0.326294;0.496658;0.496657;0.61;302;71
0.01;3;1;0;64;1;0;5;102400;0;1;.006684;NA;.060028;.079166;.079166;0.61;351;465
1.71;215;1;0;128;1;0;4;1024;0;0;0.000418;NA;0.006047;0.011809;0.011808;0.03;8;46
0.01;3;1;0;128;1;0;4;1024;0;1;.000075;NA;.001203;.001610;.001610;0.02;10;329
1.61;214;1;0;128;1;0;4;10240;0;0;0.003743;NA;0.050902;0.075378;0.075377;0.10;53;71
0.01;3;1;0;128;1;0;4;10240;0;1;.000628;NA;.008979;.012585;.012585;0.10;73;425
1.40;214;1;0;128;1;0;4;102400;0;0;0.036620;NA;0.361058;0.630859;0.630858;0.84;500;62
0.01;3;1;0;128;1;0;4;102400;0;1;.006686;NA;.088479;.113508;.113508;0.93;697;457
1.59;215;1;0;128;1;0;5;1024;0;0;0.000453;NA;0.007398;0.011163;0.011162;0.02;9;60
0.01;3;1;0;128;1;0;5;1024;0;1;.000078;NA;.001033;.001586;.001586;0.03;10;248
1.45;215;1;0;128;1;0;5;10240;0;0;0.004139;NA;0.059061;0.084488;0.084488;0.11;63;75
0.01;3;1;0;128;1;0;5;10240;0;1;.000628;NA;.011307;.013922;.013922;0.12;73;454
1.63;215;1;0;128;1;0;5;102400;0;0;0.037466;NA;0.566668;0.744621;0.744619;0.95;602;76
0.01;3;1;0;128;1;0;5;102400;0;1;.005741;NA;.091045;.120444;.120444;0.94;699;451
1.52;215;1;0;256;1;0;4;1024;0;0;0.000397;NA;0.008347;0.014009;0.014008;0.02;13;59
0.01;3;1;0;256;1;0;4;1024;0;1;.000073;NA;.001400;.001936;.001936;0.03;17;282
1.52;215;1;0;256;1;0;4;10240;0;0;0.003767;NA;0.067410;0.117810;0.117809;0.16;103;65
0.01;3;1;0;256;1;0;4;10240;0;1;.000616;NA;.011842;.017952;.017952;0.16;142;383
1.47;215;1;0;256;1;0;4;102400;0;0;0.036177;NA;0.486068;0.849248;0.849247;1.17;999;67
0.01;3;1;0;256;1;0;4;102400;0;1;.005684;NA;.106500;.143052;.143051;1.20;1391;457
1.51;215;1;0;256;1;0;5;1024;0;0;0.000420;NA;0.009101;0.019094;0.019094;0.03;15;48
0.01;3;1;0;256;1;0;5;1024;0;1;.000070;NA;.001780;.002436;.002436;0.03;17;364
1.47;214;1;0;256;1;0;5;10240;0;0;0.003514;NA;0.079690;0.124909;0.124908;0.16;123;70
0.01;3;1;0;256;1;0;5;10240;0;1;.000610;NA;.014194;.019049;.019049;0.16;143;442
1.71;216;1;0;256;1;0;5;102400;0;0;0.038630;NA;0.604805;0.883328;0.883327;1.22;1200;76
0.01;3;1;0;256;1;0;5;102400;0;1;.005744;NA;.119801;.157746;.157746;1.32;1394;451
1.64;215;1;0;512;1;0;4;1024;0;0;0.000394;NA;0.011951;0.023960;0.023959;0.04;23;58
0.01;3;1;0;512;1;0;4;1024;0;1;.000078;NA;.002320;.003516;.003516;0.04;31;326
1.48;215;1;0;512;1;0;4;10240;0;0;0.003574;NA;0.122218;0.190796;0.190795;0.25;202;72
0.01;3;1;0;512;1;0;4;10240;0;1;.000599;NA;.021127;.028734;.028734;0.25;281;450
1.50;216;1;0;512;1;0;4;102400;0;0;0.035968;NA;0.781492;1.277604;1.277603;1.86;1991;73
0.01;3;1;0;512;1;0;4;102400;0;1;.005481;NA;.168397;.226906;.226906;1.95;2778;467
1.35;217;1;0;512;1;0;5;1024;0;0;0.000402;NA;0.011061;0.022458;0.022458;0.04;27;57
0.01;3;1;0;512;1;0;5;1024;0;1;.000077;NA;.002396;.003544;.003544;0.04;31;355
1.49;215;1;0;512;1;0;5;10240;0;0;0.003325;NA;0.110646;0.185403;0.185403;0.25;243;67
0.01;3;1;0;512;1;0;5;10240;0;1;.000629;NA;.023301;.029839;.029838;0.26;282;462
1.55;216;1;0;512;1;0;5;102400;0;0;0.026120;NA;0.877600;1.264338;1.264337;1.87;2397;68
0.01;3;1;0;512;1;0;5;102400;0;1;.006520;NA;.203535;.254345;.254345;2.15;2785;495
1.38;224;1;1;8;1;0;4;1024;0;0;0.000373;NA;0.001724;0.001732;0.001731;0.01;7;106
0.01;3;1;1;8;1;0;4;1024;0;1;.000077;NA;.000437;.000527;.000527;0.02;7;535
1.39;225;1;1;8;1;0;4;10240;0;0;0.003817;NA;0.008379;0.015229;0.015229;0.04;10;72
0.01;3;1;1;8;1;0;4;10240;0;1;.000736;NA;.001358;.001993;.001993;0.03;11;463
1.57;226;1;1;8;1;0;4;102400;0;0;0.036900;NA;0.081173;0.124400;0.124399;0.21;38;72
0.01;3;1;1;8;1;0;4;102400;0;1;.006273;NA;.013792;.018387;.018387;0.20;50;433
1.66;225;1;1;8;1;0;5;1024;0;0;0.000472;NA;0.002497;0.003117;0.003117;0.02;7;57
0.01;3;1;1;8;1;0;5;1024;0;1;.000078;NA;.000575;.000620;.000620;0.02;7;418
1.73;224;1;1;8;1;0;5;10240;0;0;0.004326;NA;0.010690;0.018526;0.018525;0.03;11;78
0.01;3;1;1;8;1;0;5;10240;0;1;.000739;NA;.001763;.002531;.002531;0.04;11;443
1.75;224;1;1;8;1;0;5;102400;0;0;0.039780;NA;0.092151;0.160585;0.160584;0.24;44;64
