nodes;program;c.domain;adv.model;protocol;comp.intbits;comp.inttriples;comp.vmrounds;ram;input_size;runtime(s);P0commRounds;P0dataSent(MB);ALLdataSent(MB)
dogecoin,dogecoincash,dogecoingold;31_scalable_search;FIELD;semihonest;replicated-field;NA;NA;NA;160;200;0.253948;~1410;1.01122;3.02726
dogecoin,dogecoincash,dogecoingold;31_scalable_search;FIELD;semihonest;replicated-field;NA;NA;NA;160;400;0.553243;~2814;1.70242;5.25446
dogecoin,dogecoincash,dogecoingold;31_scalable_search;FIELD;semihonest;replicated-field;NA;NA;NA;160;600;0.763168;~4218;2.55362;7.48166
dogecoin,dogecoincash,dogecoingold;31_scalable_search;FIELD;semihonest;replicated-field;NA;NA;NA;160;800;1.08032;~5622;3.24482;9.70886
dogecoin,dogecoincash,dogecoingold;31_scalable_search;FIELD;semihonest;replicated-field;NA;NA;NA;160;1000;1.29006;~7026;3.93602;11.9361
dogecoin,dogecoincash,dogecoingold;31_scalable_search;FIELD;semihonest;replicated-field;NA;NA;NA;160;1200;1.61508;~8430;4.78722;14.1633
dogecoin,dogecoincash,dogecoingold;31_scalable_search;FIELD;semihonest;replicated-field;NA;NA;NA;160;1400;1.95678;~9834;5.47842;16.3905
dogecoin,dogecoincash,dogecoingold;31_scalable_search;FIELD;semihonest;replicated-field;NA;NA;NA;160;1600;2.14411;~11238;6.16962;18.6177
dogecoin,dogecoincash,dogecoingold;31_scalable_search;FIELD;semihonest;replicated-field;NA;NA;NA;160;1800;2.49668;~12642;7.02082;20.8449
dogecoin,dogecoincash,dogecoingold;31_scalable_search;FIELD;semihonest;replicated-field;NA;NA;NA;160;2000;2.64783;~14046;7.71202;23.0721
dogecoin,dogecoincash,dogecoingold;31_scalable_search;FIELD;semihonest;replicated-field;NA;NA;NA;160;2200;4.78733;~15450;8.40322;25.2993
dogecoin,dogecoincash,dogecoingold;31_scalable_search;FIELD;semihonest;replicated-field;NA;NA;NA;160;2400;3.13831;~16854;9.25442;27.5265
dogecoin,dogecoincash,dogecoingold;31_scalable_search;FIELD;semihonest;replicated-field;NA;NA;NA;200;10;0.0277517;~76;0.330576;0.831424
dogecoin,dogecoincash,dogecoingold;31_scalable_search;FIELD;semihonest;replicated-field;NA;NA;NA;200;200;0.280945;~1410;1.01122;3.02726
dogecoin,dogecoincash,dogecoingold;31_scalable_search;FIELD;semihonest;replicated-field;NA;NA;NA;200;400;0.531736;~2814;1.70242;5.25446
dogecoin,dogecoincash,dogecoingold;31_scalable_search;FIELD;semihonest;replicated-field;NA;NA;NA;200;600;0.803944;~4218;2.55362;7.48166
dogecoin,dogecoincash,dogecoingold;31_scalable_search;FIELD;semihonest;replicated-field;NA;NA;NA;200;800;1.06241;~5622;3.24482;9.70886
dogecoin,dogecoincash,dogecoingold;31_scalable_search;FIELD;semihonest;replicated-field;NA;NA;NA;200;1000;1.28623;~7026;3.93602;11.9361
dogecoin,dogecoincash,dogecoingold;31_scalable_search;FIELD;semihonest;replicated-field;NA;NA;NA;200;1200;1.50777;~8430;4.78722;14.1633
dogecoin,dogecoincash,dogecoingold;31_scalable_search;FIELD;semihonest;replicated-field;NA;NA;NA;200;1400;1.91829;~9834;5.47842;16.3905
dogecoin,dogecoincash,dogecoingold;31_scalable_search;FIELD;semihonest;replicated-field;NA;NA;NA;200;1600;2.0175;~11238;6.16962;18.6177
dogecoin,dogecoincash,dogecoingold;31_scalable_search;FIELD;semihonest;replicated-field;NA;NA;NA;200;1800;2.35231;~12642;7.02082;20.8449
dogecoin,dogecoincash,dogecoingold;31_scalable_search;FIELD;semihonest;replicated-field;NA;NA;NA;200;2000;6.68475;~14046;7.71202;23.0721
dogecoin,dogecoincash,dogecoingold;31_scalable_search;FIELD;semihonest;replicated-field;NA;NA;NA;200;2200;3.32932;~15450;8.40322;25.2993
dogecoin,dogecoincash,dogecoingold;31_scalable_search;FIELD;semihonest;replicated-field;NA;NA;NA;200;2400;3.11183;~16854;9.25442;27.5265
dogecoin,dogecoincash,dogecoingold;31_scalable_search;FIELD;semihonest;replicated-field;NA;NA;NA;500;10;0.0264951;~76;0.330576;0.831424
dogecoin,dogecoincash,dogecoingold;31_scalable_search;FIELD;semihonest;replicated-field;NA;NA;NA;500;200;0.269597;~1410;1.01122;3.02726
dogecoin,dogecoincash,dogecoingold;31_scalable_search;FIELD;semihonest;replicated-field;NA;NA;NA;500;400;0.533424;~2814;1.70242;5.25446
dogecoin,dogecoincash,dogecoingold;31_scalable_search;FIELD;semihonest;replicated-field;NA;NA;NA;500;600;0.869111;~4218;2.55362;7.48166
dogecoin,dogecoincash,dogecoingold;31_scalable_search;FIELD;semihonest;replicated-field;NA;NA;NA;500;800;0.986596;~5622;3.24482;9.70886
dogecoin,dogecoincash,dogecoingold;31_scalable_search;FIELD;semihonest;replicated-field;NA;NA;NA;500;1000;1.40795;~7026;3.93602;11.9361
dogecoin,dogecoincash,dogecoingold;31_scalable_search;FIELD;semihonest;replicated-field;NA;NA;NA;500;1200;1.66874;~8430;4.78722;14.1633
dogecoin,dogecoincash,dogecoingold;31_scalable_search;FIELD;semihonest;replicated-field;NA;NA;NA;500;1400;2.01378;~9834;5.47842;16.3905
dogecoin,dogecoincash,dogecoingold;31_scalable_search;FIELD;semihonest;replicated-field;NA;NA;NA;500;1600;2.19309;~11238;6.16962;18.6177
dogecoin,dogecoincash,dogecoingold;31_scalable_search;FIELD;semihonest;replicated-field;NA;NA;NA;500;1800;2.36743;~12642;7.02082;20.8449
dogecoin,dogecoincash,dogecoingold;31_scalable_search;FIELD;semihonest;replicated-field;NA;NA;NA;500;2000;2.76107;~14046;7.71202;23.0721
dogecoin,dogecoincash,dogecoingold;31_scalable_search;FIELD;semihonest;replicated-field;NA;NA;NA;500;2200;2.96139;~15450;8.40322;25.2993
dogecoin,dogecoincash,dogecoingold;31_scalable_search;FIELD;semihonest;replicated-field;NA;NA;NA;500;2400;3.09377;~16854;9.25442;27.5265
dogecoin,dogecoincash,dogecoingold;31_scalable_search;RING;malhonest;sy-rep-ring;640;630;74;40;10;0.0658769;~178;0.711367;2.0025
dogecoin,dogecoincash,dogecoingold;31_scalable_search;RING;malhonest;sy-rep-ring;12800;12600;1404;40;200;0.353922;~1585;1.58224;4.87423
dogecoin,dogecoincash,dogecoingold;31_scalable_search;RING;malhonest;sy-rep-ring;25600;25200;2804;40;400;0.685404;~3062;2.60262;7.79611
dogecoin,dogecoincash,dogecoingold;31_scalable_search;RING;malhonest;sy-rep-ring;38400;37800;4204;40;600;1.04319;~4539;3.62164;10.718
dogecoin,dogecoincash,dogecoingold;31_scalable_search;RING;malhonest;sy-rep-ring;51200;50400;5604;40;800;1.4595;~6093;5.19369;15.5589
dogecoin,dogecoincash,dogecoingold;31_scalable_search;RING;malhonest;sy-rep-ring;64000;63000;7004;40;1000;1.62128;~7570;6.21271;18.4808
dogecoin,dogecoincash,dogecoingold;31_scalable_search;RING;malhonest;sy-rep-ring;76800;75600;8404;40;1200;1.88616;~9047;7.10038;21.4027
dogecoin,dogecoincash,dogecoingold;31_scalable_search;RING;malhonest;sy-rep-ring;89600;88200;9804;40;1400;2.296;~10524;8.12076;24.3245
dogecoin,dogecoincash,dogecoingold;31_scalable_search;RING;malhonest;sy-rep-ring;102400;100800;11204;40;1600;6.45693;~12078;9.69145;29.1655
dogecoin,dogecoincash,dogecoingold;31_scalable_search;RING;malhonest;sy-rep-ring;115200;113400;12604;40;1800;3.06116;~13555;10.7118;32.0874
dogecoin,dogecoincash,dogecoingold;31_scalable_search;RING;malhonest;sy-rep-ring;128000;126000;14004;40;2000;3.31047;~15032;11.7309;35.0092
dogecoin,dogecoincash,dogecoingold;31_scalable_search;RING;malhonest;sy-rep-ring;140800;138600;15404;40;2200;3.6723;~16563;13.2915;39.8173
dogecoin,dogecoincash,dogecoingold;31_scalable_search;RING;malhonest;sy-rep-ring;153600;151200;16804;40;2400;3.86328;~18063;14.3219;42.772
dogecoin,dogecoincash,dogecoingold;31_scalable_search;RING;malhonest;sy-rep-ring;NA;NA;NA;80;10;0.0692764;~178;0.711367;2.0025
dogecoin,dogecoincash,dogecoingold;31_scalable_search;RING;malhonest;sy-rep-ring;NA;NA;NA;80;200;0.356527;~1585;1.58224;4.87423
dogecoin,dogecoincash,dogecoingold;31_scalable_search;RING;malhonest;sy-rep-ring;NA;NA;NA;80;400;0.661759;~3062;2.60262;7.79611
dogecoin,dogecoincash,dogecoingold;31_scalable_search;RING;malhonest;sy-rep-ring;NA;NA;NA;80;600;0.966488;~4539;3.62164;10.718
dogecoin,dogecoincash,dogecoingold;31_scalable_search;RING;malhonest;sy-rep-ring;NA;NA;NA;80;800;1.31993;~6093;5.19369;15.5589
dogecoin,dogecoincash,dogecoingold;31_scalable_search;RING;malhonest;sy-rep-ring;NA;NA;NA;80;1000;1.67003;~7570;6.21271;18.4808
dogecoin,dogecoincash,dogecoingold;31_scalable_search;RING;malhonest;sy-rep-ring;NA;NA;NA;80;1200;1.99135;~9047;7.10038;21.4027
dogecoin,dogecoincash,dogecoingold;31_scalable_search;RING;malhonest;sy-rep-ring;NA;NA;NA;80;1400;2.21452;~10524;8.12076;24.3245
dogecoin,dogecoincash,dogecoingold;31_scalable_search;RING;malhonest;sy-rep-ring;NA;NA;NA;80;1600;2.72256;~12078;9.69145;29.1655
dogecoin,dogecoincash,dogecoingold;31_scalable_search;RING;malhonest;sy-rep-ring;NA;NA;NA;80;1800;2.90537;~13555;10.7118;32.0874
dogecoin,dogecoincash,dogecoingold;31_scalable_search;RING;malhonest;sy-rep-ring;NA;NA;NA;80;2000;3.22335;~15032;11.7309;35.0092
dogecoin,dogecoincash,dogecoingold;31_scalable_search;RING;malhonest;sy-rep-ring;NA;NA;NA;80;2200;8.29266;~16563;13.2915;39.8173
dogecoin,dogecoincash,dogecoingold;31_scalable_search;RING;malhonest;sy-rep-ring;NA;NA;NA;80;2400;4.5915;~18063;14.3219;42.772
dogecoin,dogecoincash,dogecoingold;31_scalable_search;RING;malhonest;sy-rep-ring;NA;NA;NA;120;10;0.0659754;~178;0.711367;2.0025
dogecoin,dogecoincash,dogecoingold;31_scalable_search;RING;malhonest;sy-rep-ring;NA;NA;NA;120;200;0.36159;~1585;1.58224;4.87423
dogecoin,dogecoincash,dogecoingold;31_scalable_search;RING;malhonest;sy-rep-ring;NA;NA;NA;120;400;3.97272;~3062;2.60262;7.79611
dogecoin,dogecoincash,dogecoingold;31_scalable_search;RING;malhonest;sy-rep-ring;NA;NA;NA;120;600;0.901455;~4539;3.62164;10.718
dogecoin,dogecoincash,dogecoingold;31_scalable_search;RING;malhonest;sy-rep-ring;NA;NA;NA;120;800;1.36325;~6093;5.19369;15.5589
dogecoin,dogecoincash,dogecoingold;31_scalable_search;RING;malhonest;sy-rep-ring;NA;NA;NA;120;1000;1.70514;~7570;6.21271;18.4808
dogecoin,dogecoincash,dogecoingold;31_scalable_search;RING;malhonest;sy-rep-ring;NA;NA;NA;120;1200;2.02705;~9047;7.10038;21.4027
