comp.time(s);comp.peakRAM(MiB);bin.filesize(MiB);ssl;threads;datatype;function;optshare;packbool;protocol;rxbuffer;txbuffer;input_size;preprocess;splitroles;inittime(s);preproc(s);runtime_clock(s);runtime_getTime(s);runtime_chrono(s);runtime_external(s);peakRAM(MiB);jobCPU(%)
2.98;235;1;0;1;128;0;1;0;1;4;4;4096;0;0;0.004109;NA;0.808802;0.297531;0.297530;0.33;42;248
0.02;3;1;0;1;128;0;1;0;1;4;4;4096;0;1;.001112;NA;.085992;.079513;.079513;.098333;42;553
2.93;233;1;0;1;128;0;1;0;2;4;4;4096;0;0;0.005572;NA;0.940423;0.484038;0.484037;0.51;48;187
0.02;3;1;0;1;128;0;1;0;2;4;4;4096;0;1;.001477;NA;.092582;.073185;.073185;.090000;49;640
2.90;233;1;0;1;128;0;1;0;3;4;4;4096;0;0;0.004713;NA;0.536259;0.510723;0.510722;0.54;33;103
0.02;3;1;0;1;128;0;1;0;3;4;4;4096;0;1;.001010;NA;.076751;.066186;.066186;.078333;54;622
2.90;233;1;0;1;128;0;1;0;4;4;4;4096;0;0;0.004594;NA;0.528072;0.426481;0.426480;0.45;33;121
0.02;3;1;0;1;128;0;1;0;4;4;4;4096;0;1;.001041;NA;.073533;.061751;.061751;.075000;50;625
2.88;233;1;0;1;128;0;1;0;5;4;4;4096;0;0;0.004582;NA;0.485558;0.546517;0.546516;0.58;37;87
0.02;3;1;0;1;128;0;1;0;5;4;4;4096;0;1;.001064;NA;.079516;.067731;.067731;.076666;50;655
2.83;232;1;0;1;128;0;1;0;6;4;4;4096;0;0;0.003129;NA;0.294833;0.187601;0.187600;0.21;24;147
0.02;3;1;0;1;128;0;1;0;6;4;4;4096;0;1;.000390;NA;.020714;.022846;.022846;.031666;24;443
