comp.time(s)  comp.peakRAM(MiB)  bin.filesize(MiB)  ssl  threads  datatype  function  optshare  packbool  protocol  rxbuffer  txbuffer  bandwidths(Mbs)  input_size  preprocess  splitroles  inittime(s)  preproc(s)  runtime_clock(s)  runtime_getTime(s)  runtime_chrono(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)
1.52          217                1                  0    10       512       0         1         0         1         0         0         1500             81920       0           0           .002823      NA          .227169           1.752830            1.752830           1.891000             2543          147
1.51          217                1                  0    10       512       0         1         0         1         0         0         1450             81920       0           0           .002806      NA          .219236           1.813561            1.813561           1.953000             2543          138
1.73          217                1                  0    10       512       0         1         0         1         0         0         1400             81920       0           0           .002808      NA          .222511           1.830025            1.830025           2.012000             2543          135
1.62          218                1                  0    10       512       0         1         0         1         0         0         1350             81920       0           0           .002824      NA          .253712           1.924390            1.924390           2.087000             2543          145
1.68          217                1                  0    10       512       0         1         0         1         0         0         1300             81920       0           0           .002621      NA          .241275           2.003530            2.003529           2.160000             2543          134
1.74          216                1                  0    10       512       0         1         0         1         0         0         1250             81920       0           0           .002823      NA          .249850           2.090061            2.090061           2.255000             2543          133
1.78          216                1                  0    10       512       0         1         0         1         0         0         1200             81920       0           0           .002636      NA          .255556           2.103290            2.103290           2.325000             2543          131
1.69          217                1                  0    10       512       0         1         0         1         0         0         1150             81920       0           0           .002499      NA          .273226           2.261266            2.261266           2.431000             2543          132
1.70          217                1                  0    10       512       0         1         0         1         0         0         1100             81920       0           0           .002632      NA          .276484           2.392114            2.392114           2.532000             2543          128
1.54          218                1                  0    10       512       0         1         0         1         0         0         1050             81920       0           0           .002716      NA          .264544           2.532370            2.532370           2.651000             2543          118
1.53          216                1                  0    10       512       0         1         0         1         0         0         1000             81920       0           0           .002637      NA          .273486           2.655820            2.655820           2.778000             2543          116
1.50          217                1                  0    10       512       0         1         0         1         0         0         950              81920       0           0           .002566      NA          .267854           2.742956            2.742956           2.918000             2543          108
1.53          216                1                  0    10       512       0         1         0         1         0         0         900              81920       0           0           .002745      NA          .285002           2.907170            2.907170           3.074000             2543          109
1.69          217                1                  0    10       512       0         1         0         1         0         0         850              81920       0           0           .002620      NA          .283050           3.021617            3.021617           3.242000             2543          102
1.68          217                1                  0    10       512       0         1         0         1         0         0         800              81920       0           0           .002820      NA          .291253           3.300922            3.300922           3.457000             2543          99
1.54          216                1                  0    10       512       0         1         0         1         0         0         750              81920       0           0           .002711      NA          .310250           3.472691            3.472691           3.666000             2543          98
1.49          217                1                  0    10       512       0         1         0         1         0         0         700              81920       0           0           .002639      NA          .293959           3.783675            3.783675           3.912000             2543          87
1.58          217                1                  0    10       512       0         1         0         1         0         0         650              81920       0           0           .002315      NA          .306668           4.095568            4.095568           4.223000             2543          84
1.57          218                1                  0    10       512       0         1         0         1         0         0         600              81920       0           0           .002644      NA          .363225           4.419458            4.419458           4.557000             2543          90
1.49          217                1                  0    10       512       0         1         0         1         0         0         550              81920       0           0           .002639      NA          .347668           4.880790            4.880790           4.964000             2543          80
1.71          218                1                  0    10       512       0         1         0         1         0         0         500              81920       0           0           .002526      NA          .349012           5.369187            5.369187           5.477000             2543          72
1.57          216                1                  0    10       512       0         1         0         1         0         0         450              81920       0           0           .002739      NA          .371941           6.000456            6.000456           6.060000             2543          70
1.55          216                1                  0    10       512       0         1         0         1         0         0         400              81920       0           0           .002724      NA          .382618           6.686965            6.686965           6.777000             2543          64
1.59          216                1                  0    10       512       0         1         0         1         0         0         350              81920       0           0           .002092      NA          .356120           6.183113            6.183112           7.082000             2543          58
1.77          217                1                  0    10       512       0         1         0         1         0         0         300              81920       0           0           .002458      NA          .401476           8.828511            8.828511           9.004000             2543          50
1.42          217                1                  0    10       512       0         1         0         1         0         0         250              81920       0           0           .002466      NA          .418321           10.611186           10.611186          10.779000            2543          43
1.71          216                1                  0    10       512       0         1         0         1         0         0         200              81920       0           0           .002909      NA          .431216           13.183844           13.183844          13.461000            2543          35
1.51          216                1                  0    10       512       0         1         0         1         0         0         150              81920       0           0           .002798      NA          .445361           17.298668           17.298668          17.903000            2543          27
1.71          217                1                  0    10       512       0         1         0         1         0         0         100              81920       0           0           .002713      NA          .486574           26.203610           26.203610          26.807000            2543          20
1.71          216                1                  0    10       512       0         1         0         2         0         0         1500             81920       0           0           .003763      NA          .199928           3.040234            3.040234           3.672000             2553          68
1.50          217                1                  0    10       512       0         1         0         2         0         0         1450             81920       0           0           .003738      NA          .204249           3.229808            3.229808           3.800000             2553          67
1.51          216                1                  0    10       512       0         1         0         2         0         0         1400             81920       0           0           .003734      NA          .201037           3.422247            3.422247           3.946000             2552          63
1.56          217                1                  0    10       512       0         1         0         2         0         0         1350             81920       0           0           .004059      NA          .178768           3.447917            3.447917           4.092000             2553          56
1.51          217                1                  0    10       512       0         1         0         2         0         0         1300             81920       0           0           .004040      NA          .178791           3.287916            3.287915           4.229000             2553          54
1.79          216                1                  0    10       512       0         1         0         2         0         0         1250             81920       0           0           .004180      NA          .177046           3.607214            3.607214           4.397000             2553          51
