program  c.domain  adv.model      protocol        partysize  comp.time(s)  comp.peakRAM(MiB)  bin.filesize(MiB)  comp.P0intin  comp.P1intin  comp.P2intin  comp.P0bitin  comp.P1bitin  compP2bitin  comp.intbits  comp.inttriples  comp.bittriples  comp.vmrounds  freqs(GHz)  bandwidths(Mbs)  input_size  runtime_internal(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)  P0commRounds  P0dataSent(MB)  ALLdataSent(MB)  Tx(MB)   Tx(rounds)  Tx(s)      Rx(MB)   Rx(rounds)  Rx(s)     Brcasting(MB)  Brcasting(rounds)  Brcasting(s)  TxRx(MB)  TxRx(rounds)  TxRx(s)  Passing(MB)  Passing(rounds)  Passing(s)  Part.Brcasting(MB)  Part.Brcasting(rounds)  Part.Brcasting(s)  Ex(MB)  Ex(rounds)  Ex(s)  Ex1to1(MB)  Ex1to1(rounds)  Ex1to1(s)  Rx1to1(MB)  Rx1to1(rounds)  Rx1to1(s)  Tx1to1(MB)  Tx1to1(rounds)  Tx1to1(s)  Txtoall(MB)  Txtoall(rounds)  Txtoall(s)
42       BINARY    semidishonest  yao             2          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             2.3         50               4096        1.77532              3.43                 290           95         NA            8.25754         NA               8.25754  4           1.29975    8e-06    1           0.121143  NA             NA                 NA            NA        NA            NA       NA           NA               NA          NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semidishonest  yao             2          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             2.1         3000             4096        0.493355             2.19                 290           95         NA            8.25754         NA               8.25754  4           0.064559   8e-06    1           0.12644   NA             NA                 NA            NA        NA            NA       NA           NA               NA          NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semidishonest  yao             2          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             2.1         1000             4096        0.483655             2.13                 290           95         NA            8.25754         NA               8.25754  4           0.0649665  8e-06    1           0.122749  NA             NA                 NA            NA        NA            NA       NA           NA               NA          NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semidishonest  yao             2          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             2.1         800              4096        0.508801             2.16                 290           95         NA            8.25754         NA               8.25754  4           0.0818759  8e-06    1           0.124816  NA             NA                 NA            NA        NA            NA       NA           NA               NA          NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semidishonest  yao             2          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             2.1         600              4096        0.536461             2.24                 290           95         NA            8.25754         NA               8.25754  4           0.108543   8e-06    1           0.12455   NA             NA                 NA            NA        NA            NA       NA           NA               NA          NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semidishonest  yao             2          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             2.1         400              4096        0.598762             2.30                 290           95         NA            8.25754         NA               8.25754  4           0.162101   8e-06    1           0.129923  NA             NA                 NA            NA        NA            NA       NA           NA               NA          NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semidishonest  yao             2          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             2.1         200              4096        0.763344             2.46                 290           93         NA            8.25754         NA               8.25754  4           0.327166   8e-06    1           0.123672  NA             NA                 NA            NA        NA            NA       NA           NA               NA          NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semidishonest  yao             2          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             2.1         50               4096        1.78484              3.44                 290           95         NA            8.25754         NA               8.25754  4           1.298      8e-06    1           0.125359  NA             NA                 NA            NA        NA            NA       NA           NA               NA          NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semidishonest  yao             2          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             1.9         3000             4096        0.521583             2.35                 292           95         NA            8.25754         NA               8.25754  4           0.0642059  8e-06    1           0.134909  NA             NA                 NA            NA        NA            NA       NA           NA               NA          NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semidishonest  yao             2          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             1.9         1000             4096        0.525649             2.35                 290           95         NA            8.25754         NA               8.25754  4           0.0633025  8e-06    1           0.136686  NA             NA                 NA            NA        NA            NA       NA           NA               NA          NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
