program  c.domain  adv.model      protocol        partysize  comp.time(s)  comp.peakRAM(MiB)  bin.filesize(MiB)  freqs(GHz)  bandwidths(Mbs)  input_size  runtime_internal(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)  P0commRounds  P0dataSent(MB)  ALLdataSent(MB)
42       BINARY    semidishonest  yao             2          NA            NA                 NA                 1.3         50               4096        2.01699              4.71                 290           95         NA            8.25754         NA
42       BINARY    semihonest     replicated-bin  3          240.12        5651               44                 2.5         3000             4096        0.140488             1.76                 290           98         NA            0.520248        NA
42       BINARY    semihonest     replicated-bin  3          NA            NA                 NA                 2.5         1000             4096        0.143765             1.80                 290           96         NA            0.520248        NA
42       BINARY    semihonest     replicated-bin  3          NA            NA                 NA                 2.5         800              4096        0.13965              1.76                 290           98         NA            0.520248        NA
42       BINARY    semihonest     replicated-bin  3          NA            NA                 NA                 2.5         600              4096        0.141057             1.79                 290           96         NA            0.520248        NA
42       BINARY    semihonest     replicated-bin  3          NA            NA                 NA                 2.5         400              4096        0.142635             1.78                 290           98         NA            0.520248        NA
42       BINARY    semihonest     replicated-bin  3          NA            NA                 NA                 2.5         200              4096        0.152878             1.79                 292           97         NA            0.520248        NA
42       BINARY    semihonest     replicated-bin  3          NA            NA                 NA                 2.5         50               4096        0.188693             1.84                 292           94         NA            0.520248        NA
42       BINARY    semihonest     replicated-bin  3          NA            NA                 NA                 2.3         3000             4096        0.145491             1.83                 290           98         NA            0.520248        NA
42       BINARY    semihonest     replicated-bin  3          NA            NA                 NA                 2.3         1000             4096        0.144565             1.76                 290           98         NA            0.520248        NA
42       BINARY    semihonest     replicated-bin  3          NA            NA                 NA                 2.3         800              4096        0.1398               1.78                 290           97         NA            0.520248        NA
42       BINARY    semihonest     replicated-bin  3          NA            NA                 NA                 2.3         600              4096        0.145223             1.77                 290           97         NA            0.520248        NA
42       BINARY    semihonest     replicated-bin  3          NA            NA                 NA                 2.3         400              4096        0.14275              1.76                 292           98         NA            0.520248        NA
42       BINARY    semihonest     replicated-bin  3          NA            NA                 NA                 2.3         200              4096        0.146332             1.78                 290           98         NA            0.520248        NA
42       BINARY    semihonest     replicated-bin  3          NA            NA                 NA                 2.3         50               4096        0.189341             1.84                 292           93         NA            0.520248        NA
42       BINARY    semihonest     replicated-bin  3          NA            NA                 NA                 2.1         3000             4096        0.147483             1.85                 290           98         NA            0.520248        NA
42       BINARY    semihonest     replicated-bin  3          NA            NA                 NA                 2.1         1000             4096        0.151814             1.89                 290           98         NA            0.520248        NA
42       BINARY    semihonest     replicated-bin  3          NA            NA                 NA                 2.1         800              4096        0.148306             1.84                 290           98         NA            0.520248        NA
42       BINARY    semihonest     replicated-bin  3          NA            NA                 NA                 2.1         600              4096        0.145088             1.85                 292           98         NA            0.520248        NA
42       BINARY    semihonest     replicated-bin  3          NA            NA                 NA                 2.1         400              4096        0.149783             1.86                 290           98         NA            0.520248        NA
