nodes;program;c.domain;adv.model;protocol;comp.intbits;comp.inttriples;comp.vmrounds;cpus;freqs;quotas;input_size;runtime(s);maxPhyRAM(MiB);P0commRounds;P0dataSent(MB);ALLdataSent(MB)
valga,tapa,rapla;31_scalable_search;FIELD;maldishonest;mascot;1040;630;74;16;2.6;240;10;1.70973;376;~446;176.474;488.193
valga,tapa,rapla;31_scalable_search;FIELD;maldishonest;mascot;5200;3150;354;16;2.6;240;50;4.32322;376;~1780;492.572;1435.84
valga,tapa,rapla;31_scalable_search;FIELD;maldishonest;mascot;10400;6300;704;16;2.6;240;100;7.29277;379;~3428;853.872;2518.96
valga,tapa,rapla;31_scalable_search;FIELD;maldishonest;mascot;15600;9450;1054;16;2.6;240;150;10.198;382;~5076;1215.17;3602.07
valga,tapa,rapla;31_scalable_search;FIELD;maldishonest;mascot;20800;12600;1404;16;2.6;240;200;12.7646;380;~6724;1576.47;4685.19
valga,tapa,rapla;31_scalable_search;FIELD;maldishonest;mascot;26000;15750;1754;16;2.6;240;250;15.3207;385;~8372;1937.77;5768.31
valga,tapa,rapla;31_scalable_search;FIELD;maldishonest;mascot;31200;18900;2104;16;2.6;240;300;19.2248;390;~10054;2344.23;6986.81
valga,tapa,rapla;31_scalable_search;FIELD;maldishonest;mascot;36400;22050;2454;16;2.6;240;350;22.8142;392;~11728;2750.63;8205.18
valga,tapa,rapla;31_scalable_search;FIELD;maldishonest;mascot;41600;25200;2804;16;2.6;240;400;25.8305;388;~13376;3111.93;9288.3
valga,tapa,rapla;31_scalable_search;FIELD;maldishonest;mascot;46800;28350;3154;16;2.6;240;450;28.2739;390;~15024;3473.23;10371.4
valga,tapa,rapla;31_scalable_search;FIELD;maldishonest;mascot;52000;31500;3504;16;2.6;240;500;31.1482;391;~16672;3834.53;11454.5
valga,tapa,rapla;31_scalable_search;FIELD;maldishonest;mascot;1040;630;74;16;2.6;180;10;1.7644;379;~446;176.474;488.193
valga,tapa,rapla;31_scalable_search;FIELD;maldishonest;mascot;5200;3150;354;16;2.6;180;50;4.52306;382;~1780;492.572;1435.84
valga,tapa,rapla;31_scalable_search;FIELD;maldishonest;mascot;10400;6300;704;16;2.6;180;100;7.7219;386;~3428;853.872;2518.96
valga,tapa,rapla;31_scalable_search;FIELD;maldishonest;mascot;15600;9450;1054;16;2.6;180;150;10.5817;387;~5076;1215.17;3602.07
valga,tapa,rapla;31_scalable_search;FIELD;maldishonest;mascot;20800;12600;1404;16;2.6;180;200;13.8029;382;~6724;1576.47;4685.19
valga,tapa,rapla;31_scalable_search;FIELD;maldishonest;mascot;26000;15750;1754;16;2.6;180;250;17.0759;386;~8372;1937.77;5768.31
valga,tapa,rapla;31_scalable_search;FIELD;maldishonest;mascot;31200;18900;2104;16;2.6;180;300;20.5956;388;~10054;2344.23;6986.81
valga,tapa,rapla;31_scalable_search;FIELD;maldishonest;mascot;36400;22050;2454;16;2.6;180;350;22.4588;394;~11728;2750.63;8205.18
valga,tapa,rapla;31_scalable_search;FIELD;maldishonest;mascot;41600;25200;2804;16;2.6;180;400;27.0506;387;~13376;3111.93;9288.3
valga,tapa,rapla;31_scalable_search;FIELD;maldishonest;mascot;46800;28350;3154;16;2.6;180;450;30.2495;390;~15024;3473.23;10371.4
valga,tapa,rapla;31_scalable_search;FIELD;maldishonest;mascot;52000;31500;3504;16;2.6;180;500;33.4313;384;~16672;3834.53;11454.5
valga,tapa,rapla;31_scalable_search;FIELD;maldishonest;mascot;1040;630;74;16;2.6;120;10;2.65925;377;~446;176.474;488.193
valga,tapa,rapla;31_scalable_search;FIELD;maldishonest;mascot;5200;3150;354;16;2.6;120;50;6.67279;385;~1780;492.572;1435.84
valga,tapa,rapla;31_scalable_search;FIELD;maldishonest;mascot;10400;6300;704;16;2.6;120;100;11.1434;383;~3428;853.872;2518.96
valga,tapa,rapla;31_scalable_search;FIELD;maldishonest;mascot;15600;9450;1054;16;2.6;120;150;15.7408;387;~5076;1215.17;3602.07
valga,tapa,rapla;31_scalable_search;FIELD;maldishonest;mascot;20800;12600;1404;16;2.6;120;200;20.0835;386;~6724;1576.47;4685.19
valga,tapa,rapla;31_scalable_search;FIELD;maldishonest;mascot;26000;15750;1754;16;2.6;120;250;24.5629;387;~8372;1937.77;5768.31
valga,tapa,rapla;31_scalable_search;FIELD;maldishonest;mascot;31200;18900;2104;16;2.6;120;300;29.9437;391;~10054;2344.23;6986.81
valga,tapa,rapla;31_scalable_search;FIELD;maldishonest;mascot;36400;22050;2454;16;2.6;120;350;34.461;393;~11728;2750.63;8205.18
valga,tapa,rapla;31_scalable_search;FIELD;maldishonest;mascot;41600;25200;2804;16;2.6;120;400;39.1116;389;~13376;3111.93;9288.3
valga,tapa,rapla;31_scalable_search;FIELD;maldishonest;mascot;46800;28350;3154;16;2.6;120;450;43.6515;393;~15024;3473.23;10371.4
valga,tapa,rapla;31_scalable_search;FIELD;maldishonest;mascot;52000;31500;3504;16;2.6;120;500;47.7722;391;~16672;3834.53;11454.5
valga,tapa,rapla;31_scalable_search;FIELD;maldishonest;mascot;1040;630;74;16;2.6;60;10;5.18006;376;~446;176.474;488.193
valga,tapa,rapla;31_scalable_search;FIELD;maldishonest;mascot;5200;3150;354;16;2.6;60;50;13.1191;383;~1780;492.572;1435.84
valga,tapa,rapla;31_scalable_search;FIELD;maldishonest;mascot;10400;6300;704;16;2.6;60;100;22.3867;385;~3428;853.872;2518.96
valga,tapa,rapla;31_scalable_search;FIELD;maldishonest;mascot;15600;9450;1054;16;2.6;60;150;31.6366;384;~5076;1215.17;3602.07
valga,tapa,rapla;31_scalable_search;FIELD;maldishonest;mascot;20800;12600;1404;16;2.6;60;200;41.1117;386;~6724;1576.47;4685.19
valga,tapa,rapla;31_scalable_search;FIELD;maldishonest;mascot;26000;15750;1754;16;2.6;60;250;49.3218;389;~8372;1937.77;5768.31
valga,tapa,rapla;31_scalable_search;FIELD;maldishonest;mascot;31200;18900;2104;16;2.6;60;300;62.8165;385;~10054;2344.23;6986.81
valga,tapa,rapla;31_scalable_search;FIELD;maldishonest;mascot;36400;22050;2454;16;2.6;60;350;71.3198;391;~11728;2750.63;8205.18
valga,tapa,rapla;31_scalable_search;FIELD;maldishonest;mascot;41600;25200;2804;16;2.6;60;400;81.3713;389;~13376;3111.93;9288.3
valga,tapa,rapla;31_scalable_search;FIELD;maldishonest;mascot;46800;28350;3154;16;2.6;60;450;89.7159;393;~15024;3473.23;10371.4
valga,tapa,rapla;31_scalable_search;FIELD;maldishonest;mascot;52000;31500;3504;16;2.6;60;500;99.3397;391;~16672;3834.53;11454.5
valga,tapa,rapla;31_scalable_search;FIELD;maldishonest;mascot;1040;630;74;16;2.3;240;10;1.84;377;~446;176.474;488.193
valga,tapa,rapla;31_scalable_search;FIELD;maldishonest;mascot;5200;3150;354;16;2.3;240;50;4.62628;377;~1780;492.572;1435.84
valga,tapa,rapla;31_scalable_search;FIELD;maldishonest;mascot;10400;6300;704;16;2.3;240;100;7.8143;383;~3428;853.872;2518.96
valga,tapa,rapla;31_scalable_search;FIELD;maldishonest;mascot;15600;9450;1054;16;2.3;240;150;11.0183;386;~5076;1215.17;3602.07
valga,tapa,rapla;31_scalable_search;FIELD;maldishonest;mascot;20800;12600;1404;16;2.3;240;200;14.0061;389;~6724;1576.47;4685.19
valga,tapa,rapla;31_scalable_search;FIELD;maldishonest;mascot;26000;15750;1754;16;2.3;240;250;16.9594;385;~8372;1937.77;5768.31
valga,tapa,rapla;31_scalable_search;FIELD;maldishonest;mascot;31200;18900;2104;16;2.3;240;300;20.3948;385;~10054;2344.23;6986.81
valga,tapa,rapla;31_scalable_search;FIELD;maldishonest;mascot;36400;22050;2454;16;2.3;240;350;24.2261;390;~11728;2750.63;8205.18
valga,tapa,rapla;31_scalable_search;FIELD;maldishonest;mascot;41600;25200;2804;16;2.3;240;400;27.8175;390;~13376;3111.93;9288.3
valga,tapa,rapla;31_scalable_search;FIELD;maldishonest;mascot;46800;28350;3154;16;2.3;240;450;30.3749;386;~15024;3473.23;10371.4
valga,tapa,rapla;31_scalable_search;FIELD;maldishonest;mascot;52000;31500;3504;16;2.3;240;500;33.5211;385;~16672;3834.53;11454.5
valga,tapa,rapla;31_scalable_search;FIELD;maldishonest;mascot;1040;630;74;16;2.3;180;10;1.92092;377;~446;176.474;488.193
valga,tapa,rapla;31_scalable_search;FIELD;maldishonest;mascot;5200;3150;354;16;2.3;180;50;4.846;383;~1780;492.572;1435.84
valga,tapa,rapla;31_scalable_search;FIELD;maldishonest;mascot;10400;6300;704;16;2.3;180;100;8.15628;381;~3428;853.872;2518.96
valga,tapa,rapla;31_scalable_search;FIELD;maldishonest;mascot;15600;9450;1054;16;2.3;180;150;11.4815;387;~5076;1215.17;3602.07
valga,tapa,rapla;31_scalable_search;FIELD;maldishonest;mascot;20800;12600;1404;16;2.3;180;200;14.8574;384;~6724;1576.47;4685.19
valga,tapa,rapla;31_scalable_search;FIELD;maldishonest;mascot;26000;15750;1754;16;2.3;180;250;18.0975;381;~8372;1937.77;5768.31
valga,tapa,rapla;31_scalable_search;FIELD;maldishonest;mascot;31200;18900;2104;16;2.3;180;300;21.9668;381;~10054;2344.23;6986.81
valga,tapa,rapla;31_scalable_search;FIELD;maldishonest;mascot;36400;22050;2454;16;2.3;180;350;25.2254;385;~11728;2750.63;8205.18
valga,tapa,rapla;31_scalable_search;FIELD;maldishonest;mascot;41600;25200;2804;16;2.3;180;400;28.5714;388;~13376;3111.93;9288.3
valga,tapa,rapla;31_scalable_search;FIELD;maldishonest;mascot;46800;28350;3154;16;2.3;180;450;32.1055;386;~15024;3473.23;10371.4
valga,tapa,rapla;31_scalable_search;FIELD;maldishonest;mascot;52000;31500;3504;16;2.3;180;500;35.5682;386;~16672;3834.53;11454.5
valga,tapa,rapla;31_scalable_search;FIELD;maldishonest;mascot;1040;630;74;16;2.3;120;10;2.7914;376;~446;176.474;488.193
valga,tapa,rapla;31_scalable_search;FIELD;maldishonest;mascot;5200;3150;354;16;2.3;120;50;7.21035;382;~1780;492.572;1435.84
valga,tapa,rapla;31_scalable_search;FIELD;maldishonest;mascot;10400;6300;704;16;2.3;120;100;12.1593;382;~3428;853.872;2518.96
valga,tapa,rapla;31_scalable_search;FIELD;maldishonest;mascot;15600;9450;1054;16;2.3;120;150;16.7085;386;~5076;1215.17;3602.07
valga,tapa,rapla;31_scalable_search;FIELD;maldishonest;mascot;20800;12600;1404;16;2.3;120;200;21.3469;381;~6724;1576.47;4685.19
valga,tapa,rapla;31_scalable_search;FIELD;maldishonest;mascot;26000;15750;1754;16;2.3;120;250;26.6654;389;~8372;1937.77;5768.31
valga,tapa,rapla;31_scalable_search;FIELD;maldishonest;mascot;31200;18900;2104;16;2.3;120;300;31.6959;392;~10054;2344.23;6986.81
valga,tapa,rapla;31_scalable_search;FIELD;maldishonest;mascot;36400;22050;2454;16;2.3;120;350;37.5145;390;~11728;2750.63;8205.18
