comp.time(s)  comp.peakRAM(MiB)  bin.filesize(MiB)  datatype  protocol  input_size  preprocess  runtime_internal(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)
0.00          3                  NA                 1         1          128         0           0.001449s            0.00                 3             66
0.00          5                  NA                 1         1          256         0           0.002072s            0.00                 5             87
0.01          3                  NA                 1         1          384         0           0.003037s            0.01                 3             75
0.01          4                  NA                 1         1          512         0           0.003564s            0.01                 4             69
0.00          4                  NA                 1         1          640         0           0.003827s            0.00                 4             100
0.00          4                  NA                 1         1          768         0           0.003687s            0.00                 4             85
0.01          4                  NA                 1         1          896         0           0.004852s            0.01                 4             90
0.01          6                  NA                 1         1          1024        0           0.005149s            0.01                 6             84
0.01          4                  NA                 1         1          1152        0           0.005612s            0.01                 4             100
0.01          4                  NA                 1         1          1280        0           0.006582s            0.01                 4             92
0.01          4                  NA                 1         1          1408        0           0.006832s            0.01                 4             85
0.01          4                  NA                 1         1          1536        0           0.006545s            0.01                 4             76
0.01          6                  NA                 1         1          1664        0           0.008309s            0.01                 6             80
0.01          4                  NA                 1         1          1792        0           0.008327s            0.01                 4             80
0.01          4                  NA                 1         1          1920        0           0.007486s            0.01                 4             71
0.01          6                  NA                 1         1          2048        0           0.009048s            0.01                 6             93
0.01          4                  NA                 1         1          2176        0           0.008838s            0.01                 4             73
0.02          4                  NA                 1         1          2304        0           0.010264s            0.02                 4             80
0.02          4                  NA                 1         1          2432        0           0.009639s            0.02                 4             73
0.01          6                  NA                 1         1          2560        0           0.011292s            0.01                 6             89
1.02          6                  NA                 1         1          2688        0           1.016961s            1.02                 6             1
0.01          5                  NA                 1         1          2816        0           0.010826s            0.01                 5             75
0.02          5                  NA                 1         1          2944        0           0.012180s            0.02                 5             83
0.02          5                  NA                 1         1          3072        0           0.011244s            0.02                 5             60
0.03          5                  NA                 1         1          3200        0           0.013644s            0.03                 5             80
0.02          5                  NA                 1         1          3328        0           0.011069s            0.02                 5             70
0.02          8                  NA                 1         1          3456        0           0.014544s            0.02                 8             95
0.02          5                  NA                 1         1          3584        0           0.013030s            0.02                 5             64
0.02          5                  NA                 1         1          3712        0           0.012727s            0.02                 5             83
0.02          5                  NA                 1         1          3840        0           0.016209s            0.02                 5             88
0.02          5                  NA                 1         1          3968        0           0.015458s            0.02                 5             81
0.03          5                  NA                 1         1          4096        0           0.016635s            0.03                 5             78
0.00          3                  NA                 1         2          128         0           0.002146s            0.00                 3             80
0.01          3                  NA                 1         2          256         0           0.002693s            0.01                 3             60
0.00          4                  NA                 1         2          384         0           0.003343s            0.00                 4             85
0.01          4                  NA                 1         2          512         0           0.004460s            0.01                 4             60
0.02          5                  NA                 1         2          640         0           0.005022s            0.02                 5             65
0.01          4                  NA                 1         2          768         0           0.005321s            0.01                 4             62
0.01          4                  NA                 1         2          896         0           0.006808s            0.01                 4             63
0.01          4                  NA                 1         2          1024        0           0.006527s            0.01                 4             80
0.01          4                  NA                 1         2          1152        0           0.008443s            0.01                 4             85
0.02          4                  NA                 1         2          1280        0           0.009430s            0.02                 4             69
0.02          4                  NA                 1         2          1408        0           0.008423s            0.02                 4             54
0.02          4                  NA                 1         2          1536        0           0.010577s            0.02                 4             72
0.01          4                  NA                 1         2          1664        0           0.010444s            0.01                 4             78
0.01          4                  NA                 1         2          1792        0           0.011617s            0.01                 4             84
0.02          4                  NA                 1         2          1920        0           0.013223s            0.02                 4             74
0.02          6                  NA                 1         2          2048        0           0.014797s            0.02                 6             80
0.01          4                  NA                 1         2          2176        0           0.013628s            0.01                 4             72
0.02          5                  NA                 1         2          2304        0           0.016008s            0.02                 5             76
0.02          5                  NA                 1         2          2432        0           0.014594s            0.02                 5             64
0.02          6                  NA                 1         2          2560        0           0.016847s            0.02                 6             84
0.02          5                  NA                 1         2          2688        0           0.017284s            0.02                 5             84
0.02          6                  NA                 1         2          2816        0           0.017980s            0.02                 6             81
0.02          6                  NA                 1         2          2944        0           0.017362s            0.02                 6             72
0.02          5                  NA                 1         2          3072        0           0.019613s            0.02                 5             86
0.03          5                  NA                 1         2          3200        0           0.020593s            0.03                 5             83
0.04          5                  NA                 1         2          3328        0           0.021616s            0.04                 5             72
0.03          5                  NA                 1         2          3456        0           0.021638s            0.03                 5             81
0.03          7                  NA                 1         2          3584        0           0.021967s            0.03                 7             77
0.03          7                  NA                 1         2          3712        0           0.022887s            0.03                 7             78
0.02          5                  NA                 1         2          3840        0           0.021820s            0.02                 5             72
0.03          5                  NA                 1         2          3968        0           0.024386s            0.03                 5             80
0.03          5                  NA                 1         2          4096        0           0.025712s            0.03                 5             81
0.01          4                  NA                 1         ..         128         0           0.005104s            0.01                 4             66
0.01          4                  NA                 1         ..         256         0           0.005569s            0.01                 4             90
0.01          4                  NA                 1         ..         384         0           0.005501s            0.01                 4             80
