comp.time(s);comp.peakRAM(MiB);bin.filesize(MiB);datatype;optshare;packbool;protocol;input_size;preprocess;splitroles;inittime(s);preproc(s);runtime_clock(s);runtime_getTime(s);runtime_chrono(s);runtime_external(s);peakRAM(MiB);jobCPU(%)
1.54;214;1;8;1;0;1;4096;0;0;0.001775;NA;0.010364;0.008924;0.008923;0.01;5;100
1.48;213;1;8;1;0;2;4096;0;0;0.003027;NA;0.008630;0.009027;0.009026;0.02;6;95
1.47;213;1;8;1;0;3;4096;0;0;0.002264;NA;0.005877;0.009836;0.009835;0.01;5;77
1.34;213;1;8;1;0;4;4096;0;0;0.001360;NA;0.005645;0.007947;0.007947;0.01;5;84
1.68;213;1;8;1;0;5;4096;0;0;0.002347;NA;0.007103;0.010017;0.010016;0.01;7;77
1.43;213;1;8;1;0;6;4096;0;0;0.001315;NA;0.002812;0.003539;0.003539;0.01;5;83
1.55;215;1;64;1;0;1;4096;0;0;0.003027;NA;0.022362;0.017133;0.017132;0.03;19;109
1.43;215;1;64;1;0;2;4096;0;0;0.006058;NA;0.019457;0.023077;0.023076;0.04;21;90
1.40;213;1;64;1;0;3;4096;0;0;0.005350;NA;0.013132;0.020942;0.020941;0.03;15;78
1.70;214;1;64;1;0;4;4096;0;0;0.004206;NA;0.012837;0.019920;0.019919;0.03;15;76
1.68;214;1;64;1;0;5;4096;0;0;0.005209;NA;0.015308;0.019392;0.019391;0.03;17;88
1.52;214;1;64;1;0;6;4096;0;0;0.002287;NA;0.007459;0.010352;0.010351;0.02;13;86
