comp.time(s);comp.peakRAM(MiB);bin.filesize(MiB);ssl;threads;datatype;function;optshare;packbool;protocol;rxbuffer;txbuffer;bandwidths(Mbs);input_size;preprocess;splitroles;inittime(s);preproc(s);runtime_clock(s);runtime_getTime(s);runtime_chrono(s);runtime_external(s);peakRAM(MiB);jobCPU(%)
1.74;216;1;0;6;512;0;1;0;1;0;0;1500;81920;0;0;.004464;NA;.329913;1.780578;1.780578;1.950000;2543;126
1.48;217;1;0;6;512;0;1;0;1;0;0;1400;81920;0;0;.003971;NA;.356779;1.931682;1.931681;2.078333;2543;125
1.68;217;1;0;6;512;0;1;0;1;0;0;1300;81920;0;0;.004192;NA;.331575;2.077647;2.077647;2.223333;2543;111
1.87;217;1;0;6;512;0;1;0;1;0;0;1200;81920;0;0;.003759;NA;.334703;2.236202;2.236202;2.381666;2543;104
1.75;216;1;0;6;512;0;1;0;1;0;0;1100;81920;0;0;.004228;NA;.350221;2.348472;2.348471;2.590000;2543;101
1.39;217;1;0;6;512;0;1;0;1;0;0;1000;81920;0;0;.004734;NA;.369588;2.651246;2.651246;2.865000;2543;94
1.52;217;1;0;6;512;0;1;0;1;0;0;900;81920;0;0;.004189;NA;.397885;2.929818;2.929818;3.121666;2543;91
1.66;216;1;0;6;512;0;1;0;1;0;0;800;81920;0;0;.003475;NA;.395924;3.145614;3.145614;3.505000;2543;81
1.69;217;1;0;6;512;0;1;0;1;0;0;700;81920;0;0;.004494;NA;.417181;3.574563;3.574563;3.985000;2543;76
1.57;217;1;0;6;512;0;1;0;1;0;0;600;81920;0;0;.004776;NA;.436422;4.466369;4.466369;4.611666;2543;67
1.51;216;1;0;6;512;0;1;0;1;0;0;500;81920;0;0;.004008;NA;.491031;5.286018;5.286018;5.501666;2543;61
1.63;217;1;0;6;512;0;1;0;1;0;0;400;81920;0;0;.003955;NA;.546938;6.629658;6.629658;6.861666;2543;54
1.71;218;1;0;6;512;0;1;0;1;0;0;300;81920;0;0;.003966;NA;.663571;8.935458;8.935458;9.058333;2543;49
1.40;220;1;0;6;512;0;1;0;1;0;0;200;81920;0;0;.003689;NA;.689383;13.158932;13.158932;13.518333;2543;34
1.69;217;1;0;6;512;0;1;0;1;0;0;100;81920;0;0;.003950;NA;.745373;26.690768;26.690767;26.865000;2543;18
1.61;216;1;0;6;512;0;1;0;2;0;0;1500;81920;0;0;.006985;NA;.316818;2.932987;2.932986;3.756666;2553;63
1.55;217;1;0;6;512;0;1;0;2;0;0;1400;81920;0;0;.007502;NA;.321875;3.235766;3.235766;4.053333;2553;61
1.50;216;1;0;6;512;0;1;0;2;0;0;1300;81920;0;0;.006186;NA;.324126;3.468341;3.468341;4.323333;2553;55
1.48;216;1;0;6;512;0;1;0;2;0;0;1200;81920;0;0;.007095;NA;.329662;4.077499;4.077499;4.630000;2553;53
1.63;217;1;0;6;512;0;1;0;2;0;0;1100;81920;0;0;.006244;NA;.302958;3.950058;3.950058;5.040000;2553;45
1.60;216;1;0;6;512;0;1;0;2;0;0;1000;81920;0;0;.005854;NA;.339219;4.574015;4.574015;5.521666;2553;45
1.63;217;1;0;6;512;0;1;0;2;0;0;900;81920;0;0;.007037;NA;.339379;5.089374;5.089374;6.158333;2553;41
1.68;220;1;0;6;512;0;1;0;2;0;0;800;81920;0;0;.007092;NA;.338879;5.701373;5.701373;6.880000;2553;36
1.47;217;1;0;6;512;0;1;0;2;0;0;700;81920;0;0;.006234;NA;.332290;6.411892;6.411892;7.826666;2553;31
1.67;215;1;0;6;512;0;1;0;2;0;0;600;81920;0;0;.005822;NA;.329249;8.195551;8.195551;9.128333;2553;26
1.64;216;1;0;6;512;0;1;0;2;0;0;500;81920;0;0;.006798;NA;.344659;8.870168;8.870168;10.896666;2553;23
1.67;216;1;0;6;512;0;1;0;2;0;0;400;81920;0;0;.006200;NA;.363613;11.707318;11.707318;13.593333;2553;19
1.47;216;1;0;6;512;0;1;0;2;0;0;300;81920;0;0;.005398;NA;.472316;16.965861;16.965860;18.045000;2553;18
1.62;217;1;0;6;512;0;1;0;2;0;0;200;81920;0;0;.006750;NA;.543256;25.772863;25.772863;26.961666;2553;13
1.54;216;1;0;6;512;0;1;0;2;0;0;100;81920;0;0;.002220;NA;.179527;15.886720;15.886720;50.000000;2553;2
