nodes;program;c.domain;adv.model;protocol;partysize;freqs(GHz);quotas(%);input_size;runtime(s);maxPhyRAM(MiB);P0commRounds;P0dataSent(MB);ALLdataSent(MB)
todd,ned,rod;35_set_intersection;BINARY;semidishonest;yao;2;3;240;3;0.0174791;NA;NA;0.123168;NA
todd,ned,rod;35_set_intersection;BINARY;semidishonest;yao;2;3;240;4;0.019168;NA;NA;0.196736;NA
todd,ned,rod;35_set_intersection;BINARY;semidishonest;yao;2;3;240;5;0.0193766;NA;NA;0.28656;NA
todd,ned,rod;35_set_intersection;BINARY;semidishonest;yao;2;3;240;6;0.0215522;NA;NA;0.39264;NA
todd,ned,rod;35_set_intersection;BINARY;semidishonest;yao;2;3;240;7;0.0233461;NA;NA;0.514976;NA
todd,ned,rod;35_set_intersection;BINARY;semidishonest;yao;2;3;240;8;0.0261593;NA;NA;0.653568;NA
todd,ned,rod;35_set_intersection;BINARY;semidishonest;yao;2;3;240;9;0.0270779;NA;NA;0.808416;NA
todd,ned,rod;35_set_intersection;BINARY;semidishonest;yao;2;3;240;10;0.0298087;NA;NA;0.97952;NA
todd,ned,rod;35_set_intersection;BINARY;semidishonest;yao;2;3;240;11;0.0316435;NA;NA;1.16688;NA
todd,ned,rod;35_set_intersection;BINARY;semidishonest;yao;2;3;240;12;0.0343256;NA;NA;1.3705;NA
todd,ned,rod;35_set_intersection;BINARY;semidishonest;yao;2;3;240;13;0.0348005;NA;NA;1.59037;NA
todd,ned,rod;35_set_intersection;BINARY;semidishonest;yao;2;3;180;3;0.0173304;NA;NA;0.123168;NA
todd,ned,rod;35_set_intersection;BINARY;semidishonest;yao;2;3;180;4;0.0187585;NA;NA;0.196736;NA
todd,ned,rod;35_set_intersection;BINARY;semidishonest;yao;2;3;180;5;0.0199676;NA;NA;0.28656;NA
todd,ned,rod;35_set_intersection;BINARY;semidishonest;yao;2;3;180;6;0.0209215;NA;NA;0.39264;NA
