comp.time(s)  comp.peakRAM(MiB)  bin.filesize(MiB)  datatype  optshare  packbool  protocol  latencies(ms)  input_size  preprocess  splitroles  inittime(s)  preproc(s)  runtime_clock(s)  runtime_getTime(s)  runtime_chrono(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)
1.48          232                1                  256       1         0         1         1              1024        0           0           0.001403     NA          0.012233          0.056225            0.056224           0.07                 19            27
1.44          232                1                  256       1         0         1         1              4096        0           0           0.005500     NA          0.031752          0.077991            0.077990           0.14                 67            59
1.48          233                1                  256       1         0         1         1              8192        0           0           0.004986     NA          0.048315          0.103400            0.103399           0.18                 130           67
1.46          233                1                  256       1         0         1         5              1024        0           0           0.001908     NA          0.013735          0.236777            0.236776           0.26                 19            11
1.47          232                1                  256       1         0         1         5              4096        0           0           0.004833     NA          0.032011          0.301335            0.301334           0.37                 67            22
1.48          233                1                  256       1         0         1         5              8192        0           0           0.004977     NA          0.056942          0.359299            0.359298           0.45                 130           28
1.47          232                1                  256       1         0         1         10             1024        0           0           0.001873     NA          0.013862          0.468767            0.468766           0.52                 19            5
1.48          232                1                  256       1         0         1         10             4096        0           0           0.002394     NA          0.034331          0.573497            0.573497           0.66                 67            8
1.48          232                1                  256       1         0         1         10             8192        0           0           0.005272     NA          0.056858          0.699175            0.699174           0.81                 130           15
1.47          233                1                  256       1         0         1         20             1024        0           0           0.000944     NA          0.011890          1.298371            1.298370           1.38                 19            1
1.45          231                1                  256       1         0         1         20             4096        0           0           0.002617     NA          0.028344          1.236443            1.236442           1.35                 67            3
1.48          232                1                  256       1         0         1         20             8192        0           0           0.005120     NA          0.055143          1.438544            1.438544           1.58                 131           6
1.47          232                1                  256       1         0         1         40             1024        0           0           0.001954     NA          0.013741          1.857234            1.857233           1.98                 19            1
1.47          232                1                  256       1         0         1         40             4096        0           0           0.002374     NA          0.036635          3.304458            3.304457           3.48                 67            1
1.47          231                1                  256       1         0         1         40             8192        0           0           0.005079     NA          0.059969          8.802394            8.802393           9.00                 130           1
1.48          233                1                  256       1         0         1         60             1024        0           0           0.002017     NA          0.013265          2.775709            2.775708           2.98                 19            1
1.46          233                1                  256       1         0         1         60             4096        0           0           0.004697     NA          0.029818          8.889163            8.889162           9.12                 67            0
1.48          232                1                  256       1         0         1         60             8192        0           0           0.004696     NA          0.050097          8.838666            8.838665           9.08                 131           1
1.46          232                1                  256       1         0         1         80             1024        0           0           0.001951     NA          0.013598          4.501482            4.501481           4.76                 19            0
1.49          233                1                  256       1         0         1         80             4096        0           0           0.004643     NA          0.036619          9.007716            9.007715           9.30                 67            0
1.45          233                1                  256       1         0         1         80             8192        0           0           0.004906     NA          0.060135          17.264904           17.264903          17.57                131           0
1.48          232                1                  256       1         0         1         100            1024        0           0           0.002005     NA          0.012874          5.219768            5.219767           5.53                 19            0
1.47          233                1                  256       1         0         1         100            4096        0           0           0.004762     NA          0.033410          8.879107            8.879106           9.24                 67            0
1.44          233                1                  256       1         0         1         100            8192        0           0           0.004722     NA          0.058773          18.702649           18.702647          19.08                130           0
1.48          233                1                  256       1         0         1         300            1024        0           0           0.002034     NA          0.013120          13.815707           13.815706          14.72                19            0
1.47          232                1                  256       1         0         1         300            4096        0           0           0.004767     NA          0.031980          35.090188           35.090187          36.04                67            0
1.47          236                1                  256       1         0         1         300            8192        0           0           0.004857     NA          0.056993          55.615828           55.615827          56.56                131           0
1.47          233                1                  256       1         0         1         500            1024        0           0           0.002008     NA          0.012405          23.016386           23.016385          24.53                19            0
1.44          231                1                  256       1         0         1         500            4096        0           0           0.002472     NA          0.035484          57.434661           57.434660          58.99                67            0
1.44          232                1                  256       1         0         1         500            8192        0           0           0.004684     NA          0.060908          95.021577           95.021575          96.56                132           0
1.48          231                1                  256       1         0         1         1000           1024        0           0           0.001973     NA          0.013682          60.023445           60.023444          63.03                19            0
1.48          233                1                  256       1         0         1         1000           4096        0           0           0.004488     NA          0.032074          96.043027           96.043026          99.09                67            0
1.46          233                1                  256       1         0         1         1000           8192        0           0           0.004791     NA          0.056821          180.707907          180.707906         183.78               132           0
1.45          231                1                  256       1         0         2         1              1024        0           0           0.002522     NA          0.013458          0.068749            0.068748           0.09                 21            34
1.46          232                1                  256       1         0         2         1              4096        0           0           0.007056     NA          0.027060          0.126853            0.126852           0.18                 75            44
1.45          231                1                  256       1         0         2         1              8192        0           0           0.007851     NA          0.045501          0.193207            0.193207           0.27                 147           44
1.46          232                1                  256       1         0         2         5              1024        0           0           0.002586     NA          0.013954          0.302642            0.302642           0.34                 21            9
1.46          232                1                  256       1         0         2         5              4096        0           0           0.006936     NA          0.028919          0.317472            0.317471           0.39                 75            21
1.45          232                1                  256       1         0         2         5              8192        0           0           0.007896     NA          0.048892          0.432263            0.432262           0.52                 147           24
1.45          232                1                  256       1         0         2         10             1024        0           0           0.002586     NA          0.012807          0.684409            0.684408           0.73                 21            4
1.44          232                1                  256       1         0         2         10             4096        0           0           0.007050     NA          0.028943          0.955799            0.955798           1.03                 75            7
1.45          232                1                  256       1         0         2         10             8192        0           0           0.007705     NA          0.056862          1.297013            1.297013           1.40                 147           9
1.45          232                1                  256       1         0         2         20             1024        0           0           0.002429     NA          0.013679          1.284629            1.284627           1.37                 21            2
1.45          232                1                  256       1         0         2         20             4096        0           0           0.003771     NA          0.027814          1.984076            1.984076           2.10                 75            2
1.46          231                1                  256       1         0         2         20             8192        0           0           0.007306     NA          0.055579          2.357997            2.357997           2.49                 147           4
1.46          231                1                  256       1         0         2         40             1024        0           0           0.002591     NA          0.013209          2.838670            2.838669           2.98                 21            1
