nodes;program;c.domain;adv.model;protocol;partysize;comp.P0intin;comp.P1intin;comp.P2intin;comp.P0bitin;comp.P1bitin;compP2bitin;comp.intbits;comp.inttriples;comp.bittriples;comp.vmrounds;cpus;freqs(GHz);quotas(%);input_size;runtime(s);maxPhyRAM(MiB);P0commRounds;P0dataSent(MB);ALLdataSent(MB);Tx(MB);Tx(rounds);Tx(s);Rx(MB);Rx(rounds);Rx(s);Brcasting(MB);Brcasting(rounds);Brcasting(s);TxRx(MB);TxRx(rounds);TxRx(s);Passing(MB);Passing(rounds);Passing(s);Part.Brcasting(MB);Part.Brcasting(rounds);Part.Brcasting(s);Ex(MB);Ex(rounds);Ex(s);Ex1to1(MB);Ex1to1(rounds);Ex1to1(s);Rx1to1(MB);Rx1to1(rounds);Rx1to1(s);Tx1to1(MB);Tx1to1(rounds);Tx1to1(s);Txtoall(MB);Txtoall(rounds);Txtoall(s)
todd,ned,rod;35_set_intersection;FIELD;maldishonest;mascot;3;10;1;NA;NA;NA;NA;1040;630;NA;74;4;2;240;10;1.83598;NA;~446;176.474;488.193;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
todd,ned,rod;35_set_intersection;FIELD;maldishonest;mascot;3;100;1;NA;NA;NA;NA;10400;6300;NA;704;4;2;240;100;7.70413;NA;~3428;853.872;2518.96;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
todd,ned,rod;35_set_intersection;FIELD;maldishonest;mascot;3;10;1;NA;NA;NA;NA;1040;630;NA;74;4;2;800;10;1.84729;NA;~446;176.474;488.193;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
todd,ned,rod;35_set_intersection;FIELD;maldishonest;mascot;3;100;1;NA;NA;NA;NA;10400;6300;NA;704;4;2;800;100;7.6922;NA;~3428;853.872;2518.96;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
todd,ned,rod;35_set_intersection;FIELD;maldishonest;mascot;3;10;1;NA;NA;NA;NA;1040;630;NA;74;4;2.6;240;10;1.69924;NA;~446;176.474;488.193;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
todd,ned,rod;35_set_intersection;FIELD;maldishonest;mascot;3;100;1;NA;NA;NA;NA;10400;6300;NA;704;4;2.6;240;100;7.0579;NA;~3428;853.872;2518.96;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
todd,ned,rod;35_set_intersection;FIELD;maldishonest;mascot;3;10;1;NA;NA;NA;NA;1040;630;NA;74;4;2.6;800;10;1.70564;NA;~446;176.474;488.193;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
todd,ned,rod;35_set_intersection;FIELD;maldishonest;mascot;3;100;1;NA;NA;NA;NA;10400;6300;NA;704;4;2.6;800;100;7.02036;NA;~3428;853.872;2518.96;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
todd,ned,rod;35_set_intersection;FIELD;maldishonest;mascot;3;10;1;NA;NA;NA;NA;1040;630;NA;74;8;2;240;10;1.90712;NA;~446;176.474;488.193;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
todd,ned,rod;35_set_intersection;FIELD;maldishonest;mascot;3;100;1;NA;NA;NA;NA;10400;6300;NA;704;8;2;240;100;7.59733;NA;~3428;853.872;2518.96;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
todd,ned,rod;35_set_intersection;FIELD;maldishonest;mascot;3;10;1;NA;NA;NA;NA;1040;630;NA;74;8;2;800;10;1.86373;NA;~446;176.474;488.193;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
todd,ned,rod;35_set_intersection;FIELD;maldishonest;mascot;3;100;1;NA;NA;NA;NA;10400;6300;NA;704;8;2;800;100;7.58751;NA;~3428;853.872;2518.96;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
