program;c.domain;adv.model;protocol;partysize;comp.time(s);comp.peakRAM(MiB);bin.filesize(MiB);comp.P0intin;comp.P1intin;comp.P2intin;comp.P0bitin;comp.P1bitin;compP2bitin;comp.intbits;comp.inttriples;comp.bittriples;comp.vmrounds;latencies(ms);input_size;runtime_internal(s);runtime_external(s);peakRAM(MiB);jobCPU(%);P0commRounds;P0dataSent(MB);ALLdataSent(MB);Tx(MB);Tx(rounds);Tx(s);Rx(MB);Rx(rounds);Rx(s);Brcasting(MB);Brcasting(rounds);Brcasting(s);TxRx(MB);TxRx(rounds);TxRx(s);Passing(MB);Passing(rounds);Passing(s);Part.Brcasting(MB);Part.Brcasting(rounds);Part.Brcasting(s);Ex(MB);Ex(rounds);Ex(s);Ex1to1(MB);Ex1to1(rounds);Ex1to1(s);Rx1to1(MB);Rx1to1(rounds);Rx1to1(s);Tx1to1(MB);Tx1to1(rounds);Tx1to1(s);Txtoall(MB);Txtoall(rounds);Txtoall(s)
31;FIELD;maldishonest;mascot;3;0.26;28;1;30;1;NA;NA;NA;NA;3120;1890;NA;213;0;30;2.51808;2.60;379;155;~1096;311.974;894.386;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
31;FIELD;maldishonest;mascot;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5;30;5.86632;6.14;380;79;~1096;311.974;894.386;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
31;FIELD;maldishonest;mascot;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;10;30;9.4341;9.90;381;59;~1096;311.974;894.386;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
31;FIELD;maldishonest;mascot;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;15;30;13.137;13.79;380;51;~1096;311.974;894.386;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
31;FIELD;maldishonest;mascot;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;20;30;16.7855;17.62;378;47;~1096;311.974;894.386;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
31;FIELD;maldishonest;mascot;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;25;30;20.3379;21.35;380;43;~1096;311.974;894.386;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
31;FIELD;maldishonest;mascot;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;30;30;23.9723;25.15;380;41;~1096;311.974;894.386;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
31;FIELD;maldishonest;mascot;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;35;30;27.5705;28.92;377;39;~1096;311.974;894.386;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
31;FIELD;maldishonest;mascot;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;40;30;31.3302;32.83;382;39;~1096;311.974;894.386;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
31;FIELD;maldishonest;mascot;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;45;30;34.9067;36.60;380;38;~1096;311.974;894.386;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
31;FIELD;maldishonest;mascot;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;50;30;38.5459;40.42;380;38;~1096;311.974;894.386;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
31;FIELD;semidishonest;hemi;3;0.26;28;1;30;1;NA;NA;NA;NA;3120;1890;NA;213;0;30;0.484486;0.57;45;87;~879;3.52423;10.1947;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
