nodes                                                                               program              c.domain  adv.model      protocol  comp.intbits  comp.inttriples  comp.vmrounds  input_size  runtime(s)  maxPhyRAM(MiB)  P0commRounds  P0dataSent(MB)  ALLdataSent(MB)
bitcoin,bitcoincash,bitcoingold,dogecoin,dogecoincash,dogecoingold,ether,ethercash  35_set_intersection  BINARY    semidishonest  semi-bin  NA            68888            6577           8           2.49795     644             NA            83.9346         NA
bitcoin,bitcoincash,bitcoingold,dogecoin,dogecoincash,dogecoingold,ether,ethercash  35_set_intersection  BINARY    semidishonest  semi-bin  NA            103890           9481           10          3.33119     654             NA            87.8549         NA
bitcoin,bitcoincash,bitcoingold,dogecoin,dogecoincash,dogecoingold,ether,ethercash  35_set_intersection  BINARY    semidishonest  semi-bin  NA            146004           12889          12          4.0539      648             NA            92.5718         NA
bitcoin,bitcoincash,bitcoingold,dogecoin,dogecoincash,dogecoingold,ether,ethercash  35_set_intersection  BINARY    semidishonest  semi-bin  NA            195230           16801          14          4.96607     649             NA            98.0852         NA
bitcoin,bitcoincash                                                                 35_set_intersection  BINARY    semidishonest  yao       NA            40998            4177           6           0.0402031   11              NA            1.31232         NA
bitcoin,bitcoincash                                                                 35_set_intersection  BINARY    semidishonest  yao       NA            68888            6577           8           0.0592738   12              NA            2.20493         NA
bitcoin,bitcoincash                                                                 35_set_intersection  BINARY    semidishonest  yao       NA            103890           9481           10          0.0796656   12              NA            3.32512         NA
bitcoin,bitcoincash                                                                 35_set_intersection  BINARY    semidishonest  yao       NA            146004           12889          12          0.107681    12              NA            4.6729          NA
bitcoin,bitcoincash                                                                 35_set_intersection  BINARY    semidishonest  yao       NA            195230           16801          14          0.143031    13              NA            6.24826         NA
bitcoin,bitcoincash                                                                 35_set_intersection  BINARY    semidishonest  yaoO      NA            40998            4177           6           0.0146946   11              NA            0               NA
bitcoin,bitcoincash                                                                 35_set_intersection  BINARY    semidishonest  yaoO      NA            68888            6577           8           0.0369178   13              NA            0               NA
bitcoin,bitcoincash                                                                 35_set_intersection  BINARY    semidishonest  yaoO      NA            103890           9481           10          0.0535063   14              NA            0               NA
bitcoin,bitcoincash                                                                 35_set_intersection  BINARY    semidishonest  yaoO      NA            146004           12889          12          0.0768106   15              NA            0               NA
bitcoin,bitcoincash                                                                 35_set_intersection  BINARY    semidishonest  yaoO      NA            195230           16801          14          0.10626     17              NA            0               NA
bitcoin,bitcoincash,bitcoingold,dogecoin,dogecoincash,dogecoingold,ether,ethercash  35_set_intersection  BINARY    semidishonest  semi-bmr  NA            40998            4177           6           573.878     823             NA            39282.4         NA
bitcoin,bitcoincash,bitcoingold,dogecoin,dogecoincash,dogecoingold,ether,ethercash  35_set_intersection  BINARY    semidishonest  semi-bmr  NA            68888            6577           8           934.473     1270            NA            66022           NA
bitcoin,bitcoincash,bitcoingold,dogecoin,dogecoincash,dogecoingold,ether,ethercash  35_set_intersection  BINARY    semidishonest  semi-bmr  NA            103890           9481           10          1488.84     1764            NA            99555.6         NA
bitcoin,bitcoincash,bitcoingold,dogecoin,dogecoincash,dogecoingold,ether,ethercash  35_set_intersection  BINARY    semidishonest  semi-bmr  NA            146004           12889          12          2300.75     2443            NA            139912          NA
bitcoin,bitcoincash,bitcoingold,dogecoin,dogecoincash,dogecoingold,ether,ethercash  35_set_intersection  BINARY    semidishonest  semi-bmr  NA            195230           16801          14          3041.14     3128            NA            187062          NA
