comp.time(s)  comp.peakRAM(MiB)  bin.filesize(MiB)  datatype  optshare  packbool  protocol  latencies(ms)  bandwidths(Mbs)  input_size  preprocess  splitroles  inittime(s)  preproc(s)  runtime_clock(s)  runtime_getTime(s)  runtime_chrono(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)
3.07          234                1                  256       1         0         1         1              1000             1024        0           0           0.002010     NA          0.022792          0.057051            0.057050           0.08                 19            55
3.06          235                1                  256       1         0         1         1              1000             4096        0           0           0.006940     NA          0.092078          0.210158            0.210157           0.26                 67            55
3.07          235                1                  256       1         0         1         1              1000             8192        0           0           0.012700     NA          0.162504          0.492917            0.492916           0.59                 130           44
3.08          233                1                  256       1         0         1         1              800              1024        0           0           0.002260     NA          0.021972          0.063637            0.063636           0.08                 25            52
3.07          235                1                  256       1         0         1         1              800              4096        0           0           0.006905     NA          0.093408          0.242898            0.242897           0.30                 67            50
3.07          235                1                  256       1         0         1         1              800              8192        0           0           0.012828     NA          0.172696          0.489125            0.489124           0.59                 130           46
3.07          234                1                  256       1         0         1         1              600              1024        0           0           0.001907     NA          0.024483          0.074115            0.074113           0.10                 19            44
3.06          235                1                  256       1         0         1         1              600              4096        0           0           0.006669     NA          0.092731          0.286216            0.286215           0.35                 67            44
3.10          235                1                  256       1         0         1         1              600              8192        0           0           0.012924     NA          0.168593          0.536923            0.536922           0.63                 130           42
3.07          235                1                  256       1         0         1         1              400              1024        0           0           0.002069     NA          0.029153          0.109897            0.109895           0.12                 19            36
3.08          235                1                  256       1         0         1         1              400              4096        0           0           0.007158     NA          0.107907          0.430114            0.430114           0.48                 67            34
3.08          235                1                  256       1         0         1         1              400              8192        0           0           0.012692     NA          0.190809          0.816079            0.816078           0.92                 130           31
3.08          235                1                  256       1         0         1         1              200              1024        0           0           0.002272     NA          0.034869          0.202542            0.202540           0.22                 19            24
3.07          234                1                  256       1         0         1         1              200              4096        0           0           0.007027     NA          0.138479          0.738386            0.738385           0.79                 71            24
3.09          234                1                  256       1         0         1         1              200              8192        0           0           0.012923     NA          0.251317          1.623721            1.623720           1.73                 130           20
3.08          234                1                  256       1         0         1         1              100              1024        0           0           0.002091     NA          0.049286          0.369514            0.369513           0.38                 19            16
3.06          235                1                  256       1         0         1         1              100              4096        0           0           0.006812     NA          0.166641          1.528866            1.528865           1.59                 67            14
3.10          234                1                  256       1         0         1         1              100              8192        0           0           0.012714     NA          0.294613          2.965935            2.965934           3.07                 131           12
3.09          233                1                  256       1         0         1         1              50               1024        0           0           0.002208     NA          0.062720          0.801575            0.801574           0.82                 19            10
3.07          235                1                  256       1         0         1         1              50               4096        0           0           0.006493     NA          0.219063          2.838709            2.838708           2.90                 67            9
