comp.time(s);comp.peakRAM(MiB);bin.filesize(MiB);datatype;optshare;packbool;protocol;input_size;preprocess;splitroles;inittime(s);preproc(s);runtime_clock(s);runtime_getTime(s);runtime_chrono(s);runtime_external(s);peakRAM(MiB);jobCPU(%)
1.45;228;1;64;1;0;1;512;0;1;.000050;NA;.000614;.000802;.000801;1.45;228;100
1.48;228;1;64;1;0;1;1024;0;1;.000127;NA;.001001;.001300;.001300;1.48;228;100
1.49;228;1;64;1;0;1;1536;0;1;.000220;NA;.001306;.001514;.001514;1.49;228;100
1.44;228;1;64;1;0;1;2048;0;1;.000278;NA;.001750;.003048;.003048;1.44;228;99
1.48;227;1;64;1;0;1;2560;0;1;.000293;NA;.001742;.002779;.002779;1.48;227;99
1.49;227;1;64;1;0;1;3072;0;1;.000356;NA;.002533;.004932;.004932;1.49;227;100
1.47;227;1;64;1;0;1;3584;0;1;.000441;NA;.002995;.005799;.005799;1.47;227;99
1.47;227;1;64;1;0;1;4096;0;1;.000453;NA;.003243;.007886;.007886;1.47;227;99
1.45;227;1;64;1;0;1;4608;0;1;.000504;NA;.003465;.008055;.008055;1.45;227;100
1.48;228;1;64;1;0;1;5120;0;1;.000609;NA;.003659;.007486;.007486;1.48;228;99
1.47;228;1;64;1;0;1;5632;0;1;.000622;NA;.003427;.004885;.004885;1.47;228;100
1.48;227;1;64;1;0;1;6144;0;1;.000694;NA;.004210;.007937;.007936;1.48;227;99
1.47;229;1;64;1;0;1;6656;0;1;.000632;NA;.004137;.008823;.008823;1.47;229;99
1.46;228;1;64;1;0;1;7168;0;1;.000889;NA;.004577;.005662;.005662;1.46;228;99
1.48;228;1;64;1;0;1;7680;0;1;.000896;NA;.005472;.012317;.012317;1.48;228;99
1.47;227;1;64;1;0;1;8192;0;1;.000592;NA;.005342;.015064;.015064;1.47;227;99
1.44;226;1;64;1;0;2;512;0;1;.000053;NA;.000461;.000723;.000723;1.44;226;99
1.45;227;1;64;1;0;2;1024;0;1;.000140;NA;.000838;.001631;.001630;1.45;227;99
1.46;228;1;64;1;0;2;1536;0;1;.000270;NA;.001164;.002332;.002332;1.46;228;99
1.46;228;1;64;1;0;2;2048;0;1;.000279;NA;.001462;.003031;.003031;1.46;228;99
1.45;227;1;64;1;0;2;2560;0;1;.000380;NA;.001747;.003240;.003239;1.45;227;99
1.47;226;1;64;1;0;2;3072;0;1;.000415;NA;.001909;.003893;.003893;1.47;226;99
1.46;227;1;64;1;0;2;3584;0;1;.000604;NA;.002329;.004466;.004466;1.46;227;99
1.47;227;1;64;1;0;2;4096;0;1;.000493;NA;.002563;.005409;.005409;1.47;227;100
1.47;227;1;64;1;0;2;4608;0;1;.000629;NA;.002463;.004747;.004747;1.47;227;100
1.47;227;1;64;1;0;2;5120;0;1;.000835;NA;.003027;.004702;.004702;1.47;227;100
1.43;228;1;64;1;0;2;5632;0;1;.000794;NA;.002946;.004786;.004786;1.43;228;99
1.45;226;1;64;1;0;2;6144;0;1;.000780;NA;.003305;.006114;.006114;1.45;226;99
1.48;227;1;64;1;0;2;6656;0;1;.000904;NA;.003259;.006636;.006636;1.48;227;99
1.47;228;1;64;1;0;2;7168;0;1;.001436;NA;.003726;.006930;.006930;1.47;228;99
1.47;228;1;64;1;0;2;7680;0;1;.000821;NA;.004177;.008506;.008506;1.47;228;99
1.46;226;1;64;1;0;2;8192;0;1;.001134;NA;.004925;.012088;.012088;1.46;226;99
1.43;224;1;64;1;0;3;512;0;1;.000062;NA;.000358;.000772;.000772;1.43;224;100
1.44;225;1;64;1;0;3;1024;0;1;.000130;NA;.000667;.001402;.001402;1.44;225;99
1.42;226;1;64;1;0;3;1536;0;1;.000325;NA;.000884;.001861;.001861;1.42;226;99
1.43;225;1;64;1;0;3;2048;0;1;.000274;NA;.001106;.002451;.002450;1.43;225;100
1.41;226;1;64;1;0;3;2560;0;1;.000280;NA;.001278;.002785;.002785;1.41;226;99
1.42;225;1;64;1;0;3;3072;0;1;.000364;NA;.001687;.003206;.003205;1.42;225;99
1.41;226;1;64;1;0;3;3584;0;1;.000457;NA;.001790;.003629;.003629;1.41;226;99
1.40;226;1;64;1;0;3;4096;0;1;.000536;NA;.001729;.003504;.003504;1.40;226;99
1.43;226;1;64;1;0;3;4608;0;1;.000547;NA;.002309;.004991;.004990;1.43;226;99
1.42;226;1;64;1;0;3;5120;0;1;.000703;NA;.002340;.005258;.005257;1.42;226;99
1.40;225;1;64;1;0;3;5632;0;1;.000647;NA;.002494;.004679;.004679;1.40;225;99
1.42;225;1;64;1;0;3;6144;0;1;.000694;NA;.002325;.005987;.005986;1.42;225;99
1.42;225;1;64;1;0;3;6656;0;1;.000856;NA;.002652;.004695;.004694;1.42;225;99
1.43;226;1;64;1;0;3;7168;0;1;.000859;NA;.003013;.005851;.005851;1.43;226;99
1.40;225;1;64;1;0;3;7680;0;1;.000945;NA;.003266;.005919;.005919;1.40;225;99
1.39;225;1;64;1;0;3;8192;0;1;.001084;NA;.003332;.008341;.008340;1.39;225;99
1.40;225;1;64;1;0;4;512;0;1;.000058;NA;.000320;.000560;.000560;1.40;225;99
1.42;225;1;64;1;0;4;1024;0;1;.000222;NA;.000553;.001000;.001000;1.42;225;99
1.43;226;1;64;1;0;4;1536;0;1;.000155;NA;.000725;.001806;.001806;1.43;226;99
1.41;226;1;64;1;0;4;2048;0;1;.000680;NA;.000966;.001693;.001693;1.41;226;99
1.40;226;1;64;1;0;4;2560;0;1;.000323;NA;.001314;.002699;.002699;1.40;226;99
1.41;225;1;64;1;0;4;3072;0;1;.000582;NA;.001499;.002428;.002427;1.41;225;99
1.43;228;1;64;1;0;4;3584;0;1;.000468;NA;.001630;.004375;.004375;1.43;228;100
1.43;224;1;64;1;0;4;4096;0;1;.000563;NA;.001849;.003730;.003730;1.43;224;99
1.42;225;1;64;1;0;4;4608;0;1;.000566;NA;.002080;.005738;.005738;1.42;225;99
1.42;225;1;64;1;0;4;5120;0;1;.000557;NA;.001929;.004630;.004630;1.42;225;99
1.41;226;1;64;1;0;4;5632;0;1;.000673;NA;.002546;.005636;.005636;1.41;226;99
1.38;224;1;64;1;0;4;6144;0;1;.000755;NA;.002569;.005769;.005769;1.38;224;99
1.41;224;1;64;1;0;4;6656;0;1;.000828;NA;.002537;.005052;.005052;1.41;224;99
1.41;226;1;64;1;0;4;7168;0;1;.000895;NA;.002877;.005246;.005246;1.41;226;100
1.38;225;1;64;1;0;4;7680;0;1;.001064;NA;.003232;.008637;.008637;1.38;225;99
1.41;225;1;64;1;0;4;8192;0;1;.000937;NA;.003542;.008447;.008447;1.41;225;100
1.41;227;1;64;1;0;5;512;0;1;.000079;NA;.000396;.000787;.000787;1.41;227;99
1.42;225;1;64;1;0;5;1024;0;1;.000139;NA;.000630;.001063;.001063;1.42;225;99
1.42;226;1;64;1;0;5;1536;0;1;.000328;NA;.000958;.001737;.001737;1.42;226;99
1.42;226;1;64;1;0;5;2048;0;1;.000274;NA;.001211;.002061;.002060;1.42;226;99
1.43;226;1;64;1;0;5;2560;0;1;.000334;NA;.001446;.002728;.002728;1.43;226;99
1.42;225;1;64;1;0;5;3072;0;1;.000821;NA;.001651;.004036;.004036;1.42;225;99
1.42;225;1;64;1;0;5;3584;0;1;.000490;NA;.001848;.003925;.003925;1.42;225;99
1.42;225;1;64;1;0;5;4096;0;1;.000420;NA;.001797;.002943;.002943;1.42;225;99
1.43;226;1;64;1;0;5;4608;0;1;.000608;NA;.002421;.004705;.004705;1.43;226;99
1.42;226;1;64;1;0;5;5120;0;1;.000730;NA;.002712;.006342;.006342;1.42;226;99
1.43;227;1;64;1;0;5;5632;0;1;.000620;NA;.002666;.006167;.006167;1.43;227;99
1.42;226;1;64;1;0;5;6144;0;1;.000672;NA;.002866;.007297;.007297;1.42;226;99
1.44;226;1;64;1;0;5;6656;0;1;.000746;NA;.003042;.007843;.007843;1.44;226;99
1.42;226;1;64;1;0;5;7168;0;1;.000866;NA;.003379;.008344;.008344;1.42;226;99
1.38;226;1;64;1;0;5;7680;0;1;.000883;NA;.003366;.007885;.007884;1.38;226;99
1.43;227;1;64;1;0;5;8192;0;1;.001007;NA;.003361;.007898;.007898;1.43;227;100
1.43;226;1;64;1;0;6;512;0;1;.000023;NA;.000174;.000236;.000235;1.43;226;99
1.42;225;1;64;1;0;6;1024;0;1;.000060;NA;.000275;.000406;.000406;1.42;225;99
1.43;226;1;64;1;0;6;1536;0;1;.000100;NA;.000357;.000603;.000603;1.43;226;99
1.41;225;1;64;1;0;6;2048;0;1;.000128;NA;.000374;.000634;.000634;1.41;225;99
1.41;225;1;64;1;0;6;2560;0;1;.000160;NA;.000544;.000753;.000753;1.41;225;99
1.42;226;1;64;1;0;6;3072;0;1;.000175;NA;.000568;.001133;.001132;1.42;226;99
1.43;225;1;64;1;0;6;3584;0;1;.000272;NA;.000668;.001166;.001166;1.43;225;99
1.40;226;1;64;1;0;6;4096;0;1;.000222;NA;.000708;.001327;.001326;1.40;226;99
1.39;226;1;64;1;0;6;4608;0;1;.000227;NA;.000659;.001338;.001338;1.39;226;99
1.39;225;1;64;1;0;6;5120;0;1;.000266;NA;.000825;.001252;.001252;1.39;225;99
1.40;226;1;64;1;0;6;5632;0;1;.000243;NA;.000837;.002171;.002171;1.40;226;99
1.41;226;1;64;1;0;6;6144;0;1;.000449;NA;.000878;.002270;.002270;1.41;226;99
1.42;225;1;64;1;0;6;6656;0;1;.000336;NA;.000889;.002310;.002310;1.42;225;99
1.42;226;1;64;1;0;6;7168;0;1;.000315;NA;.001120;.002280;.002280;1.42;226;99
1.42;224;1;64;1;0;6;7680;0;1;.000371;NA;.001218;.002125;.002124;1.42;224;100
1.42;225;1;64;1;0;6;8192;0;1;.000347;NA;.001062;.002568;.002568;1.42;225;100
1.48;232;1;128;1;0;1;512;0;1;.000108;NA;.000859;.001708;.001707;1.48;232;100
1.51;232;1;128;1;0;1;1024;0;1;.000241;NA;.001295;.001582;.001581;1.51;232;99
1.49;232;1;128;1;0;1;1536;0;1;.000315;NA;.001971;.004352;.004352;1.49;232;99
1.49;232;1;128;1;0;1;2048;0;1;.000848;NA;.002697;.005636;.005636;1.49;232;99
1.51;233;1;128;1;0;1;2560;0;1;.000533;NA;.002635;.008012;.008012;1.51;233;99
1.48;232;1;128;1;0;1;3072;0;1;.000599;NA;.003546;.008275;.008275;1.48;232;100
1.49;233;1;128;1;0;1;3584;0;1;.000588;NA;.003723;.009438;.009438;1.49;233;100
1.51;232;1;128;1;0;1;4096;0;1;.000534;NA;.004236;.012907;.012907;1.51;232;99
1.50;232;1;128;1;0;1;4608;0;1;.000774;NA;.004327;.010843;.010843;1.50;232;99
