nodes;program;c.domain;adv.model;protocol;partysize;comp.P0intin;comp.P1intin;comp.P2intin;comp.P0bitin;comp.P1bitin;compP2bitin;comp.intbits;comp.inttriples;comp.bittriples;comp.vmrounds;latencies(ms);input_size;runtime(s);maxPhyRAM(MiB);P0commRounds;P0dataSent(MB);ALLdataSent(MB);Tx(MB);Tx(rounds);Tx(s);Rx(MB);Rx(rounds);Rx(s);Brcasting(MB);Brcasting(rounds);Brcasting(s);TxRx(MB);TxRx(rounds);TxRx(s);Passing(MB);Passing(rounds);Passing(s);Part.Brcasting(MB);Part.Brcasting(rounds);Part.Brcasting(s);Ex(MB);Ex(rounds);Ex(s);Ex1to1(MB);Ex1to1(rounds);Ex1to1(s);Rx1to1(MB);Rx1to1(rounds);Rx1to1(s);Tx1to1(MB);Tx1to1(rounds);Tx1to1(s);Txtoall(MB);Txtoall(rounds);Txtoall(s)
rapla,tapa,valga;35_set_intersection;FIELD;semidishonest;hemi;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;30;30;957.28;NA;~60322;139.338;398.234;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
rapla,tapa,valga;35_set_intersection;FIELD;semidishonest;hemi;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;35;30;1109.1;NA;~60322;139.338;398.234;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
rapla,tapa,valga;35_set_intersection;FIELD;semidishonest;temi;3;30;30;30;NA;NA;NA;190320;117120;NA;14671;0;30;14.2339;NA;~60551;169.066;367.859;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
rapla,tapa,valga;35_set_intersection;FIELD;semidishonest;temi;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5;30;180.878;NA;~60551;169.066;367.861;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
rapla,tapa,valga;35_set_intersection;FIELD;semidishonest;temi;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;10;30;334.489;NA;~60551;169.066;367.86;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
rapla,tapa,valga;35_set_intersection;FIELD;semidishonest;temi;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;15;30;487.458;NA;~60551;169.066;367.86;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
rapla,tapa,valga;35_set_intersection;FIELD;semidishonest;temi;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;20;30;640.592;NA;~60551;169.066;367.86;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
rapla,tapa,valga;35_set_intersection;FIELD;semidishonest;temi;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;25;30;794.258;NA;~60551;169.066;367.86;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
rapla,tapa,valga;35_set_intersection;FIELD;semidishonest;temi;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;30;30;947.599;NA;~60551;169.065;367.86;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
rapla,tapa,valga;35_set_intersection;FIELD;semidishonest;temi;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;35;30;1101.16;NA;~60551;169.066;367.86;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
rapla,tapa,valga;35_set_intersection;FIELD;semidishonest;soho;3;30;30;30;NA;NA;NA;190320;117120;NA;14671;0;30;24.1294;NA;~59505;176.52;515.892;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
rapla,tapa,valga;35_set_intersection;FIELD;semidishonest;soho;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5;30;189.101;NA;~59505;176.52;515.892;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
rapla,tapa,valga;35_set_intersection;FIELD;semidishonest;soho;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;10;30;341.258;NA;~59505;176.52;515.892;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
rapla,tapa,valga;35_set_intersection;FIELD;semidishonest;soho;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;15;30;493.142;NA;~59505;176.519;515.89;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
rapla,tapa,valga;35_set_intersection;FIELD;semidishonest;soho;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;20;30;645.201;NA;~59505;176.52;515.891;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
rapla,tapa,valga;35_set_intersection;FIELD;semidishonest;soho;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;25;30;797.066;NA;~59505;176.521;515.893;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
rapla,tapa,valga;35_set_intersection;FIELD;semidishonest;soho;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;30;30;948.48;NA;~59505;176.52;515.892;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
rapla,tapa,valga;35_set_intersection;FIELD;semidishonest;soho;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;35;30;1099.54;NA;~59505;176.519;515.891;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
