program;c.domain;adv.model;protocol;partysize;comp.time(s);comp.peakRAM(MiB);bin.filesize(MiB);input_size;runtime_internal(s);runtime_external(s);peakRAM(MiB);jobCPU(%);P0commRounds;P0dataSent(MB);ALLdataSent(MB)
31;FIELD;semihonest;shamir;3;0.27;30;1;4;0.0256766;0.09;15;73;~38;0.648352;1.62459
31;FIELD;semihonest;shamir;3;0.13;18;1;6;0.0303009;0.11;17;62;~54;0.652512;1.63685
31;FIELD;semihonest;shamir;3;0.13;18;1;8;0.0362992;0.10;15;79;~70;0.656672;1.6491
31;FIELD;semihonest;shamir;3;0.13;18;1;10;0.0451889;0.11;15;87;~86;0.660832;1.66136
31;FIELD;semihonest;shamir;3;0.13;18;1;12;0.0515049;0.12;15;80;~102;0.664992;1.67362
31;FIELD;semihonest;shamir;3;0.13;18;1;14;0.0613401;0.13;15;94;~118;0.669152;1.68587
31;FIELD;malhonest;malicious-shamir;3;0.27;30;1;4;0.0716616;0.14;25;90;~48;3.53669;10.2898
31;FIELD;malhonest;malicious-shamir;3;0.13;18;1;6;0.0746892;0.15;24;88;~62;3.54488;10.3143
31;FIELD;malhonest;malicious-shamir;3;0.13;18;1;8;0.0866519;0.16;24;93;~76;3.55307;10.3387
31;FIELD;malhonest;malicious-shamir;3;0.13;18;1;10;0.293672;0.37;23;44;~90;3.56126;10.3632
31;FIELD;malhonest;malicious-shamir;3;0.13;18;1;12;0.09736;0.17;22;96;~104;3.56946;10.3876
31;FIELD;malhonest;malicious-shamir;3;0.13;18;1;14;0.0967835;0.17;23;96;~118;3.57765;10.4121
31;RING;semihonest;replicated-ring;3;0.10;17;1;4;0.038795;0.11;15;65;~113;0.401588;0.96394
31;RING;semihonest;replicated-ring;3;0.10;17;1;6;0.0424658;0.12;15;61;~129;0.401762;0.96443
31;RING;semihonest;replicated-ring;3;0.10;17;1;8;0.0507654;0.13;15;66;~145;0.401936;0.96492
31;RING;semihonest;replicated-ring;3;0.10;17;1;10;0.0615269;0.13;17;66;~161;0.40211;0.96541
31;RING;semihonest;replicated-ring;3;0.10;17;1;12;0.0607501;0.13;15;68;~177;0.402284;0.9659
31;RING;semihonest;replicated-ring;3;0.10;17;1;14;0.0740484;0.15;15;73;~193;0.402458;0.96639
31;BINARY;semihonest;ccd;3;0.23;21;1;4;0.0387668;0.08;12;75;NA;0.002648;NA
31;BINARY;semihonest;ccd;3;0.26;22;1;6;0.0304607;0.07;10;100;NA;0.00394;NA
31;BINARY;semihonest;ccd;3;0.28;23;1;8;0.0672511;0.11;12;36;NA;0.005232;NA
31;BINARY;semihonest;ccd;3;0.20;23;1;10;0.0250196;0.06;10;100;NA;0.006524;NA
31;BINARY;semihonest;ccd;3;0.33;24;1;12;0.0522493;0.09;10;65;NA;0.007816;NA
31;BINARY;semihonest;ccd;3;0.36;25;1;14;0.104655;0.15;12;102;NA;0.009108;NA
31;BINARY;semihonest;replicated-bin;3;0.23;21;1;4;0.0251694;0.06;9;61;NA;0.001348;NA
31;BINARY;semihonest;replicated-bin;3;0.26;22;1;6;0.0177438;0.05;9;57;NA;0.001994;NA
31;BINARY;semihonest;replicated-bin;3;0.28;23;1;8;0.0663403;0.10;11;72;NA;0.00264;NA
31;BINARY;semihonest;replicated-bin;3;0.20;23;1;10;0.0214507;0.05;9;61;NA;0.003286;NA
31;BINARY;semihonest;replicated-bin;3;0.33;24;1;12;0.0449265;0.08;11;73;NA;0.003932;NA
31;BINARY;semihonest;replicated-bin;3;0.36;25;1;14;0.0642154;0.11;11;74;NA;0.004578;NA
31;BINARY;semidishonest;yao;2;0.23;21;1;4;0.017087;0.04;13;62;NA;0.033216;NA
31;BINARY;semidishonest;yao;2;0.26;22;1;6;0.0154994;0.03;13;84;NA;0.049792;NA
31;BINARY;semidishonest;yao;2;0.28;23;1;8;0.0157322;0.04;13;67;NA;0.066368;NA
31;BINARY;semidishonest;yao;2;0.20;23;1;10;0.015674;0.03;13;81;NA;0.082944;NA
31;BINARY;semidishonest;yao;2;0.33;24;1;12;0.0157285;0.03;13;91;NA;0.09952;NA
31;BINARY;semidishonest;yao;2;0.36;25;1;14;0.0173825;0.04;13;76;NA;0.116096;NA
31;BINARY;semidishonest;yaoO;2;0.23;21;1;4;0.00603555;0.03;12;90;NA;0;NA
31;BINARY;semidishonest;yaoO;2;0.26;22;1;6;0.00421313;0.02;10;92;NA;0;NA
31;BINARY;semidishonest;yaoO;2;0.28;23;1;8;0.00661216;0.04;10;69;NA;0;NA
31;BINARY;semidishonest;yaoO;2;0.20;23;1;10;0.00603368;0.03;10;93;NA;0;NA
31;BINARY;semidishonest;yaoO;2;0.33;24;1;12;0.00772638;0.04;10;68;NA;0;NA
31;BINARY;semidishonest;yaoO;2;0.36;25;1;14;0.00777131;0.03;12;96;NA;0;NA
