program  c.domain  adv.model      protocol           partysize  comp.time(s)  comp.peakRAM(MiB)  bin.filesize(MiB)  bandwidths(Mbs)  input_size  runtime_internal(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)  P0commRounds  P0dataSent(MB)  ALLdataSent(MB)
31       FIELD     semidishonest  semi               3          NA            NA                 NA                 70               30          3.47205              3.54                 63            122        ~900          49.5791         148.359
31       FIELD     semidishonest  semi               3          NA            NA                 NA                 75               30          3.28862              3.36                 62            130        ~900          49.5791         148.359
31       FIELD     semidishonest  semi               3          NA            NA                 NA                 80               30          3.14222              3.20                 62            139        ~900          49.5791         148.359
31       FIELD     semidishonest  semi               3          NA            NA                 NA                 85               30          2.98888              3.06                 62            133        ~900          49.5791         148.359
31       FIELD     semidishonest  semi               3          NA            NA                 NA                 90               30          2.87201              2.93                 61            129        ~900          49.5791         148.359
31       FIELD     semidishonest  semi               3          NA            NA                 NA                 95               30          2.73546              2.80                 63            131        ~900          49.5791         148.359
31       FIELD     semidishonest  semi               3          NA            NA                 NA                 100              30          2.65542              2.72                 61            130        ~900          49.5791         148.359
31       FIELD     semidishonest  temi               3          0.26          28                 1                  10               30          3.38098              6.17                 39            57         ~886          4.30659         9.39551
31       FIELD     semidishonest  temi               3          NA            NA                 NA                 15               30          2.38907              4.26                 32            67         ~886          4.30653         9.39558
31       FIELD     semidishonest  temi               3          NA            NA                 NA                 20               30          1.8969               3.32                 31            67         ~886          4.30656         9.39554
31       FIELD     semidishonest  temi               3          NA            NA                 NA                 25               30          1.59957              2.76                 29            67         ~886          4.30663         9.39572
31       FIELD     semidishonest  temi               3          NA            NA                 NA                 30               30          1.42691              2.43                 29            67         ~886          4.30648         9.39516
31       FIELD     semidishonest  temi               3          NA            NA                 NA                 35               30          1.25807              2.13                 29            69         ~886          4.30652         9.39555
31       FIELD     semidishonest  temi               3          NA            NA                 NA                 40               30          1.16014              1.94                 29            70         ~886          4.30677         9.39582
31       FIELD     semidishonest  temi               3          NA            NA                 NA                 45               30          1.07891              1.76                 31            70         ~886          4.30662         9.39567
31       FIELD     semidishonest  temi               3          NA            NA                 NA                 50               30          1.00764              1.65                 30            71         ~886          4.30646         9.39542
31       FIELD     semidishonest  temi               3          NA            NA                 NA                 55               30          0.958142             1.56                 31            71         ~886          4.30663         9.39556
31       FIELD     semidishonest  temi               3          NA            NA                 NA                 60               30          0.900267             1.45                 31            71         ~886          4.30656         9.39539
31       FIELD     semidishonest  temi               3          NA            NA                 NA                 65               30          0.886408             1.41                 29            71         ~886          4.30658         9.39544
31       FIELD     semidishonest  temi               3          NA            NA                 NA                 70               30          0.823981             1.32                 31            72         ~886          4.30664         9.3956
31       FIELD     semidishonest  temi               3          NA            NA                 NA                 75               30          0.822819             1.29                 31            71         ~886          4.3067          9.39574
31       FIELD     semidishonest  temi               3          NA            NA                 NA                 80               30          0.784757             1.21                 29            72         ~886          4.30653         9.39566
31       FIELD     semidishonest  temi               3          NA            NA                 NA                 85               30          0.76116              1.17                 29            73         ~886          4.30658         9.39561
31       FIELD     semidishonest  temi               3          NA            NA                 NA                 90               30          0.730531             1.14                 29            74         ~886          4.30672         9.39587
31       FIELD     semidishonest  temi               3          NA            NA                 NA                 95               30          0.733421             1.12                 29            72         ~886          4.3066          9.39562
31       FIELD     semidishonest  temi               3          NA            NA                 NA                 100              30          0.690595             1.07                 30            72         ~886          4.30659         9.39561
31       FIELD     semidishonest  soho               3          0.26          28                 1                  10               30          13.4335              29.80                165           93         ~867          17.479          52.1874
31       FIELD     semidishonest  soho               3          NA            NA                 NA                 15               30          9.311                18.85                108           93         ~867          17.4789         52.1871
31       FIELD     semidishonest  soho               3          NA            NA                 NA                 20               30          7.60193              14.78                111           88         ~867          17.4791         52.1874
31       FIELD     semidishonest  soho               3          NA            NA                 NA                 25               30          6.52614              12.32                111           92         ~867          17.4791         52.1876
31       FIELD     semidishonest  soho               3          NA            NA                 NA                 30               30          5.59182              10.44                109           94         ~867          17.4791         52.1874
31       FIELD     semidishonest  soho               3          NA            NA                 NA                 35               30          4.85592              9.03                 112           95         ~867          17.4791         52.1877
31       FIELD     semidishonest  soho               3          NA            NA                 NA                 40               30          4.64101              8.29                 110           91         ~867          17.479          52.1872
31       FIELD     semidishonest  soho               3          NA            NA                 NA                 45               30          4.29914              7.57                 113           93         ~867          17.4789         52.1873
31       FIELD     semidishonest  soho               3          NA            NA                 NA                 50               30          3.85801              6.81                 109           93         ~867          17.4793         52.1874
31       FIELD     semidishonest  soho               3          NA            NA                 NA                 55               30          3.80226              6.54                 110           95         ~867          17.4789         52.187
31       FIELD     semidishonest  soho               3          NA            NA                 NA                 60               30          3.59756              6.13                 110           93         ~867          17.479          52.1874
31       FIELD     semidishonest  soho               3          NA            NA                 NA                 65               30          3.51088              5.86                 113           92         ~867          17.479          52.1875
31       FIELD     semidishonest  soho               3          NA            NA                 NA                 70               30          3.18348              5.36                 112           96         ~867          17.4789         52.187
31       FIELD     semidishonest  soho               3          NA            NA                 NA                 75               30          3.25001              5.30                 111           93         ~867          17.4791         52.1876
31       FIELD     semidishonest  soho               3          NA            NA                 NA                 80               30          3.11356              5.00                 110           93         ~867          17.4791         52.1873
31       FIELD     semidishonest  soho               3          NA            NA                 NA                 85               30          3.00339              4.82                 109           95         ~867          17.4793         52.1876
31       FIELD     semidishonest  soho               3          NA            NA                 NA                 90               30          2.89434              4.65                 111           94         ~867          17.4789         52.1871
31       FIELD     semidishonest  soho               3          NA            NA                 NA                 95               30          2.87898              4.52                 112           94         ~867          17.479          52.1869
31       FIELD     semidishonest  soho               3          NA            NA                 NA                 100              30          2.75868              4.33                 110           94         ~867          17.4791         52.1874
31       BINARY    malhonest      malicious-rep-bin  3          0.42          32                 1                  10               30          0.763388             0.81                 16            41         NA            0.956064        NA
31       BINARY    malhonest      malicious-rep-bin  3          NA            NA                 NA                 15               30          0.598472             0.64                 20            54         NA            0.956064        NA
31       BINARY    malhonest      malicious-rep-bin  3          NA            NA                 NA                 20               30          0.550423             0.59                 16            59         NA            0.956064        NA
31       BINARY    malhonest      malicious-rep-bin  3          NA            NA                 NA                 25               30          0.348986             0.38                 18            31         NA            0.956064        NA
31       BINARY    malhonest      malicious-rep-bin  3          NA            NA                 NA                 30               30          0.450195             0.49                 16            70         NA            0.956064        NA
31       BINARY    malhonest      malicious-rep-bin  3          NA            NA                 NA                 35               30          0.443043             0.48                 18            72         NA            0.956064        NA
31       BINARY    malhonest      malicious-rep-bin  3          NA            NA                 NA                 40               30          0.421671             0.45                 17            79         NA            0.956064        NA
31       BINARY    malhonest      malicious-rep-bin  3          NA            NA                 NA                 45               30          0.4268               0.46                 18            76         NA            0.956064        NA
31       BINARY    malhonest      malicious-rep-bin  3          NA            NA                 NA                 50               30          0.353781             0.39                 22            73         NA            0.956064        NA
31       BINARY    malhonest      malicious-rep-bin  3          NA            NA                 NA                 55               30          0.235963             0.28                 16            44         NA            0.956064        NA
31       BINARY    malhonest      malicious-rep-bin  3          NA            NA                 NA                 60               30          0.374542             0.41                 19            83         NA            0.956064        NA
31       BINARY    malhonest      malicious-rep-bin  3          NA            NA                 NA                 65               30          0.234799             0.27                 18            80         NA            0.956064        NA
31       BINARY    malhonest      malicious-rep-bin  3          NA            NA                 NA                 70               30          0.367267             0.41                 18            83         NA            0.956064        NA
31       BINARY    malhonest      malicious-rep-bin  3          NA            NA                 NA                 75               30          0.349314             0.38                 16            84         NA            0.956064        NA
31       BINARY    malhonest      malicious-rep-bin  3          NA            NA                 NA                 80               30          0.147385             0.18                 16            69         NA            0.956064        NA
31       BINARY    malhonest      malicious-rep-bin  3          NA            NA                 NA                 85               30          0.342662             0.38                 19            85         NA            0.956064        NA
