nodes;program;c.domain;adv.model;protocol;comp.intbits;comp.inttriples;comp.vmrounds;freqs(GHz);input_size;runtime(s);maxPhyRAM(MiB);P0commRounds;P0dataSent(MB);ALLdataSent(MB)
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;NA;NA;NA;1.2;50;2.99597;17;NA;11.4086;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;NA;NA;NA;1.2;60;4.3684;18;NA;16.7925;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;NA;NA;NA;1.2;70;5.73742;20;NA;22.1595;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;NA;NA;NA;1.2;80;7.50679;20;NA;29.1689;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;NA;NA;NA;1.2;90;9.48246;21;NA;36.9912;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;NA;NA;NA;1.2;100;11.8333;20;NA;44.7966;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;NA;NA;NA;1.2;110;14.2479;19;NA;54.2445;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;NA;NA;NA;1.2;120;17.6008;19;NA;64.5051;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;NA;NA;NA;1.2;130;19.5332;19;NA;75.5786;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;NA;NA;NA;1.2;140;22.523;21;NA;87.4649;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;NA;NA;NA;1.2;150;25.9765;21;NA;100.164;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;NA;NA;NA;1.2;160;29.883;22;NA;113.676;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;NA;NA;NA;1.2;170;33.3549;22;NA;128.83;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;NA;NA;NA;1.2;180;36.7648;23;NA;143.968;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;NA;NA;NA;1.2;190;41.2172;22;NA;159.918;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;NA;NA;NA;1.2;200;46.5618;24;NA;177.511;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;NA;NA;NA;1.1;10;0.204474;16;NA;1.31998;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;NA;NA;NA;1.1;20;0.602607;16;NA;2.62294;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;NA;NA;NA;1.1;30;1.23512;17;NA;4.7387;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;NA;NA;NA;1.1;40;2.1588;19;NA;7.66726;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;NA;NA;NA;1.1;50;3.18655;19;NA;11.4086;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;NA;NA;NA;1.1;60;4.68942;20;NA;16.7925;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;NA;NA;NA;1.1;70;6.13311;20;NA;22.1595;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;NA;NA;NA;1.1;80;8.09426;18;NA;29.1689;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;NA;NA;NA;1.1;90;10.476;19;NA;36.9912;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;NA;NA;NA;1.1;100;12.2404;21;NA;44.7966;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;NA;NA;NA;1.1;110;15.5965;21;NA;54.2445;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;NA;NA;NA;1.1;120;18.0377;21;NA;64.5051;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;NA;NA;NA;1.1;130;20.7286;19;NA;75.5786;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;NA;NA;NA;1.1;140;23.929;20;NA;87.4649;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;NA;NA;NA;1.1;150;28.041;20;NA;100.164;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;NA;NA;NA;1.1;160;31.7821;22;NA;113.676;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;NA;NA;NA;1.1;170;36.3411;20;NA;128.83;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;NA;NA;NA;1.1;180;39.2247;21;NA;143.968;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;NA;NA;NA;1.1;190;45.3895;24;NA;159.918;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;NA;NA;NA;1.1;200;49.8331;23;NA;177.511;NA
todd,ned,rod;35_set_intersection;BINARY;semihonest;replicated-bin;NA;30590;2781;1.4;10;0.133445;10;NA;0.031358;NA
todd,ned,rod;35_set_intersection;BINARY;semihonest;replicated-bin;NA;111980;9161;1.4;20;0.454559;9;NA;0.113468;NA
todd,ned,rod;35_set_intersection;BINARY;semihonest;replicated-bin;NA;244170;19141;1.4;30;0.97943;12;NA;0.246378;NA
todd,ned,rod;35_set_intersection;BINARY;semihonest;replicated-bin;NA;427160;32721;1.4;40;1.7007;10;NA;0.430088;NA
todd,ned,rod;35_set_intersection;BINARY;semihonest;replicated-bin;NA;660950;49901;1.4;50;2.58068;12;NA;0.664598;NA
todd,ned,rod;35_set_intersection;BINARY;semihonest;replicated-bin;NA;945540;70681;1.4;60;3.58586;10;NA;0.949908;NA
todd,ned,rod;35_set_intersection;BINARY;semihonest;replicated-bin;NA;1280930;95061;1.4;70;5.02796;11;NA;1.28602;NA
todd,ned,rod;35_set_intersection;BINARY;semihonest;replicated-bin;NA;1667120;123041;1.4;80;6.54942;11;NA;1.67293;NA
todd,ned,rod;35_set_intersection;BINARY;semihonest;replicated-bin;NA;2104110;154621;1.4;90;8.08525;13;NA;2.11064;NA
todd,ned,rod;35_set_intersection;BINARY;semihonest;replicated-bin;NA;2591900;189801;1.4;100;9.82041;13;NA;2.59915;NA
todd,ned,rod;35_set_intersection;BINARY;semihonest;replicated-bin;NA;3130490;228581;1.4;110;12.1255;14;NA;3.13846;NA
todd,ned,rod;35_set_intersection;BINARY;semihonest;replicated-bin;NA;3719880;270961;1.4;120;14.2145;13;NA;3.72857;NA
todd,ned,rod;35_set_intersection;BINARY;semihonest;replicated-bin;NA;4360070;316941;1.4;130;16.4643;12;NA;4.36948;NA
todd,ned,rod;35_set_intersection;BINARY;semihonest;replicated-bin;NA;5051060;366521;1.4;140;19.0578;12;NA;5.06119;NA
todd,ned,rod;35_set_intersection;BINARY;semihonest;replicated-bin;NA;5792850;419701;1.4;150;22.2557;12;NA;5.8037;NA
todd,ned,rod;35_set_intersection;BINARY;semihonest;replicated-bin;NA;6585440;476481;1.4;160;25.0077;15;NA;6.59701;NA
todd,ned,rod;35_set_intersection;BINARY;semihonest;replicated-bin;NA;7428830;536861;1.4;170;28.0854;16;NA;7.44112;NA
todd,ned,rod;35_set_intersection;BINARY;semihonest;replicated-bin;NA;8323020;600841;1.4;180;32.6179;15;NA;8.33603;NA
todd,ned,rod;35_set_intersection;BINARY;semihonest;replicated-bin;NA;9268010;668421;1.4;190;35.2728;14;NA;9.28174;NA
todd,ned,rod;35_set_intersection;BINARY;semihonest;replicated-bin;NA;10263800;739601;1.4;200;38.8848;15;NA;10.2782;NA
todd,ned,rod;35_set_intersection;BINARY;semihonest;replicated-bin;NA;NA;NA;1.3;10;0.15058;9;NA;0.031358;NA
todd,ned,rod;35_set_intersection;BINARY;semihonest;replicated-bin;NA;NA;NA;1.3;20;0.486704;10;NA;0.113468;NA
todd,ned,rod;35_set_intersection;BINARY;semihonest;replicated-bin;NA;NA;NA;1.3;30;1.01265;10;NA;0.246378;NA
todd,ned,rod;35_set_intersection;BINARY;semihonest;replicated-bin;NA;NA;NA;1.3;40;1.73606;14;NA;0.430088;NA
todd,ned,rod;35_set_intersection;BINARY;semihonest;replicated-bin;NA;NA;NA;1.3;50;2.76531;12;NA;0.664598;NA
todd,ned,rod;35_set_intersection;BINARY;semihonest;replicated-bin;NA;NA;NA;1.3;60;3.93948;12;NA;0.949908;NA
todd,ned,rod;35_set_intersection;BINARY;semihonest;replicated-bin;NA;NA;NA;1.3;70;5.36931;13;NA;1.28602;NA
todd,ned,rod;35_set_intersection;BINARY;semihonest;replicated-bin;NA;NA;NA;1.3;80;7.0524;11;NA;1.67293;NA
todd,ned,rod;35_set_intersection;BINARY;semihonest;replicated-bin;NA;NA;NA;1.3;90;8.70484;11;NA;2.11064;NA
todd,ned,rod;35_set_intersection;BINARY;semihonest;replicated-bin;NA;NA;NA;1.3;100;10.338;13;NA;2.59915;NA
todd,ned,rod;35_set_intersection;BINARY;semihonest;replicated-bin;NA;NA;NA;1.3;110;12.5149;11;NA;3.13846;NA
todd,ned,rod;35_set_intersection;BINARY;semihonest;replicated-bin;NA;NA;NA;1.3;120;14.9927;12;NA;3.72857;NA
todd,ned,rod;35_set_intersection;BINARY;semihonest;replicated-bin;NA;NA;NA;1.3;130;17.5382;12;NA;4.36948;NA
todd,ned,rod;35_set_intersection;BINARY;semihonest;replicated-bin;NA;NA;NA;1.3;140;20.7876;14;NA;5.06119;NA
todd,ned,rod;35_set_intersection;BINARY;semihonest;replicated-bin;NA;NA;NA;1.3;150;22.9353;13;NA;5.8037;NA
todd,ned,rod;35_set_intersection;BINARY;semihonest;replicated-bin;NA;NA;NA;1.3;160;26.8475;13;NA;6.59701;NA
todd,ned,rod;35_set_intersection;BINARY;semihonest;replicated-bin;NA;NA;NA;1.3;170;29.6777;13;NA;7.44112;NA
todd,ned,rod;35_set_intersection;BINARY;semihonest;replicated-bin;NA;NA;NA;1.3;180;33.4649;13;NA;8.33603;NA
todd,ned,rod;35_set_intersection;BINARY;semihonest;replicated-bin;NA;NA;NA;1.3;190;37.0825;14;NA;9.28174;NA
todd,ned,rod;35_set_intersection;BINARY;semihonest;replicated-bin;NA;NA;NA;1.3;200;41.6234;17;NA;10.2782;NA
todd,ned,rod;35_set_intersection;BINARY;semihonest;replicated-bin;NA;NA;NA;1.2;10;0.144865;11;NA;0.031358;NA
todd,ned,rod;35_set_intersection;BINARY;semihonest;replicated-bin;NA;NA;NA;1.2;20;0.487924;10;NA;0.113468;NA
todd,ned,rod;35_set_intersection;BINARY;semihonest;replicated-bin;NA;NA;NA;1.2;30;1.03583;12;NA;0.246378;NA
todd,ned,rod;35_set_intersection;BINARY;semihonest;replicated-bin;NA;NA;NA;1.2;40;1.83503;12;NA;0.430088;NA
todd,ned,rod;35_set_intersection;BINARY;semihonest;replicated-bin;NA;NA;NA;1.2;50;2.88671;12;NA;0.664598;NA
