comp.time(s)  comp.peakRAM(MiB)  bin.filesize(MiB)  ssl  threads  datatype  function  optshare  packbool  protocol  rxbuffer  txbuffer  bandwidths(Mbs)  input_size  preprocess  splitroles  inittime(s)  preproc(s)  runtime_clock(s)  runtime_getTime(s)  runtime_chrono(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)
1.49          215                1                  0    1        256       0         1         0         1         0         0         25000            40960       0           0           0.009990     NA          0.426198          0.453713            0.453712           0.60                 639           87
0.01          3                  1                  0    1        256       0         1         0         1         0         0         25000            40960       0           1           .002080      NA          .090271           .070441             .070441            .098333              638           682
1.40          217                1                  0    1        256       0         1         0         1         0         0         24000            40960       0           0           0.014874     NA          0.627538          0.465645            0.465644           0.62                 638           122
0.02          3                  1                  0    1        256       0         1         0         1         0         0         24000            40960       0           1           .002358      NA          .092398           .077308             .077308            .105000              638           658
1.64          215                1                  0    1        256       0         1         0         1         0         0         23000            40960       0           0           0.014780     NA          0.562305          0.447759            0.447758           0.60                 638           117
0.01          3                  1                  0    1        256       0         1         0         1         0         0         23000            40960       0           1           .002241      NA          .091555           .075273             .075273            .103333              638           662
1.65          217                1                  0    1        256       0         1         0         1         0         0         22000            40960       0           0           0.015012     NA          0.549733          0.443735            0.443734           0.60                 638           113
0.02          3                  1                  0    1        256       0         1         0         1         0         0         22000            40960       0           1           .001954      NA          .088952           .076176             .076176            .103333              638           639
1.68          215                1                  0    1        256       0         1         0         1         0         0         21000            40960       0           0           0.015064     NA          0.590248          0.464224            0.464223           0.61                 638           119
0.02          3                  1                  0    1        256       0         1         0         1         0         0         21000            40960       0           1           .002226      NA          .089834           .073079             .073079            .100000              639           665
1.65          215                1                  0    1        256       0         1         0         1         0         0         20000            40960       0           0           0.015115     NA          0.459258          0.411214            0.411213           0.56                 638           107
0.02          3                  1                  0    1        256       0         1         0         1         0         0         20000            40960       0           1           .001934      NA          .087841           .073561             .073561            .101666              639           631
1.36          216                1                  0    1        256       0         1         0         1         0         0         19000            40960       0           0           0.015043     NA          0.580189          0.424504            0.424503           0.58                 639           125
0.02          3                  1                  0    1        256       0         1         0         1         0         0         19000            40960       0           1           .002084      NA          .088347           .074338             .074338            .101666              638           646
1.79          217                1                  0    1        256       0         1         0         1         0         0         18000            40960       0           0           0.014989     NA          0.472170          0.395829            0.395828           0.54                 638           113
0.02          3                  1                  0    1        256       0         1         0         1         0         0         18000            40960       0           1           .002351      NA          .090915           .074733             .074733            .101666              638           672
1.60          215                1                  0    1        256       0         1         0         1         0         0         17000            40960       0           0           0.015022     NA          0.551571          0.439917            0.439916           0.60                 638           114
0.02          3                  1                  0    1        256       0         1         0         1         0         0         17000            40960       0           1           .002223      NA          .088580           .077047             .077047            .108333              638           609
1.63          215                1                  0    1        256       0         1         0         1         0         0         16000            40960       0           0           0.015029     NA          0.547521          0.452554            0.452553           0.60                 638           114
0.02          3                  1                  0    1        256       0         1         0         1         0         0         16000            40960       0           1           .002080      NA          .085891           .074160             .074159            .106666              638           598
1.47          216                1                  0    1        256       0         1         0         1         0         0         15000            40960       0           0           0.015060     NA          0.607334          0.459520            0.459519           0.61                 638           120
0.02          3                  1                  0    1        256       0         1         0         1         0         0         15000            40960       0           1           .002228      NA          .087222           .079667             .079667            .106666              639           617
1.75          216                1                  0    1        256       0         1         0         1         0         0         14000            40960       0           0           0.015012     NA          0.443731          0.410790            0.410789           0.56                 638           105
0.02          3                  1                  0    1        256       0         1         0         1         0         0         14000            40960       0           1           .001958      NA          .086541           .083684             .083684            .115000              639           560
1.63          217                1                  0    1        256       0         1         0         1         0         0         13000            40960       0           0           0.015016     NA          0.451804          0.408605            0.408604           0.56                 638           106
0.02          3                  1                  0    1        256       0         1         0         1         0         0         13000            40960       0           1           .002357      NA          .089586           .082110             .082110            .116666              638           581
1.50          215                1                  0    1        256       0         1         0         1         0         0         12000            40960       0           0           0.014965     NA          0.596499          0.448307            0.448306           0.59                 638           123
0.02          3                  1                  0    1        256       0         1         0         1         0         0         12000            40960       0           1           .002077      NA          .084921           .082031             .082030            .113333              639           551
1.52          215                1                  0    1        256       0         1         0         1         0         0         11000            40960       0           0           0.015031     NA          0.461131          0.439082            0.439081           0.59                 638           100
0.01          3                  1                  0    1        256       0         1         0         1         0         0         11000            40960       0           1           .002240      NA          .082792           .086735             .086735            .118333              640           534
1.71          216                1                  0    1        256       0         1         0         1         0         0         10000            40960       0           0           0.014930     NA          0.490636          0.437791            0.437791           0.59                 638           108
0.02          3                  1                  0    1        256       0         1         0         1         0         0         10000            40960       0           1           .002219      NA          .086247           .094406             .094406            .125000              638           519
1.59          217                1                  0    1        256       0         1         0         1         0         0         9000             40960       0           0           0.014951     NA          0.586694          0.470298            0.470297           0.62                 638           116
0.02          3                  1                  0    1        256       0         1         0         1         0         0         9000             40960       0           1           .002082      NA          .085553           .105039             .105039            .141666              639           450
1.49          215                1                  0    1        256       0         1         0         1         0         0         8000             40960       0           0           0.015030     NA          0.565326          0.462725            0.462724           0.61                 638           116
0.02          3                  1                  0    1        256       0         1         0         1         0         0         8000             40960       0           1           .002084      NA          .084560           .106966             .106966            .136666              639           467
1.46          216                1                  0    1        256       0         1         0         2         0         0         25000            40960       0           0           0.024452     NA          0.466077          0.453641            0.453640           0.64                 641           97
0.02          3                  1                  0    1        256       0         1         0         2         0         0         25000            40960       0           1           .005461      NA          .070071           .068950             .068950            .100000              641           571
1.65          215                1                  0    1        256       0         1         0         2         0         0         24000            40960       0           0           0.024288     NA          0.501888          0.468127            0.468126           0.64                 641           101
0.02          3                  1                  0    1        256       0         1         0         2         0         0         24000            40960       0           1           .005173      NA          .067860           .070048             .070048            .100000              641           543
1.38          216                1                  0    1        256       0         1         0         2         0         0         23000            40960       0           0           0.024217     NA          0.433163          0.441964            0.441963           0.62                 641           93
0.01          3                  1                  0    1        256       0         1         0         2         0         0         23000            40960       0           1           .005689      NA          .071601           .071012             .071011            .101666              641           570
1.53          216                1                  0    1        256       0         1         0         2         0         0         22000            40960       0           0           0.023547     NA          0.427510          0.414319            0.414318           0.60                 641           97
0.01          3                  1                  0    1        256       0         1         0         2         0         0         22000            40960       0           1           .005410      NA          .068502           .069956             .069956            .101666              641           553
1.37          215                1                  0    1        256       0         1         0         2         0         0         21000            40960       0           0           0.023700     NA          0.420246          0.429375            0.429374           0.59                 641           96
0.02          3                  1                  0    1        256       0         1         0         2         0         0         21000            40960       0           1           .005124      NA          .067376           .069366             .069366            .101666              641           528
1.68          216                1                  0    1        256       0         1         0         2         0         0         20000            40960       0           0           0.024277     NA          0.470287          0.444350            0.444349           0.63                 641           96
0.02          3                  1                  0    1        256       0         1         0         2         0         0         20000            40960       0           1           .005436      NA          .069774           .070137             .070136            .100000              641           566
1.45          216                1                  0    1        256       0         1         0         2         0         0         19000            40960       0           0           0.023748     NA          0.411093          0.431374            0.431373           0.61                 641           91
0.02          3                  1                  0    1        256       0         1         0         2         0         0         19000            40960       0           1           .006593      NA          .071455           .071645             .071645            .105000              641           576
1.37          215                1                  0    1        256       0         1         0         2         0         0         18000            40960       0           0           0.024454     NA          0.468808          0.450459            0.450458           0.63                 641           98
0.02          3                  1                  0    1        256       0         1         0         2         0         0         18000            40960       0           1           .005230      NA          .068592           .069874             .069874            .098333              641           564
1.47          216                1                  0    1        256       0         1         0         2         0         0         17000            40960       0           0           0.024410     NA          0.421962          0.441099            0.441098           0.63                 641           90
0.02          3                  1                  0    1        256       0         1         0         2         0         0         17000            40960       0           1           .005525      NA          .068646           .069770             .069770            .103333              641           547
1.66          215                1                  0    1        256       0         1         0         2         0         0         16000            40960       0           0           0.024250     NA          0.393936          0.430998            0.430997           0.60                 641           90
0.02          3                  1                  0    1        256       0         1         0         2         0         0         16000            40960       0           1           .005452      NA          .069722           .071957             .071956            .103333              641           550
1.50          216                1                  0    1        256       0         1         0         2         0         0         15000            40960       0           0           0.024411     NA          0.413866          0.439901            0.439900           0.62                 641           91
0.02          3                  1                  0    1        256       0         1         0         2         0         0         15000            40960       0           1           .005421      NA          .069629           .073943             .073942            .106666              641           531
1.50          216                1                  0    1        256       0         1         0         2         0         0         14000            40960       0           0           0.024322     NA          0.425094          0.391472            0.391470           0.55                 641           105
0.02          3                  1                  0    1        256       0         1         0         2         0         0         14000            40960       0           1           .005522      NA          .069554           .071951             .071951            .103333              641           548
1.37          218                1                  0    1        256       0         1         0         2         0         0         13000            40960       0           0           0.023607     NA          0.446883          0.418120            0.418119           0.61                 641           97
0.02          3                  1                  0    1        256       0         1         0         2         0         0         13000            40960       0           1           .005235      NA          .069054           .072659             .072658            .106666              641           525
1.66          217                1                  0    1        256       0         1         0         2         0         0         12000            40960       0           0           0.016253     NA          0.361932          0.385551            0.385551           0.56                 641           83
0.02          3                  1                  0    1        256       0         1         0         2         0         0         12000            40960       0           1           .007171      NA          .072354           .074787             .074787            .113333              641           547
1.50          215                1                  0    1        256       0         1         0         2         0         0         11000            40960       0           0           0.024086     NA          0.454761          0.429015            0.429014           0.61                 641           99
0.02          3                  1                  0    1        256       0         1         0         2         0         0         11000            40960       0           1           .005272      NA          .067023           .074925             .074925            .113333              641           484
1.65          216                1                  0    1        256       0         1         0         2         0         0         10000            40960       0           0           0.016641     NA          0.385388          0.398487            0.398486           0.58                 641           86
0.02          3                  1                  0    1        256       0         1         0         2         0         0         10000            40960       0           1           .005294      NA          .067857           .077661             .077661            .121666              641           456
1.63          216                1                  0    1        256       0         1         0         2         0         0         9000             40960       0           0           0.023345     NA          0.414278          0.441088            0.441087           0.60                 641           92
0.02          3                  1                  0    1        256       0         1         0         2         0         0         9000             40960       0           1           .005401      NA          .068217           .085261             .085261            .120000              641           464
1.46          216                1                  0    1        256       0         1         0         2         0         0         8000             40960       0           0           0.023767     NA          0.406160          0.452501            0.452500           0.63                 641           89
