program;c.domain;adv.model;protocol;partysize;comp.time(s);comp.peakRAM(MiB);bin.filesize(MiB);latencies(ms);input_size;runtime_internal(s);runtime_external(s);peakRAM(MiB);jobCPU(%);P0commRounds;P0dataSent(MB);ALLdataSent(MB)
42;BINARY;semidishonest;yao;2;240.14;5653;44;0;4096;0.501428;2.09;290;96;NA;8.25754;NA
42;BINARY;semidishonest;yao;2;NA;NA;NA;10;4096;0.684878;2.39;290;91;NA;8.25754;NA
42;BINARY;semidishonest;yao;2;NA;NA;NA;20;4096;0.932606;2.75;290;87;NA;8.25754;NA
42;BINARY;semidishonest;yao;2;NA;NA;NA;30;4096;1.16862;3.11;290;83;NA;8.25754;NA
42;BINARY;semidishonest;yao;2;NA;NA;NA;40;4096;1.39164;3.49;290;80;NA;8.25754;NA
42;BINARY;semidishonest;yao;2;NA;NA;NA;50;4096;1.63169;3.83;290;78;NA;8.25754;NA
42;BINARY;semidishonest;yao;2;NA;NA;NA;60;4096;1.87647;4.29;290;74;NA;8.25754;NA
42;BINARY;semidishonest;yao;2;NA;NA;NA;70;4096;2.1176;4.48;290;75;NA;8.25754;NA
42;BINARY;semidishonest;yao;2;NA;NA;NA;80;4096;2.36047;4.85;290;73;NA;8.25754;NA
42;BINARY;semidishonest;yao;2;NA;NA;NA;90;4096;2.58465;5.24;290;73;NA;8.25754;NA
42;BINARY;semidishonest;yao;2;NA;NA;NA;100;4096;2.86931;5.57;290;71;NA;8.25754;NA
42;BINARY;semidishonest;yao;2;NA;NA;NA;140;4096;3.8398;6.98;292;69;NA;8.25754;NA
42;BINARY;semidishonest;yao;2;NA;NA;NA;180;4096;4.77606;8.40;292;67;NA;8.25754;NA
42;BINARY;semidishonest;yao;2;NA;NA;NA;220;4096;5.71611;9.79;290;65;NA;8.25754;NA
42;BINARY;semidishonest;yao;2;NA;NA;NA;260;4096;6.67268;11.16;290;64;NA;8.25754;NA
42;BINARY;semidishonest;yao;2;NA;NA;NA;300;4096;7.66805;12.57;292;63;NA;8.25754;NA
42;BINARY;semidishonest;yao;2;NA;NA;NA;340;4096;8.59273;13.95;290;62;NA;8.25754;NA
42;BINARY;semidishonest;yaoO;2;240.14;5653;44;0;4096;0.490138;2.08;290;86;NA;0;NA
42;BINARY;semidishonest;yaoO;2;NA;NA;NA;10;4096;0.629988;2.36;290;77;NA;0;NA
42;BINARY;semidishonest;yaoO;2;NA;NA;NA;20;4096;0.821072;2.73;290;66;NA;0;NA
42;BINARY;semidishonest;yaoO;2;NA;NA;NA;30;4096;1.03585;3.02;290;60;NA;0;NA
42;BINARY;semidishonest;yaoO;2;NA;NA;NA;40;4096;1.22852;3.33;290;54;NA;0;NA
42;BINARY;semidishonest;yaoO;2;NA;NA;NA;50;4096;1.42802;3.65;290;50;NA;0;NA
42;BINARY;semidishonest;yaoO;2;NA;NA;NA;60;4096;1.62133;3.98;290;45;NA;0;NA
42;BINARY;semidishonest;yaoO;2;NA;NA;NA;70;4096;1.86125;4.33;290;42;NA;0;NA
42;BINARY;semidishonest;yaoO;2;NA;NA;NA;80;4096;2.06286;4.70;290;38;NA;0;NA
42;BINARY;semidishonest;yaoO;2;NA;NA;NA;90;4096;2.21938;4.89;290;37;NA;0;NA
42;BINARY;semidishonest;yaoO;2;NA;NA;NA;100;4096;2.43989;5.26;290;34;NA;0;NA
42;BINARY;semidishonest;yaoO;2;NA;NA;NA;140;4096;3.23184;6.60;290;27;NA;0;NA
42;BINARY;semidishonest;yaoO;2;NA;NA;NA;180;4096;4.06609;7.85;290;23;NA;0;NA
42;BINARY;semidishonest;yaoO;2;NA;NA;NA;220;4096;4.82174;9.13;290;19;NA;0;NA
42;BINARY;semidishonest;yaoO;2;NA;NA;NA;260;4096;5.6221;10.38;290;17;NA;0;NA
42;BINARY;semidishonest;yaoO;2;NA;NA;NA;300;4096;6.42865;11.65;290;15;NA;0;NA
42;BINARY;semidishonest;yaoO;2;NA;NA;NA;340;4096;7.22217;12.93;290;14;NA;0;NA
42;BINARY;semihonest;replicated-bin;3;240.14;5653;44;0;4096;0.210603;1.89;292;94;NA;0.520248;NA
42;BINARY;semihonest;replicated-bin;3;NA;NA;NA;10;4096;0.498116;2.54;290;73;NA;0.520248;NA
42;BINARY;semihonest;replicated-bin;3;NA;NA;NA;20;4096;0.757835;3.19;292;59;NA;0.520248;NA
42;BINARY;semihonest;replicated-bin;3;NA;NA;NA;30;4096;1.02178;3.83;290;50;NA;0.520248;NA
42;BINARY;semihonest;replicated-bin;3;NA;NA;NA;40;4096;1.28184;4.47;290;43;NA;0.520248;NA
42;BINARY;semihonest;replicated-bin;3;NA;NA;NA;50;4096;1.54825;5.09;290;38;NA;0.520248;NA
42;BINARY;semihonest;replicated-bin;3;NA;NA;NA;60;4096;1.80501;5.73;290;34;NA;0.520248;NA
42;BINARY;semihonest;replicated-bin;3;NA;NA;NA;70;4096;2.0676;6.35;290;31;NA;0.520248;NA
42;BINARY;semihonest;replicated-bin;3;NA;NA;NA;80;4096;2.33035;7.03;290;29;NA;0.520248;NA
42;BINARY;semihonest;replicated-bin;3;NA;NA;NA;90;4096;2.76396;7.79;290;26;NA;0.520248;NA
42;BINARY;semihonest;replicated-bin;3;NA;NA;NA;100;4096;3.04573;8.46;290;24;NA;0.520248;NA
42;BINARY;semihonest;replicated-bin;3;NA;NA;NA;140;4096;3.88637;10.76;290;17;NA;0.520248;NA
42;BINARY;semihonest;replicated-bin;3;NA;NA;NA;180;4096;4.92998;13.32;290;14;NA;0.520248;NA
42;BINARY;semihonest;replicated-bin;3;NA;NA;NA;220;4096;6.40636;16.26;290;14;NA;0.520248;NA
42;BINARY;semihonest;replicated-bin;3;NA;NA;NA;260;4096;8.04605;19.37;290;12;NA;0.520248;NA
42;BINARY;semihonest;replicated-bin;3;NA;NA;NA;300;4096;9.2506;22.05;292;11;NA;0.520248;NA
42;BINARY;semihonest;replicated-bin;3;NA;NA;NA;340;4096;10.4522;24.75;290;10;NA;0.520248;NA
