comp.time(s);comp.peakRAM(MiB);bin.filesize(MiB);ssl;threads;datatype;function;optshare;packbool;protocol;rxbuffer;txbuffer;bandwidths(Mbs);input_size;preprocess;splitroles;inittime(s);preproc(s);runtime_clock(s);runtime_getTime(s);runtime_chrono(s);runtime_external(s);peakRAM(MiB);jobCPU(%)
1.50;217;1;0;20;512;0;1;0;1;0;0;25000;81920;0;0;.001277;NA;.121964;.153999;.153999;.186000;2543;1606
1.40;217;1;0;20;512;0;1;0;1;0;0;24500;81920;0;0;.001442;NA;.122192;.153062;.153062;.185500;2543;1612
1.68;217;1;0;20;512;0;1;0;1;0;0;24000;81920;0;0;.001403;NA;.117585;.155342;.155342;.192500;2543;1493
1.38;216;1;0;20;512;0;1;0;1;0;0;23500;81920;0;0;.001343;NA;.120759;.156839;.156839;.191500;2548;1547
1.64;217;1;0;20;512;0;1;0;1;0;0;23000;81920;0;0;.001417;NA;.120970;.164370;.164370;.197500;2543;1518
1.56;217;1;0;20;512;0;1;0;1;0;0;22500;81920;0;0;.001372;NA;.120352;.165183;.165183;.199000;2543;1478
1.44;216;1;0;20;512;0;1;0;1;0;0;22000;81920;0;0;.001393;NA;.119421;.164093;.164093;.198500;2543;1480
1.61;216;1;0;20;512;0;1;0;1;0;0;21500;81920;0;0;.001386;NA;.119673;.165896;.165896;.201000;2543;1459
1.63;217;1;0;20;512;0;1;0;1;0;0;21000;81920;0;0;.001350;NA;.116720;.164240;.164240;.199500;2543;1439
1.39;217;1;0;20;512;0;1;0;1;0;0;20500;81920;0;0;.001365;NA;.120339;.172004;.172004;.205500;2543;1433
1.67;216;1;0;20;512;0;1;0;1;0;0;20000;81920;0;0;.001374;NA;.118267;.176082;.176082;.210500;2543;1390
1.55;216;1;0;20;512;0;1;0;1;0;0;19500;81920;0;0;.001462;NA;.120726;.181095;.181095;.214500;2543;1391
1.65;218;1;0;20;512;0;1;0;1;0;0;19000;81920;0;0;.001327;NA;.116219;.176293;.176293;.213000;2543;1343
1.92;217;1;0;20;512;0;1;0;1;0;0;18500;81920;0;0;.001360;NA;.115202;.180091;.180090;.218000;2543;1297
1.53;216;1;0;20;512;0;1;0;1;0;0;18000;81920;0;0;.001424;NA;.119690;.192069;.192069;.228000;2543;1283
1.70;217;1;0;20;512;0;1;0;1;0;0;17500;81920;0;0;.001403;NA;.116659;.188701;.188701;.227500;2543;1266
1.55;217;1;0;20;512;0;1;0;1;0;0;17000;81920;0;0;.001358;NA;.117245;.190450;.190450;.229000;2543;1251
1.60;217;1;0;20;512;0;1;0;1;0;0;16500;81920;0;0;.001385;NA;.115719;.201158;.201158;.237500;2543;1199
1.66;216;1;0;20;512;0;1;0;1;0;0;16000;81920;0;0;.001407;NA;.115641;.199151;.199151;.239000;2543;1195
1.54;217;1;0;20;512;0;1;0;1;0;0;15500;81920;0;0;.001409;NA;.117747;.209811;.209811;.244500;2543;1183
1.67;217;1;0;20;512;0;1;0;1;0;0;15000;81920;0;0;.001421;NA;.110979;.211335;.211335;.250000;2543;1103
1.60;217;1;0;20;512;0;1;0;1;0;0;14500;81920;0;0;.001347;NA;.113961;.215801;.215801;.258000;2543;1088
1.65;216;1;0;20;512;0;1;0;1;0;0;14000;81920;0;0;.001407;NA;.111184;.227395;.227395;.263500;2543;1046
1.58;216;1;0;20;512;0;1;0;1;0;0;13500;81920;0;0;.001408;NA;.113344;.226192;.226192;.277000;2543;1010
1.61;218;1;0;20;512;0;1;0;1;0;0;13000;81920;0;0;.001382;NA;.110537;.230919;.230919;.279000;2543;981
1.63;217;1;0;20;512;0;1;0;1;0;0;12500;81920;0;0;.001462;NA;.118721;.248044;.248044;.286000;2543;1021
1.74;217;1;0;20;512;0;1;0;1;0;0;12000;81920;0;0;.001367;NA;.108885;.244552;.244552;.295000;2543;915
1.56;216;1;0;20;512;0;1;0;1;0;0;11500;81920;0;0;.001347;NA;.110377;.250708;.250708;.304500;2543;897
1.65;217;1;0;20;512;0;1;0;1;0;0;11000;81920;0;0;.001299;NA;.110187;.263130;.263130;.316000;2543;858
1.52;218;1;0;20;512;0;1;0;1;0;0;10500;81920;0;0;.001309;NA;.109130;.274952;.274952;.335500;2543;805
1.72;217;1;0;20;512;0;1;0;1;0;0;10000;81920;0;0;.001307;NA;.104598;.289048;.289048;.341500;2543;764
1.72;218;1;0;20;512;0;1;0;1;0;0;9500;81920;0;0;.001350;NA;.109187;.304734;.304734;.357500;2543;758
1.67;216;1;0;20;512;0;1;0;1;0;0;9000;81920;0;0;.001290;NA;.109634;.315619;.315619;.372500;2543;728
1.53;216;1;0;20;512;0;1;0;1;0;0;8500;81920;0;0;.001424;NA;.108266;.335400;.335400;.390500;2543;689
1.72;217;1;0;20;512;0;1;0;1;0;0;8000;81920;0;0;.001388;NA;.107464;.352086;.352086;.414500;2543;647
1.75;216;1;0;20;512;0;1;0;2;0;0;25000;81920;0;0;.002064;NA;.107486;.215656;.215656;.307000;2553;872
1.69;216;1;0;20;512;0;1;0;2;0;0;24500;81920;0;0;.002185;NA;.110862;.232427;.232427;.293500;2553;938
1.73;216;1;0;20;512;0;1;0;2;0;0;24000;81920;0;0;.002072;NA;.109588;.232430;.232430;.296000;2553;921
1.67;217;1;0;20;512;0;1;0;2;0;0;23500;81920;0;0;.002255;NA;.107245;.229214;.229214;.300500;2553;895
1.53;216;1;0;20;512;0;1;0;2;0;0;23000;81920;0;0;.002361;NA;.107534;.233783;.233783;.305000;2553;888
1.51;216;1;0;20;512;0;1;0;2;0;0;22500;81920;0;0;.002333;NA;.109310;.245146;.245146;.303500;2553;902
1.64;217;1;0;20;512;0;1;0;2;0;0;22000;81920;0;0;.002100;NA;.106434;.232065;.232065;.318500;2553;836
1.50;216;1;0;20;512;0;1;0;2;0;0;21500;81920;0;0;.002131;NA;.106820;.251801;.251801;.313000;2553;853
1.53;217;1;0;20;512;0;1;0;2;0;0;21000;81920;0;0;.002096;NA;.106906;.246109;.246109;.318500;2553;839
1.55;216;1;0;20;512;0;1;0;2;0;0;20500;81920;0;0;.002146;NA;.105257;.252785;.252785;.330000;2553;800
1.51;216;1;0;20;512;0;1;0;2;0;0;20000;81920;0;0;.002010;NA;.106053;.258200;.258200;.330500;2553;804
1.54;216;1;0;20;512;0;1;0;2;0;0;19500;81920;0;0;.002159;NA;.104171;.251651;.251650;.339500;2553;772
1.64;216;1;0;20;512;0;1;0;2;0;0;19000;81920;0;0;.002323;NA;.105130;.266313;.266313;.346500;2553;768
1.53;216;1;0;20;512;0;1;0;2;0;0;18500;81920;0;0;.002316;NA;.105243;.274678;.274678;.350500;2553;758
1.60;216;1;0;20;512;0;1;0;2;0;0;18000;81920;0;0;.002266;NA;.106731;.284542;.284542;.367500;2552;731
1.52;217;1;0;20;512;0;1;0;2;0;0;17500;81920;0;0;.002103;NA;.104954;.279040;.279040;.366500;2553;719
1.52;216;1;0;20;512;0;1;0;2;0;0;17000;81920;0;0;.002255;NA;.105075;.292037;.292037;.379500;2553;699
1.81;216;1;0;20;512;0;1;0;2;0;0;16500;81920;0;0;.002269;NA;.105412;.314297;.314297;.396500;2553;670
1.52;217;1;0;20;512;0;1;0;2;0;0;16000;81920;0;0;.002220;NA;.105925;.299388;.299388;.395500;2553;674
1.51;216;1;0;20;512;0;1;0;2;0;0;15500;81920;0;0;.002098;NA;.104055;.306828;.306828;.406000;2553;644
1.53;217;1;0;20;512;0;1;0;2;0;0;15000;81920;0;0;.002071;NA;.105051;.317352;.317352;.420000;2553;627
1.46;216;1;0;20;512;0;1;0;2;0;0;14500;81920;0;0;.002226;NA;.105660;.343409;.343409;.433000;2553;615
