comp.time(s);comp.peakRAM(MiB);bin.filesize(MiB);datatype;optshare;packbool;protocol;input_size;preprocess;splitroles;inittime(s);preproc(s);runtime_clock(s);runtime_getTime(s);runtime_chrono(s);runtime_external(s);peakRAM(MiB);jobCPU(%)
1.71;213;1;1;1;0;1;4096;0;0;0.001800;NA;0.009965;0.009614;0.009613;0.02;5;80
1.38;213;1;1;1;0;2;4096;0;0;0.002976;NA;0.013417;0.013775;0.013774;0.02;5;88
1.59;211;1;1;1;0;3;4096;0;0;0.001976;NA;0.005385;0.008737;0.008736;0.01;5;80
1.65;210;1;1;1;0;4;4096;0;0;0.001465;NA;0.004289;0.010804;0.010803;0.02;5;52
1.52;210;1;1;1;0;5;4096;0;0;0.002269;NA;0.009500;0.014306;0.014305;0.02;5;65
1.64;209;1;1;1;0;6;4096;0;0;0.001165;NA;0.001642;0.001923;0.001922;0.00;4;111
1.47;216;1;8;1;0;1;4096;0;0;0.001723;NA;0.011237;0.009052;0.009051;0.01;5;114
1.70;214;1;8;1;0;2;4096;0;0;0.002911;NA;0.007594;0.010236;0.010235;0.02;6;64
1.79;212;1;8;1;0;3;4096;0;0;0.002182;NA;0.005289;0.010438;0.010437;0.02;5;61
1.47;213;1;8;1;0;4;4096;0;0;0.001266;NA;0.005414;0.008151;0.008150;0.01;5;81
1.66;214;1;8;1;0;5;4096;0;0;0.002242;NA;0.006679;0.009704;0.009703;0.01;5;82
1.56;213;1;8;1;0;6;4096;0;0;0.001217;NA;0.002873;0.003481;0.003480;0.01;5;100
