nodes;program;c.domain;adv.model;protocol;comp.intbits;comp.inttriples;comp.vmrounds;input_size;packetdrops(%);runtime(s);P0commRounds;P0dataSent(MB);ALLdataSent(MB)
rapla,tapa,valga;35_set_intersection;BINARY;semidishonest;semi-bin;NA;244170;19141;30;0;2.03393;NA;29.5907;NA
rapla,tapa,valga;35_set_intersection;BINARY;semidishonest;semi-bin;NA;NA;NA;30;0.5;19.9831;NA;29.5907;NA
rapla,tapa,valga;35_set_intersection;BINARY;semidishonest;semi-bin;NA;NA;NA;30;1;38.4002;NA;29.5907;NA
rapla,tapa,valga;35_set_intersection;BINARY;semidishonest;semi-bin;NA;NA;NA;30;1.5;66.142;NA;29.5907;NA
rapla,tapa,valga;35_set_intersection;BINARY;semidishonest;semi-bin;NA;NA;NA;30;2;86.1633;NA;29.5907;NA
rapla,tapa,valga;35_set_intersection;BINARY;semidishonest;yao;NA;244170;19141;30;0;0.124042;NA;7.81536;NA
rapla,tapa,valga;35_set_intersection;BINARY;semidishonest;yao;NA;NA;NA;30;0.5;0.159546;NA;7.81536;NA
rapla,tapa,valga;35_set_intersection;BINARY;semidishonest;yao;NA;NA;NA;30;1;0.402354;NA;7.81536;NA
rapla,tapa,valga;35_set_intersection;BINARY;semidishonest;yao;NA;NA;NA;30;1.5;0.204773;NA;7.81536;NA
rapla,tapa,valga;35_set_intersection;BINARY;semidishonest;yao;NA;NA;NA;30;2;0.190997;NA;7.81536;NA
rapla,tapa,valga;35_set_intersection;BINARY;semidishonest;semi-bmr;NA;244170;19141;30;0;126.18;NA;26332.8;NA
rapla,tapa,valga;35_set_intersection;BINARY;semidishonest;semi-bmr;NA;NA;NA;30;0.5;137.779;NA;26332.8;NA
rapla,tapa,valga;35_set_intersection;BINARY;semidishonest;semi-bmr;NA;NA;NA;30;1;258.688;NA;26332.8;NA
rapla,tapa,valga;35_set_intersection;BINARY;semidishonest;semi-bmr;NA;NA;NA;30;1.5;428.209;NA;26332.8;NA
rapla,tapa,valga;35_set_intersection;BINARY;semidishonest;semi-bmr;NA;NA;NA;30;2;594.305;NA;26332.8;NA
rapla,tapa,valga;35_set_intersection;BINARY;malhonest;malicious-rep-bin;NA;244170;19141;30;0;1.44436;NA;4.7387;NA
rapla,tapa,valga;35_set_intersection;BINARY;malhonest;malicious-rep-bin;NA;NA;NA;30;0.5;1.99554;NA;4.7387;NA
rapla,tapa,valga;35_set_intersection;BINARY;malhonest;malicious-rep-bin;NA;NA;NA;30;1;4.4898;NA;4.7387;NA
rapla,tapa,valga;35_set_intersection;BINARY;malhonest;malicious-rep-bin;NA;NA;NA;30;1.5;8.2338;NA;4.7387;NA
rapla,tapa,valga;35_set_intersection;BINARY;malhonest;malicious-rep-bin;NA;NA;NA;30;2;13.0496;NA;4.7387;NA
rapla,tapa,valga;35_set_intersection;BINARY;malhonest;malicious-ccd;NA;244170;19141;30;0;2.80144;NA;29.8771;NA
rapla,tapa,valga;35_set_intersection;BINARY;malhonest;malicious-ccd;NA;NA;NA;30;0.5;5.08858;NA;29.8771;NA
rapla,tapa,valga;35_set_intersection;BINARY;malhonest;malicious-ccd;NA;NA;NA;30;1;12.3582;NA;29.8771;NA
rapla,tapa,valga;35_set_intersection;BINARY;malhonest;malicious-ccd;NA;NA;NA;30;1.5;22.143;NA;29.8771;NA
rapla,tapa,valga;35_set_intersection;BINARY;malhonest;malicious-ccd;NA;NA;NA;30;2;35.8594;NA;29.8771;NA
rapla,tapa,valga;35_set_intersection;BINARY;malhonest;ps-rep-bin;NA;244170;19141;30;0;4.2;NA;71.267;NA
rapla,tapa,valga;35_set_intersection;BINARY;malhonest;ps-rep-bin;NA;NA;NA;30;0.5;5.06345;NA;71.267;NA
rapla,tapa,valga;35_set_intersection;BINARY;malhonest;ps-rep-bin;NA;NA;NA;30;1;8.14636;NA;71.267;NA
rapla,tapa,valga;35_set_intersection;BINARY;malhonest;ps-rep-bin;NA;NA;NA;30;1.5;12.4208;NA;71.267;NA
rapla,tapa,valga;35_set_intersection;BINARY;malhonest;ps-rep-bin;NA;NA;NA;30;2;19.7751;NA;71.267;NA
rapla,tapa,valga;35_set_intersection;BINARY;malhonest;mal-shamir-bmr;NA;244170;19141;30;0;16.275;NA;992.505;NA
