comp.time(s);comp.peakRAM(MiB);bin.filesize(MiB);freqs(GHz);datatype;optshare;packbool;protocol;bandwidths(Mbs);input_size;preprocess;splitroles;inittime(s);preproc(s);runtime_clock(s);runtime_getTime(s);runtime_chrono(s);runtime_external(s);peakRAM(MiB);jobCPU(%)
1.72;215;1;3;512;1;0;1;25000;40960;0;0;0.056385;NA;0.454012;0.338638;0.338638;0.83;1275;113
1.38;216;1;3;512;1;0;1;25000;40960;0;1;.012023;NA;.094753;.096720;.096719;1.38;216;99
1.38;215;1;3;512;1;0;1;24000;40960;0;0;0.056609;NA;0.449078;0.337887;0.337887;0.80;1273;113
1.37;217;1;3;512;1;0;1;24000;40960;0;1;.011841;NA;.095399;.098116;.098116;1.37;217;99
1.38;217;1;3;512;1;0;1;23000;40960;0;0;0.055358;NA;0.429296;0.335592;0.335591;0.79;1273;111
1.37;217;1;3;512;1;0;1;23000;40960;0;1;.011988;NA;.095235;.098406;.098405;1.37;217;100
1.37;217;1;3;512;1;0;1;22000;40960;0;0;0.056433;NA;0.440277;0.338609;0.338608;0.80;1273;112
1.37;216;1;3;512;1;0;1;22000;40960;0;1;.012023;NA;.095463;.101522;.101522;1.37;216;99
1.38;215;1;3;512;1;0;1;21000;40960;0;0;0.055775;NA;0.446295;0.338433;0.338432;0.80;1273;113
1.37;216;1;3;512;1;0;1;21000;40960;0;1;.011822;NA;.097679;.099313;.099313;1.37;216;99
1.37;215;1;3;512;1;0;1;20000;40960;0;0;0.056646;NA;0.433354;0.338383;0.338382;0.80;1275;111
1.37;216;1;3;512;1;0;1;20000;40960;0;1;.011959;NA;.094394;.103957;.103956;1.37;216;99
1.38;215;1;3;512;1;0;1;19000;40960;0;0;0.056386;NA;0.441455;0.336691;0.336690;0.79;1275;113
1.38;217;1;3;512;1;0;1;19000;40960;0;1;.011858;NA;.094727;.106664;.106664;1.38;217;99
1.38;215;1;3;512;1;0;1;18000;40960;0;0;0.055360;NA;0.433439;0.335380;0.335379;0.79;1275;112
1.38;217;1;3;512;1;0;1;18000;40960;0;1;.011819;NA;.093225;.110022;.110022;1.38;217;99
1.37;215;1;3;512;1;0;1;17000;40960;0;0;0.055491;NA;0.433833;0.339980;0.339979;0.80;1273;111
1.37;217;1;3;512;1;0;1;17000;40960;0;1;.011768;NA;.092210;.112671;.112671;1.37;217;100
1.37;216;1;3;512;1;0;1;16000;40960;0;0;0.055791;NA;0.441322;0.342677;0.342676;0.80;1275;112
1.37;216;1;3;512;1;0;1;16000;40960;0;1;.011922;NA;.091740;.117316;.117316;1.37;216;100
1.39;216;1;3;512;1;0;1;15000;40960;0;0;0.056671;NA;0.438736;0.358579;0.358578;0.82;1275;109
1.38;217;1;3;512;1;0;1;15000;40960;0;1;.012012;NA;.091214;.121040;.121039;1.38;217;99
1.37;216;1;3;512;1;0;1;14000;40960;0;0;0.056643;NA;0.439787;0.361789;0.361789;0.82;1273;109
1.38;216;1;3;512;1;0;1;14000;40960;0;1;.011797;NA;.093063;.127372;.127372;1.38;216;99
1.38;216;1;3;512;1;0;1;13000;40960;0;0;0.056135;NA;0.439075;0.371834;0.371833;0.83;1275;108
1.37;217;1;3;512;1;0;1;13000;40960;0;1;.011860;NA;.089865;.134703;.134703;1.37;217;99
1.37;216;1;3;512;1;0;1;12000;40960;0;0;0.055895;NA;0.428479;0.375669;0.375669;0.83;1273;106
1.37;217;1;3;512;1;0;1;12000;40960;0;1;.011818;NA;.089796;.142738;.142738;1.37;217;99
1.37;216;1;3;512;1;0;1;11000;40960;0;0;0.055336;NA;0.429500;0.389421;0.389421;0.85;1273;104
1.39;216;1;3;512;1;0;1;11000;40960;0;1;.012158;NA;.089597;.151104;.151104;1.39;216;100
1.37;216;1;3;512;1;0;1;10000;40960;0;0;0.056702;NA;0.431654;0.403890;0.403890;0.86;1275;103
1.37;217;1;3;512;1;0;1;10000;40960;0;1;.012362;NA;.087622;.163628;.163628;1.37;217;100
1.38;216;1;3;512;1;0;1;9000;40960;0;0;0.055674;NA;0.426751;0.417711;0.417711;0.88;1273;100
1.37;215;1;3;512;1;0;1;9000;40960;0;1;.011709;NA;.088347;.175622;.175622;1.37;215;99
1.37;216;1;3;512;1;0;1;8000;40960;0;0;0.055763;NA;0.428475;0.437274;0.437273;0.89;1273;98
1.37;216;1;3;512;1;0;1;8000;40960;0;1;.011850;NA;.086799;.196140;.196140;1.37;216;99
1.36;214;1;3;512;1;0;2;25000;40960;0;0;0.100827;NA;0.434468;0.468367;0.468366;0.97;1440;96
1.35;215;1;3;512;1;0;2;25000;40960;0;1;.017143;NA;.091371;.108475;.108475;1.35;215;99
1.35;215;1;3;512;1;0;2;24000;40960;0;0;0.101662;NA;0.437274;0.468013;0.468013;0.98;1438;96
1.35;214;1;3;512;1;0;2;24000;40960;0;1;.017464;NA;.088555;.105859;.105858;1.35;214;99
1.35;214;1;3;512;1;0;2;23000;40960;0;0;0.101108;NA;0.430641;0.460170;0.460169;0.96;1440;96
1.36;215;1;3;512;1;0;2;23000;40960;0;1;.017045;NA;.087519;.105780;.105780;1.36;215;99
1.35;214;1;3;512;1;0;2;22000;40960;0;0;0.101216;NA;0.428407;0.458562;0.458561;0.96;1440;96
1.34;216;1;3;512;1;0;2;22000;40960;0;1;.017136;NA;.086672;.107721;.107720;1.34;216;99
1.35;214;1;3;512;1;0;2;21000;40960;0;0;0.102573;NA;0.435976;0.465526;0.465526;0.97;1438;96
1.35;215;1;3;512;1;0;2;21000;40960;0;1;.016962;NA;.089108;.108812;.108812;1.35;215;99
1.35;215;1;3;512;1;0;2;20000;40960;0;0;0.101616;NA;0.441228;0.466276;0.466275;0.97;1440;97
1.35;214;1;3;512;1;0;2;20000;40960;0;1;.017090;NA;.089757;.108104;.108104;1.35;214;99
1.35;215;1;3;512;1;0;2;19000;40960;0;0;0.101225;NA;0.429629;0.469411;0.469411;0.97;1440;95
1.35;215;1;3;512;1;0;2;19000;40960;0;1;.017041;NA;.086942;.110591;.110591;1.35;215;99
