comp.time(s);comp.peakRAM(MiB);bin.filesize(MiB);ssl;datatype;optshare;packbool;protocol;input_size;preprocess;splitroles;inittime(s);preproc(s);runtime_clock(s);runtime_getTime(s);runtime_chrono(s);runtime_external(s);peakRAM(MiB);jobCPU(%)
0.01;3;1;0;128;1;0;5;102400;0;2;.002161;NA;.041917;.055514;.055514;1.23;699;1375
0.01;3;1;0;128;1;0;6;1024;0;2;.000009;NA;.000144;.000229;.000229;0.02;7;766
0.01;3;1;0;128;1;0;6;10240;0;2;.000069;NA;.001333;.001716;.001716;0.06;43;1236
0.01;3;1;0;128;1;0;6;102400;0;2;.000645;NA;.017915;.021433;.021433;0.59;403;1452
0.01;3;1;0;256;1;0;1;1024;0;2;.000022;NA;.000963;.000905;.000905;0.03;19;1318
0.01;3;1;0;256;1;0;1;10240;0;2;.000195;NA;.009562;.009358;.009358;0.22;162;1714
0.01;3;1;0;256;1;0;1;102400;0;2;.001949;NA;.093995;.094993;.094993;2.08;1591;1740
0.01;3;1;0;256;1;0;2;1024;0;2;.000073;NA;.000821;.000925;.000925;0.03;19;1237
0.01;3;1;0;256;1;0;2;10240;0;2;.000562;NA;.007810;.008692;.008692;0.22;163;1478
0.01;3;1;0;256;1;0;2;102400;0;2;.004947;NA;.078141;.083268;.083268;1.95;1597;1638
0.01;3;1;0;256;1;0;3;1024;0;2;.000025;NA;.000511;.000918;.000918;0.04;19;630
0.01;3;1;0;256;1;0;3;10240;0;2;.000227;NA;.005804;.008017;.008016;0.20;162;1290
0.01;3;1;0;256;1;0;3;102400;0;2;.002189;NA;.060409;.075964;.075964;1.76;1594;1443
0.01;3;1;0;256;1;0;4;1024;0;2;.000027;NA;.000593;.000806;.000806;0.03;17;1011
0.01;3;1;0;256;1;0;4;10240;0;2;.000223;NA;.004921;.006655;.006655;0.18;142;1265
0.01;3;1;0;256;1;0;4;102400;0;2;.002176;NA;.047640;.064507;.064507;1.54;1391;1374
0.01;3;1;0;256;1;0;5;1024;0;2;.000026;NA;.000566;.000842;.000842;0.03;17;958
0.01;3;1;0;256;1;0;5;10240;0;2;.000217;NA;.005680;.007657;.007657;0.20;143;1240
0.01;3;1;0;256;1;0;5;102400;0;2;.002233;NA;.056934;.072767;.072767;1.70;1394;1431
0.01;3;1;0;256;1;0;6;1024;0;2;.000009;NA;.000319;.000344;.000344;0.02;11;1025
0.01;3;1;0;256;1;0;6;10240;0;2;.000068;NA;.001915;.002715;.002715;0.09;83;1282
0.01;3;1;0;256;1;0;6;102400;0;2;.000672;NA;.021962;.026442;.026442;0.83;803;1495
0.01;3;1;0;512;1;0;1;1024;0;2;.000022;NA;.001610;.001522;.001522;0.05;35;1403
0.01;3;1;0;512;1;0;1;10240;0;2;.000198;NA;.016214;.015784;.015784;0.38;321;1722
0.01;3;1;0;512;1;0;1;102400;0;2;.001880;NA;.156924;.160904;.160904;3.56;3179;1735
0.01;3;1;0;512;1;0;2;1024;0;2;.000091;NA;.001240;.001558;.001558;0.05;35;1201
0.01;3;1;0;512;1;0;2;10240;0;2;.000745;NA;.013928;.015123;.015123;0.38;322;1539
0.01;3;1;0;512;1;0;2;102400;0;2;.007173;NA;.128668;.140452;.140452;3.37;3191;1613
0.01;3;1;0;512;1;0;3;1024;0;2;.000026;NA;.001045;.001463;.001463;0.05;35;1049
0.01;3;1;0;512;1;0;3;10240;0;2;.000237;NA;.010523;.013525;.013525;0.36;322;1290
0.01;3;1;0;512;1;0;3;102400;0;2;.002034;NA;.098401;.128148;.128148;3.05;3185;1395
0.01;3;1;0;512;1;0;4;1024;0;2;.000026;NA;.000848;.001220;.001220;0.04;31;1097
0.01;3;1;0;512;1;0;4;10240;0;2;.000230;NA;.008154;.011442;.011442;0.30;281;1285
0.01;3;1;0;512;1;0;4;102400;0;2;.002170;NA;.078281;.104376;.104376;2.56;2779;1411
0.01;3;1;0;512;1;0;5;1024;0;2;.000026;NA;.001034;.001371;.001371;0.04;31;1155
0.01;3;1;0;512;1;0;5;10240;0;2;.000225;NA;.010671;.013479;.013479;0.33;282;1391
0.01;3;1;0;512;1;0;5;102400;0;2;.002174;NA;.095232;.122132;.122132;2.89;2785;1446
0.01;3;1;0;512;1;0;6;1024;0;2;.000008;NA;.000422;.000491;.000490;0.03;19;1115
0.01;3;1;0;512;1;0;6;10240;0;2;.000069;NA;.003477;.004805;.004805;0.17;163;1322
0.01;3;1;0;512;1;0;6;102400;0;2;.000660;NA;.033153;.045019;.045019;1.48;1603;1440
0.01;3;1;1;8;1;0;1;1024;0;2;.000021;NA;.000148;.000157;.000157;0.02;7;1452
0.01;3;1;1;8;1;0;1;10240;0;2;.000212;NA;.001382;.001330;.001330;0.05;12;1496
0.01;3;1;1;8;1;0;1;102400;0;2;.002018;NA;.019818;.019826;.019826;0.46;57;1633
