comp.time(s)  comp.peakRAM(MiB)  bin.filesize(MiB)  freqs(GHz)  datatype  optshare  packbool  protocol  bandwidths(Mbs)  input_size  preprocess  splitroles  inittime(s)  preproc(s)  runtime_clock(s)  runtime_getTime(s)  runtime_chrono(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)
1.67          216                1                  3           512       1         0         1         25000            40960       0           0           0.056753     NA          0.448077          0.339688            0.339688           0.80                 1273          113
1.39          216                1                  3           512       1         0         1         25000            40960       0           1           .011837      NA          .095112           .098690             .098690            1.39                 216           100
1.37          216                1                  3           512       1         0         1         24000            40960       0           0           0.055746     NA          0.439602          0.339071            0.339071           0.80                 1273          112
1.37          216                1                  3           512       1         0         1         24000            40960       0           1           .012027      NA          .095786           .099013             .099013            1.37                 216           99
1.37          216                1                  3           512       1         0         1         23000            40960       0           0           0.055357     NA          0.443369          0.347824            0.347823           0.80                 1273          111
1.38          216                1                  3           512       1         0         1         23000            40960       0           1           .011840      NA          .096029           .097215             .097214            1.38                 216           99
1.37          215                1                  3           512       1         0         1         22000            40960       0           0           0.055766     NA          0.426008          0.338490            0.338489           0.80                 1273          110
1.38          217                1                  3           512       1         0         1         22000            40960       0           1           .011748      NA          .094341           .102849             .102848            1.38                 217           99
1.37          216                1                  3           512       1         0         1         21000            40960       0           0           0.055795     NA          0.429459          0.343675            0.343674           0.80                 1274          110
1.38          215                1                  3           512       1         0         1         21000            40960       0           1           .011959      NA          .093326           .103603             .103603            1.38                 215           99
1.39          215                1                  3           512       1         0         1         20000            40960       0           0           0.056114     NA          0.439011          0.341345            0.341344           0.80                 1275          111
1.38          216                1                  3           512       1         0         1         20000            40960       0           1           .011854      NA          .096312           .102070             .102070            1.38                 216           99
1.38          215                1                  3           512       1         0         1         19000            40960       0           0           0.055528     NA          0.432766          0.336912            0.336911           0.80                 1274          111
1.37          216                1                  3           512       1         0         1         19000            40960       0           1           .011810      NA          .093978           .108622             .108622            1.37                 216           99
1.39          215                1                  3           512       1         0         1         18000            40960       0           0           0.056304     NA          0.439433          0.339260            0.339259           0.80                 1273          112
1.38          216                1                  3           512       1         0         1         18000            40960       0           1           .011829      NA          .092050           .110637             .110637            1.38                 216           99
1.38          217                1                  3           512       1         0         1         17000            40960       0           0           0.055768     NA          0.435060          0.341654            0.341653           0.80                 1275          111
1.37          216                1                  3           512       1         0         1         17000            40960       0           1           .011868      NA          .092271           .112753             .112752            1.37                 216           99
1.38          216                1                  3           512       1         0         1         16000            40960       0           0           0.055267     NA          0.439488          0.337266            0.337265           0.79                 1274          112
1.39          215                1                  3           512       1         0         1         16000            40960       0           1           .011991      NA          .091713           .117417             .117417            1.39                 215           100
1.37          215                1                  3           512       1         0         1         15000            40960       0           0           0.056041     NA          0.436860          0.359274            0.359273           0.82                 1273          109
1.38          215                1                  3           512       1         0         1         15000            40960       0           1           .011881      NA          .092828           .120688             .120688            1.38                 215           99
1.37          216                1                  3           512       1         0         1         14000            40960       0           0           0.056148     NA          0.425194          0.363220            0.363219           0.82                 1273          107
1.38          215                1                  3           512       1         0         1         14000            40960       0           1           .012084      NA          .090759           .128767             .128767            1.38                 215           100
1.37          216                1                  3           512       1         0         1         13000            40960       0           0           0.056798     NA          0.449843          0.370928            0.370927           0.83                 1275          109
1.37          215                1                  3           512       1         0         1         13000            40960       0           1           .011870      NA          .089608           .134116             .134116            1.37                 215           99
1.39          215                1                  3           512       1         0         1         12000            40960       0           0           0.055857     NA          0.429181          0.380804            0.380803           0.84                 1273          105
1.37          216                1                  3           512       1         0         1         12000            40960       0           1           .011969      NA          .089846           .142435             .142435            1.37                 216           99
1.37          215                1                  3           512       1         0         1         11000            40960       0           0           0.055575     NA          0.426088          0.392072            0.392071           0.85                 1274          103
1.38          216                1                  3           512       1         0         1         11000            40960       0           1           .012351      NA          .089172           .149305             .149305            1.38                 216           99
1.38          216                1                  3           512       1         0         1         10000            40960       0           0           0.055119     NA          0.421427          0.407183            0.407183           0.86                 1273          101
1.37          215                1                  3           512       1         0         1         10000            40960       0           1           .011948      NA          .088120           .162496             .162496            1.37                 215           99
1.37          216                1                  3           512       1         0         1         9000             40960       0           0           0.056029     NA          0.451949          0.419354            0.419353           0.88                 1273          103
1.37          216                1                  3           512       1         0         1         9000             40960       0           1           .011813      NA          .087550           .178605             .178605            1.37                 216           99
1.37          216                1                  3           512       1         0         1         8000             40960       0           0           0.056112     NA          0.430229          0.434423            0.434422           0.89                 1273          99
1.37          216                1                  3           512       1         0         1         8000             40960       0           1           .011868      NA          .088915           .198036             .198036            1.37                 216           99
1.36          214                1                  3           512       1         0         2         25000            40960       0           0           0.101586     NA          0.432305          0.464763            0.464762           0.97                 1438          96
1.35          215                1                  3           512       1         0         2         25000            40960       0           1           .016930      NA          .090726           .104741             .104740            1.35                 215           99
1.35          215                1                  3           512       1         0         2         24000            40960       0           0           0.102133     NA          0.445774          0.468092            0.468091           0.98                 1440          97
1.36          214                1                  3           512       1         0         2         24000            40960       0           1           .017034      NA          .091720           .106137             .106137            1.36                 214           99
1.36          215                1                  3           512       1         0         2         23000            40960       0           0           0.101262     NA          0.433500          0.461818            0.461817           0.97                 1440          97
1.35          215                1                  3           512       1         0         2         23000            40960       0           1           .017371      NA          .087778           .104833             .104833            1.35                 215           99
1.35          215                1                  3           512       1         0         2         22000            40960       0           0           0.101298     NA          0.425555          0.466560            0.466559           0.97                 1440          95
1.35          216                1                  3           512       1         0         2         22000            40960       0           1           .017036      NA          .089650           .106812             .106811            1.35                 216           99
1.35          215                1                  3           512       1         0         2         21000            40960       0           0           0.101613     NA          0.451946          0.492674            0.492673           1.00                 1440          95
1.35          214                1                  3           512       1         0         2         21000            40960       0           1           .017106      NA          .092793           .109281             .109281            1.35                 214           100
1.35          215                1                  3           512       1         0         2         20000            40960       0           0           0.101905     NA          0.437661          0.472419            0.472418           0.98                 1440          96
1.35          216                1                  3           512       1         0         2         20000            40960       0           1           .016908      NA          .087041           .108366             .108366            1.35                 216           99
1.35          215                1                  3           512       1         0         2         19000            40960       0           0           0.101435     NA          0.427081          0.473086            0.473085           0.98                 1440          95
1.35          215                1                  3           512       1         0         2         19000            40960       0           1           .016994      NA          .087904           .109867             .109867            1.35                 215           99
1.35          214                1                  3           512       1         0         2         18000            40960       0           0           0.101407     NA          0.434524          0.475192            0.475191           0.98                 1440          95
1.35          214                1                  3           512       1         0         2         18000            40960       0           1           .017184      NA          .089968           .110062             .110061            1.35                 214           100
1.35          215                1                  3           512       1         0         2         17000            40960       0           0           0.100976     NA          0.433268          0.480040            0.480039           0.98                 1438          95
1.35          216                1                  3           512       1         0         2         17000            40960       0           1           .017109      NA          .089352           .115202             .115202            1.35                 216           100
1.35          214                1                  3           512       1         0         2         16000            40960       0           0           0.101894     NA          0.431764          0.491948            0.491947           1.00                 1439          93
1.35          214                1                  3           512       1         0         2         16000            40960       0           1           .017145      NA          .084162           .122024             .122024            1.35                 214           99
1.35          214                1                  3           512       1         0         2         15000            40960       0           0           0.101530     NA          0.433145          0.499679            0.499678           1.01                 1438          93
1.35          215                1                  3           512       1         0         2         15000            40960       0           1           .017140      NA          .085799           .122514             .122514            1.35                 215           100
1.36          214                1                  3           512       1         0         2         14000            40960       0           0           0.101846     NA          0.428315          0.508360            0.508359           1.01                 1440          92
1.35          215                1                  3           512       1         0         2         14000            40960       0           1           .017044      NA          .085640           .126092             .126092            1.35                 215           99
1.35          215                1                  3           512       1         0         2         13000            40960       0           0           0.100928     NA          0.432116          0.522583            0.522582           1.03                 1438          91
1.35          214                1                  3           512       1         0         2         13000            40960       0           1           .017247      NA          .084695           .133938             .133938            1.35                 214           99
1.35          214                1                  3           512       1         0         2         12000            40960       0           0           0.100696     NA          0.435956          0.536365            0.536364           1.04                 1440          90
