comp.time(s);comp.peakRAM(MiB);bin.filesize(MiB);datatype;optshare;packbool;protocol;bandwidths(Mbs);input_size;preprocess;splitroles;inittime(s);preproc(s);runtime_clock(s);runtime_getTime(s);runtime_chrono(s);runtime_external(s);peakRAM(MiB);jobCPU(%)
1.50;232;1;128;1;0;1;25000;40960;0;0;0.019326;NA;0.129095;0.093618;0.093617;0.24;321;113
1.51;231;1;128;1;0;1;25000;40960;0;1;.003557;NA;.022261;.023375;.023375;1.51;231;99
1.53;233;1;128;1;0;1;24500;40960;0;0;0.019131;NA;0.132513;0.093987;0.093986;0.24;323;114
1.51;232;1;128;1;0;1;24500;40960;0;1;.003294;NA;.027177;.023996;.023995;1.51;232;99
1.51;232;1;128;1;0;1;24000;40960;0;0;0.018792;NA;0.127584;0.093621;0.093620;0.25;321;110
1.51;231;1;128;1;0;1;24000;40960;0;1;.003327;NA;.028845;.024296;.024295;1.51;231;99
1.48;232;1;128;1;0;1;23500;40960;0;0;0.019320;NA;0.132082;0.092202;0.092201;0.24;321;115
1.52;233;1;128;1;0;1;23500;40960;0;1;.003382;NA;.026163;.021963;.021963;1.52;233;99
1.51;232;1;128;1;0;1;23000;40960;0;0;0.019122;NA;0.127943;0.097155;0.097155;0.25;321;100
1.52;231;1;128;1;0;1;23000;40960;0;1;.003334;NA;.028796;.024802;.024802;1.52;231;99
1.52;232;1;128;1;0;1;22500;40960;0;0;0.019141;NA;0.119468;0.094440;0.094439;0.25;321;100
1.52;233;1;128;1;0;1;22500;40960;0;1;.003342;NA;.022229;.023229;.023229;1.52;233;99
1.51;233;1;128;1;0;1;22000;40960;0;0;0.019121;NA;0.130121;0.094826;0.094826;0.25;321;112
1.51;233;1;128;1;0;1;22000;40960;0;1;.003322;NA;.026149;.022851;.022851;1.51;233;99
1.51;232;1;128;1;0;1;21500;40960;0;0;0.019326;NA;0.132031;0.096150;0.096149;0.25;321;103
1.51;232;1;128;1;0;1;21500;40960;0;1;.003401;NA;.026075;.024952;.024952;1.51;232;99
1.51;233;1;128;1;0;1;21000;40960;0;0;0.018787;NA;0.124158;0.093750;0.093749;0.25;321;100
1.51;233;1;128;1;0;1;21000;40960;0;1;.003327;NA;.027641;.022236;.022236;1.51;233;99
1.51;232;1;128;1;0;1;20500;40960;0;0;0.019218;NA;0.124442;0.095684;0.095683;0.24;321;111
1.51;232;1;128;1;0;1;20500;40960;0;1;.003314;NA;.025253;.025147;.025146;1.51;232;100
1.51;233;1;128;1;0;1;20000;40960;0;0;0.019510;NA;0.131929;0.096167;0.096166;0.24;321;114
1.51;236;1;128;1;0;1;20000;40960;0;1;.003337;NA;.026213;.022310;.022309;1.51;236;99
