comp.time(s)  comp.peakRAM(MiB)  bin.filesize(MiB)  datatype  optshare  packbool  protocol  bandwidths(Mbs)  input_size  preprocess  splitroles  inittime(s)  preproc(s)  runtime_clock(s)  runtime_getTime(s)  runtime_chrono(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)
3.09          235                1                  256       1         0         1         9000             8192        0           0           0.013671     NA          0.132013          0.098957            0.098956           0.20                 130           114
3.09          235                1                  256       1         0         1         9000             8192        0           1           .003446      NA          .028654           .030726             .030725            3.09                 235           99
3.10          234                1                  256       1         0         1         8000             8192        0           0           0.013807     NA          0.131446          0.100343            0.100341           0.20                 130           113
3.09          234                1                  256       1         0         1         8000             8192        0           1           .003792      NA          .026718           .029935             .029935            3.09                 234           99
3.10          235                1                  256       1         0         1         7000             8192        0           0           0.013793     NA          0.128678          0.099945            0.099944           0.20                 130           112
3.09          234                1                  256       1         0         1         7000             8192        0           1           .003650      NA          .028427           .030276             .030276            3.09                 234           100
3.09          235                1                  256       1         0         1         6000             8192        0           0           0.013547     NA          0.132552          0.096506            0.096505           0.19                 130           115
3.10          238                1                  256       1         0         1         6000             8192        0           1           .003905      NA          .030399           .031248             .031248            3.10                 238           99
3.08          239                1                  256       1         0         1         5000             8192        0           0           0.013760     NA          0.125090          0.097215            0.097214           0.19                 130           114
3.10          233                1                  256       1         0         1         5000             8192        0           1           .003375      NA          .031270           .031808             .031808            3.10                 233           100
3.10          234                1                  256       1         0         1         4000             8192        0           0           0.013576     NA          0.128158          0.093686            0.093685           0.19                 130           117
3.09          235                1                  256       1         0         1         4000             8192        0           1           .003741      NA          .030484           .030136             .030136            3.09                 235           100
3.09          234                1                  256       1         0         1         3000             8192        0           0           0.013794     NA          0.125296          0.097069            0.097068           0.20                 130           112
3.08          235                1                  256       1         0         1         3000             8192        0           1           .003705      NA          .026641           .030133             .030133            3.08                 235           99
3.09          234                1                  256       1         0         1         2000             8192        0           0           0.013621     NA          0.130887          0.096241            0.096241           0.20                 130           115
3.09          234                1                  256       1         0         1         2000             8192        0           1           .003620      NA          .025005           .028038             .028038            3.09                 234           100
3.09          235                1                  256       1         0         1         1000             8192        0           0           0.013499     NA          0.126981          0.094006            0.094005           0.19                 130           113
3.09          235                1                  256       1         0         1         1000             8192        0           1           .003580      NA          .028859           .029162             .029162            3.09                 235           99
3.10          235                1                  256       1         0         1         500              8192        0           0           0.013893     NA          0.130629          0.099722            0.099722           0.20                 130           115
3.11          235                1                  256       1         0         1         500              8192        0           1           .003505      NA          .026625           .029858             .029857            3.11                 235           100
3.06          233                1                  256       1         0         2         9000             8192        0           0           0.026552     NA          0.127344          0.130284            0.130283           0.24                 147           98
3.04          233                1                  256       1         0         2         9000             8192        0           1           .006048      NA          .029898           .032372             .032372            3.04                 233           99
3.04          234                1                  256       1         0         2         8000             8192        0           0           0.025790     NA          0.128346          0.133908            0.133907           0.24                 149           97
3.05          233                1                  256       1         0         2         8000             8192        0           1           .005446      NA          .027155           .032270             .032270            3.05                 233           99
