nodes;program;c.domain;adv.model;protocol;comp.intbits;comp.inttriples;comp.vmrounds;input_size;runtime(s);maxPhyRAM(MiB);P0commRounds;P0dataSent(MB);ALLdataSent(MB)
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;maldishonest;mascot;8112;4992;631;6;14.9814;385;~3027;673.267;2018.46
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;maldishonest;mascot;273312;168192;21061;36;430.988;419;~98021;20047.2;60099.2
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;maldishonest;lowgear;8112;4992;631;6;1449.45;1253;~3099;61.4906;181.214
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;maldishonest;lowgear;273312;168192;21061;36;163.144;158;~94623;1091.86;3204.73
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;covertdishonest;cowgear;8112;4992;631;6;15.9697;165;~3099;61.4906;181.214
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;covertdishonest;cowgear;273312;168192;21061;36;162.331;157;~94623;1091.86;3204.73
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;covertdishonest;chaigear;8112;4992;631;6;90.0247;1264;~3058;186.192;598.603
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;covertdishonest;chaigear;273312;168192;21061;36;256.976;324;~93222;1120.79;3775.61
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;semidishonest;semi;8112;4992;631;6;3.26276;64;~2648;115.701;346.204
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;semidishonest;semi;273312;168192;21061;36;98.32;64;~88204;3661.07;10954.8
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;semidishonest;hemi;8112;4992;631;6;1.31713;46;~2598;7.19074;20.674
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;semidishonest;hemi;273312;168192;21061;36;34.1983;48;~86594;198.285;566.468
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;semidishonest;temi;8112;4992;631;6;1.01452;40;~2611;8.75551;19.0757
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;semidishonest;temi;273312;168192;21061;36;27.7307;34;~86919;240.53;523.307
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;semidishonest;soho;8112;4992;631;6;2.4403;164;~2563;17.8392;52.9076
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;semidishonest;soho;273312;168192;21061;36;40.2811;112;~85421;246.668;720.385
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;malhonest;malicious-shamir;8112;4992;631;6;0.213192;25;~648;3.84264;11.2079
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;malhonest;malicious-shamir;273312;168192;21061;36;7.23082;23;~21422;87.1754;261.206
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;malhonest;malicious-rep-field;8112;4992;631;6;0.185159;25;~645;1.28165;3.68494
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;malhonest;malicious-rep-field;273312;168192;21061;36;5.38599;23;~21344;30.073;90.0591
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;malhonest;ps-rep-field;8112;4992;631;6;0.139;18;~645;0.88152;2.48456
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;malhonest;ps-rep-field;273312;168192;21061;36;5.25832;23;~21344;24.6041;73.6523
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;malhonest;sy-rep-field;8112;4992;631;6;0.192541;24;~658;0.962312;2.72694
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;malhonest;sy-rep-field;273312;168192;21061;36;7.45569;27;~21584;26.4023;79.0468
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;semihonest;shamir;8112;4992;631;6;0.124956;18;~717;0.802624;2.08384
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;semihonest;shamir;273312;168192;21061;36;4.68781;16;~23781;20.5085;61.0778
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;semihonest;atlas;8112;4992;631;6;4.30817;20;~1287;3.46947;7.68435
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;semihonest;atlas;273312;168192;21061;36;14.4571;21;~42530;53.6498;132.181
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;semihonest;replicated-field;8112;4992;631;6;0.103787;13;~633;0.401312;1.04394
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;semihonest;replicated-field;273312;168192;21061;36;6.49128;14;~21117;10.2543;30.6028
bitcoin,bitcoincash,bitcoingold;35_set_intersection;RING;maldishonest;spdz2k;4914;4914;631;6;12.7695;820;~3138;455.411;1364.6
bitcoin,bitcoincash,bitcoingold;35_set_intersection;RING;maldishonest;spdz2k;165564;165564;21061;36;361.451;852;~101799;14474;43367.5
bitcoin,bitcoincash,bitcoingold;35_set_intersection;RING;semidishonest;semi2k;4914;4914;631;6;0.924479;31;~2620;46.6815;139.566
bitcoin,bitcoincash,bitcoingold;35_set_intersection;RING;semidishonest;semi2k;165564;165564;21061;36;29.9763;33;~87560;1549.9;4633.74
bitcoin,bitcoincash,bitcoingold;35_set_intersection;RING;malhonest;brain;4914;4914;631;6;0.317325;29;~681;4.20038;12.5212
bitcoin,bitcoincash,bitcoingold;35_set_intersection;RING;malhonest;brain;165564;165564;21061;36;7.28692;31;~21879;72.2463;216.819
bitcoin,bitcoincash,bitcoingold;35_set_intersection;RING;malhonest;malicious-rep-ring;4914;4914;631;6;0.131179;20;~656;0.979942;2.93983
bitcoin,bitcoincash,bitcoingold;35_set_intersection;RING;malhonest;malicious-rep-ring;165564;165564;21061;36;4.74442;21;~21454;17.9787;53.9362
bitcoin,bitcoincash,bitcoingold;35_set_intersection;RING;malhonest;ps-rep-ring;4914;4914;631;6;0.14415;19;~652;0.702916;2.10875
bitcoin,bitcoincash,bitcoingold;35_set_intersection;RING;malhonest;ps-rep-ring;165564;165564;21061;36;4.27488;21;~21386;15.1559;45.4677
bitcoin,bitcoincash,bitcoingold;35_set_intersection;RING;malhonest;sy-rep-ring;4914;4914;631;6;0.15634;25;~734;0.823294;2.33853
bitcoin,bitcoincash,bitcoingold;35_set_intersection;RING;malhonest;sy-rep-ring;165564;165564;21061;36;4.36904;28;~22396;15.1694;45.641
bitcoin,bitcoincash,bitcoingold;35_set_intersection;RING;semihonest;replicated-ring;4914;4914;631;6;0.0793668;16;~633;0.200032;0.520096
bitcoin,bitcoincash,bitcoingold;35_set_intersection;RING;semihonest;replicated-ring;165564;165564;21061;36;2.72758;15;~21095;3.58611;10.8383
bitcoin,bitcoincash,bitcoingold;35_set_intersection;BINARY;maldishonest;tinier;NA;12258;1405;6;1.56001;89;NA;52.2517;NA
bitcoin,bitcoincash,bitcoingold;35_set_intersection;BINARY;maldishonest;tinier;NA;347868;27865;36;23.3552;84;NA;753.484;NA
bitcoin,bitcoincash,bitcoingold;35_set_intersection;BINARY;semidishonest;semi-bin;NA;12258;1405;6;0.615438;194;NA;22.1691;NA
bitcoin,bitcoincash,bitcoingold;35_set_intersection;BINARY;semidishonest;semi-bin;NA;347868;27865;36;4.34457;199;NA;32.9091;NA
bitcoin,bitcoincash,bitcoingold;35_set_intersection;BINARY;semidishonest;yao;NA;12258;1405;6;0.0249431;11;NA;0.39264;NA
bitcoin,bitcoincash,bitcoingold;35_set_intersection;BINARY;semidishonest;yao;NA;347868;27865;36;0.280537;13;NA;11.1341;NA
bitcoin,bitcoincash,bitcoingold;35_set_intersection;BINARY;semidishonest;semi-bmr;NA;12258;1405;6;22.3167;119;NA;1326.99;NA
bitcoin,bitcoincash,bitcoingold;35_set_intersection;BINARY;semidishonest;semi-bmr;NA;347868;27865;36;571.552;1437;NA;37512.8;NA
bitcoin,bitcoincash,bitcoingold;35_set_intersection;BINARY;malhonest;malicious-rep-bin;NA;12258;1405;6;0.133377;18;NA;1.02638;NA
bitcoin,bitcoincash,bitcoingold;35_set_intersection;BINARY;malhonest;malicious-rep-bin;NA;347868;27865;36;2.85628;17;NA;6.3983;NA
bitcoin,bitcoincash,bitcoingold;35_set_intersection;BINARY;malhonest;malicious-ccd;NA;12258;1405;6;0.401269;15;NA;2.16472;NA
bitcoin,bitcoincash,bitcoingold;35_set_intersection;BINARY;malhonest;malicious-ccd;NA;347868;27865;36;4.74788;14;NA;42.0086;NA
bitcoin,bitcoincash,bitcoingold;35_set_intersection;BINARY;malhonest;ps-rep-bin;NA;12258;1405;6;1.94387;370;NA;67.3189;NA
bitcoin,bitcoincash,bitcoingold;35_set_intersection;BINARY;malhonest;ps-rep-bin;NA;347868;27865;36;5.78447;409;NA;73.032;NA
bitcoin,bitcoincash,bitcoingold;35_set_intersection;BINARY;malhonest;mal-shamir-bmr;NA;12258;1405;6;1.60706;87;NA;52.6599;NA
bitcoin,bitcoincash,bitcoingold;35_set_intersection;BINARY;malhonest;mal-shamir-bmr;NA;347868;27865;36;42.1253;1526;NA;1412.65;NA
bitcoin,bitcoincash,bitcoingold;35_set_intersection;BINARY;malhonest;mal-rep-bmr;NA;12258;1405;6;0.772975;95;NA;18.5356;NA
bitcoin,bitcoincash,bitcoingold;35_set_intersection;BINARY;malhonest;mal-rep-bmr;NA;347868;27865;36;16.8156;1856;NA;516.562;NA
bitcoin,bitcoincash,bitcoingold;35_set_intersection;BINARY;semihonest;replicated-bin;NA;12258;1405;6;0.0906052;10;NA;0.012738;NA
bitcoin,bitcoincash,bitcoingold;35_set_intersection;BINARY;semihonest;replicated-bin;NA;347868;27865;36;2.50495;12;NA;0.350508;NA
bitcoin,bitcoincash,bitcoingold;35_set_intersection;BINARY;semihonest;ccd;NA;12258;1405;6;0.103142;12;NA;0.025668;NA
bitcoin,bitcoincash,bitcoingold;35_set_intersection;BINARY;semihonest;ccd;NA;347868;27865;36;2.95399;11;NA;0.702648;NA
bitcoin,bitcoincash,bitcoingold;35_set_intersection;BINARY;semihonest;shamir-bmr;NA;12258;1405;6;0.514284;67;NA;15.3617;NA
bitcoin,bitcoincash,bitcoingold;35_set_intersection;BINARY;semihonest;shamir-bmr;NA;347868;27865;36;8.9903;1294;NA;431.183;NA
bitcoin,bitcoincash,bitcoingold;35_set_intersection;BINARY;semihonest;rep-bmr;NA;12258;1405;6;0.283107;55;NA;7.50288;NA
bitcoin,bitcoincash,bitcoingold;35_set_intersection;BINARY;semihonest;rep-bmr;NA;347868;27865;36;5.31984;970;NA;211.803;NA
