comp.time(s);comp.peakRAM(MiB);bin.filesize(MiB);ssl;threads;datatype;function;optshare;packbool;protocol;rxbuffer;txbuffer;input_size;preprocess;splitroles;inittime(s);preproc(s);runtime_clock(s);runtime_getTime(s);runtime_chrono(s);runtime_external(s);peakRAM(MiB);jobCPU(%)
1.44;228;1;0;1;128;0;1;0;1;0;0;40960;0;0;0.007353;NA;0.197135;0.187687;0.187686;0.28;321;99
0.02;3;1;0;1;128;0;1;0;1;0;0;40960;0;1;.001237;NA;.038044;.037721;.037721;.053333;321;583
0.02;3;1;0;1;128;0;1;0;1;0;0;40960;0;2;.000425;NA;.016595;.018808;.018808;.025000;321;1558
1.43;230;1;0;1;128;0;1;0;1;0;10;40960;0;0;0.010968;NA;1.037728;0.392823;0.392823;0.49;336;229
0.02;3;1;0;1;128;0;1;0;1;0;10;40960;0;1;.001902;NA;.162622;.073192;.073192;.096666;336;1106
0.02;3;1;0;1;128;0;1;0;1;0;10;40960;0;2;.000648;NA;.053839;.026646;.026646;.036111;336;2903
1.41;229;1;0;1;128;0;1;0;1;0;50;40960;0;0;0.010096;NA;0.642022;0.277948;0.277947;0.37;324;196
0.02;3;1;0;1;128;0;1;0;1;0;50;40960;0;1;.001717;NA;.105983;.055225;.055225;.098333;324;730
0.02;3;1;0;1;128;0;1;0;1;0;50;40960;0;2;.000585;NA;.041047;.022723;.022723;.030555;324;2722
1.44;230;1;0;1;128;0;1;0;1;0;200;40960;0;0;0.008076;NA;0.394781;0.229289;0.229288;0.32;322;148
0.02;3;1;0;1;128;0;1;0;1;0;200;40960;0;1;.001361;NA;.067075;.038927;.038927;.056666;322;843
0.02;3;1;0;1;128;0;1;0;1;0;200;40960;0;2;.000459;NA;.029574;.019254;.019254;.031111;322;2019
1.43;230;1;0;1;128;0;1;0;1;10;0;40960;0;0;0.010683;NA;1.071940;0.693334;0.693333;0.80;335;146
0.02;3;1;0;1;128;0;1;0;1;10;0;40960;0;1;.001814;NA;.158034;.097973;.097973;.121666;336;852
0.02;3;1;0;1;128;0;1;0;1;10;0;40960;0;2;.000623;NA;.053493;.032916;.032916;.041666;336;2554
1.48;231;1;0;1;128;0;1;0;1;10;10;40960;0;0;0.013454;NA;1.580903;0.560143;0.560143;0.67;351;251
0.02;3;1;0;1;128;0;1;0;1;10;10;40960;0;1;.002257;NA;.225223;.075221;.075221;.095000;351;1499
