nodes;program;c.domain;adv.model;protocol;comp.intbits;comp.inttriples;comp.vmrounds;cpus;freqs;quotas;input_size;runtime(s);maxPhyRAM(MiB);P0commRounds;P0dataSent(MB);ALLdataSent(MB)
todd,ned,rod;31_scalable_search;FIELD;semihonest;shamir;1040;630;74;8;2.6;800;10;0.0167829;16;~88;0.661152;1.66184
todd,ned,rod;31_scalable_search;FIELD;semihonest;shamir;20800;12600;1404;8;2.6;800;200;0.130886;18;~1612;2.02243;6.03528
todd,ned,rod;31_scalable_search;FIELD;semihonest;shamir;41600;25200;2804;8;2.6;800;400;0.251499;16;~3216;3.40483;10.4705
todd,ned,rod;31_scalable_search;FIELD;semihonest;shamir;62400;37800;4204;8;2.6;800;600;0.371776;16;~4820;5.10723;14.9057
todd,ned,rod;31_scalable_search;FIELD;semihonest;shamir;83200;50400;5604;8;2.6;800;800;0.488849;16;~6424;6.48963;19.3409
todd,ned,rod;31_scalable_search;FIELD;semihonest;shamir;104000;63000;7004;8;2.6;800;1000;0.597029;18;~8028;7.87203;23.7761
todd,ned,rod;31_scalable_search;FIELD;semihonest;shamir;124800;75600;8404;8;2.6;800;1200;0.721325;15;~9632;9.57443;28.2113
todd,ned,rod;31_scalable_search;FIELD;semihonest;shamir;145600;88200;9804;8;2.6;800;1400;0.878095;15;~11236;10.9568;32.6465
todd,ned,rod;31_scalable_search;FIELD;semihonest;shamir;166400;100800;11204;8;2.6;800;1600;0.980888;16;~12840;12.3392;37.0817
todd,ned,rod;31_scalable_search;FIELD;semihonest;shamir;187200;113400;12604;8;2.6;800;1800;1.09893;15;~14444;14.0416;41.5169
todd,ned,rod;31_scalable_search;FIELD;semihonest;shamir;208000;126000;14004;8;2.6;800;2000;1.21401;16;~16048;15.424;45.9521
todd,ned,rod;31_scalable_search;FIELD;semihonest;shamir;1040;630;74;8;2.6;400;10;0.0159666;17;~88;0.661152;1.66184
todd,ned,rod;31_scalable_search;FIELD;semihonest;shamir;20800;12600;1404;8;2.6;400;200;0.132512;16;~1612;2.02243;6.03528
todd,ned,rod;31_scalable_search;FIELD;semihonest;shamir;41600;25200;2804;8;2.6;400;400;0.2528;17;~3216;3.40483;10.4705
todd,ned,rod;31_scalable_search;FIELD;semihonest;shamir;62400;37800;4204;8;2.6;400;600;0.380863;16;~4820;5.10723;14.9057
todd,ned,rod;31_scalable_search;FIELD;semihonest;shamir;83200;50400;5604;8;2.6;400;800;0.490179;16;~6424;6.48963;19.3409
todd,ned,rod;31_scalable_search;FIELD;semihonest;shamir;104000;63000;7004;8;2.6;400;1000;0.606485;16;~8028;7.87203;23.7761
todd,ned,rod;31_scalable_search;FIELD;semihonest;shamir;124800;75600;8404;8;2.6;400;1200;0.736212;15;~9632;9.57443;28.2113
todd,ned,rod;31_scalable_search;FIELD;semihonest;shamir;145600;88200;9804;8;2.6;400;1400;0.841526;15;~11236;10.9568;32.6465
todd,ned,rod;31_scalable_search;FIELD;semihonest;shamir;166400;100800;11204;8;2.6;400;1600;0.972376;16;~12840;12.3392;37.0817
todd,ned,rod;31_scalable_search;FIELD;semihonest;shamir;187200;113400;12604;8;2.6;400;1800;1.07956;16;~14444;14.0416;41.5169
todd,ned,rod;31_scalable_search;FIELD;semihonest;shamir;208000;126000;14004;8;2.6;400;2000;1.20945;16;~16048;15.424;45.9521
todd,ned,rod;31_scalable_search;FIELD;semihonest;shamir;1040;630;74;8;2.6;320;10;0.0162662;15;~88;0.661152;1.66184
todd,ned,rod;31_scalable_search;FIELD;semihonest;shamir;20800;12600;1404;8;2.6;320;200;0.128305;18;~1612;2.02243;6.03528
todd,ned,rod;31_scalable_search;FIELD;semihonest;shamir;41600;25200;2804;8;2.6;320;400;0.243147;16;~3216;3.40483;10.4705
