comp.time(s);comp.peakRAM(MiB);bin.filesize(MiB);datatype;optshare;packbool;protocol;input_size;preprocess;splitroles;inittime(s);preproc(s);runtime_clock(s);runtime_getTime(s);runtime_chrono(s);runtime_external(s);peakRAM(MiB);jobCPU(%)
3.00;232;1;8;1;0;1;4096;0;0;0.002373;NA;0.010350;0.015740;0.015739;0.03;5;60
2.94;231;1;8;1;0;2;4096;0;0;0.004993;NA;0.013517;0.020736;0.020735;0.03;6;75
2.88;230;1;8;1;0;3;4096;0;0;0.002993;NA;0.005750;0.016757;0.016757;0.02;5;52
2.90;230;1;8;1;0;4;4096;0;0;0.002128;NA;0.005974;0.013064;0.013063;0.02;5;59
2.89;230;1;8;1;0;5;4096;0;0;0.002951;NA;0.007346;0.014761;0.014760;0.02;5;63
2.88;231;1;8;1;0;6;4096;0;0;0.001870;NA;0.003908;0.005955;0.005954;0.01;5;68
3.09;233;1;64;1;0;1;4096;0;0;0.003302;NA;0.026088;0.059267;0.059266;0.08;19;53
3.07;234;1;64;1;0;2;4096;0;0;0.006233;NA;0.025089;0.075163;0.075162;0.09;21;45
2.98;231;1;64;1;0;3;4096;0;0;0.006205;NA;0.012793;0.069448;0.069447;0.09;15;39
2.96;231;1;64;1;0;4;4096;0;0;0.005262;NA;0.013756;0.059138;0.059138;0.08;15;45
3.00;231;1;64;1;0;5;4096;0;0;0.005770;NA;0.017150;0.068256;0.068255;0.09;19;44
2.97;230;1;64;1;0;6;4096;0;0;0.002768;NA;0.007246;0.024560;0.024559;0.04;13;62
