nodes;program;c.domain;adv.model;protocol;partysize;bandwidths(Mbs);input_size;runtime(s);maxPhyRAM(MiB);P0commRounds;P0dataSent(MB);ALLdataSent(MB)
rapla,tapa,valga;35_set_intersection;BINARY;maldishonest;real-bmr;3;100;30;8663.98;NA;NA;156617;NA
rapla,tapa,valga;35_set_intersection;BINARY;semidishonest;semi-bmr;3;100;30;1210.62;NA;NA;26332.8;NA
