nodes;program;c.domain;adv.model;protocol;partysize;comp.P0intin;comp.P1intin;comp.P2intin;comp.P0bitin;comp.P1bitin;compP2bitin;comp.intbits;comp.inttriples;comp.bittriples;comp.vmrounds;input_size;runtime(s);maxPhyRAM(MiB);P0commRounds;P0dataSent(MB);ALLdataSent(MB);Tx(MB);Tx(rounds);Tx(s);Rx(MB);Rx(rounds);Rx(s);Brcasting(MB);Brcasting(rounds);Brcasting(s);TxRx(MB);TxRx(rounds);TxRx(s);Passing(MB);Passing(rounds);Passing(s);Part.Brcasting(MB);Part.Brcasting(rounds);Part.Brcasting(s);Ex(MB);Ex(rounds);Ex(s);Ex1to1(MB);Ex1to1(rounds);Ex1to1(s);Rx1to1(MB);Rx1to1(rounds);Rx1to1(s);Tx1to1(MB);Tx1to1(rounds);Tx1to1(s);Txtoall(MB);Txtoall(rounds);Txtoall(s)
ether,ethercash,ethergold;35_set_intersection;RING;semihonest;replicated-ring;3;16;16;16;NA;NA;NA;NA;NA;NA;17;4;0.00291355;NA;~17;0.000256;0.000768;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
ether,ethercash,ethergold;35_set_intersection;RING;semihonest;replicated-ring;3;64;64;64;NA;NA;NA;NA;NA;NA;65;8;0.00785634;NA;~65;0.001024;0.003072;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
ether,ethercash,ethergold;35_set_intersection;RING;semihonest;replicated-ring;3;100;100;100;NA;NA;NA;NA;NA;NA;101;10;0.0156428;NA;~101;0.0016;0.0048;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
ether,ethercash,ethergold;35_set_intersection;RING;semihonest;replicated-ring;3;121;121;121;NA;NA;NA;NA;NA;NA;122;11;0.0375239;NA;~122;0.001936;0.005808;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
ether,ethercash,ethergold;35_set_intersection;BINARY;semihonest;replicated-bin;3;NA;NA;NA;1024;1024;1024;NA;NA;9408;2129;4;0.113803;NA;NA;0.010608;NA;4.8e-05;3;0.111222;4.8e-05;3;0.114204;NA;NA;NA;NA;NA;NA;0.01056;977;0.107609;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
ether,ethercash,ethergold;35_set_intersection;BINARY;semihonest;replicated-bin;3;NA;NA;NA;4096;4096;4096;NA;NA;37632;8513;8;0.493187;NA;NA;0.042288;NA;4.8e-05;3;0.492062;4.8e-05;3;0.492371;NA;NA;NA;NA;NA;NA;0.04224;3905;0.472884;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
ether,ethercash,ethergold;35_set_intersection;BINARY;semihonest;replicated-bin;3;NA;NA;NA;6400;6400;6400;NA;NA;58800;13301;10;0.758491;NA;NA;0.066048;NA;4.8e-05;3;0.756693;4.8e-05;3;0.757673;NA;NA;NA;NA;NA;NA;0.066;6101;0.730615;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
ether,ethercash,ethergold;35_set_intersection;BINARY;semihonest;replicated-bin;3;NA;NA;NA;7744;7744;7744;NA;NA;71148;16094;11;0.948064;NA;NA;0.079908;NA;4.8e-05;3;0.945604;4.8e-05;3;0.947859;NA;NA;NA;NA;NA;NA;0.07986;7382;0.9121;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
ether,ethercash,ethergold;35_set_intersection;BINARY;semihonest;ccd;3;NA;NA;NA;1024;1024;1024;NA;NA;9408;2129;4;0.11865;NA;NA;0.021888;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.020864;961;0.111768;NA;NA;NA;0.001024;16;0.00183077;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
ether,ethercash,ethergold;35_set_intersection;BINARY;semihonest;ccd;3;NA;NA;NA;4096;4096;4096;NA;NA;37632;8513;8;0.5572;NA;NA;0.087552;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.083456;3841;0.5209;NA;NA;NA;0.004096;64;0.00818483;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
ether,ethercash,ethergold;35_set_intersection;BINARY;semihonest;ccd;3;NA;NA;NA;6400;6400;6400;NA;NA;58800;13301;10;0.867097;NA;NA;0.1368;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.1304;6001;0.805703;NA;NA;NA;0.0064;100;0.011845;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
ether,ethercash,ethergold;35_set_intersection;BINARY;semihonest;ccd;3;NA;NA;NA;7744;7744;7744;NA;NA;71148;16094;11;1.09033;NA;NA;0.165528;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.157784;7261;1.00686;NA;NA;NA;0.007744;121;0.0142181;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
ether,ethercash,ethergold;35_set_intersection;BINARY;semihonest;shamir-bmr;3;NA;NA;NA;1024;1024;1024;NA;NA;9408;2129;4;0.641037;NA;NA;12.1227;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
ether,ethercash,ethergold;35_set_intersection;BINARY;semihonest;shamir-bmr;3;NA;NA;NA;4096;4096;4096;NA;NA;37632;8513;8;2.44645;NA;NA;48.1705;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
ether,ethercash,ethergold;35_set_intersection;BINARY;semihonest;shamir-bmr;3;NA;NA;NA;6400;6400;6400;NA;NA;58800;13301;10;3.69088;NA;NA;75.0464;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
ether,ethercash,ethergold;35_set_intersection;BINARY;semihonest;shamir-bmr;3;NA;NA;NA;7744;7744;7744;NA;NA;71148;16094;11;4.23812;NA;NA;90.8574;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
ether,ethercash,ethergold;35_set_intersection;BINARY;semihonest;rep-bmr;3;NA;NA;NA;1024;1024;1024;NA;NA;9408;2129;4;0.426282;NA;NA;5.85328;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
ether,ethercash,ethergold;35_set_intersection;BINARY;semihonest;rep-bmr;3;NA;NA;NA;4096;4096;4096;NA;NA;37632;8513;8;1.96886;NA;NA;23.4128;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
ether,ethercash,ethergold;35_set_intersection;BINARY;semihonest;rep-bmr;3;NA;NA;NA;6400;6400;6400;NA;NA;58800;13301;10;3.24186;NA;NA;36.5825;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
ether,ethercash,ethergold;35_set_intersection;BINARY;semihonest;rep-bmr;3;NA;NA;NA;7744;7744;7744;NA;NA;71148;16094;11;3.69711;NA;NA;44.2648;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
