nodes;program;c.domain;adv.model;protocol;comp.intbits;comp.inttriples;comp.vmrounds;cpus;freqs;quotas;input_size;runtime(s);maxPhyRAM(MiB);P0commRounds;P0dataSent(MB);ALLdataSent(MB)
valga,tapa,rapla;31_scalable_search;FIELD;maldishonest;mascot;1040;630;74;8;2.6;800;10;1.73951;377;~446;176.474;488.193
valga,tapa,rapla;31_scalable_search;FIELD;maldishonest;mascot;5200;3150;354;8;2.6;800;50;4.31329;379;~1780;492.572;1435.84
valga,tapa,rapla;31_scalable_search;FIELD;maldishonest;mascot;10400;6300;704;8;2.6;800;100;7.21002;379;~3428;853.872;2518.96
valga,tapa,rapla;31_scalable_search;FIELD;maldishonest;mascot;15600;9450;1054;8;2.6;800;150;10.2706;389;~5076;1215.17;3602.07
valga,tapa,rapla;31_scalable_search;FIELD;maldishonest;mascot;20800;12600;1404;8;2.6;800;200;13.0926;385;~6724;1576.47;4685.19
valga,tapa,rapla;31_scalable_search;FIELD;maldishonest;mascot;26000;15750;1754;8;2.6;800;250;16.132;384;~8372;1937.77;5768.31
valga,tapa,rapla;31_scalable_search;FIELD;maldishonest;mascot;31200;18900;2104;8;2.6;800;300;19.044;381;~10054;2344.23;6986.81
valga,tapa,rapla;31_scalable_search;FIELD;maldishonest;mascot;36400;22050;2454;8;2.6;800;350;22.6411;386;~11728;2750.63;8205.18
valga,tapa,rapla;31_scalable_search;FIELD;maldishonest;mascot;41600;25200;2804;8;2.6;800;400;25.5424;385;~13376;3111.93;9288.3
valga,tapa,rapla;31_scalable_search;FIELD;maldishonest;lowgear;1040;630;74;8;2.6;800;10;465.669;1243;~804;60.7613;178.182
valga,tapa,rapla;31_scalable_search;FIELD;maldishonest;lowgear;5200;3150;354;8;2.6;800;50;7.63705;115;~1956;61.1824;179.023
valga,tapa,rapla;31_scalable_search;FIELD;maldishonest;lowgear;10400;6300;704;8;2.6;800;100;7.86047;114;~3396;61.7088;180.074
valga,tapa,rapla;31_scalable_search;FIELD;maldishonest;lowgear;15600;9450;1054;8;2.6;800;150;14.9303;131;~5288;121.228;355.745
valga,tapa,rapla;31_scalable_search;FIELD;maldishonest;lowgear;20800;12600;1404;8;2.6;800;200;15.001;126;~6728;121.755;356.796
valga,tapa,rapla;31_scalable_search;FIELD;maldishonest;lowgear;26000;15750;1754;8;2.6;800;250;15.1992;133;~8168;122.281;357.847
valga,tapa,rapla;31_scalable_search;FIELD;maldishonest;lowgear;31200;18900;2104;8;2.6;800;300;22.4559;135;~10068;181.864;533.646
valga,tapa,rapla;31_scalable_search;FIELD;maldishonest;lowgear;36400;22050;2454;8;2.6;800;350;22.413;134;~11508;182.391;534.697
valga,tapa,rapla;31_scalable_search;FIELD;maldishonest;lowgear;41600;25200;2804;8;2.6;800;400;22.9065;134;~12948;182.917;535.749
valga,tapa,rapla;31_scalable_search;FIELD;maldishonest;highgear;1040;630;74;8;2.6;800;10;1121.69;2629;~638;131.512;362.446
valga,tapa,rapla;31_scalable_search;FIELD;maldishonest;highgear;5200;3150;354;8;2.6;800;50;22.1552;275;~1774;131.804;363.03
valga,tapa,rapla;31_scalable_search;FIELD;maldishonest;highgear;10400;6300;704;8;2.6;800;100;26.8431;293;~3343;167.964;491.852
valga,tapa,rapla;31_scalable_search;FIELD;maldishonest;highgear;15600;9450;1054;8;2.6;800;150;29.7452;273;~4901;175.245;512.541
valga,tapa,rapla;31_scalable_search;FIELD;maldishonest;highgear;20800;12600;1404;8;2.6;800;200;32.0012;273;~6458;180.733;528.112
valga,tapa,rapla;31_scalable_search;FIELD;maldishonest;highgear;26000;15750;1754;8;2.6;800;250;36.5441;275;~8027;216.892;656.928
valga,tapa,rapla;31_scalable_search;FIELD;maldishonest;highgear;31200;18900;2104;8;2.6;800;300;39.7969;297;~9589;224.203;677.68
valga,tapa,rapla;31_scalable_search;FIELD;maldishonest;highgear;36400;22050;2454;8;2.6;800;350;44.3638;278;~11158;260.363;806.502
valga,tapa,rapla;31_scalable_search;FIELD;maldishonest;highgear;41600;25200;2804;8;2.6;800;400;49.1091;278;~12853;272.764;842.027
