nodes;program;c.domain;adv.model;protocol;partysize;compiletime(s);comp.P0intin;comp.P1intin;comp.P2intin;comp.P0bitin;comp.P1bitin;compP2bitin;comp.intbits;comp.inttriples;comp.bittriples;comp.vmrounds;input_size;runtime_internal(s);runtime_external(s);maxPhyRAM(MiB);jobCPU(%);P0commRounds;P0dataSent(MB);ALLdataSent(MB);Tx(MB);Tx(rounds);Tx(s);Rx(MB);Rx(rounds);Rx(s);Brcasting(MB);Brcasting(rounds);Brcasting(s);TxRx(MB);TxRx(rounds);TxRx(s);Passing(MB);Passing(rounds);Passing(s);Part.Brcasting(MB);Part.Brcasting(rounds);Part.Brcasting(s);Ex(MB);Ex(rounds);Ex(s);Ex1to1(MB);Ex1to1(rounds);Ex1to1(s);Rx1to1(MB);Rx1to1(rounds);Rx1to1(s);Tx1to1(MB);Tx1to1(rounds);Tx1to1(s);Txtoall(MB);Txtoall(rounds);Txtoall(s)
dogecoin,dogecoincash,dogecoingold;42_scalable_search;FIELD;semihonest;atlas;3;1.34;NA;NA;NA;1280;64;NA;NA;NA;1260;29;20;0.00669606;0.10;15;57;~16;0.017577;0.047739;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
dogecoin,dogecoincash,dogecoingold;42_scalable_search;FIELD;semihonest;atlas;3;1.73;NA;NA;NA;1920;64;NA;NA;NA;1890;39;30;0.00759188;0.11;15;66;~16;0.019697;0.051539;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
dogecoin,dogecoincash,dogecoingold;42_scalable_search;FIELD;semihonest;atlas;3;2.31;NA;NA;NA;2560;64;NA;NA;NA;2520;49;40;0.00930992;0.11;16;64;~16;0.021817;0.055339;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
dogecoin,dogecoincash,dogecoingold;42_scalable_search;FIELD;semihonest;shamir;3;1.34;NA;NA;NA;1280;64;NA;NA;NA;1260;29;20;0.00437038;0.09;14;53;~8;0.005081;0.010251;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
dogecoin,dogecoincash,dogecoingold;42_scalable_search;FIELD;semihonest;shamir;3;1.73;NA;NA;NA;1920;64;NA;NA;NA;1890;39;30;0.00687311;0.12;15;59;~8;0.007621;0.015311;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
dogecoin,dogecoincash,dogecoingold;42_scalable_search;FIELD;semihonest;shamir;3;2.31;NA;NA;NA;2560;64;NA;NA;NA;2520;49;40;0.00654504;0.11;15;60;~8;0.010161;0.020371;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
dogecoin,dogecoincash,dogecoingold;42_scalable_search;RING;semihonest;replicated-ring;3;1.16;NA;NA;NA;1280;64;NA;NA;NA;1260;29;20;0.00338356;0.10;14;53;~10;0.002564;0.005196;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
dogecoin,dogecoincash,dogecoingold;42_scalable_search;RING;semihonest;replicated-ring;3;1.73;NA;NA;NA;1920;64;NA;NA;NA;1890;39;30;0.00404586;0.10;16;50;~10;0.003834;0.007726;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
dogecoin,dogecoincash,dogecoingold;42_scalable_search;RING;semihonest;replicated-ring;3;2.30;NA;NA;NA;2560;64;NA;NA;NA;2520;49;40;0.00464333;0.11;15;51;~10;0.005104;0.010256;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
dogecoin,dogecoincash,dogecoingold;42_scalable_search;BINARY;semihonest;ccd;3;1.17;NA;NA;NA;1280;64;NA;NA;NA;1260;29;20;0.00486572;0.07;12;57;NA;0.005081;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.00508;7;0.00183848;NA;NA;NA;1e-06;1;0.000269879;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
dogecoin,dogecoincash,dogecoingold;42_scalable_search;BINARY;semihonest;ccd;3;1.72;NA;NA;NA;1920;64;NA;NA;NA;1890;39;30;0.00560587;0.07;13;62;NA;0.007621;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.00762;7;0.00183071;NA;NA;NA;1e-06;1;0.00029795;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
dogecoin,dogecoincash,dogecoingold;42_scalable_search;BINARY;semihonest;ccd;3;2.30;NA;NA;NA;2560;64;NA;NA;NA;2520;49;40;0.00704132;0.07;12;63;NA;0.010161;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.01016;7;0.00193665;NA;NA;NA;1e-06;1;0.000342085;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
dogecoin,dogecoincash,dogecoingold;42_scalable_search;BINARY;semidishonest;yao;2;1.17;NA;NA;NA;1280;64;NA;NA;NA;1260;29;20;0.0172016;0.05;11;61;NA;0.040321;NA;0.040321;4;0.000516713;8e-06;1;0.00170735;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
dogecoin,dogecoincash,dogecoingold;42_scalable_search;BINARY;semidishonest;yao;2;1.72;NA;NA;NA;1920;64;NA;NA;NA;1890;39;30;0.0172158;0.05;14;73;NA;0.060481;NA;0.060481;4;0.000297959;8e-06;1;0.00149319;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
dogecoin,dogecoincash,dogecoingold;42_scalable_search;BINARY;semidishonest;yao;2;2.30;NA;NA;NA;2560;64;NA;NA;NA;2520;49;40;0.0186054;0.06;10;77;NA;0.080641;NA;0.080641;4;0.000340326;8e-06;1;0.00216399;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
dogecoin,dogecoincash,dogecoingold;42_scalable_search;BINARY;maldishonest;tinier;3;1.17;NA;NA;NA;1280;64;NA;NA;NA;1260;29;20;0.737085;0.81;81;110;NA;26.2869;NA;0.941068;26;0.0042701;0.941132;28;0.721526;0.000488;21;0.0130689;6.4e-05;2;0.694711;NA;NA;NA;NA;NA;NA;0.008542;6;0.00110181;25.0102;64;0.821252;0.161792;1;0.704542;0.323584;2;1.39491;0.00128;1;0.69032
dogecoin,dogecoincash,dogecoingold;42_scalable_search;BINARY;maldishonest;tinier;3;1.72;NA;NA;NA;1920;64;NA;NA;NA;1890;39;30;0.730249;0.81;80;109;NA;26.2907;NA;0.943588;26;0.00427806;0.943652;28;0.712647;0.000488;21;0.0189741;6.4e-05;2;0.685723;NA;NA;NA;NA;NA;NA;0.008542;6;0.00639093;25.0102;64;0.801742;0.161792;1;0.696315;0.323584;2;1.37707;0.00192;1;0.681565
dogecoin,dogecoincash,dogecoingold;42_scalable_search;BINARY;maldishonest;tinier;3;2.30;NA;NA;NA;2560;64;NA;NA;NA;2520;49;40;0.744653;0.83;86;110;NA;26.2945;NA;0.946108;26;0.00404783;0.946172;28;0.723725;0.000488;21;0.0101003;6.4e-05;2;0.697758;NA;NA;NA;NA;NA;NA;0.008542;6;0.00224864;25.0102;64;0.817644;0.161792;1;0.708642;0.323584;2;1.40165;0.00256;1;0.693194
dogecoin,dogecoincash,dogecoingold;42_scalable_search;BINARY;semidishonest;semi-bin;3;1.17;NA;NA;NA;1280;64;NA;NA;NA;1260;29;20;0.424227;0.50;200;150;NA;21.8171;NA;0.040336;14;0.000733553;0.040336;14;0.00494867;NA;NA;NA;3.2e-05;1;0.416755;NA;NA;NA;NA;NA;NA;0.008542;6;0.0056889;21.7682;4;0.476681;NA;NA;NA;NA;NA;NA;NA;NA;NA
dogecoin,dogecoincash,dogecoingold;42_scalable_search;BINARY;semidishonest;semi-bin;3;1.72;NA;NA;NA;1920;64;NA;NA;NA;1890;39;30;0.427396;0.50;199;150;NA;21.8373;NA;0.060496;14;0.000661875;0.060496;14;0.0053707;NA;NA;NA;3.2e-05;1;0.419642;NA;NA;NA;NA;NA;NA;0.008542;6;0.0021213;21.7682;4;0.485915;NA;NA;NA;NA;NA;NA;NA;NA;NA
dogecoin,dogecoincash,dogecoingold;42_scalable_search;BINARY;semidishonest;semi-bin;3;2.30;NA;NA;NA;2560;64;NA;NA;NA;2520;49;40;0.447416;0.53;199;150;NA;21.8574;NA;0.080656;14;0.000795869;0.080656;14;0.00676707;NA;NA;NA;3.2e-05;1;0.438965;NA;NA;NA;NA;NA;NA;0.008542;6;0.00836863;21.7682;4;0.516366;NA;NA;NA;NA;NA;NA;NA;NA;NA
dogecoin,dogecoincash,dogecoingold;42_scalable_search;BINARY;malhonest;malicious-rep-bin;3;1.17;NA;NA;NA;1280;64;NA;NA;NA;1260;29;20;0.0348017;0.08;17;58;NA;0.851264;NA;4.8e-05;3;0.0321221;4.8e-05;3;0.0351978;0.000116;5;0.00432391;NA;NA;NA;0.850984;11;0.014069;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
dogecoin,dogecoincash,dogecoingold;42_scalable_search;BINARY;malhonest;malicious-rep-bin;3;1.72;NA;NA;NA;1920;64;NA;NA;NA;1890;39;30;0.0361014;0.09;19;68;NA;0.861984;NA;4.8e-05;3;0.0327551;4.8e-05;3;0.0363847;0.000116;5;0.00140685;NA;NA;NA;0.861704;11;0.0116401;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
dogecoin,dogecoincash,dogecoingold;42_scalable_search;BINARY;malhonest;malicious-rep-bin;3;2.30;NA;NA;NA;2560;64;NA;NA;NA;2520;49;40;0.0338867;0.09;20;64;NA;0.872704;NA;4.8e-05;3;0.031257;4.8e-05;3;0.0336503;0.000116;5;0.00391634;NA;NA;NA;0.872424;11;0.0132659;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
