comp.time(s);comp.peakRAM(MiB);bin.filesize(MiB);datatype;optshare;packbool;protocol;input_size;preprocess;splitroles;inittime(s);preproc(s);runtime_clock(s);runtime_getTime(s);runtime_chrono(s);runtime_external(s);peakRAM(MiB);jobCPU(%)
1.48;229;1;8;1;0;1;4096;0;0;0.000844;NA;0.011885;0.014686;0.014685;0.03;5;58
1.45;227;1;8;1;0;2;4096;0;0;0.002471;NA;0.013607;0.014747;0.014747;0.02;6;100
1.42;226;1;8;1;0;3;4096;0;0;0.001019;NA;0.007854;0.012522;0.012521;0.01;5;72
1.41;224;1;8;1;0;4;4096;0;0;0.000849;NA;0.008381;0.010447;0.010446;0.01;5;86
1.44;226;1;8;1;0;5;4096;0;0;0.001026;NA;0.009214;0.012756;0.012755;0.02;5;62
1.40;225;1;8;1;0;6;4096;0;0;0.000252;NA;0.001448;0.002839;0.002838;0.01;5;45
1.45;228;1;64;1;0;1;4096;0;0;0.003476;NA;0.018796;0.015722;0.015721;0.03;19;102
1.48;228;1;64;1;0;2;4096;0;0;0.003104;NA;0.013849;0.016332;0.016331;0.02;21;92
1.40;226;1;64;1;0;3;4096;0;0;0.001585;NA;0.007004;0.016781;0.016780;0.04;15;50
1.41;225;1;64;1;0;4;4096;0;0;0.003424;NA;0.010062;0.014757;0.014756;0.03;15;87
1.45;226;1;64;1;0;5;4096;0;0;0.003625;NA;0.013269;0.017191;0.017190;0.03;17;85
1.44;226;1;64;1;0;6;4096;0;0;0.001765;NA;0.005081;0.006386;0.006385;0.02;13;90
