comp.time(s);comp.peakRAM(MiB);bin.filesize(MiB);datatype;optshare;packbool;protocol;input_size;preprocess;splitroles;inittime(s);preproc(s);runtime_clock(s);runtime_getTime(s);runtime_chrono(s);runtime_external(s);peakRAM(MiB);jobCPU(%)
1.47;232;1;256;1;0;1;512;0;1;.000157;NA;.001109;.001731;.001730;1.47;232;99
1.48;231;1;256;1;0;1;1024;0;1;.000272;NA;.001865;.002998;.002997;1.48;231;99
1.46;232;1;256;1;0;1;1536;0;1;.000375;NA;.002972;.007281;.007280;1.46;232;99
1.48;232;1;256;1;0;1;2048;0;1;.000485;NA;.003534;.011409;.011409;1.48;232;99
1.48;233;1;256;1;0;1;2560;0;1;.000545;NA;.004546;.013398;.013398;1.48;233;99
1.45;233;1;256;1;0;1;3072;0;1;.000633;NA;.004993;.014140;.014139;1.45;233;100
1.44;233;1;256;1;0;1;3584;0;1;.000653;NA;.005122;.017577;.017577;1.44;233;99
1.50;233;1;256;1;0;1;4096;0;1;.000757;NA;.005478;.012771;.012771;1.50;233;99
1.49;232;1;256;1;0;1;4608;0;1;.000631;NA;.006439;.069559;.069559;1.49;232;100
1.46;232;1;256;1;0;1;5120;0;1;.000536;NA;.007017;.021729;.021729;1.46;232;99
1.49;232;1;256;1;0;1;5632;0;1;.000648;NA;.007450;.021927;.021927;1.49;232;99
1.45;233;1;256;1;0;1;6144;0;1;.000634;NA;.008301;.022580;.022580;1.45;233;100
1.45;232;1;256;1;0;1;6656;0;1;.000655;NA;.008535;.025290;.025290;1.45;232;99
1.48;231;1;256;1;0;1;7168;0;1;.000722;NA;.009192;.028291;.028291;1.48;231;99
1.48;233;1;256;1;0;1;7680;0;1;.000743;NA;.009679;.031435;.031435;1.48;233;99
1.49;232;1;256;1;0;1;8192;0;1;.000800;NA;.010148;.034902;.034902;1.49;232;99
1.47;231;1;256;1;0;2;512;0;1;.000174;NA;.001038;.002367;.002367;1.47;231;99
1.46;231;1;256;1;0;2;1024;0;1;.000415;NA;.001719;.004383;.004383;1.46;231;99
1.46;231;1;256;1;0;2;1536;0;1;.000422;NA;.002324;.005234;.005234;1.46;231;99
1.46;231;1;256;1;0;2;2048;0;1;.000515;NA;.002935;.007748;.007748;1.46;231;100
