program  c.domain  adv.model      protocol           partysize  comp.time(s)  comp.peakRAM(MiB)  bin.filesize(MiB)  comp.P0intin  comp.P1intin  comp.P2intin  comp.P0bitin  comp.P1bitin  compP2bitin  comp.intbits  comp.inttriples  comp.bittriples  comp.vmrounds  latencies(ms)  input_size  runtime_internal(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)  P0commRounds  P0dataSent(MB)  ALLdataSent(MB)  Tx(MB)    Tx(rounds)  Tx(s)     Rx(MB)    Rx(rounds)  Rx(s)    Brcasting(MB)  Brcasting(rounds)  Brcasting(s)  TxRx(MB)  TxRx(rounds)  TxRx(s)  Passing(MB)  Passing(rounds)  Passing(s)  Part.Brcasting(MB)  Part.Brcasting(rounds)  Part.Brcasting(s)  Ex(MB)  Ex(rounds)  Ex(s)  Ex1to1(MB)  Ex1to1(rounds)  Ex1to1(s)  Rx1to1(MB)  Rx1to1(rounds)  Rx1to1(s)  Tx1to1(MB)  Tx1to1(rounds)  Tx1to1(s)  Txtoall(MB)  Txtoall(rounds)  Txtoall(s)
34       FIELD     semidishonest  hemi               3          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             10             30          74.9429              75.40                43            1          ~14403        3.34788         9.84204          NA        NA          NA        NA        NA          NA       NA             NA                 NA            NA        NA            NA       NA           NA               NA          NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
34       FIELD     semidishonest  hemi               3          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             15             30          111.095              111.74               43            1          ~14403        3.34788         9.84204          NA        NA          NA        NA        NA          NA       NA             NA                 NA            NA        NA            NA       NA           NA               NA          NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
34       FIELD     semidishonest  hemi               3          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             20             30          147.142              147.97               43            1          ~14403        3.34788         9.84204          NA        NA          NA        NA        NA          NA       NA             NA                 NA            NA        NA            NA       NA           NA               NA          NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
34       FIELD     semidishonest  hemi               3          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             25             30          183.469              184.45               43            1          ~14403        3.34788         9.84204          NA        NA          NA        NA        NA          NA       NA             NA                 NA            NA        NA            NA       NA           NA               NA          NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
34       FIELD     semidishonest  hemi               3          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             30             30          219.576              220.77               45            1          ~14403        3.34788         9.84204          NA        NA          NA        NA        NA          NA       NA             NA                 NA            NA        NA            NA       NA           NA               NA          NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
34       FIELD     semidishonest  hemi               3          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             35             30          255.877              257.23               45            0          ~14403        3.34788         9.84204          NA        NA          NA        NA        NA          NA       NA             NA                 NA            NA        NA            NA       NA           NA               NA          NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
34       FIELD     semidishonest  hemi               3          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             40             30          291.971              293.50               45            0          ~14403        3.34788         9.84204          NA        NA          NA        NA        NA          NA       NA             NA                 NA            NA        NA            NA       NA           NA               NA          NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
34       FIELD     semidishonest  hemi               3          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             45             30          328.126              329.84               45            0          ~14403        3.34788         9.84204          NA        NA          NA        NA        NA          NA       NA             NA                 NA            NA        NA            NA       NA           NA               NA          NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
34       FIELD     semidishonest  hemi               3          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             50             30          364.208              366.11               45            0          ~14403        3.34788         9.84204          NA        NA          NA        NA        NA          NA       NA             NA                 NA            NA        NA            NA       NA           NA               NA          NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
34       FIELD     semidishonest  semi               3          0.54          29                 1                  900           900           900           NA            NA            NA           NA            2700             NA               3601           0              30          0.845561             0.91                 62            69         ~14412        24.8022         74.2049          NA        NA          NA        NA        NA          NA       NA             NA                 NA            NA        NA            NA       NA           NA               NA          NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
