program  c.domain  adv.model      protocol           partysize  comp.time(s)  comp.peakRAM(MiB)  bin.filesize(MiB)  latencies(ms)  input_size  runtime_internal(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)  P0commRounds  P0dataSent(MB)  ALLdataSent(MB)
34       FIELD     semidishonest  soho               3          0.54          29                 1                  0              30          1.06714              1.89                 162           91         ~14404        11.1756         33.3254
34       FIELD     semidishonest  soho               3          NA            NA                 NA                 5              30          39.1493              39.57                106           4          ~14404        11.1758         33.3257
34       FIELD     semidishonest  soho               3          NA            NA                 NA                 10             30          75.3066              75.99                108           3          ~14404        11.1757         33.3255
34       FIELD     semidishonest  soho               3          NA            NA                 NA                 15             30          111.521              112.42               106           2          ~14404        11.1757         33.3254
34       FIELD     semidishonest  soho               3          NA            NA                 NA                 20             30          147.704              148.84               105           1          ~14404        11.1755         33.3252
34       FIELD     semidishonest  soho               3          NA            NA                 NA                 25             30          183.804              185.17               106           1          ~14404        11.1756         33.3254
34       FIELD     semidishonest  soho               3          NA            NA                 NA                 30             30          219.96               221.57               105           1          ~14404        11.1758         33.3255
34       FIELD     semidishonest  soho               3          NA            NA                 NA                 35             30          256.317              258.14               106           1          ~14404        11.1756         33.3253
34       FIELD     semidishonest  soho               3          NA            NA                 NA                 40             30          292.36               294.43               108           1          ~14404        11.1756         33.3256
34       FIELD     semidishonest  soho               3          NA            NA                 NA                 45             30          328.291              330.83               105           1          ~14404        11.1759         33.3256
34       FIELD     semidishonest  soho               3          NA            NA                 NA                 50             30          364.64               367.16               105           1          ~14404        11.1757         33.3256
34       BINARY    malhonest      malicious-rep-bin  3          9.93          487                4                  0              30          25.9089              26.01                39            104        NA            208.588         NA
34       BINARY    malhonest      malicious-rep-bin  3          NA            NA                 NA                 5              30          489.455              489.77               38            10         NA            208.588         NA
34       BINARY    malhonest      malicious-rep-bin  3          NA            NA                 NA                 10             30          924.734              925.24               38            6          NA            208.588         NA
34       BINARY    malhonest      malicious-rep-bin  3          NA            NA                 NA                 15             30          1364.12              1364.86              37            4          NA            208.588         NA
34       BINARY    malhonest      malicious-rep-bin  3          NA            NA                 NA                 20             30          1800.55              1801.49              38            3          NA            208.588         NA
34       BINARY    malhonest      malicious-rep-bin  3          NA            NA                 NA                 25             30          2238.15              2239.23              38            2          NA            208.588         NA
34       BINARY    malhonest      malicious-ccd      3          9.93          487                4                  0              30          69.6745              69.86                45            159        NA            1447.87         NA
34       BINARY    malhonest      malicious-ccd      3          NA            NA                 NA                 5              30          572.59               572.90               47            24         NA            1447.87         NA
34       BINARY    malhonest      malicious-ccd      3          NA            NA                 NA                 10             30          1058.51              1059.04              46            13         NA            1447.87         NA
34       BINARY    malhonest      malicious-ccd      3          NA            NA                 NA                 15             30          1543.31              1544.02              45            9          NA            1447.87         NA
34       BINARY    malhonest      malicious-ccd      3          NA            NA                 NA                 20             30          2028.47              2029.37              45            7          NA            1447.87         NA
34       BINARY    malhonest      malicious-ccd      3          NA            NA                 NA                 25             30          2512.88              2513.97              45            5          NA            1447.87         NA
34       BINARY    malhonest      ps-rep-bin         3          9.93          487                4                  0              30          64.3541              64.46                392           104        NA            272.175         NA
34       BINARY    malhonest      ps-rep-bin         3          NA            NA                 NA                 5              30          552.871              553.19               390           17         NA            272.175         NA
34       BINARY    malhonest      ps-rep-bin         3          NA            NA                 NA                 10             30          1025.74              1026.28              392           9          NA            272.175         NA
34       BINARY    malhonest      ps-rep-bin         3          NA            NA                 NA                 15             30          1498.75              1499.46              392           6          NA            272.175         NA
34       BINARY    malhonest      ps-rep-bin         3          NA            NA                 NA                 20             30          1970.53              1971.43              390           4          NA            272.175         NA
34       BINARY    malhonest      ps-rep-bin         3          NA            NA                 NA                 25             30          2442.44              2443.51              391           4          NA            272.175         NA
34       BINARY    malhonest      mal-shamir-bmr     3          9.93          487                4                  0              30          293.315              293.43               2674          140        NA            48890.6         NA
34       BINARY    malhonest      mal-shamir-bmr     3          NA            NA                 NA                 5              30          1843.69              1844.01              2690          58         NA            48890.6         NA
34       BINARY    malhonest      mal-shamir-bmr     3          NA            NA                 NA                 10             30          2852.13              2852.64              2689          39         NA            48890.6         NA
34       BINARY    malhonest      mal-shamir-bmr     3          NA            NA                 NA                 15             30          3845.76              3846.44              2673          28         NA            48890.6         NA
34       BINARY    malhonest      mal-shamir-bmr     3          NA            NA                 NA                 20             30          4837.29              4838.14              2684          22         NA            48890.6         NA
