comp.time(s)  comp.peakRAM(MiB)  bin.filesize(MiB)  ssl  datatype  optshare  packbool  protocol  input_size  preprocess  splitroles  inittime(s)  preproc(s)  runtime_clock(s)  runtime_getTime(s)  runtime_chrono(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)
1.73          207                1                  0    256       1         0         1         512         0           0           0.000668     NA          0.010673          0.009045            0.009044           0.01                 11            107
1.75          205                1                  0    256       1         0         1         512         0           1           .000098      NA          .002044           .001375             .001375            1.75                 205           99
1.75          206                1                  0    256       1         0         1         1024        0           0           0.001598     NA          0.018639          0.015314            0.015313           0.02                 19            112
1.56          206                1                  0    256       1         0         1         1024        0           1           .000239      NA          .001963           .002585             .002585            1.56                 206           99
1.40          207                1                  0    256       1         0         1         1536        0           0           0.002411     NA          0.023473          0.019286            0.019284           0.03                 27            100
1.53          206                1                  0    256       1         0         1         1536        0           1           .000287      NA          .004279           .003452             .003452            1.53                 206           99
1.71          206                1                  0    256       1         0         1         2048        0           0           0.002877     NA          0.030899          0.024461            0.024460           0.04                 35            107
1.39          206                1                  0    256       1         0         1         2048        0           1           .000403      NA          .007040           .005207             .005207            1.39                 206           100
1.41          206                1                  0    256       1         0         1         2560        0           0           0.003774     NA          0.040974          0.030654            0.030653           0.04                 43            123
1.39          206                1                  0    256       1         0         1         2560        0           1           .000518      NA          .008365           .006028             .006028            1.39                 206           99
1.58          205                1                  0    256       1         0         1         3072        0           0           0.003312     NA          0.035218          0.032223            0.032222           0.06                 51            88
1.76          206                1                  0    256       1         0         1         3072        0           1           .000608      NA          .009901           .007267             .007267            1.76                 206           99
1.70          208                1                  0    256       1         0         1         3584        0           0           0.003531     NA          0.032940          0.033974            0.033973           0.05                 59            87
1.59          206                1                  0    256       1         0         1         3584        0           1           .000626      NA          .010727           .007409             .007409            1.59                 206           100
1.41          205                1                  0    256       1         0         1         4096        0           0           0.004292     NA          0.053512          0.045311            0.045309           0.07                 67            100
1.40          205                1                  0    256       1         0         1         4096        0           1           .000740      NA          .012078           .008374             .008374            1.40                 205           100
1.77          206                1                  0    256       1         0         1         4608        0           0           0.006382     NA          0.062694          0.048750            0.048749           0.07                 75            116
1.41          205                1                  0    256       1         0         1         4608        0           1           .000892      NA          .013695           .010494             .010494            1.41                 205           99
1.68          206                1                  0    256       1         0         1         5120        0           0           0.007167     NA          0.069782          0.052739            0.052738           0.08                 83            118
1.58          205                1                  0    256       1         0         1         5120        0           1           .000969      NA          .013376           .010696             .010696            1.58                 205           100
1.65          205                1                  0    256       1         0         2         512         0           0           0.001070     NA          0.007229          0.009885            0.009884           0.01                 12            82
1.40          205                1                  0    256       1         0         2         512         0           1           .000139      NA          .000830           .001665             .001665            1.40                 205           100
1.56          204                1                  0    256       1         0         2         1024        0           0           0.002182     NA          0.011421          0.016022            0.016021           0.03                 21            71
1.38          205                1                  0    256       1         0         2         1024        0           1           .000313      NA          .003243           .002907             .002907            1.38                 205           99
1.37          204                1                  0    256       1         0         2         1536        0           0           0.003883     NA          0.020853          0.021874            0.021873           0.03                 30            97
1.38          206                1                  0    256       1         0         2         1536        0           1           .000399      NA          .004548           .003868             .003868            1.38                 206           100
1.58          205                1                  0    256       1         0         2         2048        0           0           0.005151     NA          0.026327          0.027969            0.027968           0.04                 39            95
