nodes;program;c.domain;adv.model;protocol;partysize;comp.P0intin;comp.P1intin;comp.P2intin;comp.P0bitin;comp.P1bitin;compP2bitin;comp.intbits;comp.inttriples;comp.bittriples;comp.vmrounds;freqs(GHz);input_size;runtime(s);maxPhyRAM(MiB);P0commRounds;P0dataSent(MB);ALLdataSent(MB);Tx(MB);Tx(rounds);Tx(s);Rx(MB);Rx(rounds);Rx(s);Brcasting(MB);Brcasting(rounds);Brcasting(s);TxRx(MB);TxRx(rounds);TxRx(s);Passing(MB);Passing(rounds);Passing(s);Part.Brcasting(MB);Part.Brcasting(rounds);Part.Brcasting(s);Ex(MB);Ex(rounds);Ex(s);Ex1to1(MB);Ex1to1(rounds);Ex1to1(s);Rx1to1(MB);Rx1to1(rounds);Rx1to1(s);Tx1to1(MB);Tx1to1(rounds);Tx1to1(s);Txtoall(MB);Txtoall(rounds);Txtoall(s)
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.2;170;33.3549;NA;NA;128.83;NA;0.000224;14;0.590212;0.000224;14;33.3549;0.00104;38;0.0146137;NA;NA;NA;128.828;412797;30.6093;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.2;180;36.7648;NA;NA;143.968;NA;0.00024;15;1.58017;0.00024;15;36.7646;0.001124;41;0.0133051;NA;NA;NA;143.965;462280;33.6992;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.2;190;41.2172;NA;NA;159.918;NA;0.000256;16;2.81272;0.000256;16;41.2178;0.001208;44;0.0153061;NA;NA;NA;159.915;514563;37.8967;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.2;200;46.5618;NA;NA;177.511;NA;0.000288;18;1.47479;0.000288;18;46.5613;0.001376;50;0.0178096;NA;NA;NA;177.508;569649;42.8481;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.1;10;0.204474;NA;NA;1.31998;NA;4.8e-05;3;0.201904;4.8e-05;3;0.203804;0.000116;5;0.00141765;NA;NA;NA;1.3197;1884;0.162407;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.1;20;0.602607;NA;NA;2.62294;NA;4.8e-05;3;0.599712;4.8e-05;3;0.601895;0.000116;5;0.00189666;NA;NA;NA;2.62266;6564;0.531467;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.1;30;1.23512;NA;NA;4.7387;NA;4.8e-05;3;1.23196;4.8e-05;3;1.23471;0.000116;5;0.00188097;NA;NA;NA;4.73842;14044;1.1158;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.1;40;2.1588;NA;NA;7.66726;NA;4.8e-05;3;2.15567;4.8e-05;3;2.15776;0.000116;5;0.00151163;NA;NA;NA;7.66698;24324;1.97472;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.1;50;3.18655;NA;NA;11.4086;NA;4.8e-05;3;3.18291;4.8e-05;3;3.18573;0.000116;5;0.00163001;NA;NA;NA;11.4083;37404;2.90861;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.1;60;4.68942;NA;NA;16.7925;NA;6.4e-05;4;1.43447;6.4e-05;4;4.68884;0.0002;8;0.00275814;NA;NA;NA;16.792;53287;4.29202;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.1;70;6.13311;NA;NA;22.1595;NA;6.4e-05;4;2.95175;6.4e-05;4;6.13189;0.0002;8;0.00372955;NA;NA;NA;22.159;71967;5.60408;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.1;80;8.09426;NA;NA;29.1689;NA;8e-05;5;1.61325;8e-05;5;8.09393;0.000284;11;0.00344149;NA;NA;NA;29.1683;93450;7.39813;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.1;90;10.476;NA;NA;36.9912;NA;9.6e-05;6;0.585995;9.6e-05;6;10.4766;0.000368;14;0.00511466;NA;NA;NA;36.9904;117733;9.61548;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.1;100;12.2404;NA;NA;44.7966;NA;9.6e-05;6;2.81915;9.6e-05;6;12.2407;0.000368;14;0.00657994;NA;NA;NA;44.7957;144813;11.2131;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.1;110;15.5965;NA;NA;54.2445;NA;0.000112;7;2.36046;0.000112;7;15.5963;0.000452;17;0.00769815;NA;NA;NA;54.2434;174696;14.3452;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.1;120;18.0377;NA;NA;64.5051;NA;0.000128;8;1.96188;0.000128;8;18.0374;0.000536;20;0.00621432;NA;NA;NA;64.5039;207379;16.5717;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.1;130;20.7286;NA;NA;75.5786;NA;0.000144;9;1.80202;0.000144;9;20.7289;0.00062;23;0.00608003;NA;NA;NA;75.5772;242862;18.9608;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.1;140;23.929;NA;NA;87.4649;NA;0.00016;10;1.9397;0.00016;10;23.9288;0.000704;26;0.00880559;NA;NA;NA;87.4633;281145;21.9351;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.1;150;28.041;NA;NA;100.164;NA;0.000176;11;2.34349;0.000176;11;28.0411;0.000788;29;0.00890292;NA;NA;NA;100.162;322228;25.7644;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.1;160;31.7821;NA;NA;113.676;NA;0.000192;12;2.91424;0.000192;12;31.782;0.000872;32;0.0118408;NA;NA;NA;113.674;366111;29.2408;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.1;170;36.3411;NA;NA;128.83;NA;0.000224;14;0.646811;0.000224;14;36.3413;0.00104;38;0.0137219;NA;NA;NA;128.828;412797;33.375;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.1;180;39.2247;NA;NA;143.968;NA;0.00024;15;1.75335;0.00024;15;39.2257;0.001124;41;0.0131313;NA;NA;NA;143.965;462280;35.8498;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.1;190;45.3895;NA;NA;159.918;NA;0.000256;16;3.15373;0.000256;16;45.3893;0.001208;44;0.0169301;NA;NA;NA;159.915;514563;41.7309;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.1;200;49.8331;NA;NA;177.511;NA;0.000288;18;1.5511;0.000288;18;49.833;0.001376;50;0.0151373;NA;NA;NA;177.508;569649;45.7251;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
todd,ned,rod;35_set_intersection;BINARY;semihonest;replicated-bin;3;NA;NA;NA;640;640;640;NA;NA;30590;2781;1.4;10;0.133445;NA;NA;0.031358;NA;4.8e-05;3;0.131166;4.8e-05;3;0.133853;NA;NA;NA;NA;NA;NA;0.03131;1881;0.124248;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
todd,ned,rod;35_set_intersection;BINARY;semihonest;replicated-bin;3;NA;NA;NA;1280;1280;1280;NA;NA;111980;9161;1.4;20;0.454559;NA;NA;0.113468;NA;4.8e-05;3;0.453352;4.8e-05;3;0.453922;NA;NA;NA;NA;NA;NA;0.11342;6561;0.430258;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
todd,ned,rod;35_set_intersection;BINARY;semihonest;replicated-bin;3;NA;NA;NA;1920;1920;1920;NA;NA;244170;19141;1.4;30;0.97943;NA;NA;0.246378;NA;4.8e-05;3;0.977769;4.8e-05;3;0.978863;NA;NA;NA;NA;NA;NA;0.24633;14041;0.929626;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
todd,ned,rod;35_set_intersection;BINARY;semihonest;replicated-bin;3;NA;NA;NA;2560;2560;2560;NA;NA;427160;32721;1.4;40;1.7007;NA;NA;0.430088;NA;4.8e-05;3;1.69904;4.8e-05;3;1.70051;NA;NA;NA;NA;NA;NA;0.43004;24321;1.6185;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
todd,ned,rod;35_set_intersection;BINARY;semihonest;replicated-bin;3;NA;NA;NA;3200;3200;3200;NA;NA;660950;49901;1.4;50;2.58068;NA;NA;0.664598;NA;4.8e-05;3;2.57867;4.8e-05;3;2.58056;NA;NA;NA;NA;NA;NA;0.66455;37401;2.45043;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
todd,ned,rod;35_set_intersection;BINARY;semihonest;replicated-bin;3;NA;NA;NA;3840;3840;3840;NA;NA;945540;70681;1.4;60;3.58586;NA;NA;0.949908;NA;4.8e-05;3;3.58369;4.8e-05;3;3.58602;NA;NA;NA;NA;NA;NA;0.94986;53281;3.40314;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
todd,ned,rod;35_set_intersection;BINARY;semihonest;replicated-bin;3;NA;NA;NA;4480;4480;4480;NA;NA;1280930;95061;1.4;70;5.02796;NA;NA;1.28602;NA;4.8e-05;3;5.02597;4.8e-05;3;5.02791;NA;NA;NA;NA;NA;NA;1.28597;71961;4.78806;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
todd,ned,rod;35_set_intersection;BINARY;semihonest;replicated-bin;3;NA;NA;NA;5120;5120;5120;NA;NA;1667120;123041;1.4;80;6.54942;NA;NA;1.67293;NA;4.8e-05;3;6.54772;4.8e-05;3;6.5491;NA;NA;NA;NA;NA;NA;1.67288;93441;6.23568;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
todd,ned,rod;35_set_intersection;BINARY;semihonest;replicated-bin;3;NA;NA;NA;5760;5760;5760;NA;NA;2104110;154621;1.4;90;8.08525;NA;NA;2.11064;NA;4.8e-05;3;8.08379;4.8e-05;3;8.08414;NA;NA;NA;NA;NA;NA;2.11059;117721;7.69531;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
todd,ned,rod;35_set_intersection;BINARY;semihonest;replicated-bin;3;NA;NA;NA;6400;6400;6400;NA;NA;2591900;189801;1.4;100;9.82041;NA;NA;2.59915;NA;4.8e-05;3;9.81817;4.8e-05;3;9.82045;NA;NA;NA;NA;NA;NA;2.5991;144801;9.31645;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
todd,ned,rod;35_set_intersection;BINARY;semihonest;replicated-bin;3;NA;NA;NA;7040;7040;7040;NA;NA;3130490;228581;1.4;110;12.1255;NA;NA;3.13846;NA;4.8e-05;3;12.1238;4.8e-05;3;12.1252;NA;NA;NA;NA;NA;NA;3.13841;174681;11.5444;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
todd,ned,rod;35_set_intersection;BINARY;semihonest;replicated-bin;3;NA;NA;NA;7680;7680;7680;NA;NA;3719880;270961;1.4;120;14.2145;NA;NA;3.72857;NA;4.8e-05;3;14.2127;4.8e-05;3;14.2141;NA;NA;NA;NA;NA;NA;3.72852;207361;13.5244;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
todd,ned,rod;35_set_intersection;BINARY;semihonest;replicated-bin;3;NA;NA;NA;8320;8320;8320;NA;NA;4360070;316941;1.4;130;16.4643;NA;NA;4.36948;NA;4.8e-05;3;16.4618;4.8e-05;3;16.4646;NA;NA;NA;NA;NA;NA;4.36943;242841;15.6533;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
todd,ned,rod;35_set_intersection;BINARY;semihonest;replicated-bin;3;NA;NA;NA;8960;8960;8960;NA;NA;5051060;366521;1.4;140;19.0578;NA;NA;5.06119;NA;4.8e-05;3;19.0553;4.8e-05;3;19.058;NA;NA;NA;NA;NA;NA;5.06114;281121;18.1064;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
todd,ned,rod;35_set_intersection;BINARY;semihonest;replicated-bin;3;NA;NA;NA;9600;9600;9600;NA;NA;5792850;419701;1.4;150;22.2557;NA;NA;5.8037;NA;4.8e-05;3;22.2537;4.8e-05;3;22.2555;NA;NA;NA;NA;NA;NA;5.80365;322201;21.1446;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
todd,ned,rod;35_set_intersection;BINARY;semihonest;replicated-bin;3;NA;NA;NA;10240;10240;10240;NA;NA;6585440;476481;1.4;160;25.0077;NA;NA;6.59701;NA;4.8e-05;3;25.0063;4.8e-05;3;25.0067;NA;NA;NA;NA;NA;NA;6.59696;366081;23.7711;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
todd,ned,rod;35_set_intersection;BINARY;semihonest;replicated-bin;3;NA;NA;NA;10880;10880;10880;NA;NA;7428830;536861;1.4;170;28.0854;NA;NA;7.44112;NA;4.8e-05;3;28.0839;4.8e-05;3;28.0845;NA;NA;NA;NA;NA;NA;7.44107;412761;26.723;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
todd,ned,rod;35_set_intersection;BINARY;semihonest;replicated-bin;3;NA;NA;NA;11520;11520;11520;NA;NA;8323020;600841;1.4;180;32.6179;NA;NA;8.33603;NA;4.8e-05;3;32.6163;4.8e-05;3;32.6168;NA;NA;NA;NA;NA;NA;8.33598;462241;31.0534;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
todd,ned,rod;35_set_intersection;BINARY;semihonest;replicated-bin;3;NA;NA;NA;12160;12160;12160;NA;NA;9268010;668421;1.4;190;35.2728;NA;NA;9.28174;NA;4.8e-05;3;35.2704;4.8e-05;3;35.2728;NA;NA;NA;NA;NA;NA;9.28169;514521;33.5385;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
todd,ned,rod;35_set_intersection;BINARY;semihonest;replicated-bin;3;NA;NA;NA;12800;12800;12800;NA;NA;10263800;739601;1.4;200;38.8848;NA;NA;10.2782;NA;4.8e-05;3;38.8821;4.8e-05;3;38.885;NA;NA;NA;NA;NA;NA;10.2782;569601;36.9657;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
todd,ned,rod;35_set_intersection;BINARY;semihonest;replicated-bin;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.3;10;0.15058;NA;NA;0.031358;NA;4.8e-05;3;0.148393;4.8e-05;3;0.150973;NA;NA;NA;NA;NA;NA;0.03131;1881;0.141048;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
todd,ned,rod;35_set_intersection;BINARY;semihonest;replicated-bin;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.3;20;0.486704;NA;NA;0.113468;NA;4.8e-05;3;0.485021;4.8e-05;3;0.486449;NA;NA;NA;NA;NA;NA;0.11342;6561;0.460367;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
todd,ned,rod;35_set_intersection;BINARY;semihonest;replicated-bin;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.3;30;1.01265;NA;NA;0.246378;NA;4.8e-05;3;1.01088;4.8e-05;3;1.01234;NA;NA;NA;NA;NA;NA;0.24633;14041;0.960754;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
todd,ned,rod;35_set_intersection;BINARY;semihonest;replicated-bin;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.3;40;1.73606;NA;NA;0.430088;NA;4.8e-05;3;1.73467;4.8e-05;3;1.73487;NA;NA;NA;NA;NA;NA;0.43004;24321;1.64505;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
todd,ned,rod;35_set_intersection;BINARY;semihonest;replicated-bin;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.3;50;2.76531;NA;NA;0.664598;NA;4.8e-05;3;2.76345;4.8e-05;3;2.765;NA;NA;NA;NA;NA;NA;0.66455;37401;2.62987;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
todd,ned,rod;35_set_intersection;BINARY;semihonest;replicated-bin;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.3;60;3.93948;NA;NA;0.949908;NA;4.8e-05;3;3.93768;4.8e-05;3;3.93887;NA;NA;NA;NA;NA;NA;0.94986;53281;3.73675;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
todd,ned,rod;35_set_intersection;BINARY;semihonest;replicated-bin;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.3;70;5.36931;NA;NA;1.28602;NA;4.8e-05;3;5.36753;4.8e-05;3;5.3686;NA;NA;NA;NA;NA;NA;1.28597;71961;5.10175;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
todd,ned,rod;35_set_intersection;BINARY;semihonest;replicated-bin;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.3;80;7.0524;NA;NA;1.67293;NA;4.8e-05;3;7.05044;4.8e-05;3;7.05204;NA;NA;NA;NA;NA;NA;1.67288;93441;6.71674;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
todd,ned,rod;35_set_intersection;BINARY;semihonest;replicated-bin;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.3;90;8.70484;NA;NA;2.11064;NA;4.8e-05;3;8.70289;4.8e-05;3;8.70458;NA;NA;NA;NA;NA;NA;2.11059;117721;8.26736;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
todd,ned,rod;35_set_intersection;BINARY;semihonest;replicated-bin;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.3;100;10.338;NA;NA;2.59915;NA;4.8e-05;3;10.3357;4.8e-05;3;10.3381;NA;NA;NA;NA;NA;NA;2.5991;144801;9.8126;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
todd,ned,rod;35_set_intersection;BINARY;semihonest;replicated-bin;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.3;110;12.5149;NA;NA;3.13846;NA;4.8e-05;3;12.5132;4.8e-05;3;12.5144;NA;NA;NA;NA;NA;NA;3.13841;174681;11.886;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
todd,ned,rod;35_set_intersection;BINARY;semihonest;replicated-bin;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.3;120;14.9927;NA;NA;3.72857;NA;4.8e-05;3;14.9908;4.8e-05;3;14.9922;NA;NA;NA;NA;NA;NA;3.72852;207361;14.2239;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
todd,ned,rod;35_set_intersection;BINARY;semihonest;replicated-bin;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.3;130;17.5382;NA;NA;4.36948;NA;4.8e-05;3;17.5356;4.8e-05;3;17.5385;NA;NA;NA;NA;NA;NA;4.36943;242841;16.6616;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
todd,ned,rod;35_set_intersection;BINARY;semihonest;replicated-bin;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.3;140;20.7876;NA;NA;5.06119;NA;4.8e-05;3;20.7856;4.8e-05;3;20.7873;NA;NA;NA;NA;NA;NA;5.06114;281121;19.7803;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
todd,ned,rod;35_set_intersection;BINARY;semihonest;replicated-bin;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.3;150;22.9353;NA;NA;5.8037;NA;4.8e-05;3;22.9333;4.8e-05;3;22.9349;NA;NA;NA;NA;NA;NA;5.80365;322201;21.7471;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
todd,ned,rod;35_set_intersection;BINARY;semihonest;replicated-bin;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.3;160;26.8475;NA;NA;6.59701;NA;4.8e-05;3;26.845;4.8e-05;3;26.8478;NA;NA;NA;NA;NA;NA;6.59696;366081;25.5319;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
todd,ned,rod;35_set_intersection;BINARY;semihonest;replicated-bin;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.3;170;29.6777;NA;NA;7.44112;NA;4.8e-05;3;29.6751;4.8e-05;3;29.6777;NA;NA;NA;NA;NA;NA;7.44107;412761;28.1724;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
todd,ned,rod;35_set_intersection;BINARY;semihonest;replicated-bin;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.3;180;33.4649;NA;NA;8.33603;NA;4.8e-05;3;33.4622;4.8e-05;3;33.4652;NA;NA;NA;NA;NA;NA;8.33598;462241;31.8255;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
todd,ned,rod;35_set_intersection;BINARY;semihonest;replicated-bin;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.3;190;37.0825;NA;NA;9.28174;NA;4.8e-05;3;37.0795;4.8e-05;3;37.0828;NA;NA;NA;NA;NA;NA;9.28169;514521;35.2556;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
todd,ned,rod;35_set_intersection;BINARY;semihonest;replicated-bin;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.3;200;41.6234;NA;NA;10.2782;NA;4.8e-05;3;41.6217;4.8e-05;3;41.6224;NA;NA;NA;NA;NA;NA;10.2782;569601;39.5953;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
todd,ned,rod;35_set_intersection;BINARY;semihonest;replicated-bin;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.2;10;0.144865;NA;NA;0.031358;NA;4.8e-05;3;0.14273;4.8e-05;3;0.144274;NA;NA;NA;NA;NA;NA;0.03131;1881;0.134675;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
