nodes;program;c.domain;adv.model;protocol;partysize;latencies(ms);input_size;runtime(s);maxPhyRAM(MiB);P0commRounds;P0dataSent(MB);ALLdataSent(MB)
rapla,tapa,valga;35_set_intersection;RING;semidishonest;semi2k;3;5;30;4.29666;NA;~1529;15.0907;45.0786
rapla,tapa,valga;35_set_intersection;RING;semidishonest;semi2k;3;10;30;8.33902;NA;~1529;15.0907;45.0786
rapla,tapa,valga;35_set_intersection;RING;semidishonest;semi2k;3;15;30;12.4497;NA;~1529;15.0907;45.0786
rapla,tapa,valga;35_set_intersection;RING;semidishonest;semi2k;3;20;30;16.4797;NA;~1529;15.0907;45.0786
rapla,tapa,valga;35_set_intersection;RING;semidishonest;semi2k;3;25;30;20.5194;NA;~1529;15.0907;45.0786
rapla,tapa,valga;35_set_intersection;RING;semidishonest;semi2k;3;30;30;24.6147;NA;~1529;15.0907;45.0786
rapla,tapa,valga;35_set_intersection;RING;semidishonest;semi2k;3;35;30;28.6328;NA;~1529;15.0907;45.0786
rapla,tapa,valga;35_set_intersection;RING;semidishonest;semi2k;3;40;30;32.7119;NA;~1529;15.0907;45.0786
rapla,tapa,valga;35_set_intersection;BINARY;maldishonest;tinier;3;5;30;9.12365;NA;NA;26.3182;NA
rapla,tapa,valga;35_set_intersection;BINARY;maldishonest;tinier;3;10;30;17.4421;NA;NA;26.3182;NA
rapla,tapa,valga;35_set_intersection;BINARY;maldishonest;tinier;3;15;30;25.7141;NA;NA;26.3182;NA
rapla,tapa,valga;35_set_intersection;BINARY;maldishonest;tinier;3;20;30;34.0083;NA;NA;26.3182;NA
rapla,tapa,valga;35_set_intersection;BINARY;maldishonest;tinier;3;25;30;42.2508;NA;NA;26.3182;NA
rapla,tapa,valga;35_set_intersection;BINARY;maldishonest;tinier;3;30;30;50.5357;NA;NA;26.3182;NA
rapla,tapa,valga;35_set_intersection;BINARY;maldishonest;tinier;3;35;30;58.9646;NA;NA;26.3182;NA
rapla,tapa,valga;35_set_intersection;BINARY;maldishonest;tinier;3;40;30;67.2239;NA;NA;26.3182;NA
rapla,tapa,valga;35_set_intersection;BINARY;maldishonest;real-bmr;3;5;30;78.9047;NA;NA;5063.67;NA
rapla,tapa,valga;35_set_intersection;BINARY;maldishonest;real-bmr;3;10;30;118.131;NA;NA;5063.67;NA
rapla,tapa,valga;35_set_intersection;BINARY;maldishonest;real-bmr;3;15;30;164.846;NA;NA;5063.67;NA
rapla,tapa,valga;35_set_intersection;BINARY;maldishonest;real-bmr;3;20;30;198.021;NA;NA;5063.67;NA
rapla,tapa,valga;35_set_intersection;BINARY;maldishonest;real-bmr;3;25;30;234.771;NA;NA;5063.67;NA
rapla,tapa,valga;35_set_intersection;BINARY;maldishonest;real-bmr;3;30;30;280.923;NA;NA;5063.67;NA
rapla,tapa,valga;35_set_intersection;BINARY;maldishonest;real-bmr;3;35;30;318.666;NA;NA;5063.67;NA
rapla,tapa,valga;35_set_intersection;BINARY;maldishonest;real-bmr;3;40;30;355.392;NA;NA;5063.67;NA
rapla,tapa,valga;35_set_intersection;BINARY;semidishonest;semi-bin;3;5;30;8.65068;NA;NA;22.0259;NA
rapla,tapa,valga;35_set_intersection;BINARY;semidishonest;semi-bin;3;10;30;16.6072;NA;NA;22.0259;NA
rapla,tapa,valga;35_set_intersection;BINARY;semidishonest;semi-bin;3;15;30;24.5468;NA;NA;22.0259;NA
rapla,tapa,valga;35_set_intersection;BINARY;semidishonest;semi-bin;3;20;30;32.5331;NA;NA;22.0259;NA
rapla,tapa,valga;35_set_intersection;BINARY;semidishonest;semi-bin;3;25;30;40.4553;NA;NA;22.0259;NA
rapla,tapa,valga;35_set_intersection;BINARY;semidishonest;semi-bin;3;30;30;48.3915;NA;NA;22.0259;NA
rapla,tapa,valga;35_set_intersection;BINARY;semidishonest;semi-bin;3;35;30;56.3481;NA;NA;22.0259;NA
rapla,tapa,valga;35_set_intersection;BINARY;semidishonest;semi-bin;3;40;30;64.2772;NA;NA;22.0259;NA
rapla,tapa,valga;35_set_intersection;BINARY;semidishonest;semi-bmr;3;5;30;25.9874;NA;NA;846.007;NA
rapla,tapa,valga;35_set_intersection;BINARY;semidishonest;semi-bmr;3;10;30;46.8975;NA;NA;846.007;NA
rapla,tapa,valga;35_set_intersection;BINARY;semidishonest;semi-bmr;3;15;30;69.0938;NA;NA;846.007;NA
rapla,tapa,valga;35_set_intersection;BINARY;semidishonest;semi-bmr;3;20;30;91.3256;NA;NA;846.007;NA
rapla,tapa,valga;35_set_intersection;BINARY;semidishonest;semi-bmr;3;25;30;113.446;NA;NA;846.007;NA
rapla,tapa,valga;35_set_intersection;BINARY;semidishonest;semi-bmr;3;30;30;135.207;NA;NA;846.007;NA
rapla,tapa,valga;35_set_intersection;BINARY;semidishonest;semi-bmr;3;35;30;156.935;NA;NA;846.007;NA
rapla,tapa,valga;35_set_intersection;BINARY;semidishonest;semi-bmr;3;40;30;178.522;NA;NA;846.007;NA
