nodes;c.domain;adv.model;protocol;comp.intbits;comp.inttriples;comp.vmrounds;cpus;quotas;input_size;runtime(s);maxPhyRAM(MiB);P0commRounds;P0dataSent(MB);ALLdataSent(MB)
todd,ned,rod;FIELD;semihonest;shamir;NA;4800;6401;4;80;40;2.62912;16;~8001;0.256;0.6912
todd,ned,rod;FIELD;semihonest;shamir;NA;7500;10001;4;80;50;4.56169;14;~12501;0.4;1.08
todd,ned,rod;FIELD;semihonest;shamir;NA;10800;14401;4;80;60;6.42841;15;~18001;0.576;1.5552
todd,ned,rod;FIELD;semihonest;shamir;NA;14700;19601;4;80;70;8.94998;15;~24501;0.784;2.1168
todd,ned,rod;FIELD;semihonest;shamir;NA;19200;25601;4;80;80;12.1049;15;~32001;1.024;2.7648
todd,ned,rod;FIELD;semihonest;shamir;NA;24300;32401;4;80;90;14.9733;17;~40501;1.296;3.4992
todd,ned,rod;FIELD;semihonest;shamir;NA;30000;40001;4;80;100;18.329;17;~50001;1.6;4.32
todd,ned,rod;FIELD;semihonest;atlas;NA;300;401;1;40;10;0.236278;19;~814;1.66618;3.55373
todd,ned,rod;FIELD;semihonest;atlas;NA;1200;1601;1;40;20;1.20347;20;~3214;1.70458;3.65453
todd,ned,rod;FIELD;semihonest;atlas;NA;2700;3601;1;40;30;2.92618;18;~7214;1.76858;3.82253
todd,ned,rod;FIELD;semihonest;atlas;NA;4800;6401;1;40;40;5.51003;18;~12814;1.85818;4.05773
todd,ned,rod;FIELD;semihonest;atlas;NA;7500;10001;1;40;50;8.14534;20;~20014;1.97338;4.36013
todd,ned,rod;FIELD;semihonest;atlas;NA;10800;14401;1;40;60;11.8426;17;~28816;2.32755;5.36986
todd,ned,rod;FIELD;semihonest;atlas;NA;14700;19601;1;40;70;15.8811;20;~39216;2.49395;5.80666
todd,ned,rod;FIELD;semihonest;atlas;NA;19200;25601;1;40;80;21.042;22;~51216;2.68595;6.31066
todd,ned,rod;FIELD;semihonest;atlas;NA;24300;32401;1;40;90;26.6759;22;~64818;3.11693;7.52198
todd,ned,rod;FIELD;semihonest;atlas;NA;30000;40001;1;40;100;34.0725;23;~80018;3.36013;8.16038
todd,ned,rod;FIELD;semihonest;atlas;NA;300;401;1;80;10;0.106973;17;~814;1.66618;3.55373
todd,ned,rod;FIELD;semihonest;atlas;NA;1200;1601;1;80;20;0.337272;18;~3214;1.70458;3.65453
todd,ned,rod;FIELD;semihonest;atlas;NA;2700;3601;1;80;30;0.685757;18;~7214;1.76858;3.82253
todd,ned,rod;FIELD;semihonest;atlas;NA;4800;6401;1;80;40;1.23356;18;~12814;1.85818;4.05773
todd,ned,rod;FIELD;semihonest;atlas;NA;7500;10001;1;80;50;1.89582;18;~20014;1.97338;4.36013
todd,ned,rod;FIELD;semihonest;atlas;NA;10800;14401;1;80;60;2.71128;19;~28816;2.32755;5.36986
todd,ned,rod;FIELD;semihonest;atlas;NA;14700;19601;1;80;70;3.65597;20;~39216;2.49395;5.80666
todd,ned,rod;FIELD;semihonest;atlas;NA;19200;25601;1;80;80;4.65807;20;~51216;2.68595;6.31066
todd,ned,rod;FIELD;semihonest;atlas;NA;24300;32401;1;80;90;6.18225;21;~64818;3.11693;7.52198
todd,ned,rod;FIELD;semihonest;atlas;NA;30000;40001;1;80;100;7.62297;20;~80018;3.36013;8.16038
todd,ned,rod;FIELD;semihonest;atlas;NA;300;401;2;40;10;0.339263;18;~814;1.66618;3.55373
todd,ned,rod;FIELD;semihonest;atlas;NA;1200;1601;2;40;20;1.38941;17;~3214;1.70458;3.65453
todd,ned,rod;FIELD;semihonest;atlas;NA;2700;3601;2;40;30;3.37136;16;~7214;1.76858;3.82253
todd,ned,rod;FIELD;semihonest;atlas;NA;4800;6401;2;40;40;5.86062;18;~12814;1.85818;4.05773
todd,ned,rod;FIELD;semihonest;atlas;NA;7500;10001;2;40;50;9.03445;20;~20014;1.97338;4.36013
todd,ned,rod;FIELD;semihonest;atlas;NA;10800;14401;2;40;60;12.8024;19;~28816;2.32755;5.36986
todd,ned,rod;FIELD;semihonest;atlas;NA;14700;19601;2;40;70;17.4149;22;~39216;2.49395;5.80666
todd,ned,rod;FIELD;semihonest;atlas;NA;19200;25601;2;40;80;23.4512;22;~51216;2.68595;6.31066
todd,ned,rod;FIELD;semihonest;atlas;NA;24300;32401;2;40;90;28.9243;19;~64818;3.11693;7.52198
todd,ned,rod;FIELD;semihonest;atlas;NA;30000;40001;2;40;100;35.706;22;~80018;3.36013;8.16038
todd,ned,rod;FIELD;semihonest;atlas;NA;300;401;2;80;10;0.124543;19;~814;1.66618;3.55373
todd,ned,rod;FIELD;semihonest;atlas;NA;1200;1601;2;80;20;0.592704;18;~3214;1.70458;3.65453
todd,ned,rod;FIELD;semihonest;atlas;NA;2700;3601;2;80;30;1.44041;20;~7214;1.76858;3.82253
todd,ned,rod;FIELD;semihonest;atlas;NA;4800;6401;2;80;40;2.72922;18;~12814;1.85818;4.05773
todd,ned,rod;FIELD;semihonest;atlas;NA;7500;10001;2;80;50;4.38931;18;~20014;1.97338;4.36013
todd,ned,rod;FIELD;semihonest;atlas;NA;10800;14401;2;80;60;6.5597;19;~28816;2.32755;5.36986
todd,ned,rod;FIELD;semihonest;atlas;NA;14700;19601;2;80;70;8.93405;20;~39216;2.49395;5.80666
todd,ned,rod;FIELD;semihonest;atlas;NA;19200;25601;2;80;80;11.766;22;~51216;2.68595;6.31066
todd,ned,rod;FIELD;semihonest;atlas;NA;24300;32401;2;80;90;14.2804;23;~64818;3.11693;7.52198
todd,ned,rod;FIELD;semihonest;atlas;NA;30000;40001;2;80;100;17.6191;22;~80018;3.36013;8.16038
todd,ned,rod;FIELD;semihonest;atlas;NA;300;401;4;40;10;0.538317;18;~814;1.66618;3.55373
todd,ned,rod;FIELD;semihonest;atlas;NA;1200;1601;4;40;20;1.97924;19;~3214;1.70458;3.65453
todd,ned,rod;FIELD;semihonest;atlas;NA;2700;3601;4;40;30;4.42647;20;~7214;1.76858;3.82253
todd,ned,rod;FIELD;semihonest;atlas;NA;4800;6401;4;40;40;7.94217;18;~12814;1.85818;4.05773
todd,ned,rod;FIELD;semihonest;atlas;NA;7500;10001;4;40;50;12.1272;18;~20014;1.97338;4.36013
todd,ned,rod;FIELD;semihonest;atlas;NA;10800;14401;4;40;60;17.4988;19;~28816;2.32755;5.36986
todd,ned,rod;FIELD;semihonest;atlas;NA;14700;19601;4;40;70;23.4832;22;~39216;2.49395;5.80666
todd,ned,rod;FIELD;semihonest;atlas;NA;19200;25601;4;40;80;31.4576;20;~51216;2.68595;6.31066
todd,ned,rod;FIELD;semihonest;atlas;NA;24300;32401;4;40;90;38.1833;21;~64818;3.11693;7.52198
todd,ned,rod;FIELD;semihonest;atlas;NA;30000;40001;4;40;100;48.7056;23;~80018;3.36013;8.16038
todd,ned,rod;FIELD;semihonest;atlas;NA;300;401;4;80;10;0.196052;18;~814;1.66618;3.55373
todd,ned,rod;FIELD;semihonest;atlas;NA;1200;1601;4;80;20;0.887326;18;~3214;1.70458;3.65453
todd,ned,rod;FIELD;semihonest;atlas;NA;2700;3601;4;80;30;2.15498;20;~7214;1.76858;3.82253
todd,ned,rod;FIELD;semihonest;atlas;NA;4800;6401;4;80;40;3.69893;18;~12814;1.85818;4.05773
todd,ned,rod;FIELD;semihonest;atlas;NA;7500;10001;4;80;50;5.81858;20;~20014;1.97338;4.36013
todd,ned,rod;FIELD;semihonest;atlas;NA;10800;14401;4;80;60;8.4368;19;~28816;2.32755;5.36986
todd,ned,rod;FIELD;semihonest;atlas;NA;14700;19601;4;80;70;11.657;22;~39216;2.49395;5.80666
todd,ned,rod;FIELD;semihonest;atlas;NA;19200;25601;4;80;80;15.0271;21;~51216;2.68595;6.31066
todd,ned,rod;FIELD;semihonest;atlas;NA;24300;32401;4;80;90;19.2215;23;~64818;3.11693;7.52198
todd,ned,rod;FIELD;semihonest;atlas;NA;30000;40001;4;80;100;23.8565;20;~80018;3.36013;8.16038
todd,ned,rod;FIELD;semihonest;replicated-field;NA;300;401;1;40;10;0.0520804;15;~401;0.008;0.024
todd,ned,rod;FIELD;semihonest;replicated-field;NA;1200;1601;1;40;20;0.414685;13;~1601;0.032;0.096
todd,ned,rod;FIELD;semihonest;replicated-field;NA;2700;3601;1;40;30;1.11858;14;~3601;0.072;0.216
todd,ned,rod;FIELD;semihonest;replicated-field;NA;4800;6401;1;40;40;2.15963;14;~6401;0.128;0.384
todd,ned,rod;FIELD;semihonest;replicated-field;NA;7500;10001;1;40;50;3.33269;15;~10001;0.2;0.6
todd,ned,rod;FIELD;semihonest;replicated-field;NA;10800;14401;1;40;60;4.43189;13;~14401;0.288;0.864
todd,ned,rod;FIELD;semihonest;replicated-field;NA;14700;19601;1;40;70;6.77905;15;~19601;0.392;1.176
todd,ned,rod;FIELD;semihonest;replicated-field;NA;19200;25601;1;40;80;8.89316;16;~25601;0.512;1.536
todd,ned,rod;FIELD;semihonest;replicated-field;NA;24300;32401;1;40;90;11.6693;19;~32401;0.648;1.944
todd,ned,rod;FIELD;semihonest;replicated-field;NA;30000;40001;1;40;100;14.0189;17;~40001;0.8;2.4
todd,ned,rod;FIELD;semihonest;replicated-field;NA;300;401;1;80;10;0.0308653;14;~401;0.008;0.024
todd,ned,rod;FIELD;semihonest;replicated-field;NA;1200;1601;1;80;20;0.114618;15;~1601;0.032;0.096
todd,ned,rod;FIELD;semihonest;replicated-field;NA;2700;3601;1;80;30;0.292508;14;~3601;0.072;0.216
todd,ned,rod;FIELD;semihonest;replicated-field;NA;4800;6401;1;80;40;0.531566;16;~6401;0.128;0.384
todd,ned,rod;FIELD;semihonest;replicated-field;NA;7500;10001;1;80;50;0.816357;15;~10001;0.2;0.6
todd,ned,rod;FIELD;semihonest;replicated-field;NA;10800;14401;1;80;60;1.16454;15;~14401;0.288;0.864
todd,ned,rod;FIELD;semihonest;replicated-field;NA;14700;19601;1;80;70;1.58067;16;~19601;0.392;1.176
todd,ned,rod;FIELD;semihonest;replicated-field;NA;19200;25601;1;80;80;2.12002;18;~25601;0.512;1.536
todd,ned,rod;FIELD;semihonest;replicated-field;NA;24300;32401;1;80;90;2.86891;17;~32401;0.648;1.944
todd,ned,rod;FIELD;semihonest;replicated-field;NA;30000;40001;1;80;100;3.41116;20;~40001;0.8;2.4
todd,ned,rod;FIELD;semihonest;replicated-field;NA;300;401;2;40;10;0.0654471;13;~401;0.008;0.024
todd,ned,rod;FIELD;semihonest;replicated-field;NA;1200;1601;2;40;20;0.561014;15;~1601;0.032;0.096
todd,ned,rod;FIELD;semihonest;replicated-field;NA;2700;3601;2;40;30;1.36155;16;~3601;0.072;0.216
todd,ned,rod;FIELD;semihonest;replicated-field;NA;4800;6401;2;40;40;2.48282;14;~6401;0.128;0.384
todd,ned,rod;FIELD;semihonest;replicated-field;NA;7500;10001;2;40;50;4.09966;17;~10001;0.2;0.6
todd,ned,rod;FIELD;semihonest;replicated-field;NA;10800;14401;2;40;60;5.99606;15;~14401;0.288;0.864
todd,ned,rod;FIELD;semihonest;replicated-field;NA;14700;19601;2;40;70;8.38231;16;~19601;0.392;1.176
todd,ned,rod;FIELD;semihonest;replicated-field;NA;19200;25601;2;40;80;11.0818;18;~25601;0.512;1.536
todd,ned,rod;FIELD;semihonest;replicated-field;NA;24300;32401;2;40;90;13.922;17;~32401;0.648;1.944
todd,ned,rod;FIELD;semihonest;replicated-field;NA;30000;40001;2;40;100;17.4069;19;~40001;0.8;2.4
todd,ned,rod;FIELD;semihonest;replicated-field;NA;300;401;2;80;10;0.0225544;13;~401;0.008;0.024
todd,ned,rod;FIELD;semihonest;replicated-field;NA;1200;1601;2;80;20;0.14753;14;~1601;0.032;0.096
todd,ned,rod;FIELD;semihonest;replicated-field;NA;2700;3601;2;80;30;0.602857;14;~3601;0.072;0.216
todd,ned,rod;FIELD;semihonest;replicated-field;NA;4800;6401;2;80;40;1.10686;14;~6401;0.128;0.384
todd,ned,rod;FIELD;semihonest;replicated-field;NA;7500;10001;2;80;50;1.80265;13;~10001;0.2;0.6
todd,ned,rod;FIELD;semihonest;replicated-field;NA;10800;14401;2;80;60;2.69638;15;~14401;0.288;0.864
todd,ned,rod;FIELD;semihonest;replicated-field;NA;14700;19601;2;80;70;3.78314;16;~19601;0.392;1.176
todd,ned,rod;FIELD;semihonest;replicated-field;NA;19200;25601;2;80;80;5.17781;17;~25601;0.512;1.536
todd,ned,rod;FIELD;semihonest;replicated-field;NA;24300;32401;2;80;90;6.66682;17;~32401;0.648;1.944
todd,ned,rod;FIELD;semihonest;replicated-field;NA;30000;40001;2;80;100;8.28468;17;~40001;0.8;2.4
todd,ned,rod;FIELD;semihonest;replicated-field;NA;300;401;4;40;10;0.118001;15;~401;0.008;0.024
todd,ned,rod;FIELD;semihonest;replicated-field;NA;1200;1601;4;40;20;0.681011;13;~1601;0.032;0.096
todd,ned,rod;FIELD;semihonest;replicated-field;NA;2700;3601;4;40;30;1.46301;14;~3601;0.072;0.216
todd,ned,rod;FIELD;semihonest;replicated-field;NA;4800;6401;4;40;40;2.84342;14;~6401;0.128;0.384
todd,ned,rod;FIELD;semihonest;replicated-field;NA;7500;10001;4;40;50;3.93514;16;~10001;0.2;0.6
todd,ned,rod;FIELD;semihonest;replicated-field;NA;10800;14401;4;40;60;6.24405;15;~14401;0.288;0.864
todd,ned,rod;FIELD;semihonest;replicated-field;NA;14700;19601;4;40;70;7.92818;18;~19601;0.392;1.176
todd,ned,rod;FIELD;semihonest;replicated-field;NA;19200;25601;4;40;80;10.7097;16;~25601;0.512;1.536
todd,ned,rod;FIELD;semihonest;replicated-field;NA;24300;32401;4;40;90;12.6348;19;~32401;0.648;1.944
todd,ned,rod;FIELD;semihonest;replicated-field;NA;30000;40001;4;40;100;17.1578;18;~40001;0.8;2.4
todd,ned,rod;FIELD;semihonest;replicated-field;NA;300;401;4;80;10;0.0255226;13;~401;0.008;0.024
todd,ned,rod;FIELD;semihonest;replicated-field;NA;1200;1601;4;80;20;0.225584;13;~1601;0.032;0.096
todd,ned,rod;FIELD;semihonest;replicated-field;NA;2700;3601;4;80;30;0.641982;14;~3601;0.072;0.216
todd,ned,rod;FIELD;semihonest;replicated-field;NA;4800;6401;4;80;40;1.16633;14;~6401;0.128;0.384
todd,ned,rod;FIELD;semihonest;replicated-field;NA;7500;10001;4;80;50;1.93379;15;~10001;0.2;0.6
todd,ned,rod;FIELD;semihonest;replicated-field;NA;10800;14401;4;80;60;2.64242;13;~14401;0.288;0.864
todd,ned,rod;FIELD;semihonest;replicated-field;NA;14700;19601;4;80;70;3.87057;15;~19601;0.392;1.176
todd,ned,rod;FIELD;semihonest;replicated-field;NA;19200;25601;4;80;80;4.93036;18;~25601;0.512;1.536
todd,ned,rod;FIELD;semihonest;replicated-field;NA;24300;32401;4;80;90;5.82326;18;~32401;0.648;1.944
todd,ned,rod;FIELD;semihonest;replicated-field;NA;30000;40001;4;80;100;8.04923;18;~40001;0.8;2.4
todd,ned,rod;RING;semihonest;replicated-ring;NA;300;401;1;40;10;0.0633063;12;~401;0.004;0.012
todd,ned,rod;RING;semihonest;replicated-ring;NA;1200;1601;1;40;20;0.345728;13;~1601;0.016;0.048
todd,ned,rod;RING;semihonest;replicated-ring;NA;2700;3601;1;40;30;0.936688;14;~3601;0.036;0.108
todd,ned,rod;RING;semihonest;replicated-ring;NA;4800;6401;1;40;40;1.85098;14;~6401;0.064;0.192
todd,ned,rod;RING;semihonest;replicated-ring;NA;7500;10001;1;40;50;3.18501;13;~10001;0.1;0.3
todd,ned,rod;RING;semihonest;replicated-ring;NA;10800;14401;1;40;60;4.4249;14;~14401;0.144;0.432
todd,ned,rod;RING;semihonest;replicated-ring;NA;14700;19601;1;40;70;6.23884;15;~19601;0.196;0.588
todd,ned,rod;RING;semihonest;replicated-ring;NA;19200;25601;1;40;80;8.22329;16;~25601;0.256;0.768
todd,ned,rod;RING;semihonest;replicated-ring;NA;24300;32401;1;40;90;11.0677;16;~32401;0.324;0.972
todd,ned,rod;RING;semihonest;replicated-ring;NA;30000;40001;1;40;100;12.6065;17;~40001;0.4;1.2
todd,ned,rod;RING;semihonest;replicated-ring;NA;300;401;1;80;10;0.0305429;13;~401;0.004;0.012
todd,ned,rod;RING;semihonest;replicated-ring;NA;1200;1601;1;80;20;0.126128;13;~1601;0.016;0.048
todd,ned,rod;RING;semihonest;replicated-ring;NA;2700;3601;1;80;30;0.281342;14;~3601;0.036;0.108
todd,ned,rod;RING;semihonest;replicated-ring;NA;4800;6401;1;80;40;0.488776;12;~6401;0.064;0.192
todd,ned,rod;RING;semihonest;replicated-ring;NA;7500;10001;1;80;50;0.819305;16;~10001;0.1;0.3
todd,ned,rod;RING;semihonest;replicated-ring;NA;10800;14401;1;80;60;1.12846;14;~14401;0.144;0.432
todd,ned,rod;RING;semihonest;replicated-ring;NA;14700;19601;1;80;70;1.61189;15;~19601;0.196;0.588
todd,ned,rod;RING;semihonest;replicated-ring;NA;19200;25601;1;80;80;2.00046;16;~25601;0.256;0.768
todd,ned,rod;RING;semihonest;replicated-ring;NA;24300;32401;1;80;90;2.5198;14;~32401;0.324;0.972
todd,ned,rod;RING;semihonest;replicated-ring;NA;30000;40001;1;80;100;3.21232;17;~40001;0.4;1.2
todd,ned,rod;RING;semihonest;replicated-ring;NA;300;401;2;40;10;0.0689188;12;~401;0.004;0.012
todd,ned,rod;RING;semihonest;replicated-ring;NA;1200;1601;2;40;20;0.539732;13;~1601;0.016;0.048
todd,ned,rod;RING;semihonest;replicated-ring;NA;2700;3601;2;40;30;1.36708;14;~3601;0.036;0.108
todd,ned,rod;RING;semihonest;replicated-ring;NA;4800;6401;2;40;40;2.53349;14;~6401;0.064;0.192
todd,ned,rod;RING;semihonest;replicated-ring;NA;7500;10001;2;40;50;4.0535;14;~10001;0.1;0.3
todd,ned,rod;RING;semihonest;replicated-ring;NA;10800;14401;2;40;60;5.76481;15;~14401;0.144;0.432
todd,ned,rod;RING;semihonest;replicated-ring;NA;14700;19601;2;40;70;7.98223;14;~19601;0.196;0.588
todd,ned,rod;RING;semihonest;replicated-ring;NA;19200;25601;2;40;80;10.3076;15;~25601;0.256;0.768
todd,ned,rod;RING;semihonest;replicated-ring;NA;24300;32401;2;40;90;13.4769;16;~32401;0.324;0.972
todd,ned,rod;RING;semihonest;replicated-ring;NA;30000;40001;2;40;100;16.5295;19;~40001;0.4;1.2
todd,ned,rod;RING;semihonest;replicated-ring;NA;300;401;2;80;10;0.0241093;12;~401;0.004;0.012
todd,ned,rod;RING;semihonest;replicated-ring;NA;1200;1601;2;80;20;0.143145;14;~1601;0.016;0.048
todd,ned,rod;RING;semihonest;replicated-ring;NA;2700;3601;2;80;30;0.50767;14;~3601;0.036;0.108
todd,ned,rod;RING;semihonest;replicated-ring;NA;4800;6401;2;80;40;1.0598;14;~6401;0.064;0.192
todd,ned,rod;RING;semihonest;replicated-ring;NA;7500;10001;2;80;50;1.8703;13;~10001;0.1;0.3
todd,ned,rod;RING;semihonest;replicated-ring;NA;10800;14401;2;80;60;2.74138;14;~14401;0.144;0.432
todd,ned,rod;RING;semihonest;replicated-ring;NA;14700;19601;2;80;70;3.63346;14;~19601;0.196;0.588
todd,ned,rod;RING;semihonest;replicated-ring;NA;19200;25601;2;80;80;4.91505;15;~25601;0.256;0.768
todd,ned,rod;RING;semihonest;replicated-ring;NA;24300;32401;2;80;90;6.47228;16;~32401;0.324;0.972
todd,ned,rod;RING;semihonest;replicated-ring;NA;30000;40001;2;80;100;7.96562;17;~40001;0.4;1.2
todd,ned,rod;RING;semihonest;replicated-ring;NA;300;401;4;40;10;0.0929237;12;~401;0.004;0.012
todd,ned,rod;RING;semihonest;replicated-ring;NA;1200;1601;4;40;20;0.639283;14;~1601;0.016;0.048
todd,ned,rod;RING;semihonest;replicated-ring;NA;2700;3601;4;40;30;1.44357;13;~3601;0.036;0.108
todd,ned,rod;RING;semihonest;replicated-ring;NA;4800;6401;4;40;40;2.59545;14;~6401;0.064;0.192
todd,ned,rod;RING;semihonest;replicated-ring;NA;7500;10001;4;40;50;4.07566;16;~10001;0.1;0.3
todd,ned,rod;RING;semihonest;replicated-ring;NA;10800;14401;4;40;60;5.67994;16;~14401;0.144;0.432
todd,ned,rod;RING;semihonest;replicated-ring;NA;14700;19601;4;40;70;7.48076;13;~19601;0.196;0.588
todd,ned,rod;RING;semihonest;replicated-ring;NA;19200;25601;4;40;80;9.87195;15;~25601;0.256;0.768
todd,ned,rod;RING;semihonest;replicated-ring;NA;24300;32401;4;40;90;12.9648;16;~32401;0.324;0.972
todd,ned,rod;RING;semihonest;replicated-ring;NA;30000;40001;4;40;100;16.4834;17;~40001;0.4;1.2
todd,ned,rod;RING;semihonest;replicated-ring;NA;300;401;4;80;10;0.0231626;13;~401;0.004;0.012
todd,ned,rod;RING;semihonest;replicated-ring;NA;1200;1601;4;80;20;0.181269;13;~1601;0.016;0.048
todd,ned,rod;RING;semihonest;replicated-ring;NA;2700;3601;4;80;30;0.559808;13;~3601;0.036;0.108
todd,ned,rod;RING;semihonest;replicated-ring;NA;4800;6401;4;80;40;1.23676;14;~6401;0.064;0.192
todd,ned,rod;RING;semihonest;replicated-ring;NA;7500;10001;4;80;50;1.9405;16;~10001;0.1;0.3
todd,ned,rod;RING;semihonest;replicated-ring;NA;10800;14401;4;80;60;2.67205;14;~14401;0.144;0.432
todd,ned,rod;RING;semihonest;replicated-ring;NA;14700;19601;4;80;70;3.74395;15;~19601;0.196;0.588
