nodes;program;c.domain;adv.model;protocol;comp.intbits;comp.inttriples;comp.vmrounds;input_size;runtime(s);P0commRounds;P0dataSent(MB);ALLdataSent(MB)
ether,ethercash,ethergold;32_matrix_add;FIELD;semihonest;shamir;NA;NA;901;30;0.23247;~1801;0.0576;0.1296
ether,ethercash,ethergold;32_matrix_add;FIELD;semihonest;shamir;NA;NA;3601;60;0.995121;~7201;0.2304;0.5184
ether,ethercash,ethergold;32_matrix_add;FIELD;semihonest;shamir;NA;NA;8101;90;2.23757;~16201;0.5184;1.1664
ether,ethercash,ethergold;32_matrix_add;FIELD;semihonest;atlas;NA;NA;901;30;0.296022;~1812;1.4976;3.0096
ether,ethercash,ethergold;32_matrix_add;FIELD;semihonest;atlas;NA;NA;3601;60;1.01165;~7212;1.6704;3.3984
ether,ethercash,ethergold;32_matrix_add;FIELD;semihonest;atlas;NA;NA;8101;90;2.46955;~16212;1.9584;4.0464
ether,ethercash,ethergold;32_matrix_add;FIELD;semihonest;replicated-field;NA;NA;901;30;0.134157;~901;0.0288;0.0864
ether,ethercash,ethergold;32_matrix_add;FIELD;semihonest;replicated-field;NA;NA;3601;60;0.487961;~3601;0.1152;0.3456
ether,ethercash,ethergold;32_matrix_add;FIELD;semihonest;replicated-field;NA;NA;8101;90;1.12789;~8101;0.2592;0.7776
ether,ethercash,ethergold;32_matrix_add;RING;semihonest;replicated-ring;NA;NA;901;30;0.202257;~901;0.0144;0.0432
ether,ethercash,ethergold;32_matrix_add;RING;semihonest;replicated-ring;NA;NA;3601;60;0.494055;~3601;0.0576;0.1728
ether,ethercash,ethergold;32_matrix_add;RING;semihonest;replicated-ring;NA;NA;8101;90;2.3236;~8101;0.1296;0.3888
ether,ethercash,ethergold;32_matrix_add;BINARY;semihonest;replicated-bin;NA;529200;119701;30;8.02404;NA;0.594048;NA
ether,ethercash,ethergold;32_matrix_add;BINARY;semihonest;replicated-bin;NA;2116800;478801;60;34.8728;NA;2.37605;NA
ether,ethercash,ethergold;32_matrix_add;BINARY;semihonest;replicated-bin;NA;4762800;1077301;90;66.6507;NA;5.34605;NA
