nodes;program;c.domain;adv.model;protocol;partysize;comp.P0intin;comp.P1intin;comp.P2intin;comp.P0bitin;comp.P1bitin;compP2bitin;comp.intbits;comp.inttriples;comp.bittriples;comp.vmrounds;cpus;freqs(GHz);quotas(%);input_size;runtime(s);maxPhyRAM(MiB);P0commRounds;P0dataSent(MB);ALLdataSent(MB);Tx(MB);Tx(rounds);Tx(s);Rx(MB);Rx(rounds);Rx(s);Brcasting(MB);Brcasting(rounds);Brcasting(s);TxRx(MB);TxRx(rounds);TxRx(s);Passing(MB);Passing(rounds);Passing(s);Part.Brcasting(MB);Part.Brcasting(rounds);Part.Brcasting(s);Ex(MB);Ex(rounds);Ex(s);Ex1to1(MB);Ex1to1(rounds);Ex1to1(s);Rx1to1(MB);Rx1to1(rounds);Rx1to1(s);Tx1to1(MB);Tx1to1(rounds);Tx1to1(s);Txtoall(MB);Txtoall(rounds);Txtoall(s)
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;semihonest;atlas;3;121;121;121;NA;NA;NA;NA;NA;NA;122;4;2.2;90;11;0.0633656;NA;~254;1.44774;2.89742;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;semihonest;atlas;3;169;169;169;NA;NA;NA;NA;NA;NA;170;4;2.2;90;13;0.0727282;NA;~350;1.45082;2.90434;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;semihonest;atlas;3;196;196;196;NA;NA;NA;NA;NA;NA;197;4;2.2;90;14;0.0827308;NA;~404;1.45254;2.90822;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;semihonest;atlas;3;225;225;225;NA;NA;NA;NA;NA;NA;226;4;2.2;90;15;0.0866475;NA;~462;1.4544;2.9124;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;semihonest;atlas;3;256;256;256;NA;NA;NA;NA;NA;NA;257;4;2.2;90;16;0.0922842;NA;~524;1.45638;2.91686;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;semihonest;shamir;3;121;121;121;NA;NA;NA;NA;NA;NA;122;4;2.2;90;11;0.0238244;NA;~243;0.007744;0.017424;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;semihonest;shamir;3;169;169;169;NA;NA;NA;NA;NA;NA;170;4;2.2;90;13;0.0291821;NA;~339;0.010816;0.024336;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;semihonest;shamir;3;196;196;196;NA;NA;NA;NA;NA;NA;197;4;2.2;90;14;0.0408757;NA;~393;0.012544;0.028224;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;semihonest;shamir;3;225;225;225;NA;NA;NA;NA;NA;NA;226;4;2.2;90;15;0.0495192;NA;~451;0.0144;0.0324;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;semihonest;shamir;3;256;256;256;NA;NA;NA;NA;NA;NA;257;4;2.2;90;16;0.0533733;NA;~513;0.016384;0.036864;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;semidishonest;temi;3;121;121;121;NA;NA;NA;NA;NA;NA;122;4;2.2;90;11;0.0210313;NA;~484;0.003872;0.007744;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;semidishonest;temi;3;169;169;169;NA;NA;NA;NA;NA;NA;170;4;2.2;90;13;0.0278708;NA;~676;0.005408;0.010816;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;semidishonest;temi;3;196;196;196;NA;NA;NA;NA;NA;NA;197;4;2.2;90;14;0.031463;NA;~784;0.006272;0.012544;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;semidishonest;temi;3;225;225;225;NA;NA;NA;NA;NA;NA;226;4;2.2;90;15;0.0339612;NA;~900;0.0072;0.0144;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;semidishonest;temi;3;256;256;256;NA;NA;NA;NA;NA;NA;257;4;2.2;90;16;0.0396393;NA;~1024;0.008192;0.016384;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
dogecoin,dogecoincash,dogecoingold;35_set_intersection;RING;semihonest;replicated-ring;3;121;121;121;NA;NA;NA;NA;NA;NA;122;4;2.2;90;11;0.0137107;NA;~122;0.001936;0.005808;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
dogecoin,dogecoincash,dogecoingold;35_set_intersection;RING;semihonest;replicated-ring;3;169;169;169;NA;NA;NA;NA;NA;NA;170;4;2.2;90;13;0.0169281;NA;~170;0.002704;0.008112;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
dogecoin,dogecoincash,dogecoingold;35_set_intersection;RING;semihonest;replicated-ring;3;196;196;196;NA;NA;NA;NA;NA;NA;197;4;2.2;90;14;0.0226745;NA;~197;0.003136;0.009408;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
dogecoin,dogecoincash,dogecoingold;35_set_intersection;RING;semihonest;replicated-ring;3;225;225;225;NA;NA;NA;NA;NA;NA;226;4;2.2;90;15;0.0233303;NA;~226;0.0036;0.0108;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
dogecoin,dogecoincash,dogecoingold;35_set_intersection;RING;semihonest;replicated-ring;3;256;256;256;NA;NA;NA;NA;NA;NA;257;4;2.2;90;16;0.0302491;NA;~257;0.004096;0.012288;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
dogecoin,dogecoincash,dogecoingold;35_set_intersection;BINARY;semidishonest;semi-bin;3;NA;NA;NA;7744;7744;7744;NA;NA;71148;21176;4;2.2;90;11;2.27035;NA;NA;24.0554;NA;2.27867;19844;0.181492;2.27867;19844;3.01657;NA;NA;NA;3.2e-05;1;2.26552;NA;NA;NA;NA;NA;NA;0.008542;6;0.00934686;21.7682;4;4.00363;NA;NA;NA;NA;NA;NA;NA;NA;NA
dogecoin,dogecoincash,dogecoingold;35_set_intersection;BINARY;semidishonest;semi-bin;3;NA;NA;NA;10816;10816;10816;NA;NA;99372;29576;4;2.2;90;13;2.75982;NA;NA;24.9594;NA;3.18261;27716;0.219142;3.18261;27716;3.94272;NA;NA;NA;3.2e-05;1;2.755;NA;NA;NA;NA;NA;NA;0.008542;6;0.00947934;21.7682;4;4.97219;NA;NA;NA;NA;NA;NA;NA;NA;NA
dogecoin,dogecoincash,dogecoingold;35_set_intersection;BINARY;semidishonest;semi-bin;3;NA;NA;NA;12544;12544;12544;NA;NA;115248;34301;4;2.2;90;14;3.27155;NA;NA;25.4678;NA;3.69107;32144;0.263278;3.69107;32144;4.93295;NA;NA;NA;3.2e-05;1;3.26676;NA;NA;NA;NA;NA;NA;0.008542;6;0.0130578;21.7682;4;6.103;NA;NA;NA;NA;NA;NA;NA;NA;NA
dogecoin,dogecoincash,dogecoingold;35_set_intersection;BINARY;semidishonest;semi-bin;3;NA;NA;NA;14400;14400;14400;NA;NA;132300;39376;4;2.2;90;15;3.42111;NA;NA;26.014;NA;4.2372;36900;0.316319;4.2372;36900;5.18351;NA;NA;NA;3.2e-05;1;3.41635;NA;NA;NA;NA;NA;NA;0.008542;6;0.0139272;21.7682;4;6.34264;NA;NA;NA;NA;NA;NA;NA;NA;NA
dogecoin,dogecoincash,dogecoingold;35_set_intersection;BINARY;semidishonest;semi-bin;3;NA;NA;NA;16384;16384;16384;NA;NA;150528;44801;4;2.2;90;16;3.86368;NA;NA;26.5978;NA;4.82099;41984;0.336183;4.82099;41984;5.9947;NA;NA;NA;3.2e-05;1;3.85891;NA;NA;NA;NA;NA;NA;0.008542;6;0.0159912;21.7682;4;7.16469;NA;NA;NA;NA;NA;NA;NA;NA;NA
