nodes;program;c.domain;adv.model;protocol;partysize;cpus;freqs(GHz);input_size;runtime(s);maxPhyRAM(MiB);P0commRounds;P0dataSent(MB);ALLdataSent(MB)
bitcoin,bitcoincash,bitcoingold;35_set_intersection;BINARY;semidishonest;yao;2;8;3;3;0.0202021;NA;NA;0.079767;NA
bitcoin,bitcoincash,bitcoingold;35_set_intersection;BINARY;semidishonest;yao;2;8;3;6;0.0321603;NA;NA;0.319068;NA
bitcoin,bitcoincash,bitcoingold;35_set_intersection;BINARY;semidishonest;yao;2;8;3;9;0.0555217;NA;NA;0.717903;NA
bitcoin,bitcoincash,bitcoingold;35_set_intersection;BINARY;semidishonest;yao;2;8;3;12;0.0787889;NA;NA;1.27627;NA
bitcoin,bitcoincash,bitcoingold;35_set_intersection;BINARY;semidishonest;yao;2;8;3;15;0.123598;NA;NA;1.99417;NA
bitcoin,bitcoincash,bitcoingold;35_set_intersection;BINARY;semidishonest;yao;2;8;3;18;0.155462;NA;NA;2.87161;NA
bitcoin,bitcoincash,bitcoingold;35_set_intersection;BINARY;semidishonest;yao;2;8;3;21;0.226187;NA;NA;3.90858;NA
bitcoin,bitcoincash,bitcoingold;35_set_intersection;BINARY;semidishonest;yao;2;8;3;24;0.31313;NA;NA;5.10509;NA
bitcoin,bitcoincash,bitcoingold;35_set_intersection;BINARY;semidishonest;yao;2;8;3;27;0.3509;NA;NA;6.46113;NA
bitcoin,bitcoincash,bitcoingold;35_set_intersection;BINARY;semidishonest;yao;2;8;3;30;0.448934;NA;NA;7.9767;NA
bitcoin,bitcoincash,bitcoingold;35_set_intersection;BINARY;semidishonest;yao;2;8;3;33;0.539005;NA;NA;9.65181;NA
bitcoin,bitcoincash,bitcoingold;35_set_intersection;BINARY;semidishonest;yao;2;8;2.2;3;0.0196761;NA;NA;0.079767;NA
bitcoin,bitcoincash,bitcoingold;35_set_intersection;BINARY;semidishonest;yao;2;8;2.2;6;0.0325698;NA;NA;0.319068;NA
bitcoin,bitcoincash,bitcoingold;35_set_intersection;BINARY;semidishonest;yao;2;8;2.2;9;0.0540845;NA;NA;0.717903;NA
bitcoin,bitcoincash,bitcoingold;35_set_intersection;BINARY;semidishonest;yao;2;8;2.2;12;0.0799814;NA;NA;1.27627;NA
bitcoin,bitcoincash,bitcoingold;35_set_intersection;BINARY;semidishonest;yao;2;8;2.2;15;0.123013;NA;NA;1.99417;NA
bitcoin,bitcoincash,bitcoingold;35_set_intersection;BINARY;semidishonest;yao;2;8;2.2;18;0.172215;NA;NA;2.87161;NA
bitcoin,bitcoincash,bitcoingold;35_set_intersection;BINARY;semidishonest;yao;2;8;2.2;21;0.22698;NA;NA;3.90858;NA
bitcoin,bitcoincash,bitcoingold;35_set_intersection;BINARY;semidishonest;yao;2;8;2.2;24;0.285664;NA;NA;5.10509;NA
bitcoin,bitcoincash,bitcoingold;35_set_intersection;BINARY;semidishonest;yao;2;8;2.2;27;0.374727;NA;NA;6.46113;NA
bitcoin,bitcoincash,bitcoingold;35_set_intersection;BINARY;semidishonest;yao;2;8;2.2;30;0.454459;NA;NA;7.9767;NA
bitcoin,bitcoincash,bitcoingold;35_set_intersection;BINARY;semidishonest;yao;2;8;2.2;33;0.493751;NA;NA;9.65181;NA
bitcoin,bitcoincash,bitcoingold;35_set_intersection;BINARY;semidishonest;yao;2;8;2;3;0.0191999;NA;NA;0.079767;NA
bitcoin,bitcoincash,bitcoingold;35_set_intersection;BINARY;semidishonest;yao;2;8;2;6;0.0332451;NA;NA;0.319068;NA
bitcoin,bitcoincash,bitcoingold;35_set_intersection;BINARY;semidishonest;yao;2;8;2;9;0.0500452;NA;NA;0.717903;NA
bitcoin,bitcoincash,bitcoingold;35_set_intersection;BINARY;semidishonest;yao;2;8;2;12;0.0853797;NA;NA;1.27627;NA
bitcoin,bitcoincash,bitcoingold;35_set_intersection;BINARY;semidishonest;yao;2;8;2;15;0.120928;NA;NA;1.99417;NA
bitcoin,bitcoincash,bitcoingold;35_set_intersection;BINARY;semidishonest;yao;2;8;2;18;0.180751;NA;NA;2.87161;NA
bitcoin,bitcoincash,bitcoingold;35_set_intersection;BINARY;semidishonest;yao;2;8;2;21;0.222617;NA;NA;3.90858;NA
