nodes;program;c.domain;adv.model;protocol;comp.intbits;comp.inttriples;comp.vmrounds;latencies(ms);input_size;runtime(s);P0commRounds;P0dataSent(MB);ALLdataSent(MB)
rapla,tapa,valga;35_set_intersection;FIELD;semidishonest;semi;190320;117120;14671;0;30;34.8291;~61444;2553.64;7641.14
rapla,tapa,valga;35_set_intersection;FIELD;semidishonest;semi;NA;NA;NA;5;30;203.328;~61444;2553.64;7641.14
rapla,tapa,valga;35_set_intersection;FIELD;semidishonest;semi;NA;NA;NA;10;30;376.622;~61444;2553.64;7641.14
rapla,tapa,valga;35_set_intersection;FIELD;semidishonest;semi;NA;NA;NA;15;30;560.454;~61444;2553.64;7641.14
rapla,tapa,valga;35_set_intersection;FIELD;semidishonest;semi;NA;NA;NA;20;30;739.164;~61444;2553.64;7641.14
rapla,tapa,valga;35_set_intersection;FIELD;semidishonest;semi;NA;NA;NA;25;30;918.186;~61444;2553.64;7641.14
rapla,tapa,valga;35_set_intersection;FIELD;semidishonest;semi;NA;NA;NA;30;30;1098.25;~61444;2553.64;7641.14
rapla,tapa,valga;35_set_intersection;FIELD;semidishonest;semi;NA;NA;NA;35;30;1275.88;~61444;2553.64;7641.14
rapla,tapa,valga;35_set_intersection;FIELD;semidishonest;hemi;190320;117120;14671;0;30;19.5531;~60322;139.338;398.234
rapla,tapa,valga;35_set_intersection;FIELD;semidishonest;hemi;NA;NA;NA;5;30;187.262;~60322;139.338;398.234
rapla,tapa,valga;35_set_intersection;FIELD;semidishonest;hemi;NA;NA;NA;10;30;341.284;~60322;139.338;398.234
rapla,tapa,valga;35_set_intersection;FIELD;semidishonest;hemi;NA;NA;NA;15;30;494.722;~60322;139.338;398.234
rapla,tapa,valga;35_set_intersection;FIELD;semidishonest;hemi;NA;NA;NA;20;30;648.148;~60322;139.338;398.234
rapla,tapa,valga;35_set_intersection;FIELD;semidishonest;hemi;NA;NA;NA;25;30;802.291;~60322;139.338;398.234
rapla,tapa,valga;35_set_intersection;FIELD;semidishonest;hemi;NA;NA;NA;30;30;957.28;~60322;139.338;398.234
rapla,tapa,valga;35_set_intersection;FIELD;semidishonest;hemi;NA;NA;NA;35;30;1109.1;~60322;139.338;398.234
rapla,tapa,valga;35_set_intersection;FIELD;semidishonest;temi;190320;117120;14671;0;30;14.2339;~60551;169.066;367.859
rapla,tapa,valga;35_set_intersection;FIELD;semidishonest;temi;NA;NA;NA;5;30;180.878;~60551;169.066;367.861
rapla,tapa,valga;35_set_intersection;FIELD;semidishonest;temi;NA;NA;NA;10;30;334.489;~60551;169.066;367.86
rapla,tapa,valga;35_set_intersection;FIELD;semidishonest;temi;NA;NA;NA;15;30;487.458;~60551;169.066;367.86
rapla,tapa,valga;35_set_intersection;FIELD;semidishonest;temi;NA;NA;NA;20;30;640.592;~60551;169.066;367.86
rapla,tapa,valga;35_set_intersection;FIELD;semidishonest;temi;NA;NA;NA;25;30;794.258;~60551;169.066;367.86
rapla,tapa,valga;35_set_intersection;FIELD;semidishonest;temi;NA;NA;NA;30;30;947.599;~60551;169.065;367.86
rapla,tapa,valga;35_set_intersection;FIELD;semidishonest;temi;NA;NA;NA;35;30;1101.16;~60551;169.066;367.86
rapla,tapa,valga;35_set_intersection;FIELD;semidishonest;soho;190320;117120;14671;0;30;24.1294;~59505;176.52;515.892
rapla,tapa,valga;35_set_intersection;FIELD;semidishonest;soho;NA;NA;NA;5;30;189.101;~59505;176.52;515.892
rapla,tapa,valga;35_set_intersection;FIELD;semidishonest;soho;NA;NA;NA;10;30;341.258;~59505;176.52;515.892
rapla,tapa,valga;35_set_intersection;FIELD;semidishonest;soho;NA;NA;NA;15;30;493.142;~59505;176.519;515.89
rapla,tapa,valga;35_set_intersection;FIELD;semidishonest;soho;NA;NA;NA;20;30;645.201;~59505;176.52;515.891
rapla,tapa,valga;35_set_intersection;FIELD;semidishonest;soho;NA;NA;NA;25;30;797.066;~59505;176.521;515.893
rapla,tapa,valga;35_set_intersection;FIELD;semidishonest;soho;NA;NA;NA;30;30;948.48;~59505;176.52;515.892
rapla,tapa,valga;35_set_intersection;FIELD;semidishonest;soho;NA;NA;NA;35;30;1099.54;~59505;176.519;515.891
