comp.time(s);comp.peakRAM(MiB);bin.filesize(MiB);ssl;datatype;optshare;packbool;protocol;latencies(ms);input_size;preprocess;splitroles;inittime(s);preproc(s);runtime_clock(s);runtime_getTime(s);runtime_chrono(s);runtime_external(s);peakRAM(MiB);jobCPU(%)
1.48;241;1;1;128;1;0;5;300;8192;0;0;0.001164;NA;0.075670;15.681814;15.681812;17.21;55;0
0.01;3;1;1;128;1;0;5;300;8192;0;1;.000207;NA;.013035;2.449889;2.449889;26.00;63;2
1.48;240;1;1;128;1;0;5;300;40960;0;0;0.002311;NA;0.199633;35.104228;35.104226;36.68;246;0
0.01;3;1;1;128;1;0;5;300;40960;0;1;.000439;NA;.044832;4.277321;4.277321;31.23;285;6
1.47;241;1;1;128;1;0;5;400;8192;0;0;0.001211;NA;0.075197;18.914096;18.914095;20.96;55;0
0.01;3;1;1;128;1;0;5;400;8192;0;1;.000204;NA;.012953;2.657907;2.657906;23.75;63;2
1.48;241;1;1;128;1;0;5;400;40960;0;0;0.002311;NA;0.201605;36.456349;36.456348;38.54;246;0
0.01;3;1;1;128;1;0;5;400;40960;0;1;.000439;NA;.044880;6.513385;6.513384;76.80;285;2
1.46;240;1;1;128;1;0;5;500;8192;0;0;0.001163;NA;0.075916;22.608544;22.608543;25.14;55;0
0.01;3;1;1;128;1;0;5;500;8192;0;1;.000195;NA;.012799;4.013924;4.013924;49.57;63;1
1.44;241;1;1;128;1;0;5;500;40960;0;0;0.002307;NA;0.199813;44.237403;44.237402;46.82;246;0
0.01;3;1;1;128;1;0;5;500;40960;0;1;.000438;NA;.045478;7.107914;7.107914;49.85;285;4
1.47;241;1;1;128;1;0;5;600;8192;0;0;0.001163;NA;0.076078;25.873833;25.873832;28.90;55;0
0.01;3;1;1;128;1;0;5;600;8192;0;1;.000175;NA;.011580;4.530088;4.530088;49.81;63;1
1.46;241;1;1;128;1;0;5;600;40960;0;0;0.002309;NA;0.200568;54.976291;54.976290;58.06;246;0
0.01;3;1;1;128;1;0;5;600;40960;0;1;.000439;NA;.044846;9.804242;9.804242;122.24;285;1
1.48;241;1;1;128;1;0;5;700;8192;0;0;0.001198;NA;0.075979;28.900255;28.900253;32.44;55;0
0.01;3;1;1;128;1;0;5;700;8192;0;1;.000192;NA;.012834;4.931350;4.931350;55.41;64;1
1.48;241;1;1;128;1;0;5;700;40960;0;0;0.002316;NA;0.198136;64.030575;64.030574;67.61;246;0
0.01;3;1;1;128;1;0;5;700;40960;0;1;.000440;NA;.044796;9.870560;9.870560;85.05;285;2
1.47;240;1;1;128;1;0;5;800;8192;0;0;0.001205;NA;0.060469;49.507186;49.507185;53.52;56;0
0.01;3;1;1;128;1;0;5;800;8192;0;1;.000168;NA;.013271;6.136612;6.136612;49.71;63;1
1.49;240;1;1;128;1;0;5;800;40960;0;0;0.002308;NA;0.199725;71.536172;71.536171;75.62;246;0
0.01;3;1;1;128;1;0;5;800;40960;0;1;.000443;NA;.044496;10.711348;10.711348;83.28;285;2
1.45;240;1;1;128;1;0;5;900;8192;0;0;0.001161;NA;0.075672;44.179854;44.179852;48.71;55;0
0.01;3;1;1;128;1;0;5;900;8192;0;1;.000186;NA;.012703;6.395745;6.395745;54.31;63;1
1.47;240;1;1;128;1;0;5;900;40960;0;0;0.002310;NA;0.199979;83.941795;83.941793;88.52;246;0
0.01;3;1;1;128;1;0;5;900;40960;0;1;.000440;NA;.044250;11.855166;11.855166;89.62;285;2
1.48;239;1;1;128;1;0;5;1000;8192;0;0;0.001204;NA;0.076162;47.077316;47.077315;52.11;55;0
0.01;3;1;1;128;1;0;5;1000;8192;0;1;.000175;NA;.012813;9.776326;9.776325;113.17;63;0
1.49;242;1;1;128;1;0;5;1000;40960;0;0;0.002309;NA;0.202536;90.548400;90.548399;95.64;246;0
0.01;3;1;1;128;1;0;5;1000;40960;0;1;.000441;NA;.044894;13.744276;13.744276;101.55;285;2
1.42;240;1;1;128;1;0;6;1;8192;0;0;0.000474;NA;0.024115;0.080549;0.080547;0.12;39;53
0.01;3;1;1;128;1;0;6;1;8192;0;1;.000051;NA;.002423;.008788;.008788;0.11;39;265
1.44;241;1;1;128;1;0;6;1;40960;0;0;0.000925;NA;0.073755;0.159498;0.159497;0.25;167;64
0.01;3;1;1;128;1;0;6;1;40960;0;1;.000105;NA;.009180;.020692;.020692;0.24;167;331
1.44;240;1;1;128;1;0;6;5;8192;0;0;0.000479;NA;0.025436;0.136376;0.136375;0.19;39;34
0.01;3;1;1;128;1;0;6;5;8192;0;1;.000049;NA;.002408;.038938;.038937;0.81;39;36
1.46;239;1;1;128;1;0;6;5;40960;0;0;0.000926;NA;0.072607;0.559011;0.559010;0.68;167;24
0.01;3;1;1;128;1;0;6;5;40960;0;1;.000104;NA;.009521;.043245;.043245;0.71;167;122
1.44;239;1;1;128;1;0;6;10;8192;0;0;0.000471;NA;0.024615;0.792737;0.792736;0.88;39;7
0.01;3;1;1;128;1;0;6;10;8192;0;1;.000048;NA;.002990;.036812;.036811;0.61;39;56
1.45;240;1;1;128;1;0;6;10;40960;0;0;0.000925;NA;0.073678;1.232836;1.232835;1.38;167;12
0.01;3;1;1;128;1;0;6;10;40960;0;1;.000106;NA;.010034;.072585;.072585;1.05;167;81
1.45;240;1;1;128;1;0;6;20;8192;0;0;0.000492;NA;0.025170;2.202595;2.202593;2.33;39;2
0.01;3;1;1;128;1;0;6;20;8192;0;1;.000051;NA;.002974;.155973;.155973;3.81;39;8
1.44;239;1;1;128;1;0;6;20;40960;0;0;0.000959;NA;0.073075;2.314588;2.314587;2.50;167;6
0.01;3;1;1;128;1;0;6;20;40960;0;1;.000104;NA;.010753;.157752;.157752;1.76;167;50
1.45;240;1;1;128;1;0;6;40;8192;0;0;0.000196;NA;0.024152;2.146317;2.146316;2.38;39;2
0.01;3;1;1;128;1;0;6;40;8192;0;1;.000049;NA;.003042;.187837;.187837;2.91;39;11
1.45;240;1;1;128;1;0;6;40;40960;0;0;0.000924;NA;0.073914;1.935880;1.935879;2.21;167;7
0.01;3;1;1;128;1;0;6;40;40960;0;1;.000104;NA;.010762;.579164;.579164;12.43;167;7
1.47;240;1;1;128;1;0;6;60;8192;0;0;0.000514;NA;0.024991;3.388608;3.388607;3.71;39;1
0.01;3;1;1;128;1;0;6;60;8192;0;1;.000049;NA;.003068;.240365;.240365;4.49;39;7
1.46;240;1;1;128;1;0;6;60;40960;0;0;0.000928;NA;0.076718;2.842939;2.842937;3.22;167;5
0.01;3;1;1;128;1;0;6;60;40960;0;1;.000107;NA;.010033;.503113;.503113;7.41;167;11
1.42;241;1;1;128;1;0;6;80;8192;0;0;0.000491;NA;0.025043;1.821534;1.821533;2.26;39;2
0.01;3;1;1;128;1;0;6;80;8192;0;1;.000046;NA;.003075;.523467;.523467;8.00;39;4
1.45;239;1;1;128;1;0;6;80;40960;0;0;0.000926;NA;0.073776;3.862283;3.862282;4.35;167;3
0.01;3;1;1;128;1;0;6;80;40960;0;1;.000105;NA;.011110;.434927;.434926;4.25;167;21
1.46;240;1;1;128;1;0;6;100;8192;0;0;0.000498;NA;0.024373;2.219160;2.219158;2.74;39;2
0.01;3;1;1;128;1;0;6;100;8192;0;1;.000045;NA;.002852;.322500;.322499;4.45;39;7
1.47;239;1;1;128;1;0;6;100;40960;0;0;0.000925;NA;0.074550;5.293520;5.293518;5.86;167;2
0.01;3;1;1;128;1;0;6;100;40960;0;1;.000104;NA;.010729;.604625;.604625;6.61;167;13
1.46;240;1;1;128;1;0;6;200;8192;0;0;0.000509;NA;0.025289;9.225591;9.225589;10.25;39;0
0.01;3;1;1;128;1;0;6;200;8192;0;1;.000048;NA;.002865;.788665;.788664;16.46;39;2
1.45;239;1;1;128;1;0;6;200;40960;0;0;0.000922;NA;0.073988;16.110212;16.110211;17.20;167;0
0.01;3;1;1;128;1;0;6;200;40960;0;1;.000105;NA;.011021;1.804615;1.804614;33.40;167;2
1.45;239;1;1;128;1;0;6;300;8192;0;0;0.000515;NA;0.025030;6.660019;6.660018;8.20;39;0
0.01;3;1;1;128;1;0;6;300;8192;0;1;.000048;NA;.003052;2.459008;2.459008;64.16;40;0
1.47;241;1;1;128;1;0;6;300;40960;0;0;0.000924;NA;0.078921;13.859440;13.859438;15.44;167;1
0.01;3;1;1;128;1;0;6;300;40960;0;1;.000106;NA;.010601;1.699593;1.699593;17.24;167;5
1.42;239;1;1;128;1;0;6;400;8192;0;0;0.000473;NA;0.024904;40.941876;40.941874;42.97;39;0
0.01;3;1;1;128;1;0;6;400;8192;0;1;.000040;NA;.002957;1.431709;1.431709;24.20;39;1
1.46;239;1;1;128;1;0;6;400;40960;0;0;0.000926;NA;0.075707;19.288643;19.288642;21.38;167;0
0.01;3;1;1;128;1;0;6;400;40960;0;1;.000103;NA;.010263;2.564763;2.564762;28.55;167;3
1.47;239;1;1;128;1;0;6;500;8192;0;0;0.000472;NA;0.024898;43.078700;43.078698;45.61;39;0
0.01;3;1;1;128;1;0;6;500;8192;0;1;.000048;NA;.002927;1.551807;1.551807;16.04;39;1
1.44;241;1;1;128;1;0;6;500;40960;0;0;0.000923;NA;0.074735;25.057209;25.057207;27.63;167;0
0.01;3;1;1;128;1;0;6;500;40960;0;1;.000104;NA;.011386;4.944854;4.944854;74.18;168;1
1.46;239;1;1;128;1;0;6;600;8192;0;0;0.000500;NA;0.024589;13.261202;13.261200;16.29;39;0
0.01;3;1;1;128;1;0;6;600;8192;0;1;.000044;NA;.003082;2.700768;2.700767;50.38;39;0
1.45;241;1;1;128;1;0;6;600;40960;0;0;0.000923;NA;0.075583;30.101799;30.101797;33.19;167;0
0.01;3;1;1;128;1;0;6;600;40960;0;1;.000104;NA;.010669;3.565983;3.565983;34.99;167;2
1.47;239;1;1;128;1;0;6;700;8192;0;0;0.000472;NA;0.024247;15.418783;15.418781;18.96;39;0
0.01;3;1;1;128;1;0;6;700;8192;0;1;.000047;NA;.003126;2.915177;2.915177;52.26;41;0
1.46;239;1;1;128;1;0;6;700;40960;0;0;0.000924;NA;0.075436;154.459825;154.459823;158.04;167;0
0.01;3;1;1;128;1;0;6;700;40960;0;1;.000104;NA;.010833;4.977077;4.977077;82.86;168;1
1.45;241;1;1;128;1;0;6;800;8192;0;0;0.000339;NA;0.024437;19.260954;19.260952;23.29;39;0
0.01;3;1;1;128;1;0;6;800;8192;0;1;.000045;NA;.003120;3.212174;3.212174;64.05;40;0
1.46;239;1;1;128;1;0;6;800;40960;0;0;0.000924;NA;0.074263;36.938405;36.938404;40.99;167;0
0.01;3;1;1;128;1;0;6;800;40960;0;1;.000104;NA;.010696;4.290595;4.290594;42.63;167;2
1.45;241;1;1;128;1;0;6;900;8192;0;0;0.000481;NA;0.024921;25.319226;25.319224;29.83;39;0
0.01;3;1;1;128;1;0;6;900;8192;0;1;.000050;NA;.003007;2.690823;2.690823;28.89;40;1
1.43;240;1;1;128;1;0;6;900;40960;0;0;0.000928;NA;0.076576;41.498352;41.498350;46.08;167;0
0.01;3;1;1;128;1;0;6;900;40960;0;1;.000105;NA;.011116;4.691498;4.691498;48.81;167;1
1.47;241;1;1;128;1;0;6;1000;8192;0;0;0.000482;NA;0.024987;22.019351;22.019350;27.05;39;0
0.01;3;1;1;128;1;0;6;1000;8192;0;1;.000038;NA;.003042;4.234202;4.234202;63.39;39;0
1.44;240;1;1;128;1;0;6;1000;40960;0;0;0.000926;NA;0.073490;46.267035;46.267033;51.34;167;0
0.01;3;1;1;128;1;0;6;1000;40960;0;1;.000105;NA;.010392;6.155341;6.155341;55.23;167;1
1.54;244;1;1;256;1;0;1;1;8192;0;0;0.001519;NA;0.133003;0.165068;0.165067;0.23;134;73
0.01;3;1;1;256;1;0;1;1;8192;0;1;.000494;NA;.023652;.027556;.027556;0.26;134;436
1.51;244;1;1;256;1;0;1;1;40960;0;0;0.007679;NA;0.572455;0.416022;0.416021;0.54;642;128
0.01;3;1;1;256;1;0;1;1;40960;0;1;.001272;NA;.095977;.072848;.072848;0.58;642;716
1.51;245;1;1;256;1;0;1;5;8192;0;0;0.003841;NA;0.170044;0.289394;0.289393;0.37;134;60
0.01;3;1;1;256;1;0;1;5;8192;0;1;.000577;NA;.027638;.063759;.063759;1.02;134;129
1.51;245;1;1;256;1;0;1;5;40960;0;0;0.007634;NA;0.586272;0.655307;0.655306;0.80;642;85
0.01;3;1;1;256;1;0;1;5;40960;0;1;.001245;NA;.113985;.112687;.112687;0.85;645;572
1.53;245;1;1;256;1;0;1;10;8192;0;0;0.003922;NA;0.167881;1.257952;1.257951;1.36;134;16
0.01;3;1;1;256;1;0;1;10;8192;0;1;.000512;NA;.029038;.171668;.171668;1.89;134;71
1.54;245;1;1;256;1;0;1;10;40960;0;0;0.007596;NA;0.612615;1.064487;1.064487;1.23;642;60
0.01;3;1;1;256;1;0;1;10;40960;0;1;.001248;NA;.112525;.181752;.181752;1.30;642;368
1.55;246;1;1;256;1;0;1;20;8192;0;0;0.003819;NA;0.171096;3.027195;3.027194;3.17;134;7
0.01;3;1;1;256;1;0;1;20;8192;0;1;.000516;NA;.028959;.364400;.364400;2.65;134;51
1.54;244;1;1;256;1;0;1;20;40960;0;0;0.007397;NA;0.600283;1.928853;1.928853;2.15;642;33
0.01;3;1;1;256;1;0;1;20;40960;0;1;.001256;NA;.108114;.325183;.325183;2.22;642;209
1.53;245;1;1;256;1;0;1;40;8192;0;0;0.003903;NA;0.166763;2.140381;2.140380;2.39;134;9
0.01;3;1;1;256;1;0;1;40;8192;0;1;.000512;NA;.029711;.469187;.469187;4.96;134;28
1.54;246;1;1;256;1;0;1;40;40960;0;0;0.007396;NA;0.583465;3.965447;3.965445;4.30;642;16
0.01;3;1;1;256;1;0;1;40;40960;0;1;.001257;NA;.107872;.724061;.724061;5.98;642;77
1.52;245;1;1;256;1;0;1;60;8192;0;0;0.003744;NA;0.170541;2.521550;2.521549;2.87;134;8
0.01;3;1;1;256;1;0;1;60;8192;0;1;.000510;NA;.028686;.669302;.669301;7.28;134;18
1.52;244;1;1;256;1;0;1;60;40960;0;0;0.007598;NA;0.601112;5.162963;5.162962;5.60;642;13
0.01;3;1;1;256;1;0;1;60;40960;0;1;.001241;NA;.108787;.940151;.940151;6.46;642;72
1.54;244;1;1;256;1;0;1;80;8192;0;0;0.003832;NA;0.168556;3.436376;3.436375;3.88;134;5
0.01;3;1;1;256;1;0;1;80;8192;0;1;.000557;NA;.029703;1.295446;1.295446;10.48;134;13
1.51;245;1;1;256;1;0;1;80;40960;0;0;0.007403;NA;0.589466;9.711897;9.711896;10.21;642;7
0.01;3;1;1;256;1;0;1;80;40960;0;1;.001262;NA;.107824;1.384531;1.384530;14.13;646;32
1.51;245;1;1;256;1;0;1;100;8192;0;0;0.003821;NA;0.169218;6.399927;6.399926;6.94;134;3
0.01;3;1;1;256;1;0;1;100;8192;0;1;.000488;NA;.029889;.841030;.841030;8.42;134;16
1.54;245;1;1;256;1;0;1;100;40960;0;0;0.007401;NA;0.605501;15.511501;15.511499;16.13;642;4
0.01;3;1;1;256;1;0;1;100;40960;0;1;.001249;NA;.108891;1.747348;1.747348;16.88;642;27
1.53;244;1;1;256;1;0;1;200;8192;0;0;0.003699;NA;0.168897;17.868809;17.868808;18.92;134;1
0.01;3;1;1;256;1;0;1;200;8192;0;1;.000628;NA;.029704;1.500068;1.500068;11.32;134;12
1.52;245;1;1;256;1;0;1;200;40960;0;0;0.007559;NA;0.632820;24.195373;24.195372;25.32;642;3
0.01;3;1;1;256;1;0;1;200;40960;0;1;.001239;NA;.106834;3.432856;3.432856;33.63;642;13
1.52;244;1;1;256;1;0;1;300;8192;0;0;0.001503;NA;0.166218;30.988461;30.988459;32.54;134;0
0.01;3;1;1;256;1;0;1;300;8192;0;1;.000571;NA;.029617;3.362062;3.362062;38.87;134;3
1.52;245;1;1;256;1;0;1;300;40960;0;0;0.007559;NA;0.606418;35.854660;35.854658;37.48;642;1
0.01;3;1;1;256;1;0;1;300;40960;0;1;.001243;NA;.107071;4.953700;4.953700;38.36;642;12
1.52;248;1;1;256;1;0;1;400;8192;0;0;0.003928;NA;0.164785;17.314341;17.314340;19.36;134;1
0.01;3;1;1;256;1;0;1;400;8192;0;1;.000535;NA;.028399;3.018009;3.018009;25.71;134;5
1.49;247;1;1;256;1;0;1;400;40960;0;0;0.007603;NA;0.607710;33.579705;33.579703;35.71;642;2
0.01;3;1;1;256;1;0;1;400;40960;0;1;.001267;NA;.111063;6.923246;6.923246;65.64;642;7
1.53;244;1;1;256;1;0;1;500;8192;0;0;0.003857;NA;0.149393;57.108374;57.108372;59.67;134;0
0.01;3;1;1;256;1;0;1;500;8192;0;1;.000513;NA;.030002;6.088283;6.088283;75.28;134;1
1.53;245;1;1;256;1;0;1;500;40960;0;0;0.007698;NA;0.613149;63.013451;63.013450;65.64;642;1
0.01;3;1;1;256;1;0;1;500;40960;0;1;.001243;NA;.108738;8.113826;8.113826;68.54;642;6
1.53;244;1;1;256;1;0;1;600;8192;0;0;0.003795;NA;0.155880;27.094478;27.094477;30.15;134;0
0.01;3;1;1;256;1;0;1;600;8192;0;1;.000532;NA;.030174;10.762080;10.762079;205.66;136;0
1.54;246;1;1;256;1;0;1;600;40960;0;0;0.007442;NA;0.610012;49.542247;49.542245;52.64;642;1
0.01;3;1;1;256;1;0;1;600;40960;0;1;.001039;NA;.090979;8.267089;8.267089;300.00;642;1
