comp.time(s);comp.peakRAM(MiB);bin.filesize(MiB);ssl;threads;datatype;function;optshare;packbool;protocol;input_size;preprocess;splitroles;inittime(s);preproc(s);runtime_clock(s);runtime_getTime(s);runtime_chrono(s);runtime_external(s);peakRAM(MiB);jobCPU(%)
2.94;234;1;0;1;128;0;1;0;1;40960;0;0;0.016118;NA;0.532446;0.504410;0.504409;0.62;321;102
0.02;3;1;0;1;128;0;1;0;1;40960;0;1;.003635;NA;.131025;.132190;.132189;0.99;321;565
2.93;233;1;0;1;128;0;1;0;2;40960;0;0;0.022617;NA;0.484501;0.497374;0.497373;0.61;322;97
0.02;3;1;0;1;128;0;1;0;2;40960;0;1;.005633;NA;.115801;.130555;.130555;1.00;322;511
2.90;233;1;0;1;128;0;1;0;3;40960;0;0;0.014254;NA;0.353496;0.587810;0.587809;0.70;203;64
0.02;3;1;0;1;128;0;1;0;3;40960;0;1;.003071;NA;.083818;.114769;.114768;0.86;321;458
2.89;232;1;0;1;128;0;1;0;4;40960;0;0;0.014138;NA;0.350919;0.523073;0.523072;0.63;202;72
0.02;3;1;0;1;128;0;1;0;4;40960;0;1;.002927;NA;.070703;.102107;.102107;0.79;284;428
2.92;233;1;0;1;128;0;1;0;5;40960;0;0;0.014250;NA;0.377063;0.553924;0.553923;0.67;243;71
0.02;3;1;0;1;128;0;1;0;5;40960;0;1;.002902;NA;.081246;.107289;.107288;0.82;282;455
2.86;232;1;0;1;128;0;1;0;6;40960;0;0;0.007267;NA;0.145318;0.167694;0.167694;0.26;163;89
0.02;3;1;0;1;128;0;1;0;6;40960;0;1;.000815;NA;.035774;.041776;.041776;0.43;163;475
2.76;230;1;0;1;128;2;1;0;1;40960;0;0;0.000345;NA;0.008624;0.006863;0.006862;0.02;7;65
0.02;3;1;0;1;128;2;1;0;1;40960;0;1;.000089;NA;.001858;.001607;.001607;0.02;7;403
2.75;230;1;0;1;128;2;1;0;2;40960;0;0;0.000306;NA;0.005812;0.006589;0.006588;0.01;6;68
0.02;3;1;0;1;128;2;1;0;2;40960;0;1;.000062;NA;.001144;.001116;.001115;0.02;6;325
2.73;229;1;0;1;128;2;1;0;3;40960;0;0;0.000337;NA;0.004679;0.004007;0.004005;0.01;5;91
0.02;3;1;0;1;128;2;1;0;3;40960;0;1;.000050;NA;.001058;.001368;.001367;0.02;6;270
2.74;228;1;0;1;128;2;1;0;4;40960;0;0;0.000307;NA;0.009043;0.008249;0.008248;0.02;5;58
0.02;3;1;0;1;128;2;1;0;4;40960;0;1;.000066;NA;.001160;.001609;.001608;0.02;7;289
2.74;230;1;0;1;128;2;1;0;5;40960;0;0;0.000162;NA;0.005101;0.004627;0.004626;0.01;5;66
0.02;3;1;0;1;128;2;1;0;5;40960;0;1;.000048;NA;.001009;.001348;.001347;0.02;6;284
2.74;229;1;0;1;128;2;1;0;6;40960;0;0;0.000017;NA;0.001561;0.000905;0.000903;0.01;4;54
0.02;3;1;0;1;128;2;1;0;6;40960;0;1;.000002;NA;.000185;.000135;.000135;0.01;4;200
