program;c.domain;adv.model;protocol;partysize;comp.time(s);comp.peakRAM(MiB);bin.filesize(MiB);bandwidths(Mbs);input_size;runtime_internal(s);runtime_external(s);peakRAM(MiB);jobCPU(%);P0commRounds;P0dataSent(MB);ALLdataSent(MB)
31;BINARY;semidishonest;yao;2;11.81;266;2;3000;4096;0.596191;0.73;57;88;NA;33.9477;NA
31;BINARY;semidishonest;yao;2;NA;NA;NA;1000;4096;0.596809;0.73;57;88;NA;33.9477;NA
31;BINARY;semidishonest;yao;2;NA;NA;NA;900;4096;0.616745;0.75;55;89;NA;33.9477;NA
31;BINARY;semidishonest;yao;2;NA;NA;NA;800;4096;0.666798;0.79;57;88;NA;33.9477;NA
31;BINARY;semidishonest;yao;2;NA;NA;NA;700;4096;0.711803;0.86;56;89;NA;33.9477;NA
31;BINARY;semidishonest;yao;2;NA;NA;NA;600;4096;0.780055;0.90;56;90;NA;33.9477;NA
31;BINARY;semidishonest;yao;2;NA;NA;NA;500;4096;0.880881;1.00;55;91;NA;33.9477;NA
31;BINARY;semidishonest;yao;2;NA;NA;NA;400;4096;1.00947;1.13;55;92;NA;33.9477;NA
31;BINARY;semidishonest;yao;2;NA;NA;NA;300;4096;1.2489;1.38;55;93;NA;33.9477;NA
31;BINARY;semidishonest;yao;2;NA;NA;NA;200;4096;1.72532;1.84;55;94;NA;33.9477;NA
31;BINARY;semidishonest;yao;2;NA;NA;NA;100;4096;3.13398;3.26;55;96;NA;33.9477;NA
31;BINARY;semidishonest;yao;2;NA;NA;NA;50;4096;5.94301;6.07;57;96;NA;33.9477;NA
31;BINARY;semidishonest;yaoO;2;11.81;266;2;3000;4096;0.64355;0.77;56;52;NA;0;NA
31;BINARY;semidishonest;yaoO;2;NA;NA;NA;1000;4096;0.656352;0.80;56;51;NA;0;NA
31;BINARY;semidishonest;yaoO;2;NA;NA;NA;900;4096;0.686524;0.82;56;50;NA;0;NA
31;BINARY;semidishonest;yaoO;2;NA;NA;NA;800;4096;0.723312;0.86;55;44;NA;0;NA
31;BINARY;semidishonest;yaoO;2;NA;NA;NA;700;4096;0.770947;0.91;55;46;NA;0;NA
31;BINARY;semidishonest;yaoO;2;NA;NA;NA;600;4096;0.832262;0.97;55;41;NA;0;NA
31;BINARY;semidishonest;yaoO;2;NA;NA;NA;500;4096;0.928111;1.07;56;43;NA;0;NA
31;BINARY;semidishonest;yaoO;2;NA;NA;NA;400;4096;1.08034;1.21;55;34;NA;0;NA
31;BINARY;semidishonest;yaoO;2;NA;NA;NA;300;4096;1.29934;1.44;55;35;NA;0;NA
31;BINARY;semidishonest;yaoO;2;NA;NA;NA;200;4096;1.75604;1.90;56;28;NA;0;NA
31;BINARY;semidishonest;yaoO;2;NA;NA;NA;100;4096;3.15534;3.28;56;15;NA;0;NA
31;BINARY;semidishonest;yaoO;2;NA;NA;NA;50;4096;5.95162;6.08;55;11;NA;0;NA
31;BINARY;semihonest;replicated-bin;3;11.81;266;2;3000;4096;12.8779;13.02;22;97;NA;1.32319;NA
31;BINARY;semihonest;replicated-bin;3;NA;NA;NA;1000;4096;12.7604;12.91;22;109;NA;1.32319;NA
31;BINARY;semihonest;replicated-bin;3;NA;NA;NA;900;4096;13.0991;13.25;23;108;NA;1.32319;NA
31;BINARY;semihonest;replicated-bin;3;NA;NA;NA;800;4096;13.6066;13.76;24;105;NA;1.32319;NA
31;BINARY;semihonest;replicated-bin;3;NA;NA;NA;700;4096;12.261;12.41;23;102;NA;1.32319;NA
31;BINARY;semihonest;replicated-bin;3;NA;NA;NA;600;4096;14.2944;14.44;22;100;NA;1.32319;NA
31;BINARY;semihonest;replicated-bin;3;NA;NA;NA;500;4096;13.1268;13.28;23;106;NA;1.32319;NA
31;BINARY;semihonest;replicated-bin;3;NA;NA;NA;400;4096;13.5909;13.74;23;100;NA;1.32319;NA
31;BINARY;semihonest;replicated-bin;3;NA;NA;NA;300;4096;12.4625;12.61;22;107;NA;1.32319;NA
31;BINARY;semihonest;replicated-bin;3;NA;NA;NA;200;4096;12.5239;12.68;24;100;NA;1.32319;NA
31;BINARY;semihonest;replicated-bin;3;NA;NA;NA;100;4096;12.8172;12.98;22;103;NA;1.32319;NA
31;BINARY;semihonest;replicated-bin;3;NA;NA;NA;50;4096;12.322;12.47;23;117;NA;1.32319;NA
