comp.time(s);comp.peakRAM(MiB);bin.filesize(MiB);datatype;optshare;packbool;protocol;input_size;preprocess;splitroles;inittime(s);preproc(s);runtime_clock(s);runtime_getTime(s);runtime_chrono(s);runtime_external(s);peakRAM(MiB);jobCPU(%)
1.44;228;1;64;1;0;1;4096;0;0;0.003445;NA;0.020353;0.016993;0.016993;0.03;21;97
1.47;228;1;64;1;0;1;4096;0;1;.000424;NA;.003236;.002662;.002662;1.47;228;99
1.46;228;1;64;1;0;1;8192;0;0;0.002518;NA;0.026758;0.029708;0.029708;0.06;35;71
1.48;228;1;64;1;0;1;8192;0;1;.000788;NA;.004739;.004624;.004624;1.48;228;99
1.46;227;1;64;1;0;1;12288;0;0;0.008826;NA;0.046732;0.034871;0.034870;0.08;51;108
1.47;227;1;64;1;0;1;12288;0;1;.001344;NA;.005319;.006249;.006249;1.47;227;99
1.47;227;1;64;1;0;1;16384;0;0;0.010820;NA;0.038014;0.031212;0.031211;0.08;67;105
1.45;227;1;64;1;0;1;16384;0;1;.001741;NA;.008921;.007652;.007652;1.45;227;99
1.46;228;1;64;1;0;1;20480;0;0;0.005817;NA;0.047735;0.040804;0.040804;0.10;83;83
1.48;227;1;64;1;0;1;20480;0;1;.001236;NA;.010274;.008848;.008848;1.48;227;99
1.47;229;1;64;1;0;1;24576;0;0;0.007092;NA;0.054534;0.042930;0.042930;0.10;99;109
1.47;228;1;64;1;0;1;24576;0;1;.001285;NA;.011960;.010766;.010766;1.47;228;100
1.47;228;1;64;1;0;1;28672;0;0;0.008237;NA;0.059411;0.047632;0.047631;0.12;115;97
1.48;227;1;64;1;0;1;28672;0;1;.001364;NA;.014045;.012629;.012629;1.48;227;99
1.47;228;1;64;1;0;1;32768;0;0;0.008974;NA;0.072947;0.065511;0.065510;0.13;130;105
1.48;226;1;64;1;0;1;32768;0;1;.001555;NA;.013932;.011593;.011593;1.48;226;99
1.47;227;1;64;1;0;1;36864;0;0;0.010327;NA;0.071604;0.061799;0.061798;0.14;148;104
1.47;227;1;64;1;0;1;36864;0;1;.001785;NA;.014912;.013018;.013018;1.47;227;99
1.49;228;1;64;1;0;1;40960;0;0;0.011550;NA;0.084806;0.065275;0.065274;0.14;162;112
1.47;227;1;64;1;0;1;40960;0;1;.001959;NA;.014686;.015220;.015220;1.47;227;100
1.46;228;1;64;1;0;2;4096;0;0;0.005139;NA;0.018261;0.018285;0.018284;0.04;23;84
1.45;228;1;64;1;0;2;4096;0;1;.000596;NA;.002422;.003134;.003134;1.45;228;99
1.42;228;1;64;1;0;2;8192;0;0;0.008855;NA;0.029807;0.033334;0.033333;0.06;39;93
1.44;227;1;64;1;0;2;8192;0;1;.001056;NA;.004452;.006194;.006194;1.44;227;99
1.44;227;1;64;1;0;2;12288;0;0;0.013555;NA;0.030414;0.042148;0.042147;0.08;57;86
1.44;228;1;64;1;0;2;12288;0;1;.001660;NA;.006521;.007415;.007415;1.44;228;100
