program;c.domain;adv.model;protocol;partysize;comp.time(s);comp.peakRAM(MiB);bin.filesize(MiB);latencies(ms);input_size;runtime_internal(s);runtime_external(s);peakRAM(MiB);jobCPU(%);P0commRounds;P0dataSent(MB);ALLdataSent(MB)
33;FIELD;maldishonest;mascot;3;0.68;34;1;0;30;0.51763;0.60;80;74;~3671;10.3208;30.9478
33;FIELD;maldishonest;mascot;3;NA;NA;NA;5;30;10.2716;10.54;80;7;~3671;10.3208;30.9478
33;FIELD;maldishonest;mascot;3;NA;NA;NA;10;30;19.7599;20.21;82;5;~3671;10.3208;30.9478
33;FIELD;maldishonest;mascot;3;NA;NA;NA;15;30;29.1579;29.82;80;4;~3671;10.3208;30.9478
33;FIELD;maldishonest;mascot;3;NA;NA;NA;20;30;38.5461;39.36;82;4;~3671;10.3208;30.9478
33;FIELD;maldishonest;mascot;3;NA;NA;NA;25;30;47.9984;48.99;80;4;~3671;10.3208;30.9478
33;FIELD;maldishonest;mascot;3;NA;NA;NA;30;30;57.3757;58.54;80;3;~3671;10.3208;30.9478
33;FIELD;maldishonest;mascot;3;NA;NA;NA;35;30;66.7487;68.09;82;3;~3671;10.3208;30.9478
33;FIELD;maldishonest;mascot;3;NA;NA;NA;40;30;76.1072;77.62;80;3;~3671;10.3208;30.9478
33;FIELD;maldishonest;mascot;3;NA;NA;NA;45;30;85.5411;87.22;80;3;~3671;10.3208;30.9478
33;FIELD;maldishonest;mascot;3;NA;NA;NA;50;30;94.8878;96.74;80;3;~3671;10.3208;30.9478
33;FIELD;semidishonest;hemi;3;0.68;34;1;0;30;0.151399;0.23;14;45;~3600;0.0144;0.0288
33;FIELD;semidishonest;hemi;3;NA;NA;NA;5;30;9.47851;9.71;14;3;~3600;0.0144;0.0288
33;FIELD;semidishonest;hemi;3;NA;NA;NA;10;30;18.5687;19.00;14;2;~3600;0.0144;0.0288
33;FIELD;semidishonest;hemi;3;NA;NA;NA;15;30;27.5355;28.13;14;1;~3600;0.0144;0.0288
33;FIELD;semidishonest;hemi;3;NA;NA;NA;20;30;36.5469;37.33;14;1;~3600;0.0144;0.0288
33;FIELD;semidishonest;hemi;3;NA;NA;NA;25;30;45.5668;46.53;15;1;~3600;0.0144;0.0288
33;FIELD;semidishonest;hemi;3;NA;NA;NA;30;30;54.5702;55.69;14;1;~3600;0.0144;0.0288
33;FIELD;semidishonest;hemi;3;NA;NA;NA;35;30;63.568;64.83;14;1;~3600;0.0144;0.0288
33;FIELD;semidishonest;hemi;3;NA;NA;NA;40;30;72.5643;74.01;14;0;~3600;0.0144;0.0288
33;FIELD;semidishonest;hemi;3;NA;NA;NA;45;30;81.5605;83.21;15;0;~3600;0.0144;0.0288
