comp.time(s);comp.peakRAM(MiB);bin.filesize(MiB);freqs(GHz);datatype;optshare;packbool;protocol;bandwidths(Mbs);input_size;preprocess;splitroles;inittime(s);preproc(s);runtime_clock(s);runtime_getTime(s);runtime_chrono(s);runtime_external(s);peakRAM(MiB);jobCPU(%)
1.50;232;1;3;256;1;0;1;25000;40960;0;0;0.025168;NA;0.177826;0.143603;0.143602;0.34;638;109
1.43;233;1;3;256;1;0;1;25000;40960;0;1;.004788;NA;.032595;.060271;.060271;1.43;233;99
1.43;233;1;3;256;1;0;1;24000;40960;0;0;0.025378;NA;0.177964;0.137128;0.137127;0.35;638;108
1.43;232;1;3;256;1;0;1;24000;40960;0;1;.004700;NA;.033353;.067196;.067196;1.43;232;99
1.43;233;1;3;256;1;0;1;23000;40960;0;0;0.025747;NA;0.177118;0.144838;0.144838;0.35;638;107
1.43;231;1;3;256;1;0;1;23000;40960;0;1;.004826;NA;.033683;.064402;.064402;1.43;231;99
1.43;232;1;3;256;1;0;1;22000;40960;0;0;0.026068;NA;0.172769;0.150256;0.150255;0.35;638;106
1.43;233;1;3;256;1;0;1;22000;40960;0;1;.004843;NA;.033002;.067634;.067634;1.43;233;99
1.42;232;1;3;256;1;0;1;21000;40960;0;0;0.025827;NA;0.179317;0.154248;0.154247;0.36;640;104
1.42;233;1;3;256;1;0;1;21000;40960;0;1;.004884;NA;.032799;.074024;.074024;1.42;233;99
1.43;233;1;3;256;1;0;1;20000;40960;0;0;0.026058;NA;0.181628;0.149409;0.149408;0.35;638;109
1.43;233;1;3;256;1;0;1;20000;40960;0;1;.004828;NA;.032365;.078720;.078720;1.43;233;99
1.42;233;1;3;256;1;0;1;19000;40960;0;0;0.025169;NA;0.178126;0.150454;0.150453;0.35;638;106
1.42;232;1;3;256;1;0;1;19000;40960;0;1;.004887;NA;.032831;.075586;.075586;1.42;232;99
1.43;233;1;3;256;1;0;1;18000;40960;0;0;0.025685;NA;0.177785;0.157852;0.157852;0.35;638;105
1.41;233;1;3;256;1;0;1;18000;40960;0;1;.004745;NA;.032837;.079098;.079098;1.41;233;99
1.44;236;1;3;256;1;0;1;17000;40960;0;0;0.026370;NA;0.170989;0.165036;0.165036;0.36;639;101
1.43;232;1;3;256;1;0;1;17000;40960;0;1;.004990;NA;.032436;.084994;.084994;1.43;232;99
1.43;233;1;3;256;1;0;1;16000;40960;0;0;0.025538;NA;0.173466;0.164227;0.164226;0.36;639;101
1.43;232;1;3;256;1;0;1;16000;40960;0;1;.004857;NA;.032938;.089819;.089819;1.43;232;100
1.43;232;1;3;256;1;0;1;15000;40960;0;0;0.026117;NA;0.177034;0.165616;0.165616;0.36;638;103
1.43;233;1;3;256;1;0;1;15000;40960;0;1;.004676;NA;.032325;.095534;.095534;1.43;233;99
1.43;231;1;3;256;1;0;1;14000;40960;0;0;0.026109;NA;0.178081;0.184756;0.184755;0.38;640;98
1.43;232;1;3;256;1;0;1;14000;40960;0;1;.004878;NA;.032189;.099702;.099702;1.43;232;100
1.44;232;1;3;256;1;0;1;13000;40960;0;0;0.025673;NA;0.175438;0.184567;0.184567;0.38;638;96
1.42;232;1;3;256;1;0;1;13000;40960;0;1;.004750;NA;.032417;.112238;.112238;1.42;232;99
1.42;232;1;3;256;1;0;1;12000;40960;0;0;0.025820;NA;0.181086;0.193051;0.193051;0.40;638;94
1.43;233;1;3;256;1;0;1;12000;40960;0;1;.004749;NA;.031812;.116433;.116433;1.43;233;99
1.43;232;1;3;256;1;0;1;11000;40960;0;0;0.026109;NA;0.177999;0.224628;0.224627;0.42;638;88
1.41;233;1;3;256;1;0;1;11000;40960;0;1;.004800;NA;.032002;.124962;.124962;1.41;233;99
1.43;233;1;3;256;1;0;1;10000;40960;0;0;0.026338;NA;0.175929;0.226939;0.226938;0.43;638;87
1.42;233;1;3;256;1;0;1;10000;40960;0;1;.004712;NA;.031415;.140507;.140507;1.42;233;99
